Connector Type,Тип на конектора
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","Въведете стойности по подразбиране (ключове) и стойности. Ако добавите няколко стойности за дадено поле, първият ще бъде избран. Тези настройки по подразбиране се използват и за задаване на правила за съответствие. За да видите списък с полета, отидете на &quot;Персонализиране на формуляр&quot;."
Section Heading,Заглавие на раздел
Avoid dates and years that are associated with you.,"Избягвайте датите и годините, които са свързани с вас."
Press Enter to save,"Натиснете Enter, за да запазите"
Reviews,Отзиви
State,състояние
Translation,превод
Columns,колони
Cannot change docstatus from 1 to 0,Документът не може да се промени от 1 на 0
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Могат да се използват всички езици за принтер, базирани на низове. Писането на сурови команди изисква познаване на родния език на принтера, предоставен от производителя на принтера. Моля, вижте ръководството за разработчици, предоставено от производителя на принтера, за това как да напишете техните собствени команди. Тези команди се визуализират на сървърната страна с помощта на Jinja Templating Language."
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","Грешка при свързването с приложението за тава за QZ ... <br><br> За да използвате функцията Raw Print, трябва да имате инсталирано и стартирано приложение QZ Tray. <br><br> <a href=""https://qz.io/download/"" target=""_blank"">Щракнете тук, за да изтеглите и инсталирате QZ Tray</a> . <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Кликнете тук, за да научите повече за Raw Printing</a> ."
Please select another payment method. Razorpay does not support transactions in currency '{0}',"Моля, изберете друг метод на плащане. Razorpay не поддържа транзакции във валута „{0}“"
User permissions should not apply for this Link,Потребителските разрешения не трябва да се прилагат за тази връзка
Click on the link below to complete your registration and set a new password,"Кликнете върху връзката по-долу, за да завършите регистрацията си и да зададете нова парола"
Not allowed to print draft documents,Не се разрешава да се отпечатват проектодокументи
Set up rules for user assignments.,Задаване на правила за потребителски задачи.
Test,Тест
for automatic creating of the recurring document to continue.,"за автоматично създаване на повтарящ се документ, за да продължи."
Orange,оранжев
Enable Outgoing,Активиране на изходящи
"Naming Options:
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","Опции за наименуване: <ol><li> <b>поле: [име на поле]</b> - По поле </li><li> <b>naming_series:</b> - Чрез именуване на серии (трябва да е налично поле наречено naming_series </li><li> <b>Prompt</b> - Подкани потребител за име </li><li> <b>[серия]</b> - Серия по представка (разделена с точка); например PRE. ##### </li><li> <b>формат: EXAMPLE- {MM} morewords {fieldname1} - {fieldname2} - {#####}</b> - Замяна на всички дублирани думи (имена на полета, думи с дата (DD, MM, YY), серии) със стойността им. Външни скоби могат да се използват всякакви символи. </li></ol>"
Select Print Format to Edit,"Изберете Формат за печат, за да редактирате"
New Event,Ново събитие
Scheduled to send to {0} recipients,Планирано е да се изпрати до {0} получатели
Address,адрес
Enter keys to enable integration with Google GSuite,"Въведете ключовете, за да активирате интеграцията с Google GSuite"
Open Translation,Отворете Превод
Please do not change the template headings.,"Моля, не променяйте заглавията на шаблоните."
End date must be greater than start date,Крайната дата трябва да е по-голяма от началната дата
Merchant ID,Идентификатор на търговеца
Energy Point Rule,Правило за енергийна точка
Please enter Client ID before social login is enabled,"Моля, въведете Идентификационния номер на клиента преди активирането на социалното влизане"
Has  Attachment,Има прикачен файл
Email Signature,Подпис по имейл
Addresses And Contacts,Адреси и контакти
This Kanban Board will be private,Този съвет на Канбан ще бъде частен
Current Mapping,Текущо картографиране
Based on Permissions For User,Въз основа на разрешенията за потребителя
"You can change Submitted documents by cancelling them and then, amending them.","Можете да промените Подадените документи, като ги анулирате и след това ги промените."
Feedback Rating,Оценка на обратната връзка
This is the template file generated with only the rows having some error. You should use this file for correction and import.,"Това е шаблонът на шаблона, генериран само с редове с грешка. Трябва да използвате този файл за корекция и импортиране."
Middle Name (Optional),Средно име (по избор)
Invalid naming series (. missing),Невалидна серия на именуване (. Липсва)
Help Articles,Помощ членове
Retry,Повторен опит
You have subscribed for one user free plan,Абонирахте се за един безплатен потребителски план
Straight rows of keys are easy to guess,Правите редове от ключове са лесни за отгатване
User {0} cannot be disabled,Потребителят {0} не може да бъде деактивиран
Let's avoid repeated words and characters,Да избегнем повтарящите се думи и знаци
Condition Detail,Подробности за състоянието
Property Type,Тип на имота
Sunday,неделя
Row Status,Статус на ред
Portal Menu Item,Елемент от менюто на портала
Follow,последвам
Unable to create bucket: {0}. Change it to a more unique name.,Не може да се създаде кофа: {0}. Променете го на по-уникално име.
Title Case,Случай за заглавие
You can find things by asking 'find orange in customers',"Можете да намерите неща, като поискате „да намерите оранжево в клиентите“"
Set custom roles for page and report,Задайте персонализирани роли за страница и отчет
Allow,Позволява
Reference,препратка
Is Mandatory Field,Е задължително поле
Yahoo Mail,Yahoo Mail
User Type,Тип на потребителя
Take Backup Now,Вземете Backup Now
Blog,Блог
Script to attach to all web pages.,"Скрипт, който да се прикачи към всички уеб страници."
module name...,име на модула ...
Users with role {0}:,Потребители с роля {0}:
"Email Domain not configured for this account, Create one?","Имейл домейн, който не е конфигуриран за този профил, Създайте?"
Bucket,кофа
Disable Sidebar Stats,Деактивирайте статистиките за страничната лента
Busy,Зает
{0} {1} to {2},{0} {1} до {2}
Create Post,Създаване на публикация
Printer Mapping,Картографиране на принтери
Setup &gt; User Permissions,Настройка&gt; Потребителски разрешения
"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).","Избирате Опция за синхронизация като ВСИЧКИ, той ще ресинхронизира всички четене, както и непрочетено съобщение от сървъра. Това може да доведе и до дублиране на съобщения (имейли)."
Last synced {0},Последна синхронизация {0}
Cannot change header content,Не може да се промени съдържанието на заглавието
Not allowed to change {0} after submission,Не е разрешено да се промени {0} след подаването
"The application has been updated to a new version, please refresh this page","Приложението бе актуализирано до нова версия. Моля, опреснете тази страница"
User Image,Изображение на потребителя
Action Timeout (Seconds),Време за изчакване (секунди)
New updates are available,Налични са нови актуализации
Edit Title,Редактиране на заглавието
Login Required,Изисква се вход
User {0} does not have doctype access via role permission for document {1},Потребителят {0} няма достъп доctype чрез разрешение за роля на документ {1}
View Permitted Documents,Преглед на разрешените документи
InnoDB,InnoDB
Select a Brand Image first.,Първо изберете изображение на марка.
Field {0} of type {1} cannot be mandatory,Поле {0} от тип {1} не може да бъде задължително
Period,Период
Portal Settings,Настройки на портала
SparkPost,SparkPost
Sidebar Settings,Настройки на страничната лента
Brand,Марка
Insert After,Вмъкване след
{0} is currently viewing this document,{0} в момента преглежда този документ
Quarter Day,Тримесечен ден
QR Code for Login Verification,QR Code за потвърждение за влизане
Already Registered,Вече е регистриран
Show Preview Popup,Показване на изскачащия прозорец за визуализация
Unzip,отварям се
Order,Поръчка
Phone No.,Телефон не.
Email not verified with {0},Имейлът не е потвърден с {0}
Column Name,Име на колоната
API Key,Ключ API
Delete comment?,Изтриване на коментара?
Error Message,Съобщение за грешка
YES,ДА
Space,пространство
Message ID,ID на съобщението
Hub Sync ID,ID на синхронизиране на концентратора
Apply Strict User Permissions,Прилагане на стриктни потребителски разрешения
Create,създавам
{0} is saved,{0} е запазено
From,от
Not a valid user,Не е валиден потребител
Headers,Заглавия
Token is missing,Знакът липсва
Item cannot be added to its own descendents,Елементът не може да се добавя към собствените си потомци
With Letterhead,С бланка
Default for {0} must be an option,По подразбиране за {0} трябва да е опция
0 is highest,0 е най-високата
us-east-2,ни-изток-2
list-alt,списък-н
Track Email Status,Проследяване на състоянието на имейла
Role Name,Име на ролята
Workflow Document State,Състояние на документа на работния процес
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Всички възможни състояния на работния процес и роли на работния процес. Опциите на Docstatus: 0 е &quot;Запазено&quot;, 1 е &quot;Подадено&quot; и 2 е &quot;Отменено&quot;"
Link Name,Име на връзката
Message to be displayed on successful completion (only for Guest users),"Съобщението, което ще се покаже при успешно завършване (само за гост-потребители)"
Email Account Name,Име на имейл акаунта
OAuth Provider Settings,Настройки на доставчика на OAuth
{0} record deleted,Записът {0} е изтрит
Remove,Премахване
Configure accounts for google calendar,Конфигуриране на профили за Google календар
Currency Name,Име на валутата
glass,стъкло
Raw Email,Необработена електронна поща
Looks like something is wrong with this site's Paypal configuration.,"Изглежда, че нещо не е наред с конфигурацията на Paypal в този сайт."
Online,Онлайн
Go to {0} List,Отидете на {0} Списък
Open {0},Отваряне {0}
Activity Log,Дневник дейност
Update,Актуализация
Add Signature,Добавете Подпис
Lock,Ключалка
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,"Името на типа документ (DocType), към което искате да се свърже това поле. напр"
Redis cache server not running. Please contact Administrator / Tech support,"Redis кеш сървъра не работи. Моля, свържете се с администраторска / техническа поддръжка"
GitHub,GitHub
Sendgrid,Sendgrid
Add your own Tag Categories,Добавете свои собствени категории маркери
New {} releases for the following apps are available,Налични са нови {} версии за следните приложения
User permission already exists,Разрешението на потребителя вече съществува
Incoming email account not correct,Входящият имейл адрес не е правилен
User {0} cannot be renamed,Потребителят {0} не може да бъде преименуван
Remember Last Selected Value,Запомни последната избрана стойност
Client Secret,Клиентска тайна
Quick Help for Setting Permissions,Бърза помощ за задаване на разрешения
Enable Two Factor Auth,Активиране на два фактора
Warning,Внимание
Invalid payment gateway credentials,Невалидни идентификационни данни на шлюза за плащане
Are you sure you want to relink this communication to {0}?,Наистина ли искате да препратите отново тази връзка към {0}?
Check this to pull emails from your mailbox,"Отметнете това, за да изтеглите имейли от пощенската си кутия"
You don't have access to Report: {0},Нямате достъп до отчета: {0}
Keeps track of all communications,Следи всички комуникации
Configure Theme,Конфигуриране на тема
Login not allowed at this time,В момента не е позволено влизане
It is risky to delete this file: {0}. Please contact your System Manager.,"Рисковано е да изтриете този файл: {0}. Моля, свържете се със системния си мениджър."
Please ensure that your profile has an email address,"Моля, уверете се, че вашият профил има имейл адрес"
Toggle Full Width,Превключване на пълната ширина
Starting Frappe ...,Стартиране на Frappe ...
Allow Guest to View,Разрешаване на госта за преглед
Column Break,Прекъсване на колони
Go to {0} Page,Отидете на {0} Страница
System,Система
{0} must be unique,{0} трябва да е уникален
Your payment was successfully accepted,Плащането Ви бе прието успешно
Button Label,Етикет с бутони
Move,Ход
"SQL Conditions. Example: status=""Open""",Условия на SQL. Пример: status = &quot;Отваряне&quot;
Confirmed,Потвърдено
"Field ""route"" is mandatory for Web Views",Полето &quot;route&quot; е задължително за Web Views
Apply,Приложи
Sender,подател
Mark as {0},Маркирайте като {0}
Discard,Изхвърлете
Select an image of approx width 150px with a transparent background for best results.,За най-добри резултати изберете изображение с ширина около 150 пиксела с прозрачен фон.
Relapsed,рецидивирал
Email Sent,Имейлът е изпратен
Read by Recipient On,Четене от получателя Вкл
Allow user to login only after this hour (0-24),Да се разреши на потребителя да влезе само след този час (0-24)
"document type..., e.g. customer","тип документ ..., например клиент"
Website Theme Image,Изображение на темата на уебсайта
Everyone,Всеки
You do not have enough review points,Нямате достатъчно точки за преглед
Integration Type,Тип интеграция
Fieldtype {0} for {1} cannot be unique,Тип на полето {0} за {1} не може да бъде уникален
{0} is mandatory,{0} е задължително
View Log,Преглед на дневника
"Actions for workflow (e.g. Approve, Cancel).","Действия за работния процес (например Одобряване, Отказ)."
Pick Columns,Избор на колони
Cannot map because following condition fails: ,"Не може да се направи карта, тъй като следното условие е неуспешно:"
Sorry! User should have complete access to their own record.,За съжаление! Потребителят трябва да има пълен достъп до собствения си запис.
Try to avoid repeated words and characters,Опитайте се да избягвате повтарящи се думи и знаци
Add Comment,Добави коментар
Emails are muted,Имейлите са заглушени
{0}: Cannot set Amend without Cancel,{0}: Не може да се настрои Amend без Отказ
old_parent,old_parent
Module to Export,Модул за експортиране
Fields,Полетата
You are not allowed to print this document,Нямате право да отпечатвате този документ
Parent,родител
"Your session has expired, please login again to continue.","Сесията ви е изтекла, моля, влезте отново, за да продължите."
Priority,приоритет
click here,Натисни тук
Wednesday,сряда
Additional Permissions,Допълнителни разрешения
Send Now,Изпрати Сега
ASC,ASC
Both login and password required,И двата имена за вход и парола са необходими
 for {0},за {0}
Cache Cleared,Изчисти кеша
Energy Points,Енергийни точки
Refreshing...,Освежаващ ...
This is similar to a commonly used password.,Това е подобно на често използваната парола.
Last Point Allocation Date,Дата на разпределение на последната точка
Index,индекс
Is Published Field must be a valid fieldname,Полето трябва да е валидно име на поле
Mapping Name,Име на картата
Sorry! I could not find what you were looking for.,"За съжаление! Не можах да намеря това, което търсите."
Please select atleast 1 column from {0} to sort/group,"Моля, изберете най-малко 1 колона от {0} за сортиране / групиране"
Allow Read On All Link Options,Разрешаване на опциите за четене на всички връзки
Reset OTP Secret,Нулирайте OTP Secret
UPPER CASE,ГЛАВНА БУКВА
Please set Email Address,"Моля, задайте имейл адрес"
Marked As Spam,Маркирана като спам
Import Subscribers,Импортиране на абонати
Jobs,Работни места
Save Filter,Запазване на филтъра
Preferred Shipping Address,Предпочитан адрес за доставка
The name that will appear in Google Calendar,"Името, което ще се показва в Google Календар"
&gt; {0} year(s) ago,&gt; {0} преди година / и
Disable SMTP server authentication,Деактивирайте удостоверяването на SMTP сървъра
Total number of emails to sync in initial sync process ,Общ брой имейли за синхронизиране при първоначалния процес на синхронизиране
Enable Password Policy,Активиране на правилата за паролите
Mobile No,Мобилен номер No
CC,CC
Fw: {0},Fw: {0}
Amount must be greater than 0.,Сумата трябва да бъде по-голяма от 0.
Please enter values for App Access Key and App Secret Key,"Моля, въведете стойности за ключ за достъп до приложения и секретен ключ за приложението"
Add Unsubscribe Link,Добавяне на връзка за отписване
Queued for backup. It may take a few minutes to an hour.,На опашка за архивиране. Може да отнеме няколко минути до един час.
Outlook.com,Outlook.com
Submitting,Подаване
Insert Code,Вмъкване на код
Not In,Не в
Start Date,Начална дата
Set Chart,Задаване на диаграма
My Account,Моята сметка
Is Published Field,Публикувано е поле
Set non-standard precision for a Float or Currency field,Задайте нестандартна точност за поле Float или Currency
The CSV format is case sensitive,CSV форматът е чувствителен към малки и големи букви
Export Data in CSV / Excel format.,Експортиране на данни в CSV / Excel формат.
No records present in {0},Няма записи в {0}
Please select Entity Type first,"Моля, първо изберете Entity Type"
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip: Добавете <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> да изпратите препратка към документ
LDAP First Name Field,Поле за име на LDAP
Default Sending and Inbox,Стандартно изпращане и входяща поща
"For updating, you can update only selective columns.",За актуализиране можете да актуализирате само селективни колони.
Default for 'Check' type of field must be either '0' or '1',По подразбиране за полето „Проверка“ трябва да има „0“ или „1“
Share this document with,Споделете този документ с
Print Hide,Разпечатване Скрий
Text,Текст
User Field,Потребителско поле
Google Calendar ID,Идент. № на Google Календар
Reverted,Върнато
Edit to add content,"Редактирайте, за да добавите съдържание"
Bulk Update,Масово актуализиране
Secret Access Key,Ключ за секретен достъп
You need to be in developer mode to edit a Standard Web Form,"Трябва да сте в режим на програмист, за да редактирате стандартен уеб формуляр"
Logout from all devices while changing Password,"Излезте от всички устройства, докато променяте паролата си"
Skip Authorization,Пропускане на разрешение
Public,обществен
Following fields have missing values:,Следните полета нямат стойности:
after_insert,after_insert
Make Default,Направете по подразбиране
Refresh,Обновяване
Edit DocType,Редактиране на DocType
"""Company History""",&quot;История на компанията&quot;
Use the field to filter records,"Използвайте полето, за да филтрирате записи"
Brute Force Security,Сигурност на грубата сила
Cannot move row,Редът не може да се премести
pause,пауза
Low,ниско
Role Permissions,Разрешения за ролята
Sent/Received Email,Изпратени / получени имейли
Permission Levels,Нива на разрешение
Add Another Comment,Добавяне на друг коментар
You have {0} days left in your subscription,Остават Ви {0} дни в абонамента си
"Once submitted, submittable documents cannot be changed. They can only be Cancelled and Amended.","Веднъж подадени, документите, които се подават, не могат да бъдат променяни. Те могат да бъдат отменени и изменени."
Allow approval for creator of the document,Позволете одобрение за създателя на документа
Complete,пълен
See all past reports.,Вижте всички предишни доклади.
Newsletter has already been sent,Вестникът вече е изпратен
Print Settings,Настройки за печат
Categorize blog posts.,Категоризирайте публикациите в блоговете.
Last IP,Последно IP
One of,Един от
Cannot send this email. You have crossed the sending limit of {0} emails for this month.,Този имейл не може да бъде изпратен. Пресекли сте ограничението за изпращане от {0} имейла за този месец.
Domains HTML,Домейни HTML
Blog Settings,Настройки на блога
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores","Името на DocType трябва да започва с буква и може да се състои само от букви, цифри, интервали и долни черти"
Integrations can use this field to set email delivery status,"Интеграциите могат да използват това поле, за да зададат статус за доставка на имейл"
Stripe payment gateway settings,Настройки за платен шлюз за лента
Fonts,Fonts
Channel,канал
Opened,Отворен
Conditions,условия
Don't have an account? Sign up,Нямате профил? Регистрирай се
Added {0},Добавено {0}
Create and Send Newsletters,Създаване и изпращане на бюлетини
Footer Items,Елементи от долния колонтитул
Website Slideshow Item,Уебсайт Slideshow елемент
Register OAuth Client App,Регистрирайте приложението OAuth за клиенти
Frames,Рамки
List View Setting,Настройка за изглед на списък
Data Export,Експорт на данни
Depends On,Зависи от
Widths can be set in px or %.,Ширините могат да бъдат зададени в px или%.
Address and other legal information you may want to put in the footer.,"Адрес и друга правна информация, която може да искате да поставите в долния колонтитул."
Document Type is not importable,Типът на документа не може да се внася
User {0} does not have access to this document,Потребителят {0} няма достъп до този документ
User Name,Потребителско име
UIDVALIDITY,UIDVALIDITY
via automatic rule {0} on {1},чрез автоматично правило {0} на {1}
You are not connected to Internet. Retry after sometime.,Не сте свързани с интернет. Повторете опита си след някое време.
Transition Rules,Правила за преход
resize-vertical,преоразмеряване-вертикална
Shared With,Споделено с
Add Row,Добавяне на ред
th-list,тата списък
Subdomain,Под-домейн
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Не HTML Кодирайте HTML тагове като &lt;script&gt; или просто символи като &lt;или&gt;, тъй като те биха могли да се използват умишлено в това поле"
; not allowed in condition,; не е разрешено в състояние
Two Factor Authentication method,Двуфакторен метод за удостоверяване
New Message from Website Contact Page,Ново съобщение от страницата за връзка с уебсайта
"Your download is being built, this may take a few moments...","Изтеглянето ви се изгражда, това може да отнеме няколко минути ..."
Compact Item Print,Компактен печат на артикул
Lft,Lft
align-justify,приведе-оправдае
Saving...,Се запазва ...
Error Report,Отчет за грешка
{0} changed {1} to {2},{0} промени {1} на {2}
Active,Активен
Export Report: {0},Отчет за експортиране: {0}
"Login session expired, refresh page to retry","Срокът за влизане изтече, обновете страницата, за да опитате отново"
System Manager,Системният мениджър
Short keyboard patterns are easy to guess,Лесни за отгатване кратки клавиатурни модели
Enable Incoming,Активиране на входящи
"Level 0 is for document level permissions, \
								higher levels for field level permissions.","Ниво 0 е за разрешения на ниво документ, по-високи нива за разрешения на ниво област."
City/Town,Град / Село
GMail,GMail
"This will reset your current theme, are you sure you want to continue?","Това ще възстанови текущата ви тема, сигурни ли сте, че искате да продължите?"
Mandatory fields required in {0},"Задължителните полета, изисквани в {0}"
Error while connecting to email account {0},Грешка при свързване с имейл акаунт {0}
