Connector Type,कनेक्टर प्रकार
Avoid sequences like abc or 6543 as they are easy to guess,एबीसी या 6543 जैसे दृश्यों से बचें क्योंकि वे अनुमान लगाना आसान हैं
Insert Below,नीचे डालें
Error in Custom Script,कस्टम स्क्रिप्ट में त्रुटि
Please specify which date field must be checked,कृपया निर्दिष्ट करें कि किस दिनांक फ़ील्ड की जाँच की जानी चाहिए
Feedback,प्रतिक्रिया
"Invalid ""depends_on"" expression",अमान्य &quot;depend_on&quot; अभिव्यक्ति
Session Expired,सत्र समाप्त हुआ
Sent Read Receipt,भेजी गई रसीद
Tools,उपकरण
Contacts,संपर्क
Document Share Report,दस्तावेज़ साझा रिपोर्ट
Filter List,फ़िल्टर सूची
Notification Tones,अधिसूचना टन
You have used up all of the space allotted to you. Please buy more space in your subscription.,आपने अपने लिए आवंटित जगह का उपयोग किया है। कृपया अपनी सदस्यता में अधिक स्थान खरीदें।
"Expression, Optional","अभिव्यक्ति, वैकल्पिक"
Mandatory Information missing:,अनिवार्य सूचना गायब:
DocType is a Table / Form in the application.,DocType एप्लिकेशन में एक टेबल / फॉर्म है।
Primary,मुख्य
Setup Reports to be emailed at regular intervals,नियमित अंतराल पर ईमेल की जाने वाली सेटअप रिपोर्ट
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.",आपको लगता है कि आपने अपना नाम ईमेल के बजाय लिखा है। कृपया एक मान्य ईमेल पता दर्ज करें ताकि हम वापस आ सकें।
Website Settings,वेबसाइट सेटिंग्स
Background Email Queue,पृष्ठभूमि ईमेल कतार
{0} and {1},{0} और {1}
There was an error saving filters,फ़िल्टर सहेजने में त्रुटि हुई थी
Enter your password,अपना पासवर्ड डालें
Success! You are good to go ?,सफलता! आप जाने के लिए अच्छे हैं ?
Cannot delete Home and Attachments folders,होम और अटैचमेंट फ़ोल्डर को हटा नहीं सकते
Settings for Contact Us Page,हमसे संपर्क करें पृष्ठ के लिए सेटिंग्स
Social Login Provider,सामाजिक लॉगिन प्रदाता
Previous Hash,पिछला हश
Value Changed,मान बदल गया
Report Type,रिपोर्ट का प्रकार
Default Address Template cannot be deleted,डिफ़ॉल्ट पता टेम्प्लेट हटाया नहीं जा सकता
Please set script URL on Gsuite Settings,कृपया Gsuite सेटिंग्स पर स्क्रिप्ट URL सेट करें
Invalid limit {0},अमान्य सीमा {0}
No of emails remaining to be synced,शेष ईमेल में से कोई भी सिंक नहीं किया जा सकता है
User ID,यूज़र आईडी
Website,वेबसाइट
sa-east-1,सा-पूर्व-1
Notification Recipient,अधिसूचना प्राप्तकर्ता
Module,मॉड्यूल
Address Type,पता प्रकार
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.","यदि इसकी जाँच की जाती है, तो वैध डेटा वाली पंक्तियों को आयात किया जाएगा और अमान्य पंक्तियों को बाद में आयात करने के लिए एक नई फ़ाइल में डंप किया जाएगा।"
Fieldname {0} appears multiple times in rows {1},फ़ील्ड नाम {0} पंक्तियों में कई बार {1} प्रकट होता है
Error Log,त्रुटि संग्रह
Half,आधा
Home Page,मुख पृष्ठ
Current Mapping Start,वर्तमान मानचित्रण प्रारंभ
eye-close,आंख बंद करें
Assignment closed by {0},असाइनमेंट {0} द्वारा बंद किया गया
Next Date's day and Repeat on Day of Month must be equal,अगली तारीख का दिन और महीने के दिन को दोहराना बराबर होना चाहिए
Comments cannot have links or email addresses,टिप्पणियों में लिंक या ईमेल पते नहीं हो सकते
Reference Communication,संदर्भ संचार
Mandatory:,अनिवार्य:
Setting up your system,अपना सिस्टम सेट करना
Payment Failed,भुगतान असफल हुआ
Read,पढ़ना
SSL/TLS Mode,एसएसएल / टीएलएस मोड
Print Format Help,प्रिंट प्रारूप सहायता
Between,के बीच
Thank you for your interest in subscribing to our updates,हमारे अपडेट की सदस्यता के लिए आपकी रुचि के लिए धन्यवाद
Full Name,पूरा नाम
Allow GCalendar Access,GCalendar एक्सेस की अनुमति दें
Reset Permissions for {0}?,{0} के लिए अनुमतियाँ रीसेट करें?
Start entering data below this line,इस पंक्ति के नीचे डेटा दर्ज करना शुरू करें
UNSEEN,अनदेखी
JS,जे एस
All-uppercase is almost as easy to guess as all-lowercase.,ऑल-अपरकेस लगभग सभी लोअरकेस के रूप में अनुमान लगाने में आसान है।
Cannot use sub-query in order by,क्रम में उप-क्वेरी का उपयोग नहीं कर सकता
Transaction Log Report,लेन-देन लॉग रिपोर्ट
Is Global,ग्लोबल है
Options Help,विकल्प मदद
Is Sent,भेज दिया
Transaction Log,लेन देन सुची
eu-west-3,यूरोपीय संघ के पश्चिम -3
Complete Setup,पूरा सेटअप
OTP Secret has been reset. Re-registration will be required on next login.,ओटीपी सीक्रेट रीसेट कर दिया गया है। अगले लॉगिन पर पुनः पंजीकरण की आवश्यकता होगी।
In List View,सूची दृश्य में
Feedback Trigger,प्रतिक्रिया ट्रिगर
Confirm,की पुष्टि करें
Valid email and name required,वैध ईमेल और नाम की आवश्यकता है
List of patches executed,निष्पादित पैच की सूची
Email Queue,ईमेल कतार
View Website,वेबसाइट देखें
Fetch If Empty,अगर खाली हो जाए
Select,चुनते हैं
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","डिफ़ॉल्ट मान फ़ील्ड (कुंजियाँ) और मान दर्ज करें। यदि आप किसी फ़ील्ड के लिए कई मान जोड़ते हैं, तो पहले वाले को चुना जाएगा। इन चूक का उपयोग &quot;मैच&quot; अनुमति नियमों को सेट करने के लिए भी किया जाता है। फ़ील्ड की सूची देखने के लिए, &quot;कस्टमाइज़ फ़ॉर्म&quot; पर जाएं।"
Section Heading,अनुभाग शीर्षक
Avoid dates and years that are associated with you.,उन तारीखों और वर्षों से बचें जो आपके साथ जुड़े हुए हैं।
Press Enter to save,बचाने के लिए Enter दबाएं
Reviews,समीक्षा
State,राज्य
Translation,अनुवाद
Columns,कॉलम
Cannot change docstatus from 1 to 0,1 से 0 तक डॉकस्टैटस को बदल नहीं सकते
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,किसी भी स्ट्रिंग-आधारित प्रिंटर भाषाओं का उपयोग किया जा सकता है। कच्चे कमांड लिखने के लिए प्रिंटर निर्माता द्वारा प्रदान की जाने वाली प्रिंटर की मूल भाषा का ज्ञान आवश्यक है। कृपया प्रिंटर निर्माता द्वारा प्रदान किए गए डेवलपर मैनुअल को देखें कि कैसे उनके मूल आदेशों को लिखा जाए। ये कमांड जिंजा टेम्प्लेटिंग लैंग्वेज का उपयोग कर सर्वर साइड पर दिए गए हैं।
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","QZ ट्रे एप्लिकेशन से कनेक्ट करने में त्रुटि ... <br><br> रॉ प्रिंट फीचर का उपयोग करने के लिए आपको QZ ट्रे एप्लिकेशन इंस्टॉल और रनिंग करना होगा। <br><br> <a href=""https://qz.io/download/"" target=""_blank"">क्यूज ट्रे डाउनलोड और इंस्टॉल करने के लिए यहां क्लिक करें</a> । <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">रॉ प्रिंटिंग के बारे में अधिक जानने के लिए यहां क्लिक करें</a> ।"
Please select another payment method. Razorpay does not support transactions in currency '{0}',कृपया अन्य भुगतान विधि चुनें। Razorpay मुद्रा में लेनदेन का समर्थन नहीं करता है &#39;{0}&#39;
User permissions should not apply for this Link,उपयोगकर्ता लिंक इस लिंक के लिए आवेदन नहीं करना चाहिए
Click on the link below to complete your registration and set a new password,अपना पंजीकरण पूरा करने के लिए नीचे दिए गए लिंक पर क्लिक करें और एक नया पासवर्ड सेट करें
Not allowed to print draft documents,मसौदा दस्तावेजों को प्रिंट करने की अनुमति नहीं है
Set up rules for user assignments.,उपयोगकर्ता असाइनमेंट के लिए नियम सेट करें।
Test,परीक्षा
for automatic creating of the recurring document to continue.,जारी रखने के लिए आवर्ती दस्तावेज़ के स्वचालित निर्माण के लिए।
Orange,नारंगी
Enable Outgoing,आउटगोइंग सक्षम करें
"Naming Options:
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","नामकरण विकल्प: <ol><li> <b>फ़ील्ड: [फ़ील्डनाम]</b> - फ़ील्ड द्वारा </li><li> <b>naming_series:</b> - नामकरण श्रृंखला (नामकरण_ क्षेत्र कहा जाता है) मौजूद होना चाहिए </li><li> <b>प्रॉम्प्ट</b> - एक नाम के लिए तत्काल उपयोगकर्ता </li><li> <b>[श्रृंखला]</b> - उपसर्ग द्वारा श्रृंखला (एक डॉट द्वारा अलग); उदाहरण के लिए PRE। ##### </li><li> <b>प्रारूप: उदाहरण- {MM} morewords {fieldname1} - {fieldname2} - {#####}</b> - सभी लटके हुए शब्दों (फ़ील्डनाम, तिथि शब्द (DD, MM, YY), श्रृंखला) को उनके मान से बदलें। ब्रेसिज़ के बाहर, किसी भी वर्ण का उपयोग किया जा सकता है। </li></ol>"
Select Print Format to Edit,संपादित करने के लिए प्रिंट प्रारूप का चयन करें
New Event,नयी घटना
Scheduled to send to {0} recipients,{0} प्राप्तकर्ताओं को भेजने के लिए अनुसूचित
Address,पता
Enter keys to enable integration with Google GSuite,Google GSuite के साथ एकीकरण को सक्षम करने के लिए कुंजी दर्ज करें
Open Translation,अनुवाद खोलें
Please do not change the template headings.,कृपया टेम्पलेट शीर्षकों को न बदलें।
End date must be greater than start date,अंतिम तिथि प्रारंभ तिथि से अधिक होनी चाहिए
Merchant ID,व्यापारी आइडी
Energy Point Rule,एनर्जी पॉइंट नियम
Please enter Client ID before social login is enabled,सामाजिक लॉगिन सक्षम होने से पहले कृपया क्लाइंट आईडी दर्ज करें
Has  Attachment,अटैचमेंट था
Email Signature,ईमेल हस्ताक्षर
Addresses And Contacts,पते और संपर्क
This Kanban Board will be private,यह कंबन बोर्ड निजी होगा
Current Mapping,वर्तमान मानचित्रण
Based on Permissions For User,उपयोगकर्ता के लिए अनुमतियों के आधार पर
"You can change Submitted documents by cancelling them and then, amending them.",आप सबमिट किए गए दस्तावेज़ों को रद्द करके और फिर उन्हें संशोधित करके बदल सकते हैं।
Feedback Rating,प्रतिक्रिया रेटिंग
This is the template file generated with only the rows having some error. You should use this file for correction and import.,यह कुछ त्रुटि वाली पंक्तियों के साथ उत्पन्न टेम्पलेट फ़ाइल है। आपको इस फ़ाइल का उपयोग सुधार और आयात के लिए करना चाहिए।
Middle Name (Optional),बीच का नाम (स्वैच्छिक)
Invalid naming series (. missing),अमान्य नामकरण श्रृंखला (गुम है)
Help Articles,लेखों की सहायता करें
Retry,पुन: प्रयास करें
You have subscribed for one user free plan,आपने एक उपयोगकर्ता मुक्त योजना के लिए सदस्यता ली है
Straight rows of keys are easy to guess,कुंजी की सीधी पंक्तियों का अनुमान लगाना आसान है
User {0} cannot be disabled,उपयोगकर्ता {0} को अक्षम नहीं किया जा सकता है
Let's avoid repeated words and characters,आइए दोहराए गए शब्दों और वर्णों से बचें
Condition Detail,दशा विस्तार
Property Type,संपत्ति के प्रकार
Sunday,रविवार
Row Status,पंक्ति की स्थिति
Portal Menu Item,पोर्टल मेनू आइटम
Follow,का पालन करें
Unable to create bucket: {0}. Change it to a more unique name.,बाल्टी बनाने में असमर्थ: {0}। इसे और अधिक विशिष्ट नाम में बदलें।
Title Case,शीर्षक खाना
You can find things by asking 'find orange in customers',&#39;ऑरेंज में ग्राहक खोजें&#39; पूछकर आप चीजें पा सकते हैं
Set custom roles for page and report,पृष्ठ और रिपोर्ट के लिए कस्टम भूमिकाएँ सेट करें
Allow,अनुमति दें
Reference,संदर्भ
Is Mandatory Field,अनिवार्य क्षेत्र है
Yahoo Mail,याहू मेल
User Type,उपयोगकर्ता का प्रकार
Take Backup Now,अब बैकअप लें
Blog,ब्लॉग
Script to attach to all web pages.,सभी वेब पृष्ठों को संलग्न करने के लिए स्क्रिप्ट।
module name...,मोड्यूल का नाम...
Users with role {0}:,भूमिका {0} वाले उपयोगकर्ता:
"Email Domain not configured for this account, Create one?","ईमेल डोमेन इस खाते के लिए कॉन्फ़िगर नहीं किया गया है, एक बनाएँ?"
Bucket,बाल्टी
Disable Sidebar Stats,साइडबार आँकड़े अक्षम करें
Busy,व्यस्त
{0} {1} to {2},{0} {१} से {२}
Create Post,पोस्ट बनाएँ
Printer Mapping,प्रिंटर मैपिंग
Setup &gt; User Permissions,सेटअप&gt; उपयोगकर्ता अनुमतियाँ
"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).","आप सभी के रूप में सिंक विकल्प का चयन कर रहे हैं, यह सभी को पढ़ने और साथ ही सर्वर से अपठित संदेश को फिर से सिंक करेगा। यह संचार (ईमेल) के डुप्लिकेटेशन \ का कारण भी हो सकता है।"
Last synced {0},अंतिम बार {0} सिंक किया गया
Cannot change header content,शीर्ष लेख सामग्री नहीं बदल सकता
Not allowed to change {0} after submission,सबमिट करने के बाद {0} बदलने की अनुमति नहीं है
"The application has been updated to a new version, please refresh this page","एप्लिकेशन को एक नए संस्करण में अपडेट किया गया है, कृपया इस पृष्ठ को ताज़ा करें"
User Image,उपयोगकर्ता छवि
Action Timeout (Seconds),एक्शन टाइमआउट (सेकंड्स)
New updates are available,नए अद्यतन उपलब्ध हैं
Edit Title,शीर्षक संपादित करें
Login Required,लॉगिन आवश्यक
User {0} does not have doctype access via role permission for document {1},उपयोगकर्ता {0} के पास दस्तावेज़ के लिए भूमिका अनुमति के माध्यम से सिद्धांत का उपयोग नहीं है {1}
View Permitted Documents,अनुमत दस्तावेज़ देखें
InnoDB,InnoDB
Select a Brand Image first.,पहले एक ब्रांड इमेज चुनें।
Field {0} of type {1} cannot be mandatory,फ़ील्ड {0} का प्रकार {1} अनिवार्य नहीं हो सकता है
Period,अवधि
Portal Settings,पोर्टल सेटिंग्स
SparkPost,SparkPost
Sidebar Settings,साइडबार सेटिंग्स
Brand,ब्रांड
Insert After,के बाद डालें
{0} is currently viewing this document,{0} वर्तमान में यह दस्तावेज़ देख रहा है
Quarter Day,क्वार्टर डे
QR Code for Login Verification,लॉगिन वेरिफिकेशन के लिए क्यूआर कोड
Already Registered,पहले से पंजीकृत
Show Preview Popup,पूर्वावलोकन पॉपअप दिखाएं
Unzip,खोलना
Order,क्रम
Phone No.,फोन नंबर।
Email not verified with {0},ईमेल {0} से सत्यापित नहीं है
Column Name,आम नाम
API Key,एपीआई कुंजी
Delete comment?,टिप्पणी हटाएं?
Error Message,त्रुटि संदेश
YES,हाँ
Space,अंतरिक्ष
Message ID,मैसेज आई.डी.
Hub Sync ID,हब सिंक आईडी
Apply Strict User Permissions,सख्त उपयोगकर्ता अनुमतियाँ लागू करें
Create,सर्जन करना
{0} is saved,{0} बच गया है
From,से
Not a valid user,मान्य उपयोगकर्ता नहीं है
Headers,हेडर
Token is missing,टोकन गायब है
Item cannot be added to its own descendents,आइटम को अपने वंशजों में नहीं जोड़ा जा सकता है
With Letterhead,लेटरहेड के साथ
Default for {0} must be an option,{0} के लिए डिफ़ॉल्ट एक विकल्प होना चाहिए
0 is highest,0 उच्चतम है
us-east-2,हमें पूर्व-2
list-alt,सूची-alt
Track Email Status,ट्रैक ईमेल की स्थिति
Role Name,भूमिका का नाम
Workflow Document State,वर्कफ़्लो दस्तावेज़ स्थिति
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","वर्कफ़्लो के सभी संभावित वर्कफ़्लो स्टेट्स और भूमिकाएँ। डॉकस्टैटस विकल्प: 0 &quot;सेव्ड&quot; है, 1 &quot;सब्मिट&quot; है और 2 &quot;रद्द&quot; है"
Link Name,लिंक का नाम
Message to be displayed on successful completion (only for Guest users),सफल समापन पर प्रदर्शित होने वाला संदेश (केवल अतिथि उपयोगकर्ताओं के लिए)
Email Account Name,ईमेल खाता नाम
OAuth Provider Settings,OAuth प्रदाता सेटिंग
{0} record deleted,{0} रिकॉर्ड हटा दिया गया
Remove,हटाना
Configure accounts for google calendar,Google कैलेंडर के लिए खातों को कॉन्फ़िगर करें
Currency Name,मुद्रा का नाम
glass,कांच
Raw Email,कच्चा ईमेल
Looks like something is wrong with this site's Paypal configuration.,ऐसा लगता है कि इस साइट के पेपैल कॉन्फ़िगरेशन में कुछ गड़बड़ है।
Online,ऑनलाइन
Go to {0} List,{0} सूची में जाएं
Open {0},{0} खोलें
Activity Log,गतिविधि लॉग
Update,अद्यतन करें
Add Signature,हस्ताक्षर जोड़ें
Lock,ताला
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,उस दस्तावेज़ प्रकार (DocType) का नाम जिसे आप चाहते हैं कि यह फ़ील्ड से जुड़ा होना चाहिए। उदा ग्राहक
Redis cache server not running. Please contact Administrator / Tech support,रेडिस कैश सर्वर नहीं चल रहा है। कृपया प्रशासक / तकनीकी सहायता से संपर्क करें
GitHub,GitHub
Sendgrid,Sendgrid
Add your own Tag Categories,अपनी खुद की टैग श्रेणियाँ जोड़ें
New {} releases for the following apps are available,निम्न एप्लिकेशन के लिए नए {} रिलीज़ उपलब्ध हैं
User permission already exists,उपयोगकर्ता की अनुमति पहले से मौजूद है
Incoming email account not correct,आने वाला ईमेल खाता सही नहीं है
User {0} cannot be renamed,उपयोगकर्ता {0} का नाम नहीं बदला जा सकता है
Remember Last Selected Value,अंतिम चयनित मान को याद रखें
Client Secret,ग्राहक गुप्त
Quick Help for Setting Permissions,अनुमतियाँ सेट करने के लिए त्वरित सहायता
Enable Two Factor Auth,सक्षम दो कारक प्रामाणिक
Warning,चेतावनी
Invalid payment gateway credentials,अमान्य भुगतान गेटवे क्रेडेंशियल
Are you sure you want to relink this communication to {0}?,क्या आप वाकई इस संचार को {0} से मुक्त करना चाहते हैं?
Check this to pull emails from your mailbox,अपने मेलबॉक्स से ईमेल खींचने के लिए यह जांचें
You don't have access to Report: {0},आपके पास रिपोर्ट करने के लिए पहुँच नहीं है: {0}
Keeps track of all communications,सभी संचार का ट्रैक रखता है
Configure Theme,थीम को कॉन्फ़िगर करें
Login not allowed at this time,इस समय लॉगिन की अनुमति नहीं है
It is risky to delete this file: {0}. Please contact your System Manager.,इस फ़ाइल को हटाना जोखिम भरा है: {0}। कृपया अपने सिस्टम मैनेजर से संपर्क करें।
Please ensure that your profile has an email address,कृपया सुनिश्चित करें कि आपके प्रोफ़ाइल में एक ईमेल पता है
Toggle Full Width,पूर्ण चौड़ाई टॉगल करें
Starting Frappe ...,Frappe शुरू ...
Allow Guest to View,अतिथि को देखने की अनुमति दें
Column Break,स्तंभ विराम
Go to {0} Page,{0} पृष्ठ पर जाएं
System,प्रणाली
{0} must be unique,{0} अद्वितीय होना चाहिए
Your payment was successfully accepted,आपका भुगतान सफलतापूर्वक स्वीकार कर लिया गया
Button Label,बटन लेबल
Move,चाल
"SQL Conditions. Example: status=""Open""",एसक्यूएल की स्थिति। उदाहरण: स्थिति = &quot;खुला&quot;
Confirmed,की पुष्टि की
"Field ""route"" is mandatory for Web Views",फ़ील्ड &quot;मार्ग&quot; वेब दृश्यों के लिए अनिवार्य है
Apply,लागू करें
Sender,प्रेषक
Mark as {0},{0} के रूप में चिह्नित करें
Discard,छोड़ना
Select an image of approx width 150px with a transparent background for best results.,सर्वोत्तम परिणामों के लिए एक पारदर्शी पृष्ठभूमि के साथ लगभग चौड़ाई 150px की छवि का चयन करें।
Relapsed,relapsed
Email Sent,ईमेल भेजा
Read by Recipient On,प्राप्तकर्ता पर पढ़ें
Allow user to login only after this hour (0-24),उपयोगकर्ता को इस घंटे (0-24) के बाद ही लॉगिन करने दें
"document type..., e.g. customer","दस्तावेज़ प्रकार ..., उदाहरण के लिए ग्राहक"
Website Theme Image,वेबसाइट थीम छवि
Everyone,हर कोई
You do not have enough review points,आपके पास पर्याप्त समीक्षा बिंदु नहीं हैं
Integration Type,एकीकरण प्रकार
Fieldtype {0} for {1} cannot be unique,फील्डटाइप {0} के लिए {1} अद्वितीय नहीं हो सकता
{0} is mandatory,{0} अनिवार्य है
View Log,लॉग देखें
"Actions for workflow (e.g. Approve, Cancel).","वर्कफ़्लो के लिए क्रियाएँ (जैसे स्वीकृत, रद्द करें)।"
Pick Columns,कॉलम चुनें
Cannot map because following condition fails: ,निम्न स्थिति विफल होने के कारण नक्शा नहीं बनाया जा सकता है:
Sorry! User should have complete access to their own record.,माफ़ कीजिये! उपयोगकर्ता को अपने स्वयं के रिकॉर्ड तक पूरी पहुंच होनी चाहिए।
Try to avoid repeated words and characters,बार-बार शब्दों और पात्रों से बचने की कोशिश करें
Add Comment,टिप्पणी जोड़ें
Emails are muted,ईमेल म्यूट किए गए हैं
{0}: Cannot set Amend without Cancel,{0}: रद्द किए बिना संशोधन सेट नहीं किया जा सकता
old_parent,old_parent
Module to Export,निर्यात करने के लिए मॉड्यूल
Fields,खेत
You are not allowed to print this document,आपको इस दस्तावेज़ को प्रिंट करने की अनुमति नहीं है
Parent,माता-पिता
"Your session has expired, please login again to continue.","आपका सत्र समाप्त हो गया है, कृपया जारी रखने के लिए फिर से लॉगिन करें।"
Priority,प्राथमिकता
click here,यहां क्लिक करे
Wednesday,बुधवार
Additional Permissions,अतिरिक्त अनुमतियाँ
Send Now,अभी भेजो
ASC,एएससी
Both login and password required,लॉगिन और पासवर्ड दोनों की आवश्यकता है
 for {0},{0} के लिए
Cache Cleared,कैश क्लियर हो गया
Energy Points,ऊर्जा अंक
Refreshing...,ताज़ा किया जा रहा ...
This is similar to a commonly used password.,यह आमतौर पर इस्तेमाल किए जाने वाले पासवर्ड के समान है।
Last Point Allocation Date,अंतिम बिंदु आवंटन तिथि
Index,सूची
Is Published Field must be a valid fieldname,क्या प्रकाशित फ़ील्ड एक मान्य फ़ील्ड नाम होना चाहिए
Mapping Name,मानचित्रण नाम
Sorry! I could not find what you were looking for.,माफ़ कीजिये! मुझे वह नहीं मिला जो आप ढूंढ रहे थे।
Please select atleast 1 column from {0} to sort/group,कृपया सॉर्ट / समूह के लिए कम से कम 1 कॉलम को {0} से चुनें
Allow Read On All Link Options,सभी लिंक विकल्पों पर पढ़ें की अनुमति दें
Reset OTP Secret,OTP सीक्रेट रीसेट करें
UPPER CASE,अपरकेस
Please set Email Address,कृपया ईमेल पता सेट करें
Marked As Spam,स्पैम के रूप में चिह्नित
Import Subscribers,आयात करने वाले सदस्य
Jobs,नौकरियां
Save Filter,फ़िल्टर सहेजें
Preferred Shipping Address,पसंदीदा शिपिंग पता
The name that will appear in Google Calendar,वह नाम जो Google कैलेंडर में दिखाई देगा
&gt; {0} year(s) ago,&gt; {0} साल पहले
Disable SMTP server authentication,SMTP सर्वर प्रमाणीकरण अक्षम करें
Total number of emails to sync in initial sync process ,प्रारंभिक सिंक प्रक्रिया में सिंक करने के लिए ईमेल की कुल संख्या
Enable Password Policy,पासवर्ड नीति सक्षम करें
Mobile No,मोबाइल नहीं है
CC,सीसी
Fw: {0},Fw: {0}
Amount must be greater than 0.,राशि 0 से अधिक होनी चाहिए।
Please enter values for App Access Key and App Secret Key,कृपया ऐप एक्सेस कुंजी और ऐप सीक्रेट कुंजी के लिए मान दर्ज करें
Add Unsubscribe Link,अनसब्सक्राइब्ड लिंक जोड़ें
Queued for backup. It may take a few minutes to an hour.,बैकअप के लिए कतारबद्ध। इसमें कुछ मिनट से एक घंटे तक का समय लग सकता है।
Outlook.com,Outlook.com
Submitting,भेजने से
Insert Code,कोड डालें
Not In,अंदर नही
Start Date,आरंभ करने की तिथि
Set Chart,चार्ट सेट करें
My Account,मेरा खाता
Is Published Field,प्रकाशित क्षेत्र है
Set non-standard precision for a Float or Currency field,एक फ्लोट या मुद्रा क्षेत्र के लिए गैर-मानक परिशुद्धता सेट करें
The CSV format is case sensitive,CSV प्रारूप संवेदनशील है
Export Data in CSV / Excel format.,CSV / Excel प्रारूप में डेटा निर्यात करें।
No records present in {0},{0} में मौजूद कोई रिकॉर्ड नहीं
Please select Entity Type first,कृपया पहले Entity Type चुनें
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip: <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> जोड़ें <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> दस्तावेज़ संदर्भ भेजने के लिए
LDAP First Name Field,LDAP पहला नाम फ़ील्ड
