Connector Type,コネクタの種類
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,任意の文字列ベースのプリンタ言語を使用できます。生のコマンドを書くことはプリンター製造業者によって提供されたプリンターの母国語の知識を必要とします。ネイティブコマンドの書き方については、プリンタの製造元から提供されている開発者マニュアルを参照してください。これらのコマンドは、Jinja Templating Languageを使用してサーバー側にレンダリングされます。
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","QZトレイアプリケーションへの接続中にエラーが発生しました... <br><br> Raw Print機能を使用するには、QZトレイアプリケーションをインストールして実行している必要があります。 <br><br> <a href=""https://qz.io/download/"" target=""_blank"">QZトレイをダウンロードしてインストールするには、ここをクリックしてください</a> 。 <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Raw印刷の詳細については、ここをクリックしてください</a> 。"
Please select another payment method. Razorpay does not support transactions in currency '{0}',別の支払い方法を選択してください。 Razorpayは通貨 &#39;{0}&#39;の取引をサポートしていません
User permissions should not apply for this Link,このリンクにはユーザー権限を適用しないでください
Click on the link below to complete your registration and set a new password,下のリンクをクリックして登録を完了し、新しいパスワードを設定してください。
Not allowed to print draft documents,下書き文書を印刷することはできません
Set up rules for user assignments.,ユーザー割り当てのルールを設定します。
Test,テスト
for automatic creating of the recurring document to continue.,定期的な文書を自動的に作成して続行します。
Orange,オレンジ
Enable Outgoing,発信を有効にする
"Naming Options:
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>",命名オプション<ol><li> <b>field：[フィールド名]</b> - フィールド別</li><li> <b>naming_series：</b> -  Naming Seriesによる（naming_seriesというフィールドが存在する必要があります） </li><li> <b>プロンプト</b> - ユーザーに名前の入力を求める</li><li> <b>[series]</b> - プレフィックスによるシリーズ（ドット区切り）。例えば、PREです。 </li><li> <b>形式：例 -  {MM} morewords {fieldname1}  -  {fieldname2}  -  {#####}</b> - すべての中<b>括弧で囲ま</b>れた単語（フィールド名、日付単語（DD、MM、YY）、シリーズ）をそれらの値で置き換えます。中括弧の外側には、任意の文字を使用できます。 </li></ol>
Select Print Format to Edit,編集する印刷フォーマットを選択
New Event,新しいイベント
Scheduled to send to {0} recipients,{0}人の受信者に送信する予定です
Address,住所
Enter keys to enable integration with Google GSuite,Google GSuiteとの統合を可能にするためのキーを入力してください
Open Translation,翻訳を開く
Please do not change the template headings.,テンプレートの見出しを変更しないでください。
End date must be greater than start date,終了日は開始日より後にする必要があります
Merchant ID,販売者ID
Energy Point Rule,エネルギーポイントルール
Please enter Client ID before social login is enabled,ソーシャルログインを有効にする前にクライアントIDを入力してください
Has  Attachment,添付ファイルあり
Email Signature,電子メールの署名
Addresses And Contacts,住所と連絡先
This Kanban Board will be private,このかんばん理事会は非公開になります
Current Mapping,現在のマッピング
Based on Permissions For User,ユーザーの許可に基づく
"You can change Submitted documents by cancelling them and then, amending them.",送信した文書は、取り消してから修正することで変更できます。
Feedback Rating,フィードバック評価
This is the template file generated with only the rows having some error. You should use this file for correction and import.,これは、行のみにエラーがある状態で生成されたテンプレートファイルです。このファイルを修正とインポートに使用してください。
Middle Name (Optional),ミドルネーム（オプション）
Invalid naming series (. missing),無効な命名シリーズ（。欠落）
Help Articles,ヘルプ記事
Retry,リトライ
You have subscribed for one user free plan,1ユーザー無料プランに登録しました
Straight rows of keys are easy to guess,直線のキー列は推測しやすい
User {0} cannot be disabled,ユーザー{0}は無効にできません
Let's avoid repeated words and characters,単語や文字の繰り返しを避けましょう
Condition Detail,条件の詳細
Property Type,物件のタイプ
Sunday,日曜日
Row Status,行ステータス
Portal Menu Item,ポータルメニュー項目
Follow,た
Unable to create bucket: {0}. Change it to a more unique name.,バケットを作成できません：{0}。より一意の名前に変更してください。
Title Case,タイトルケース
You can find things by asking 'find orange in customers',あなたは「顧客にオレンジを見つける」と尋ねることによって物事を見つけることができます
Set custom roles for page and report,ページとレポートにカスタムロールを設定する
Allow,許可する
Reference,参照
Is Mandatory Field,必須項目です
Yahoo Mail,ヤフーメール
User Type,ユーザータイプ
Take Backup Now,今すぐバックアップを取る
Blog,ブログ
Script to attach to all web pages.,すべてのWebページに添付するスクリプト
module name...,モジュール名...
Users with role {0}:,ロール{0}のユーザー：
"Email Domain not configured for this account, Create one?",メールアカウントがこのアカウントに設定されていません。アカウントを作成しますか？
Bucket,バケツ
Disable Sidebar Stats,サイドバー統計を無効にする
Busy,忙しい
{0} {1} to {2},{0} {1}から{2}
Create Post,投稿を作成
Printer Mapping,プリンタマッピング
Setup &gt; User Permissions,設定&gt;ユーザ権限
"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).",あなたはすべてとして同期オプションを選択しています、それはサーバーからの未読メッセージと同様にすべての\読み取りを再同期します。これはコミュニケーションの重複（Eメール）を引き起こすかもしれません。
Last synced {0},最後に同期しました{0}
Cannot change header content,ヘッダの内容を変更することはできません
Not allowed to change {0} after submission,送信後に{0}を変更することはできません
"The application has been updated to a new version, please refresh this page",アプリケーションが新しいバージョンに更新されました。このページを更新してください
User Image,ユーザー画像
Action Timeout (Seconds),アクションタイムアウト（秒）
New updates are available,新しいアップデートが入手可能です
Edit Title,タイトルを編集
Login Required,ログインが必要です
User {0} does not have doctype access via role permission for document {1},ユーザー{0}には、文書{1}のロール許可によるDoctypeアクセス権がありません
View Permitted Documents,許可された書類を見る
InnoDB,InnoDB
Select a Brand Image first.,最初にブランドイメージを選択してください。
Field {0} of type {1} cannot be mandatory,タイプ{1}のフィールド{0}は必須ではありません
Period,期間
Portal Settings,ポータル設定
SparkPost,SparkPost
Sidebar Settings,サイドバー設定
Brand,ブランド
Insert After,後に挿入
{0} is currently viewing this document,{0}は現在この文書を閲覧しています
Quarter Day,四半期の日
QR Code for Login Verification,ログイン確認用のQRコード
Already Registered,すでに登録
Show Preview Popup,プレビューを表示するポップアップ
Unzip,解凍する
Order,注文
Phone No.,電話番号。
Email not verified with {0},メールは{0}で確認されていません
Column Name,列名
API Key,APIキー
Delete comment?,コメントを削除しますか？
Error Message,エラーメッセージ
YES,はい
Space,スペース
Message ID,メッセージID
Hub Sync ID,ハブ同期ID
Apply Strict User Permissions,厳密なユーザー権限を適用する
Create,作成する
{0} is saved,{0}が保存されました
From,から
Not a valid user,有効なユーザーではありません
Headers,ヘッダ
Token is missing,トークンがありません
Item cannot be added to its own descendents,アイテムをそれ自身の子孫に追加することはできません
With Letterhead,レターヘッド付き
Default for {0} must be an option,{0}のデフォルトはオプションでなければなりません
0 is highest,0が最高
us-east-2,米東2
list-alt,リスト代替
Track Email Status,メールステータスの追跡
Role Name,ロール名
Workflow Document State,ワークフロー文書の状態
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",可能なすべてのワークフロー状態とワークフローの役割。 Docstatusのオプション：0は「保存済み」、1は「送信済み」、2は「キャンセル済み」
Link Name,リンク名
Message to be displayed on successful completion (only for Guest users),正常終了時に表示されるメッセージ（ゲストユーザのみ）
Email Account Name,メールアカウント名
OAuth Provider Settings,OAuthプロバイダー設定
{0} record deleted,{0}レコードが削除されました
Remove,削除する
Configure accounts for google calendar,Googleカレンダーのアカウントを設定する
Currency Name,通貨名
glass,ガラス
Raw Email,生メール
Looks like something is wrong with this site's Paypal configuration.,このサイトのPaypalの設定に問題があるようです。
Online,オンライン
Go to {0} List,{0}リストに移動します
Open {0},{0}を開く
Activity Log,活動記録
Update,更新
Add Signature,署名を追加
Lock,ロック
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,このフィールドをリンクさせるドキュメントタイプの名前（DocType）。例：お客様
Redis cache server not running. Please contact Administrator / Tech support,Redisキャッシュサーバーが動作していません。管理者/技術サポートに連絡してください
GitHub,GitHub
Sendgrid,Sendgrid
Add your own Tag Categories,独自のタグカテゴリを追加する
New {} releases for the following apps are available,以下のアプリの新しい{}リリースが利用可能です
User permission already exists,ユーザー権限は既に存在します
Incoming email account not correct,受信メールアカウントが正しくありません
User {0} cannot be renamed,ユーザー{0}の名前を変更できません
Remember Last Selected Value,最後に選択した値を記憶する
Client Secret,クライアントシークレット
Quick Help for Setting Permissions,権限設定のクイックヘルプ
Enable Two Factor Auth,Two Factor認証を有効にする
Warning,警告
Invalid payment gateway credentials,無効な支払いゲートウェイの資格情報
Are you sure you want to relink this communication to {0}?,この通信を{0}に再リンクしますか？
Check this to pull emails from your mailbox,あなたのメールボックスからEメールを引き出すにはこれをチェックしてください
You don't have access to Report: {0},レポートにアクセスできません：{0}
Keeps track of all communications,すべての通信を追跡します
Configure Theme,テーマを設定
Login not allowed at this time,現在ログインは許可されていません
It is risky to delete this file: {0}. Please contact your System Manager.,このファイルを削除するのは危険です：{0}。システム管理者に連絡してください。
Please ensure that your profile has an email address,あなたのプロフィールにEメールアドレスがあることを確認してください
Toggle Full Width,全幅を切り替える
Starting Frappe ...,フラッペを起動しています...
Allow Guest to View,ゲストに閲覧を許可する
Column Break,列区切り
Go to {0} Page,{0}ページに移動する
System,システム
{0} must be unique,{0}は一意である必要があります
Your payment was successfully accepted,お支払いは承認されました
Button Label,ボタンラベル
Move,移動する
"SQL Conditions. Example: status=""Open""",SQL条件例：status = &quot;Open&quot;
Confirmed,確認済み
"Field ""route"" is mandatory for Web Views",フィールド &quot;route&quot;はWebビューには必須です
Apply,適用する
Sender,送信者
Mark as {0},{0}としてマーク
Discard,捨てる
Select an image of approx width 150px with a transparent background for best results.,最良の結果を得るには、背景が透明な約幅150ピクセルの画像を選択してください。
Relapsed,再発
Email Sent,メール送信
Read by Recipient On,受信者による読み取り
Allow user to login only after this hour (0-24),この時間（0-24）以降にのみユーザーにログインを許可する
"document type..., e.g. customer",伝票タイプ...、例：得意先
Website Theme Image,ウェブサイトのテーマ画像
Everyone,みんな
You do not have enough review points,レビューポイントが足りません
Integration Type,統合タイプ
Fieldtype {0} for {1} cannot be unique,{1}のフィールドタイプ{0}は一意にできません
{0} is mandatory,{0}は必須です
View Log,ビュー・ログ
"Actions for workflow (e.g. Approve, Cancel).",ワークフローに対するアクション（承認、キャンセルなど）。
Pick Columns,ピックコラム
Cannot map because following condition fails: ,次の条件に失敗したため、マッピングできません。
Sorry! User should have complete access to their own record.,ごめんなさい！ユーザーは自分のレコードに完全にアクセスできる必要があります。
Try to avoid repeated words and characters,単語や文字の繰り返しを避けるようにしてください
Add Comment,コメントを追加
Emails are muted,メールがミュートになっている
{0}: Cannot set Amend without Cancel,{0}：キャンセルしないと修正を設定できません
old_parent,old_parent
Module to Export,エクスポートするモジュール
Fields,フィールド
You are not allowed to print this document,この文書を印刷することは許可されていません
Parent,親
"Your session has expired, please login again to continue.",あなたのセッションは期限が切れています、続行するためにもう一度ログインしてください。
Priority,優先度
click here,ここをクリック
Wednesday,水曜日
Additional Permissions,追加の権限
Send Now,今すぐ送る
ASC,ASC
Both login and password required,ログインとパスワードの両方が必要
 for {0},{0}の場合
Cache Cleared,キャッシュクリア
Energy Points,エネルギーポイント
Refreshing...,さわやか...
This is similar to a commonly used password.,これは一般的に使用されるパスワードに似ています。
Last Point Allocation Date,最終ポイント割当日
Index,索引
Is Published Field must be a valid fieldname,公開フィールドは有効なフィールド名である必要があります
Mapping Name,マッピング名
Sorry! I could not find what you were looking for.,ごめんなさい！探しているものが見つかりませんでした。
Please select atleast 1 column from {0} to sort/group,並べ替え/グループ化するには{0}から少なくとも1列を選択してください
Allow Read On All Link Options,すべてのリンクで読み取りを許可するオプション
Reset OTP Secret,OTPシークレットをリセットする
UPPER CASE,上部ケース
Please set Email Address,メールアドレスを設定してください
Marked As Spam,スパムとしてマーク
Import Subscribers,加入者のインポート
Jobs,仕事
Save Filter,フィルタを保存
Preferred Shipping Address,希望の配送先住所
The name that will appear in Google Calendar,Googleカレンダーに表示される名前
&gt; {0} year(s) ago,&gt; {0}年前
Disable SMTP server authentication,SMTPサーバー認証を無効にする
Total number of emails to sync in initial sync process ,初期同期プロセスで同期する電子メールの総数
Enable Password Policy,パスワードポリシーを有効にする
Mobile No,携帯電話番号
CC,CC
Fw: {0},Fw：{0}
Amount must be greater than 0.,金額は0より大きくなければなりません。
Please enter values for App Access Key and App Secret Key,App Access KeyとApp Secret Keyの値を入力してください
Add Unsubscribe Link,購読解除リンクを追加
Queued for backup. It may take a few minutes to an hour.,バックアップ待ち数分から1時間かかることがあります。
Outlook.com,Outlook.com
Submitting,送信中
Insert Code,コードを挿入
Not In,ありませんで
Start Date,開始日
Set Chart,チャートを設定
My Account,マイアカウント
Is Published Field,公開フィールド
Set non-standard precision for a Float or Currency field,浮動小数点数フィールドまたは通貨フィールドに非標準の精度を設定する
The CSV format is case sensitive,CSV形式では大文字と小文字が区別されます
Export Data in CSV / Excel format.,CSV / Excel形式でデータをエクスポートします。
No records present in {0},{0}にレコードが存在しません
Please select Entity Type first,最初にエンティティタイプを選択してください
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ヒント：ドキュメント参照を送信するための<code>Reference: {{ reference_doctype }} {{ reference_name }}</code>を追加します
LDAP First Name Field,LDAP名フィールド
Default Sending and Inbox,デフォルトの送信と受信トレイ
"For updating, you can update only selective columns.",更新する場合は、選択列のみを更新できます。
Default for 'Check' type of field must be either '0' or '1',&#39;Check&#39;タイプのフィールドのデフォルトは &#39;0&#39;または &#39;1&#39;でなければなりません
Share this document with,この文書を共有する
Print Hide,印刷する
Text,テキスト
User Field,ユーザーフィールド
Google Calendar ID,GoogleカレンダーID
Reverted,元に戻す
Edit to add content,コンテンツを追加するための編集
Bulk Update,一括更新
Secret Access Key,秘密のアクセスキー
You need to be in developer mode to edit a Standard Web Form,標準Webフォームを編集するには、開発者モードになっている必要があります。
Logout from all devices while changing Password,パスワードを変更しながらすべてのデバイスからログアウトする
Skip Authorization,承認をスキップする
Public,パブリック
Following fields have missing values:,以下のフィールドには欠損値があります。
after_insert,after_insert
Make Default,デフォルトにする
Refresh,更新する
Edit DocType,DocTypeを編集
"""Company History""",「会社の歴史」
Use the field to filter records,フィールドを使用してレコードをフィルタリングします
Brute Force Security,ブルートフォースセキュリティ
Cannot move row,行を移動できません
pause,一時停止
Low,低い
Role Permissions,ロール権限
Sent/Received Email,送受信メール
Permission Levels,許可レベル
Add Another Comment,別のコメントを追加
You have {0} days left in your subscription,あなたの登録には{0}日が残っています
"Once submitted, submittable documents cannot be changed. They can only be Cancelled and Amended.",一度提出された提出可能な文書は変更することができません。キャンセルと修正のみ可能です。
Allow approval for creator of the document,ドキュメント作成者の承認を許可
Complete,コンプリート
See all past reports.,過去の報告をすべて見る。
Newsletter has already been sent,ニュースレターはすでに送信されています
Print Settings,印刷設定
Categorize blog posts.,ブログ記事を分類する。
Last IP,最後のIP
One of,の一つ
Cannot send this email. You have crossed the sending limit of {0} emails for this month.,このメールを送信できません。今月のメール送信制限{0}を超えました。
Domains HTML,ドメインHTML
Blog Settings,ブログ設定
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores",DocTypeの名前は文字で始める必要があり、それは文字、数字、スペース、および下線のみで構成できます。
Integrations can use this field to set email delivery status,インテグレーションはこのフィールドを使用してEメール配信ステータスを設定できます。
Stripe payment gateway settings,ストライプ支払いゲートウェイ設定
Fonts,フォント
Channel,チャネル
Opened,開いた
Conditions,条件
Don't have an account? Sign up,アカウントを持っていませんか？サインアップ
Added {0},{0}を追加しました
Create and Send Newsletters,ニュースレターを作成して送信する
Footer Items,フッターアイテム
Website Slideshow Item,ウェブサイトのスライドショー項目
Register OAuth Client App,OAuthクライアントアプリを登録する
Frames,フレーム
List View Setting,リストビュー設定
Data Export,データエクスポート
Depends On,に依存
Widths can be set in px or %.,幅はpxまたは％で設定できます。
Address and other legal information you may want to put in the footer.,フッターに入れるアドレスやその他の法的情報
Document Type is not importable,文書タイプはインポートできません
User {0} does not have access to this document,ユーザー{0}はこの文書にアクセスできません
User Name,ユーザー名
UIDVALIDITY,UIDVALIDITY
via automatic rule {0} on {1},{1}の自動ルール{0}を介して
You are not connected to Internet. Retry after sometime.,あなたはインターネットに接続していません。しばらくしてから再試行してください。
Transition Rules,移行ルール
resize-vertical,垂直方向のサイズ変更
Shared With,と共有
Add Row,行を追加する
th-list,番目のリスト
Subdomain,サブドメイン
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field",HTMLはしないでください。&lt;script&gt;のようなHTMLタグ、または&lt;や&gt;のような文字は、このフィールドで意図的に使用される可能性があるため、エンコードしないでください。
; not allowed in condition,;条件で許可されていません
Two Factor Authentication method,二要素認証方式
New Message from Website Contact Page,Webサイトの連絡先ページからの新しいメッセージ
"Your download is being built, this may take a few moments...",あなたのダウンロードは構築されています、これは少し時間がかかるかもしれません...
Compact Item Print,コンパクトアイテム印刷
Lft,左
align-justify,整列揃え
Saving...,保存しています...
Error Report,エラーレポート
{0} changed {1} to {2},{0}が{1}を{2}に変更しました
Active,アクティブ
Export Report: {0},エクスポートレポート：{0}
"Login session expired, refresh page to retry",ログインセッションが期限切れです。ページを更新して再試行してください
System Manager,システム管理者
Short keyboard patterns are easy to guess,短いキーボードパターンは推測しやすい
Enable Incoming,着信を有効にする
"Level 0 is for document level permissions, \
								higher levels for field level permissions.",レベル0はドキュメントレベルの権限、\レベルはフィールドレベルの権限です。
City/Town,市/町
GMail,GMail
"This will reset your current theme, are you sure you want to continue?",これで現在のテーマがリセットされます。続行しますか？
Mandatory fields required in {0},{0}に必須のフィールド
Error while connecting to email account {0},メールアカウント{0}への接続中にエラーが発生しました
An error occured while creating recurring,繰り返しの作成中にエラーが発生しました
Not a zip file,zipファイルではありません
Port,港
Invalid Access Key ID or Secret Access Key.,無効なアクセスキーIDまたはシークレットアクセスキーです。
Redirect URIs,リダイレクトURI
Font,フォント
Text Color,テキストの色
I found these: ,私はこれらを見つけました：
Timeline DocType,タイムラインDocType
File,ファイル
Insert After cannot be set as {0},後挿入は{0}に設定できません
Drag elements from the sidebar to add. Drag them back to trash.,サイドバーから要素をドラッグして追加します。ゴミ箱にドラッグします。
Chat Profile for User {0} exists.,ユーザー{0}のチャットプロフィールが存在します。
Default Role at Time of Signup,申し込み時のデフォルトの役割
Table MultiSelect,テーブルマルチセレクト
Form Settings,フォーム設定
{0} self assigned this task: {1},{0}がこのタスクを自己割り当てしました：{1}
Relapses,再発
Notify users with a popup when they log in,ログイン時にポップアップでユーザーに通知する
Restrict user for specific document,特定の文書に対してユーザーを制限する
App Name,アプリ名
Delayed,遅延
Your subscription has expired.,あなたの購読は期限が切れました。
Download Link,ダウンロードリンク
"Standard DocType cannot have default print format, use Customize Form",標準のDocTypeにはデフォルトの印刷フォーマットを指定できません。フォームのカスタマイズを使用してください。
Document States,文書の状態
Next,次
Pull Insert,プルインサート
minus,マイナス
Event Category,イベントカテゴリ
Columns based on,に基づく列
Edit Heading,見出しを編集
Received,受け取った
You are not permitted to access this page.,このページにアクセスすることは許可されていません。
User Social Login,ユーザーのソーシャルログイン
Write a Python file in the same folder where this is saved and return column and result.,これが保存されているのと同じフォルダーにPythonファイルを書き込み、列と結果を返します。
Purchase Manager,購入マネージャ
"target = ""_blank""",target = &quot;_blank&quot;
New data will be inserted.,新しいデータが挿入されます。
Set Banner from Image,画像からバナーを設定
Prepared Report,作成済みレポート
Not allowed to print cancelled documents,キャンセルされた文書を印刷することはできません
Cannot delete {0} as it has child nodes,子ノードがあるため{0}を削除できません
Incorrect value in row {0}: {1} must be {2} {3},行{0}の値が正しくありません：{1}は{2} {3}である必要があります
Communicated via {0} on {1}: {2},{1}の{0}を介して通信しました：{2}
Plant,工場
Update Field,更新フィールド
Message-id,メッセージID
Login Verification Code from {},{}からのログイン確認コード
Width of the input box,入力ボックスの幅
for generating the recurring,繰り返しを生成するための
Payment Cancelled,支払いがキャンセルされました
Percent Complete,完了率
Repeat on Day,日に繰り返す
Home Address,自宅住所
Developer,開発者
"Company is mandatory, as it is your company address",会社の住所なので、会社は必須です。
Wrong fieldname <b>{0}</b> in add_fetch configuration of custom script,カスタムスクリプトのadd_fetch構成に誤ったフィールド名<b>{0}</b>があります
Time in seconds to retain QR code image on server. Min:<strong>240</strong>,サーバーにQRコード画像を保持する秒数。分： <strong>240</strong>
Home/Test Folder 2,ホーム/テストフォルダー2
You have a new message from: ,あなたからの新しいメッセージがあります。
{0} in row {1} cannot have both URL and child items,行{1}の{0}には、URL項目と子項目の両方を含めることはできません
Purple,紫の
Throttled,スロットル
Defines workflow states and rules for a document.,ドキュメントのワークフローの状態と規則を定義します。
Is Manual,手動です
Error Snapshot,エラースナップショット
Tag,タグ
SUB-,サブ-
Files,ファイル
Parameter,パラメータ
