Connector Type,Type de connecteur
Please verify your Email Address,Veuillez vérifier votre adresse e-mail
About Us Settings,À propos de nous
Avoid sequences like abc or 6543 as they are easy to guess,Évitez les séquences comme abc ou 6543 car elles sont faciles à deviner
Email Account not setup. Please create a new Email Account from Setup &gt; Email &gt; Email Account,Compte de messagerie non configuré. Veuillez créer un nouveau compte de messagerie depuis Configuration&gt; E-mail&gt; Compte de messagerie
Insert Below,Insérer ci-dessous
Error in Custom Script,Erreur dans le script personnalisé
Please specify which date field must be checked,Veuillez spécifier quel champ de date doit être coché
Feedback,Retour d&#39;information
"Invalid ""depends_on"" expression",Expression &quot;depend_on&quot; non valide
Session Expired,La session a expiré
Sent Read Receipt,Confirmation de lecture envoyée
Tools,Outils
Contacts,Contacts
Document Share Report,Rapport de partage de documents
Filter List,Liste de filtrage
Notification Tones,Tonalités de notification
You have used up all of the space allotted to you. Please buy more space in your subscription.,Vous avez utilisé tout l’espace qui vous est alloué. S&#39;il vous plaît acheter plus d&#39;espace dans votre abonnement.
"Expression, Optional","Expression, facultative"
Mandatory Information missing:,Informations obligatoires manquantes:
DocType is a Table / Form in the application.,DocType est une table / formulaire dans l&#39;application.
Primary,Primaire
Setup Reports to be emailed at regular intervals,Les rapports de configuration doivent être envoyés par courrier électronique à intervalles réguliers
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.",Vous semblez avoir écrit votre nom à la place de votre email. \ S&#39;il vous plaît entrer une adresse email valide afin que nous puissions revenir.
Website Settings,Paramètres du site
Background Email Queue,File d&#39;attente de messagerie en arrière-plan
{0} and {1},{0} et {1}
There was an error saving filters,Une erreur s&#39;est produite lors de l&#39;enregistrement des filtres
Enter your password,Tapez votre mot de passe
Cannot delete Home and Attachments folders,Impossible de supprimer les dossiers Accueil et Pièces jointes
Settings for Contact Us Page,Paramètres de la page Contactez-nous
Social Login Provider,Fournisseur de connexion sociale
Previous Hash,Hash précédent
Value Changed,Valeur modifiée
Report Type,Type de rapport
Default Address Template cannot be deleted,Le modèle d&#39;adresse par défaut ne peut pas être supprimé
Please set script URL on Gsuite Settings,Veuillez définir l&#39;URL du script dans les paramètres de Gsuite.
Invalid limit {0},Limite invalide {0}
No of emails remaining to be synced,Nombre d&#39;emails restant à synchroniser
User ID,Identifiant d&#39;utilisateur
Website,Site Internet
sa-east-1,sa-est-1
Notification Recipient,Destinataire de la notification
Module,Module
Address Type,Type d&#39;adresse
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.","Si cette case est cochée, les lignes contenant des données valides seront importées et les lignes non valides seront vidées dans un nouveau fichier à importer ultérieurement."
Error Log,Journal des erreurs
Half,Moitié
Home Page,Page d&#39;accueil
Current Mapping Start,Début de la cartographie actuelle
eye-close,à proximité des yeux
Assignment closed by {0},Affectation clôturée le {0}
Next Date's day and Repeat on Day of Month must be equal,Le jour de la prochaine date et le jour du mois doivent être identiques
Comments cannot have links or email addresses,Les commentaires ne peuvent pas avoir de liens ou d&#39;adresses électroniques
Reference Communication,Communication de référence
Mandatory:,Obligatoire:
Setting up your system,Configurer votre système
Payment Failed,Paiement échoué
Read,Lis
SSL/TLS Mode,Mode SSL / TLS
Print Format Help,Format d&#39;impression Aide
Between,Entre
Thank you for your interest in subscribing to our updates,Merci de votre intérêt pour vous abonner à nos mises à jour
Full Name,Nom complet
Allow GCalendar Access,Autoriser l&#39;accès à GCalendar
Reset Permissions for {0}?,Réinitialiser les autorisations pour {0}?
Start entering data below this line,Commencez à saisir des données en dessous de cette ligne
UNSEEN,INVISIBLE
JS,JS
All-uppercase is almost as easy to guess as all-lowercase.,Tout en majuscule est presque aussi facile à deviner que tout en minuscule.
Cannot use sub-query in order by,Impossible d&#39;utiliser la sous-requête dans l&#39;ordre par
Transaction Log Report,Rapport du journal des transactions
Is Global,Est global
Options Help,Aide sur les options
Is Sent,Est envoyé
Transaction Log,Journal des transactions
eu-west-3,eu-west-3
Complete Setup,Configuration complète
OTP Secret has been reset. Re-registration will be required on next login.,OTP Secret a été réinitialisé. Une nouvelle inscription sera nécessaire lors de la prochaine connexion.
In List View,Dans la liste
Feedback Trigger,Déclencheur de feedback
Confirm,Confirmer
Valid email and name required,Email valide et nom requis
List of patches executed,Liste des patchs exécutés
Email Queue,File d&#39;attente email
View Website,Voir le site web
Fetch If Empty,Chercher si vide
Select,Sélectionner
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","Entrez les champs de valeur par défaut (clés) et les valeurs. Si vous ajoutez plusieurs valeurs pour un champ, la première sera sélectionnée. Ces valeurs par défaut sont également utilisées pour définir des règles de permission &quot;de correspondance&quot;. Pour voir la liste des champs, allez à &quot;Personnaliser le formulaire&quot;."
Section Heading,Tête de section
Avoid dates and years that are associated with you.,Évitez les dates et les années qui vous sont associées.
Press Enter to save,Appuyez sur Entrée pour enregistrer
Reviews,Avis
State,Etat
Translation,Traduction
Columns,Les colonnes
Cannot change docstatus from 1 to 0,Impossible de changer docstatus de 1 à 0
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,Tous les langages d&#39;impression basés sur des chaînes peuvent être utilisés. L&#39;écriture de commandes brutes nécessite la connaissance de la langue maternelle de l&#39;imprimante fournie par le fabricant de l&#39;imprimante. Veuillez vous reporter au manuel du développeur fourni par le fabricant de l’imprimante pour savoir comment écrire leurs commandes natives. Ces commandes sont rendues côté serveur à l&#39;aide du langage de templates Jinja.
Please select another payment method. Razorpay does not support transactions in currency '{0}',Veuillez sélectionner un autre mode de paiement. Razorpay ne prend pas en charge les transactions dans la devise &#39;{0}&#39;
User permissions should not apply for this Link,Les autorisations utilisateur ne doivent pas s&#39;appliquer pour ce lien
Click on the link below to complete your registration and set a new password,Cliquez sur le lien ci-dessous pour compléter votre inscription et définir un nouveau mot de passe.
Not allowed to print draft documents,Non autorisé à imprimer des brouillons
Set up rules for user assignments.,Définissez des règles pour les affectations d&#39;utilisateurs.
Test,Tester
for automatic creating of the recurring document to continue.,pour la création automatique du document récurrent à continuer.
Orange,Orange
Enable Outgoing,Activer le courrier sortant
"Naming Options:
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","Options de dénomination: <ol><li> <b>champ: [nom du champ]</b> - Par champ </li><li> <b>naming_series:</b> - En nommant des séries (le champ appelé naming_series doit être présent) </li><li> <b>Invite</b> - Demander à l&#39;utilisateur un nom </li><li> <b>[série]</b> - Série par préfixe (séparés par un point); par exemple PRE. ##### </li><li> <b>format: EXAMPLE- {MM} morewords {nom du champ1} - {nom du champ2} - {#####}</b> - Remplace tous les mots entre accolades (noms de champs, mots de date (JJ, MM, AA), série) par leur valeur. En dehors des accolades, tous les caractères peuvent être utilisés. </li></ol>"
Select Print Format to Edit,Sélectionnez le format d&#39;impression à modifier
New Event,Nouvel évènement
Scheduled to send to {0} recipients,Envoi programmé à {0} destinataires
Address,Adresse
Enter keys to enable integration with Google GSuite,Entrez les clés pour activer l&#39;intégration avec Google GSuite
Open Translation,Traduction ouverte
Please do not change the template headings.,Veuillez ne pas changer les en-têtes de modèles.
End date must be greater than start date,La date de fin doit être supérieure à la date de début
Merchant ID,Identification du marchand
Energy Point Rule,Règle de point d&#39;énergie
Please enter Client ID before social login is enabled,Veuillez entrer votre identifiant client avant l&#39;activation de la connexion sociale.
Has  Attachment,A l&#39;attachement
Email Signature,Signature électronique
Addresses And Contacts,Adresses Et Contacts
This Kanban Board will be private,Ce conseil Kanban sera privé
Current Mapping,Cartographie actuelle
Based on Permissions For User,Basé sur les autorisations pour l&#39;utilisateur
"You can change Submitted documents by cancelling them and then, amending them.",Vous pouvez modifier les documents soumis en les annulant puis en les modifiant.
Feedback Rating,Note d&#39;évaluation
This is the template file generated with only the rows having some error. You should use this file for correction and import.,Ceci est le fichier de modèle généré avec uniquement les lignes ayant une erreur. Vous devez utiliser ce fichier pour la correction et l’importation.
Middle Name (Optional),Prénom (facultatif)
Invalid naming series (. missing),Série de noms non valide (. Manquant)
Help Articles,Articles d&#39;aide
Retry,Réessayez
You have subscribed for one user free plan,Vous avez souscrit un forfait gratuit pour un utilisateur
Straight rows of keys are easy to guess,Des rangées de touches droites faciles à deviner
User {0} cannot be disabled,L&#39;utilisateur {0} ne peut pas être désactivé
Let's avoid repeated words and characters,Évitons les mots et les caractères répétés
Condition Detail,Détail de la condition
Property Type,Type de propriété
Sunday,dimanche
Row Status,État de la ligne
Portal Menu Item,Élément de menu du portail
Follow,Suivre
Unable to create bucket: {0}. Change it to a more unique name.,Impossible de créer un compartiment: {0}. Changez-le en un nom plus unique.
Title Case,Titre Case
You can find things by asking 'find orange in customers',Vous pouvez trouver des choses en demandant &#39;trouver l&#39;orange chez les clients&#39;
Set custom roles for page and report,Définir des rôles personnalisés pour la page et le rapport
Allow,Permettre
Reference,Référence
Is Mandatory Field,Est un champ obligatoire
Yahoo Mail,yahoo Mail
User Type,Type d&#39;utilisateur
Take Backup Now,Faire une sauvegarde maintenant
Blog,Blog
Script to attach to all web pages.,Script à joindre à toutes les pages Web.
module name...,nom du module ...
Users with role {0}:,Utilisateurs avec le rôle {0}:
"Email Domain not configured for this account, Create one?","Domaine de messagerie non configuré pour ce compte, en créer un?"
Bucket,Seau
Disable Sidebar Stats,Désactiver les statistiques de la barre latérale
Busy,Occupé
{0} {1} to {2},{0} {1} à {2}
Create Post,Créer un message
Printer Mapping,Cartographie d&#39;imprimante
"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).","Vous sélectionnez l&#39;option Sync comme étant ALL, cela va resynchroniser tous les messages \ read ainsi que les messages non lus du serveur. Cela peut également entraîner la duplication \ de la communication (courriels)."
Last synced {0},Dernière synchronisation {0}
Cannot change header content,Impossible de modifier le contenu de l&#39;en-tête
Not allowed to change {0} after submission,Non autorisé à changer {0} après la soumission
"The application has been updated to a new version, please refresh this page","L&#39;application a été mise à jour vers une nouvelle version, veuillez actualiser cette page."
User Image,Image utilisateur
Action Timeout (Seconds),Délai d&#39;attente de l&#39;action (secondes)
New updates are available,Nouvelles mises à jour sont disponibles
Edit Title,Modifier le titre
Login Required,Connexion requise
User {0} does not have doctype access via role permission for document {1},L&#39;utilisateur {0} n&#39;a pas d&#39;accès au type de document via l&#39;autorisation de rôle pour le document {1}.
View Permitted Documents,Afficher les documents autorisés
InnoDB,InnoDB
Select a Brand Image first.,Sélectionnez d&#39;abord une image de marque.
Period,Période
Portal Settings,Paramètres du portail
SparkPost,SparkPost
Sidebar Settings,Paramètres de la barre latérale
Brand,Marque
Insert After,Insérer après
{0} is currently viewing this document,{0} consulte actuellement ce document
Quarter Day,Jour du terme
QR Code for Login Verification,Code QR pour la vérification de la connexion
Already Registered,Déjà enregistré
Show Preview Popup,Afficher l&#39;aperçu Popup
Unzip,Décompressez
Order,Ordre
Phone No.,Pas de téléphone.
Email not verified with {0},Email non vérifié avec {0}
Column Name,Nom de colonne
API Key,clé API
Delete comment?,Supprimer le commentaire?
Error Message,Message d&#39;erreur
YES,OUI
Space,Espace
Message ID,ID du message
Hub Sync ID,ID de synchronisation du hub
Apply Strict User Permissions,Appliquer des autorisations utilisateur strictes
Create,Créer
{0} is saved,{0} est enregistré
From,De
Not a valid user,Pas un utilisateur valide
Headers,En-têtes
Token is missing,Le jeton est manquant
Item cannot be added to its own descendents,L&#39;élément ne peut pas être ajouté à ses propres descendants
With Letterhead,Avec en-tête
Default for {0} must be an option,La valeur par défaut pour {0} doit être une option.
0 is highest,0 est le plus élevé
us-east-2,us-east-2
list-alt,list-alt
Track Email Status,Suivi du statut de l&#39;e-mail
Role Name,Nom de rôle
Workflow Document State,Etat du document de workflow
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Tous les états et les rôles possibles du flux de travail. Options Docstatus: 0 correspond à &quot;Enregistré&quot;, 1 correspond à &quot;Soumis&quot; et 2 correspond à &quot;Annulé&quot;."
Link Name,Nom du lien
Message to be displayed on successful completion (only for Guest users),Message à afficher en cas de réussite (uniquement pour les utilisateurs invités)
Email Account Name,Nom du compte de messagerie
OAuth Provider Settings,Paramètres du fournisseur OAuth
{0} record deleted,{0} enregistrement supprimé
Remove,Retirer
Configure accounts for google calendar,Configurer les comptes pour Google Agenda
Currency Name,Nom de la monnaie
glass,verre
Raw Email,Email brut
Looks like something is wrong with this site's Paypal configuration.,On dirait que quelque chose ne va pas avec la configuration Paypal de ce site.
Online,En ligne
Go to {0} List,Aller à la liste {0}
Open {0},Ouvrir {0}
Activity Log,Journal d&#39;activité
Update,Mettre à jour
Add Signature,Ajouter une signature
Lock,Fermer à clé
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,Nom du type de document (DocType) auquel vous souhaitez associer ce champ. par exemple le client
Redis cache server not running. Please contact Administrator / Tech support,Le serveur de cache Redis ne fonctionne pas. S&#39;il vous plaît contacter l&#39;administrateur / support technique
GitHub,GitHub
Sendgrid,Sendgrid
Add your own Tag Categories,Ajoutez vos propres catégories de tags
New {} releases for the following apps are available,De nouvelles {} versions pour les applications suivantes sont disponibles
User permission already exists,La permission de l&#39;utilisateur existe déjà
Incoming email account not correct,Le compte de messagerie entrant n&#39;est pas correct
User {0} cannot be renamed,L&#39;utilisateur {0} ne peut pas être renommé.
Remember Last Selected Value,Se souvenir de la dernière valeur sélectionnée
Client Secret,Secret du client
Quick Help for Setting Permissions,Aide rapide pour la définition des autorisations
Enable Two Factor Auth,Activer l&#39;authentification à deux facteurs
Warning,Attention
Invalid payment gateway credentials,Identifiants de passerelle de paiement invalides
Are you sure you want to relink this communication to {0}?,Êtes-vous sûr de vouloir relier cette communication à {0}?
Check this to pull emails from your mailbox,Cochez cette case pour extraire des emails de votre boîte aux lettres
You don't have access to Report: {0},Vous n&#39;avez pas accès au rapport: {0}
Keeps track of all communications,Garder une trace de toutes les communications
Configure Theme,Configurer le thème
Login not allowed at this time,Connexion non autorisée pour le moment
It is risky to delete this file: {0}. Please contact your System Manager.,Il est risqué de supprimer ce fichier: {0}. Veuillez contacter votre responsable système.
Please ensure that your profile has an email address,Veuillez vous assurer que votre profil a une adresse email.
Toggle Full Width,Basculer sur toute la largeur
Starting Frappe ...,Frappe à partir de ...
Allow Guest to View,Autoriser l&#39;invité à voir
Column Break,Saut de colonne
Go to {0} Page,Aller à la page {0}
System,Système
{0} must be unique,{0} doit être unique
Your payment was successfully accepted,Votre paiement a été accepté avec succès
Button Label,Étiquette du bouton
Move,Bouge toi
"SQL Conditions. Example: status=""Open""",Conditions SQL. Exemple: status = &quot;Open&quot;
Confirmed,Confirmé
"Field ""route"" is mandatory for Web Views",Le champ &quot;route&quot; est obligatoire pour les vues Web.
Apply,Appliquer
Sender,Expéditeur
Mark as {0},Marquer comme {0}
Discard,Jeter
Select an image of approx width 150px with a transparent background for best results.,Sélectionnez une image d&#39;environ 150 pixels de large avec un arrière-plan transparent pour de meilleurs résultats.
Relapsed,Rechute
Email Sent,Email envoyé
Read by Recipient On,Lu par le destinataire sur
Allow user to login only after this hour (0-24),Autoriser l&#39;utilisateur à se connecter uniquement après cette heure (0-24)
"document type..., e.g. customer","type de document ..., par exemple client"
Website Theme Image,Image de thème de site Web
Everyone,Toutes les personnes
You do not have enough review points,Vous n&#39;avez pas assez de points d&#39;examen
Integration Type,Type d&#39;intégration
{0} is mandatory,{0} est obligatoire
View Log,Voir le journal
"Actions for workflow (e.g. Approve, Cancel).","Actions pour le flux de travail (par exemple, Approuver, Annuler)."
Pick Columns,Choisir des colonnes
Cannot map because following condition fails: ,Impossible de mapper car la condition suivante échoue:
Sorry! User should have complete access to their own record.,Pardon! L&#39;utilisateur doit avoir un accès complet à son propre dossier.
Try to avoid repeated words and characters,Essayez d&#39;éviter les mots et les caractères répétés
Add Comment,Ajouter un commentaire
Emails are muted,Les emails sont en sourdine
{0}: Cannot set Amend without Cancel,{0}: Impossible de définir Modifier sans annuler
old_parent,vieux_parent
Module to Export,Module à exporter
Fields,Des champs
You are not allowed to print this document,Vous n&#39;êtes pas autorisé à imprimer ce document
Parent,Parent
"Your session has expired, please login again to continue.","Votre session a expiré, veuillez vous reconnecter pour continuer."
Priority,Priorité
click here,cliquez ici
Wednesday,Mercredi
Additional Permissions,Autorisations supplémentaires
Send Now,Envoyer maintenant
{0}: Field {1} of type {2} cannot be mandatory,{0}: le champ {1} de type {2} ne peut pas être obligatoire
ASC,ASC
Both login and password required,Identifiant et mot de passe requis
 for {0},pour {0}
Cache Cleared,Cache effacé
Energy Points,Points d&#39;énergie
Refreshing...,Rafraîchissant...
This is similar to a commonly used password.,Ceci est similaire à un mot de passe couramment utilisé.
Last Point Allocation Date,Date d&#39;attribution du dernier point
Index,Indice
Is Published Field must be a valid fieldname,Est le champ publié doit être un nom de champ valide
Mapping Name,Nom de la cartographie
Sorry! I could not find what you were looking for.,Pardon! Je ne trouvais pas ce que vous cherchiez.
Please select atleast 1 column from {0} to sort/group,Veuillez sélectionner au moins 1 colonne de {0} pour trier / grouper
Allow Read On All Link Options,Autoriser toutes les options de lien Lire
Reset OTP Secret,Réinitialiser le secret d&#39;OTP
UPPER CASE,UPPER CASE
Please set Email Address,S&#39;il vous plaît définir l&#39;adresse e-mail
Marked As Spam,Marqué comme spam
Import Subscribers,Abonnés d&#39;importation
Save Filter,Enregistrer le filtre
Preferred Shipping Address,Adresse de livraison préférée
The name that will appear in Google Calendar,Le nom qui apparaîtra dans Google Agenda
Disable SMTP server authentication,Désactiver l&#39;authentification du serveur SMTP
Total number of emails to sync in initial sync process ,Nombre total d&#39;e-mails à synchroniser dans le processus de synchronisation initial
Enable Password Policy,Activer la politique de mot de passe
Mobile No,Numéro de mobile
CC,CC
Fw: {0},Fw: {0}
Amount must be greater than 0.,Le montant doit être supérieur à 0.
Please enter values for App Access Key and App Secret Key,Veuillez saisir des valeurs pour la clé d&#39;accès et la clé secrète de l&#39;application
Add Unsubscribe Link,Ajouter un lien de désabonnement
Queued for backup. It may take a few minutes to an hour.,Mis en file d&#39;attente pour la sauvegarde. Cela peut prendre quelques minutes à une heure.
Outlook.com,Outlook.com
Submitting,Soumission
Insert Code,Insérer le code
Not In,Pas dedans
Start Date,Date de début
Set Chart,Set Chart
My Account,Mon compte
Is Published Field,Est le champ publié
Set non-standard precision for a Float or Currency field,Définir une précision non standard pour un champ Float ou Currency
The CSV format is case sensitive,Le format CSV est sensible à la casse
Export Data in CSV / Excel format.,Exporter des données au format CSV / Excel.
No records present in {0},Aucun enregistrement présent dans {0}
Please select Entity Type first,Veuillez sélectionner d&#39;abord le type d&#39;entité
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip: Ajouter une <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> pour envoyer une référence à un document
LDAP First Name Field,Champ Prénom LDAP
Default Sending and Inbox,Envoi et boîte de réception par défaut
"For updating, you can update only selective columns.","Pour la mise à jour, vous ne pouvez mettre à jour que des colonnes sélectives."
Default for 'Check' type of field must be either '0' or '1',"Par défaut, le type de champ «Vérifier» doit être «0» ou «1»."
Share this document with,Partagez ce document avec
Print Hide,Imprimer Masquer
Text,Texte
User Field,Champ de l&#39;utilisateur
Google Calendar ID,Identifiant Google Agenda
Reverted,Inversé
Edit to add content,Modifier pour ajouter du contenu
Bulk Update,Mise à jour en vrac
Secret Access Key,Clé d&#39;accès secrète
You need to be in developer mode to edit a Standard Web Form,Vous devez être en mode développeur pour modifier un formulaire Web standard.
Logout from all devices while changing Password,Déconnexion de tous les appareils en changeant le mot de passe
Skip Authorization,Ignorer l&#39;autorisation
Public,Publique
Following fields have missing values:,Les champs suivants ont des valeurs manquantes:
after_insert,after_insert
Make Default,Faire défaut
Refresh,Rafraîchir
Edit DocType,Modifier le type de document
"""Company History""",&quot;Histoire de l&#39;entreprise&quot;
Brute Force Security,Sécurité de la force brute
Cannot move row,Impossible de déplacer la ligne
pause,pause
Low,Faible
Role Permissions,Autorisations de rôle
Sent/Received Email,Email envoyé / reçu
Permission Levels,Niveaux de permission
Add Another Comment,Ajouter un autre commentaire
You have {0} days left in your subscription,Il vous reste {0} jours dans votre abonnement
"Once submitted, submittable documents cannot be changed. They can only be Cancelled and Amended.","Une fois soumis, les documents à soumettre ne peuvent plus être modifiés. Ils ne peuvent être annulés et amendés."
Allow approval for creator of the document,Autoriser l&#39;approbation du créateur du document
Complete,Achevée
See all past reports.,Voir tous les rapports passés.
Newsletter has already been sent,La lettre d&#39;information a déjà été envoyée
Print Settings,Paramètres d&#39;impression
Categorize blog posts.,Classer les articles de blog.
Last IP,Dernière adresse
One of,Un des
Cannot send this email. You have crossed the sending limit of {0} emails for this month.,Impossible d&#39;envoyer cet email. Vous avez dépassé la limite d&#39;envoi de {0} emails pour ce mois.
Domains HTML,Domaines HTML
Blog Settings,Paramètres du blog
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores","Le nom de DocType doit commencer par une lettre et il ne peut contenir que des lettres, des chiffres, des espaces et des traits de soulignement."
Integrations can use this field to set email delivery status,Les intégrations peuvent utiliser ce champ pour définir le statut de livraison du courrier électronique.
Stripe payment gateway settings,Paramètres de la passerelle de paiement Stripe
Fonts,Les polices
Channel,Canal
Opened,Ouvert
Conditions,Conditions
Don't have an account? Sign up,Vous n&#39;avez pas de compte? S&#39;inscrire
Added {0},Ajouté {0}
Create and Send Newsletters,Créer et envoyer des newsletters
Footer Items,Articles de pied de page
Website Slideshow Item,Article de diaporama de site Web
Register OAuth Client App,Enregistrer l&#39;application client OAuth
Frames,Cadres
List View Setting,Réglage de la vue liste
Data Export,Exportation de données
Depends On,Dépend de
Widths can be set in px or %.,Les largeurs peuvent être définies en px ou%.
Address and other legal information you may want to put in the footer.,Adresse et autres informations juridiques que vous voudrez peut-être mettre dans le pied de page.
Document Type is not importable,Le type de document n&#39;est pas importable
User {0} does not have access to this document,L&#39;utilisateur {0} n&#39;a pas accès à ce document.
User Name,Nom d&#39;utilisateur
UIDVALIDITY,UIDVALIDITY
via automatic rule {0} on {1},via la règle automatique {0} sur {1}
You are not connected to Internet. Retry after sometime.,Vous n&#39;êtes pas connecté à Internet. Réessayez après quelque temps.
Transition Rules,Règles de transition
resize-vertical,redimensionner verticalement
Shared With,Partagé avec
Add Row,Ajouter une rangée
th-list,th-liste
Subdomain,Sous-domaine
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Ne pas coder HTML Les balises HTML telles que &lt;script&gt; ou uniquement les caractères tels que &lt;ou&gt;, car elles pourraient être utilisées intentionnellement dans ce champ."
; not allowed in condition,; non autorisé en condition
Two Factor Authentication method,Méthode d&#39;authentification à deux facteurs
New Message from Website Contact Page,Nouveau message de la page de contact du site Web
Compact Item Print,Impression d&#39;article compacte
Lft,Lft
align-justify,aligner-justifier
Saving...,Économie...
Error Report,Rapport d&#39;erreur
{0} changed {1} to {2},{0} remplacé {1} par {2}
Active,actif
Export Report: {0},Rapport d&#39;exportation: {0}
"Login session expired, refresh page to retry","La session de connexion a expiré, actualisez la page pour réessayer"
System Manager,Gestionnaire de système
Short keyboard patterns are easy to guess,Les modèles de clavier courts sont faciles à deviner
Enable Incoming,Activer entrants
"Level 0 is for document level permissions, \
								higher levels for field level permissions.","Le niveau 0 concerne les autorisations au niveau du document, \ les niveaux supérieurs pour les autorisations au niveau du champ."
City/Town,Ville
GMail,Gmail
"This will reset your current theme, are you sure you want to continue?","Cela réinitialisera votre thème actuel, êtes-vous sûr de vouloir continuer?"
Mandatory fields required in {0},Champs obligatoires obligatoires dans {0}
Error while connecting to email account {0},Erreur lors de la connexion au compte de messagerie {0}.
An error occured while creating recurring,Une erreur est survenue lors de la création récurrente
Not a zip file,Pas un fichier zip
Port,Port
Invalid Access Key ID or Secret Access Key.,ID de clé d&#39;accès ou clé d&#39;accès invalide.
Redirect URIs,Rediriger les URI
Font,Police de caractère
Text Color,Couleur du texte
I found these: ,J&#39;ai trouvé ceux-ci:
Timeline DocType,Type de document Timeline
File,Fichier
Insert After cannot be set as {0},Insérer après ne peut pas être défini comme {0}
Drag elements from the sidebar to add. Drag them back to trash.,Faites glisser les éléments de la barre latérale pour les ajouter. Ramenez-les dans la corbeille.
Chat Profile for User {0} exists.,Le profil de discussion pour l&#39;utilisateur {0} existe.
Default Role at Time of Signup,Rôle par défaut au moment de l&#39;inscription
Table MultiSelect,Tableau MultiSelect
Form Settings,Paramètres de formulaire
{0} self assigned this task: {1},{0} a lui-même attribué cette tâche: {1}
Relapses,Les rechutes
Notify users with a popup when they log in,Avertir les utilisateurs avec une popup lorsqu&#39;ils se connectent
Restrict user for specific document,Restreindre l&#39;utilisateur pour un document spécifique
App Name,Nom de l&#39;application
Delayed,Différé
Your subscription has expired.,Votre abonnement a expiré.
Download Link,Lien de téléchargement
"Standard DocType cannot have default print format, use Customize Form","Le type de document standard ne peut pas avoir le format d&#39;impression par défaut, utilisez Personnaliser le formulaire"
Document States,États du document
Next,Suivant
Pull Insert,Tirez Insert
minus,moins
