Connector Type,કનેક્ટર પ્રકાર
You have used up all of the space allotted to you. Please buy more space in your subscription.,તમે ફાળવેલ બધી જગ્યાનો ઉપયોગ કર્યો છે. કૃપા કરીને તમારા સબ્સ્ક્રિપ્શનમાં વધુ સ્થાન ખરીદો.
"Expression, Optional","અભિવ્યક્તિ, વૈકલ્પિક"
Mandatory Information missing:,ફરજિયાત માહિતી ખૂટે છે:
DocType is a Table / Form in the application.,ડોકટાઇપ એ એપ્લિકેશનમાં કોષ્ટક / ફોર્મ છે.
Primary,પ્રાથમિક
Setup Reports to be emailed at regular intervals,સેટઅપ અહેવાલો નિયમિત અંતરાલો પર ઇમેઇલ કરવા માટે
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.",એવું લાગે છે કે તમે તમારા ઇમેઇલની જગ્યાએ તમારું નામ લખ્યું છે. \ કૃપા કરી કોઈ માન્ય ઇમેઇલ સરનામું દાખલ કરો જેથી કરીને અમે પાછા આવી શકીએ.
Website Settings,વેબસાઇટ સેટિંગ્સ
Background Email Queue,પૃષ્ઠભૂમિ ઇમેઇલ કતાર
{0} and {1},{0} અને {1}
There was an error saving filters,ફિલ્ટર્સ સાચવવામાં ભૂલ આવી હતી
Enter your password,તમારો પાસવર્ડ નાખો
Success! You are good to go ?,સફળતા! તમે to જવા માટે સારા છો
Cannot delete Home and Attachments folders,ઘર અને જોડાણો ફોલ્ડર્સને કાઢી શકતા નથી
Settings for Contact Us Page,અમારો સંપર્ક પાનું માટે સેટિંગ્સ
Social Login Provider,સમાજ લૉગિન પ્રદાતા
Previous Hash,ગત હેશ
Value Changed,મૂલ્ય બદલ્યું
Report Type,અહેવાલ પ્રકાર
Default Address Template cannot be deleted,ડિફૉલ્ટ એડ્રેસ ટેમ્પલેટ કાઢી શકાતો નથી
Please set script URL on Gsuite Settings,કૃપા કરીને જીએસ્યુઇટી સેટિંગ્સ પર સ્ક્રિપ્ટ URL ને સેટ કરો
Invalid limit {0},અમાન્ય મર્યાદા {0}
No of emails remaining to be synced,સમન્વયિત કરવા માટે બાકી ઇમેઇલ્સ નથી
User ID,વપરાશકર્તા આઈડી
Website,વેબસાઇટ
sa-east-1,સા-પૂર્વ -1
Notification Recipient,સૂચના પ્રાપ્તકર્તા
Module,મોડ્યુલ
Address Type,સરનામાંનો પ્રકાર
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.","જો આ ચેક કરેલું છે, તો માન્ય ડેટાવાળી પંક્તિઓ આયાત કરવામાં આવશે અને પછીથી આયાત કરવા માટે અમાન્ય પંક્તિઓને નવી ફાઇલમાં ડમ્પ કરવામાં આવશે."
Fieldname {0} appears multiple times in rows {1},ક્ષેત્રના નામ {0} પંક્તિઓમાં અનેક વખત દેખાય છે {1}
Error Log,ક્ષતિ લૉગ
Half,અડધો
Home Page,હોમ પેજ
Current Mapping Start,વર્તમાન મેપિંગ પ્રારંભ કરો
eye-close,આંખની નજીક
Assignment closed by {0},સોંપણી {0} દ્વારા બંધ
Next Date's day and Repeat on Day of Month must be equal,આગામી તારીખનો દિવસ અને મહિનાનો દિવસ પુનરાવર્તન સમાન હોવો આવશ્યક છે
Comments cannot have links or email addresses,ટિપ્પણીઓમાં લિંક્સ અથવા ઇમેઇલ સરનામાંઓ હોઈ શકતી નથી
Reference Communication,સંદર્ભ સંચાર
Mandatory:,ફરજિયાત:
Setting up your system,તમારી સિસ્ટમ સુયોજિત કરી રહ્યા છે
Payment Failed,ચુકવણી નિષ્ફળ
Read,વાંચવું
SSL/TLS Mode,એસએસએલ / ટીએલએસ મોડ
Print Format Help,પ્રિન્ટ ફોર્મેટ સહાય
Between,વચ્ચે
Thank you for your interest in subscribing to our updates,અમારા અપડેટ્સમાં સબ્સ્ક્રાઇબ કરવામાં તમારી રુચિ બદલ આભાર
Full Name,પૂરું નામ
Allow GCalendar Access,જી કેલેન્ડર એક્સેસને મંજૂરી આપો
Reset Permissions for {0}?,{0} માટે પરવાનગી ફરીથી સેટ કરીએ?
Start entering data below this line,આ રેખા નીચે ડેટા દાખલ કરવાનું પ્રારંભ કરો
UNSEEN,યુનાઈટેડ
JS,જેએસ
All-uppercase is almost as easy to guess as all-lowercase.,ઓલ-અપરકેસ બધા નાના-નાના અક્ષરો તરીકે અનુમાન લગાવવા જેટલું સરળ છે.
Cannot use sub-query in order by,દ્વારા સબ-ક્વેરીનો ઉપયોગ કરી શકાતો નથી
Transaction Log Report,ટ્રાન્ઝેક્શન લોગ રિપોર્ટ
Is Global,વૈશ્વિક છે
Options Help,વિકલ્પો મદદ
Is Sent,મોકલવામાં આવે છે
Transaction Log,ટ્રાંઝેક્શન લોગ
eu-west-3,યુ-વેસ્ટ -3
Complete Setup,પૂર્ણ સેટઅપ
OTP Secret has been reset. Re-registration will be required on next login.,OTP સિક્રેટ ફરીથી સેટ કરવામાં આવ્યું છે. આગામી લૉગિન પર ફરીથી નોંધણી આવશ્યક છે.
In List View,સૂચિ દૃશ્યમાં
Feedback Trigger,પ્રતિક્રિયા ટ્રિગર
Confirm,પુષ્ટિ કરો
Valid email and name required,માન્ય ઇમેઇલ અને નામ આવશ્યક છે
List of patches executed,અમલમાં પેચોની સૂચિ
Email Queue,ઇમેઇલ કતાર
View Website,વેબસાઇટ જુઓ
Fetch If Empty,ખાલી જો મેળવો
Select,પસંદ કરો
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","ડિફૉલ્ટ મૂલ્ય ફીલ્ડ્સ (કીઓ) અને મૂલ્યો દાખલ કરો. જો તમે કોઈ ક્ષેત્ર માટે બહુવિધ મૂલ્યો ઉમેરો છો, તો પ્રથમ પસંદ કરવામાં આવશે. આ ડિફોલ્ટ્સનો ઉપયોગ &quot;મેચ&quot; પરવાનગી નિયમોને સેટ કરવા માટે પણ થાય છે. ક્ષેત્રોની સૂચિ જોવા માટે, &quot;કસ્ટમાઇઝ કરો ફોર્મ&quot; પર જાઓ."
Section Heading,વિભાગ મથાળું
Avoid dates and years that are associated with you.,તમારી સાથે સંકળાયેલ તારીખો અને વર્ષો ટાળો.
Press Enter to save,સેવ કરવા માટે Enter દબાવો
Reviews,સમીક્ષાઓ
State,રાજ્ય
Translation,અનુવાદ
Columns,કૉલમ
Cannot change docstatus from 1 to 0,1 થી 0 ડોકસ્ટેટસ બદલી શકતા નથી
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,કોઈપણ સ્ટ્રિંગ-આધારિત પ્રિંટર ભાષાઓનો ઉપયોગ કરી શકાય છે. કાચા આદેશો લખવા માટે પ્રિંટર ઉત્પાદક દ્વારા પ્રદાન કરેલ પ્રિંટરની મૂળ ભાષાના જ્ઞાનની જરૂર છે. કૃપા કરીને પ્રિન્ટર નિર્માતા દ્વારા પ્રદાન કરેલ વિકાસકર્તા માર્ગદર્શિકાનો સંદર્ભ લો કે કેવી રીતે તેમના મૂળ આદેશો લખવા. આ આદેશો જીનજા ટેમ્પ્લટીંગ ભાષાનો ઉપયોગ કરીને સર્વર બાજુ પર પ્રસ્તુત કરવામાં આવે છે.
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","QZ ટ્રે એપ્લિકેશનથી કનેક્ટ કરવામાં ભૂલ ... <br><br> કાચો પ્રિંટ સુવિધાનો ઉપયોગ કરવા માટે તમારે QZ ટ્રે એપ્લિકેશન ઇન્સ્ટોલ અને ચાલુ કરવાની જરૂર છે. <br><br> <a href=""https://qz.io/download/"" target=""_blank"">QZ ટ્રે ડાઉનલોડ અને ઇન્સ્ટોલ કરવા માટે અહીં ક્લિક કરો</a> . <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">કાચો છાપવા વિશે વધુ જાણવા માટે અહીં ક્લિક કરો</a> ."
Please select another payment method. Razorpay does not support transactions in currency '{0}',કૃપા કરીને બીજી ચુકવણી પદ્ધતિ પસંદ કરો. રજપોર્પે ચલણ &#39;{0}&#39; માં ટ્રાન્ઝેક્શનને ટેકો આપતો નથી
User permissions should not apply for this Link,આ લિંક માટે વપરાશકર્તા પરવાનગીઓ અરજી કરવી જોઈએ નહીં
Click on the link below to complete your registration and set a new password,તમારી નોંધણી પૂર્ણ કરવા અને નવું પાસવર્ડ સેટ કરવા માટે નીચેની લિંક પર ક્લિક કરો
Not allowed to print draft documents,ડ્રાફ્ટ દસ્તાવેજો છાપવાની મંજૂરી નથી
Set up rules for user assignments.,વપરાશકર્તા સોંપણીઓ માટે નિયમો સુયોજિત કરો.
Test,પરીક્ષણ
for automatic creating of the recurring document to continue.,ચાલુ રાખવા માટે રિકરિંગ ડોક્યુમેન્ટના સ્વચાલિત બનાવટ માટે.
Orange,નારંગી
Enable Outgoing,આઉટગોઇંગ સક્ષમ કરો
"Naming Options:
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","નામકરણ વિકલ્પો <ol><li> <b>ક્ષેત્ર: [ફીલ્ડનામ]</b> - ફીલ્ડ દ્વારા </li><li> <b>નામકરણ_સરીઝ:</b> - નામકરણ શ્રેણી દ્વારા (નામકરણ_સરીઝ નામનું ક્ષેત્ર હાજર હોવું આવશ્યક છે </li><li> <b>પ્રોમ્પ્ટ</b> - નામ માટે પ્રોમ્પ્ટ વપરાશકર્તા </li><li> <b>[શ્રેણી]</b> - ઉપસર્ગ દ્વારા <b>શ્રેણી</b> (કોઈ બિંદુ દ્વારા અલગ); ઉદાહરણ તરીકે PRE. ##### </li><li> <b>ફોર્મેટ: EXAMPLE- {એમએમ} વધુ શબ્દો {fieldname1} - {fieldname2} - {#####}</b> - તેમના મૂલ્ય સાથે બધા બ્રેસ્ડ શબ્દો (ક્ષેત્રના નામ, તારીખ શબ્દો (ડીડી, એમએમ, વાયવાય), શ્રેણી) બદલો. બાહ્ય કૌંસ, કોઈપણ અક્ષરોનો ઉપયોગ કરી શકાય છે. </li></ol>"
Select Print Format to Edit,સંપાદન કરવા માટે પ્રિંટ ફોર્મેટ પસંદ કરો
New Event,નવી ઇવેન્ટ
Scheduled to send to {0} recipients,{0} પ્રાપ્તકર્તાઓને મોકલવાનું શેડ્યૂલ કરેલું છે
Address,સરનામું
Enter keys to enable integration with Google GSuite,Google GSuite સાથે એકીકરણને સક્ષમ કરવા માટે કીઝ દાખલ કરો
Open Translation,ઓપન ટ્રાન્સલેશન
Please do not change the template headings.,કૃપા કરીને ટેમ્પલેટ શીર્ષકોને બદલશો નહીં.
End date must be greater than start date,સમાપ્તિ તારીખ પ્રારંભ તારીખ કરતાં વધુ હોવી આવશ્યક છે
Merchant ID,વેપારી ID
Energy Point Rule,એનર્જી પોઇન્ટ નિયમ
Please enter Client ID before social login is enabled,કૃપા કરીને સામાજિક લૉગિન સક્ષમ થાય તે પહેલાં ક્લાયંટ ID દાખલ કરો
Has  Attachment,જોડાણ છે
Email Signature,ઇમેઇલ હસ્તાક્ષર
Addresses And Contacts,સરનામા અને સંપર્કો
This Kanban Board will be private,આ કાનબન બોર્ડ ખાનગી રહેશે
Current Mapping,વર્તમાન મેપિંગ
Based on Permissions For User,વપરાશકર્તા માટે પરવાનગી પર આધારિત છે
"You can change Submitted documents by cancelling them and then, amending them.",તમે તેમને રદ કરીને અને પછી તેને રદ કરીને સબમિટ કરેલા દસ્તાવેજો બદલી શકો છો.
Feedback Rating,પ્રતિક્રિયા રેટિંગ
This is the template file generated with only the rows having some error. You should use this file for correction and import.,આ એક નમૂનાવાળી ફાઇલ છે જે ફક્ત કેટલીક પંક્તિઓથી બનાવેલી છે જે કેટલીક ભૂલ છે. તમારે આ ફાઇલનો ઉપયોગ સુધારણા અને આયાત માટે કરવો જોઈએ.
Middle Name (Optional),મધ્ય નામ (વૈકલ્પિક)
Invalid naming series (. missing),અમાન્ય નામકરણ શ્રેણી (ખૂટે છે)
Help Articles,સહાય લેખો
Retry,ફરી પ્રયાસ કરો
You have subscribed for one user free plan,તમે એક વપરાશકર્તા મફત યોજના માટે સબ્સ્ક્રાઇબ કર્યું છે
Straight rows of keys are easy to guess,કીઓની સીધી પંક્તિઓ અનુમાન કરવા માટે સરળ છે
User {0} cannot be disabled,વપરાશકર્તા {0} અક્ષમ કરી શકાતું નથી
Let's avoid repeated words and characters,ચાલો વારંવાર શબ્દો અને અક્ષરોને ટાળીએ
Condition Detail,કંડિશન વિગતવાર
Property Type,સંપત્તિનો પ્રકાર
Sunday,રવિવાર
Row Status,પંક્તિ સ્થિતિ
Portal Menu Item,પોર્ટલ મેનુ વસ્તુ
Follow,અનુસરો
Unable to create bucket: {0}. Change it to a more unique name.,બકેટ બનાવવામાં અસમર્થ: {0}. તેને વધુ અનન્ય નામમાં બદલો.
Title Case,શીર્ષક કેસ
You can find things by asking 'find orange in customers',તમે &#39;ગ્રાહકોમાં નારંગી શોધવા&#39; કહીને વસ્તુઓ શોધી શકો છો.
Set custom roles for page and report,પૃષ્ઠ અને રિપોર્ટ માટે કસ્ટમ ભૂમિકાઓ સેટ કરો
Allow,મંજૂરી આપો
Reference,સંદર્ભ
Is Mandatory Field,ફરજિયાત ક્ષેત્ર છે
Yahoo Mail,યાહૂ મેલ
User Type,વપરાશકર્તા પ્રકાર
Take Backup Now,હવે બેકઅપ લો
Blog,બ્લોગ
Script to attach to all web pages.,બધા વેબ પૃષ્ઠોને જોડવા માટે સ્ક્રિપ્ટ.
module name...,મોડ્યુલ નામ ...
Users with role {0}:,ભૂમિકા સાથેના વપરાશકર્તાઓ {0}:
"Email Domain not configured for this account, Create one?","ઇમેઇલ ડોમેન આ એકાઉન્ટ માટે ગોઠવેલ નથી, એક બનાવો?"
Bucket,ડોલ
Disable Sidebar Stats,સાઇડબાર આંકડા અક્ષમ કરો
Busy,વ્યસ્ત
{0} {1} to {2},{0} {1} થી {2}
Create Post,પોસ્ટ બનાવો
Printer Mapping,પ્રિન્ટર મેપિંગ
Setup &gt; User Permissions,સેટઅપ&gt; વપરાશકર્તા પરવાનગીઓ
"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).","તમે બધા તરીકે સમન્વયન વિકલ્પ પસંદ કરી રહ્યાં છો, તે બધા \ વાંચેલા તેમજ સર્વરથી ન વાંચેલા સંદેશને ફરીથી ગોઠવશે. આનાથી સંચાર (ઇમેઇલ્સ) નું ડુપ્લિકેશન પણ થઈ શકે છે."
Last synced {0},છેલ્લે સમન્વયિત {0}
Cannot change header content,હેડર સામગ્રી બદલી શકતા નથી
Not allowed to change {0} after submission,સબમિટ કર્યા પછી {0} ને બદલવાની મંજૂરી નથી
"The application has been updated to a new version, please refresh this page","એપ્લિકેશનને નવા સંસ્કરણ પર અપડેટ કરવામાં આવી છે, કૃપા કરીને આ પૃષ્ઠને ફરીથી તાજું કરો"
User Image,વપરાશકર્તા છબી
Action Timeout (Seconds),ઍક્શન ટાઈમઆઉટ (સેકન્ડ્સ)
New updates are available,નવા અપડેટ્સ ઉપલબ્ધ છે
Edit Title,શીર્ષક સંપાદિત કરો
Login Required,લૉગિન આવશ્યક છે
User {0} does not have doctype access via role permission for document {1},વપરાશકર્તા {0} પાસે દસ્તાવેજ માટે રોલ પરવાનગી દ્વારા ડૉક્ટાઇપ ઍક્સેસ નથી {1}
View Permitted Documents,પરવાનગી દસ્તાવેજો જુઓ
InnoDB,InnoDB
Select a Brand Image first.,પ્રથમ બ્રાન્ડ છબી પસંદ કરો.
Field {0} of type {1} cannot be mandatory,પ્રકાર {0} પ્રકાર {0} ફરજિયાત નથી
Period,સમયગાળો
Portal Settings,પોર્ટલ સેટિંગ્સ
SparkPost,સ્પાર્કપોસ્ટ
Sidebar Settings,સાઇડબાર સેટિંગ્સ
Brand,બ્રાન્ડ
Insert After,પછી શામેલ કરો
{0} is currently viewing this document,{0} હાલમાં આ દસ્તાવેજ જોઈ રહ્યું છે
Quarter Day,ક્વાર્ટર ડે
QR Code for Login Verification,લૉગિન ચકાસણી માટે QR કોડ
Already Registered,પહેલેથી નોંધાયેલ છે
Show Preview Popup,પૂર્વદર્શન પોપઅપ બતાવો
Unzip,અનઝિપ
Order,ઓર્ડર
Phone No.,ફોન નંબર
Email not verified with {0},ઇમેઇલ {0} સાથે ચકાસાયેલ નથી
Column Name,કૉલમ નામ
API Key,API કી
Delete comment?,ટિપ્પણી કાઢી નાખો?
Error Message,ક્ષતી સંદેશ
YES,હા
Space,જગ્યા
Message ID,સંદેશ ID
Hub Sync ID,હબ સમન્વયન ID
Apply Strict User Permissions,સખત વપરાશકર્તા પરવાનગીઓ લાગુ કરો
Create,બનાવો
{0} is saved,{0} સાચવ્યું છે
From,પ્રતિ
Not a valid user,માન્ય વપરાશકર્તા નથી
Headers,હેડર
Token is missing,ટોકન ખૂટે છે
Item cannot be added to its own descendents,આઇટમ તેના પોતાના વંશજોમાં ઉમેરી શકાતી નથી
With Letterhead,લેટરહેડ સાથે
Default for {0} must be an option,{0} માટે ડિફૉલ્ટ એક વિકલ્પ હોવું આવશ્યક છે
0 is highest,0 સૌથી વધુ છે
us-east-2,યુ-ઇસ્ટ -2
list-alt,સૂચિ-ઑલ્ટ
Track Email Status,ઇમેઇલ સ્થિતિ ટ્રૅક કરો
Role Name,રોલ નામ
Workflow Document State,વર્કફ્લો દસ્તાવેજ રાજ્ય
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","બધા શક્ય વર્કફ્લો સ્ટેટ્સ અને વર્કફ્લો ની ભૂમિકા. ડોક્સ્ટેટસ વિકલ્પો: 0 એ &quot;સાચવ્યું&quot; છે, 1 &quot;સબમિટ કરેલું&quot; છે અને 2 &quot;રદ કરેલું છે&quot;"
Link Name,લિંક નામ
Message to be displayed on successful completion (only for Guest users),સફળ સમાપ્તિ પર દર્શાવવા માટે સંદેશ (ફક્ત ગેસ્ટ વપરાશકર્તાઓ માટે)
Email Account Name,ઇમેઇલ એકાઉન્ટ નામ
OAuth Provider Settings,ઑથ પ્રદાતા સેટિંગ્સ
{0} record deleted,{0} રેકોર્ડ કાઢી નાખ્યો
Remove,દૂર કરો
Configure accounts for google calendar,ગૂગલ કૅલેન્ડર માટે એકાઉન્ટ્સ રૂપરેખાંકિત કરો
Currency Name,ચલણ નામ
glass,ગ્લાસ
Raw Email,કાચો ઇમેઇલ
Looks like something is wrong with this site's Paypal configuration.,એવું લાગે છે કે આ સાઇટના પેપલ ગોઠવણીમાં કંઈક ખોટું છે.
Online,ઑનલાઇન
Go to {0} List,{0} સૂચિ પર જાઓ
Open {0},ખુલ્લું {0}
Activity Log,પ્રવૃત્તિ લૉગ
Update,સુધારો
Add Signature,હસ્તાક્ષર ઉમેરો
Lock,લૉક કરો
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,ડોક્યુમેન્ટ પ્રકાર (ડોકટાઇપ) નું નામ તમે આ ક્ષેત્રને લિંક કરવા માંગો છો. દા.ત. ગ્રાહક
Redis cache server not running. Please contact Administrator / Tech support,રેડિસ કેશ સર્વર ચાલી રહ્યું નથી. કૃપા કરીને એડમિનિસ્ટ્રેટર / ટેક સપોર્ટનો સંપર્ક કરો
GitHub,ગિથબબ
Sendgrid,Sendgrid
Add your own Tag Categories,તમારી પોતાની ટેગ શ્રેણીઓ ઉમેરો
New {} releases for the following apps are available,નીચેની એપ્લિકેશનો માટે નવી {} રીલિઝેસ ઉપલબ્ધ છે
User permission already exists,વપરાશકર્તા પરવાનગી પહેલાથી જ અસ્તિત્વમાં છે
Incoming email account not correct,આવનારી ઇમેઇલ એકાઉન્ટ સાચી નથી
User {0} cannot be renamed,વપરાશકર્તા {0} નું નામ બદલી શકાતું નથી
Remember Last Selected Value,છેલ્લું પસંદ કરેલ મૂલ્ય યાદ રાખો
Client Secret,ક્લાઈન્ટ સિક્રેટ
Quick Help for Setting Permissions,પરવાનગીઓ સેટ કરવા માટે ઝડપી સહાય
Enable Two Factor Auth,બે ફેક્ટર Auth સક્ષમ કરો
Warning,ચેતવણી
Invalid payment gateway credentials,અમાન્ય ચુકવણી ગેટવે ઓળખપત્રો
Are you sure you want to relink this communication to {0}?,શું તમે ખરેખર આ સંચારને {0} પર ફરીથી લિંક કરવા માંગો છો?
Check this to pull emails from your mailbox,તમારા મેઇલબોક્સમાંથી ઇમેઇલ્સ ખેંચવા માટે આને તપાસો
You don't have access to Report: {0},તમારી પાસે રિપોર્ટની ઍક્સેસ નથી: {0}
Keeps track of all communications,બધા સંચારનો ટ્રેક રાખે છે
Configure Theme,થીમ રૂપરેખાંકિત કરો
Login not allowed at this time,આ સમયે લૉગિનની મંજૂરી નથી
It is risky to delete this file: {0}. Please contact your System Manager.,આ ફાઇલને કાઢી નાખવું જોખમી છે: {0}. કૃપા કરીને તમારા સિસ્ટમ મેનેજરનો સંપર્ક કરો.
Please ensure that your profile has an email address,કૃપા કરીને ખાતરી કરો કે તમારી પ્રોફાઇલમાં ઇમેઇલ સરનામું છે
Toggle Full Width,પૂર્ણ પહોળાઈ ટૉગલ કરો
Starting Frappe ...,ફ્રાપ શરૂ કરી રહ્યું છે ...
Allow Guest to View,ગેસ્ટને જોવાની મંજૂરી આપો
Column Break,કૉલમ બ્રેક
Go to {0} Page,{0} પૃષ્ઠ પર જાઓ
System,સિસ્ટમ
{0} must be unique,{0} અનન્ય હોવું આવશ્યક છે
Your payment was successfully accepted,તમારી ચુકવણી સફળતાપૂર્વક સ્વીકારવામાં આવી
Button Label,બટન લેબલ
Move,ખસેડો
"SQL Conditions. Example: status=""Open""",એસક્યુએલ શરતો. ઉદાહરણ: સ્થિતિ = &quot;ખોલો&quot;
Confirmed,પુષ્ટિ
"Field ""route"" is mandatory for Web Views",વેબ દૃશ્યો માટે ક્ષેત્ર &quot;રૂટ&quot; ફરજિયાત છે
Apply,અરજી કરો
Sender,પ્રેષક
Mark as {0},{0} તરીકે માર્ક કરો
Discard,કાઢી નાખો
Select an image of approx width 150px with a transparent background for best results.,શ્રેષ્ઠ પરિણામો માટે પારદર્શક પૃષ્ઠભૂમિ સાથે આશરે 150px ની છબી પસંદ કરો.
Relapsed,ફરીથી ભરાઈ ગયું
Email Sent,ઇમેઇલ મોકલાય ગયો
Read by Recipient On,પ્રાપ્તકર્તા દ્વારા વાંચો
Allow user to login only after this hour (0-24),આ કલાક પછી માત્ર વપરાશકર્તાને પ્રવેશ કરવાની મંજૂરી આપો (0-24)
"document type..., e.g. customer","દસ્તાવેજ પ્રકાર ..., દા.ત. ગ્રાહક"
Website Theme Image,વેબસાઇટ થીમ છબી
Everyone,દરેક
You do not have enough review points,તમારી પાસે પર્યાપ્ત સમીક્ષા બિંદુઓ નથી
Integration Type,એકીકરણ પ્રકાર
Fieldtype {0} for {1} cannot be unique,{1} માટે ફીલ્ડટાઇપ {0} અનન્ય હોઈ શકતી નથી
{0} is mandatory,{0} ફરજિયાત છે
View Log,લૉગ જુઓ
