th-list,th-liste
hand-down,hånden ned
Cannot delete {0} as it has child nodes,Kan ikke slette {0} som det har barnnoder
Select File Format,Velg Filformat
Applicable For,Aktuelt for
Outlook.com,Outlook.com
Please verify your Email Address,Vennligst bekreft e-postadressen din
Source Name,Kildenavn
Remember Last Selected Value,Husk sist valgt verdi
YES,JA
Default for 'Check' type of field must be either '0' or '1',Standard for &#39;Sjekk&#39; type felt må være enten &#39;0&#39; eller &#39;1&#39;
Certificate,Sertifikat
Please enter Client ID before social login is enabled,Vennligst skriv inn kunde-ID før sosial pålogging er aktivert
Rules defining transition of state in the workflow.,Regler som definerer overgang av stat i arbeidsflyten.
Session Expiry must be in format {0},Sesjonens utløp må være i format {0}
Filter Values,Filtrer verdier
Filters Display,Filtre Skjerm
Energy Points,Energipunkter
Settings for Contact Us Page.,Innstillinger for Kontakt oss side.
Google Maps integration is not enabled,Integrasjon med Google Maps er ikke aktivert
See on Website,Se på nettsiden
Redirect URIs,Omadresser URIer
Frappe Framework,Frappe Framework
Brand Image,Varemerke
Send only if there is any data,Send bare hvis det er noen data
Please set script URL on Gsuite Settings,Vennligst angi script-URL på Gsuite-innstillinger
ID,ID
Report Builder,Rapportbygger
User permissions should not apply for this Link,Brukerrettigheter bør ikke gjelde for denne lenken
Older backups will be automatically deleted,Eldre sikkerhetskopier blir automatisk slettet
User Email,Bruker Email
Show Relapses,Vis tilbakemeldinger
Content,Innhold
Reverted,falt
Fieldtype {0} for {1} cannot be unique,Felttype {0} for {1} kan ikke være unikt
Client Key,Klientnøkkel
Email Signature,E-post signatur
Reference Party,Referanseparti
Looks like something is wrong with this site's payment gateway configuration. No payment has been made.,Ser ut til at noe er galt med dette nettstedet betalings gateway-konfigurasjon. Ingen betaling er utført.
Header HTML set from attachment {0},Header HTML sett fra vedlegg {0}
Example: {{ subject }},Eksempel: {{subject}}
Add New Permission Rule,Legg til ny tillatelsesregel
Cancelling {0},Avbryter {0}
Import Zip,Importer Zip
Failed,mislyktes
Invalid fieldname '{0}' in autoname,Ugyldig feltnavn &#39;{0}&#39; i autoname
Invalid Subscription,Ugyldig abonnement
Unsubscribe Param,Avmeld Param
{0} appreciated on {1},{0} verdsatt på {1}
lightblue,lyse blå
Saving...,Lagrer ...
Notifications and bulk mails will be sent from this outgoing server.,Meldinger og bulkmails vil bli sendt fra denne utgående serveren.
One of,En av
Rows Removed,Rader fjernet
GCalendar Account,GCalendar-konto
LDAP Server Url,LDAP Server Url
Language Name,Språknavn
Email Login ID,Epost innloggings-ID
Pull Insert,Trekk inn
Assign To Users,Tilordne til brukere
Letter Head in HTML,Brevhodet i HTML
Fax,Faks
Import Log,Importer logg
Saving,besparende
Submitted Document cannot be converted back to draft. Transition row {0},Innlevert dokument kan ikke konverteres tilbake til utkast. Overgangsrad {0}
Last Active,sist aktiv
{0} minutes ago,{0} minutter siden
Report updated successfully,"Rapporten er oppdatert, vellykket"
Google Calendar ID,Google Kalender-ID
Time Zones,Tidssoner
DocType is a Table / Form in the application.,DocType er en tabell / skjema i søknaden.
Browser not supported,Nettleser støttes ikke
Show Line Breaks after Sections,Vis linjeskift etter seksjoner
Web View,Nettvisning
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],En ikonfil med .ico-utvidelse. Bør være 16 x 16 px. Generert ved hjelp av en favicon generator. [Favicon-generator.org]
Retry,Prøv på nytt
Slideshow,lysbilde~~POS=TRUNC
Not Sent,Ikke sendt
Provider,Forsørger
Sort Order,Sorteringsrekkefølge
Started,startet
Set Banner from Image,Sett banner fra bilde
Mobile No,Mobilnummer
Configure accounts for google calendar,Konfigurer kontoer for google kalender
System Settings,Systeminnstillinger
Company,Selskap
Subscription Notification,Abonnementsvarsling
Phone No.,Telefonnr.
Force,Makt
Upcoming Events for Today,Kommende arrangementer for i dag
Revoked,opphevet
Designation,betegnelse
Optional: Always send to these ids. Each Email Address on a new row,Valgfritt: Send alltid til disse ids. Hver e-postadresse på en ny rad
Address Title,Adresse Tittel
"SQL Conditions. Example: status=""Open""",SQL-betingelser. Eksempel: status = &quot;Åpne&quot;
Created By,Laget av
Sales Manager,Salgssjef
Blog Settings,Blogginnstillinger
Amount must be greater than 0.,Beløpet må være større enn 0.
Custom Reports,Tilpassede rapporter
New updates are available,Nye oppdateringer er tilgjengelige
Website Script,Nettstedskript
Import Data,Importer data
Assign Condition,Tilordne tilstand
List,Liste
Last IP,Siste IP
Maximum Attachment Limit for this record reached.,Maksimum vedleggsgrense for denne posten er nådd.
"This will reset your current theme, are you sure you want to continue?","Dette vil tilbakestille ditt nåværende tema, er du sikker på at du vil fortsette?"
Password reset instructions have been sent to your email,Innstillingene for tilbakestilling av passord er sendt til e-posten din
Only {0} emailed reports are allowed per user,Kun {0} e-postmeldinger er tillatt per bruker
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",Bortsett fra System Manager kan roller med Set User Permissions rett angi tillatelser for andre brukere for den aktuelle dokumenttypen.
Users with role {0}:,Brukere med rolle {0}:
Something went wrong while generating dropbox access token. Please check error log for more details.,Noe gikk galt mens du genererte dropbox-tilgangstoken. Vennligst sjekk feillogg for mer informasjon.
Open Translation,Åpne oversettelse
Number of Backups,Antall sikkerhetskopier
More articles on {0},Flere artikler om {0}
Review Level,Review Nivå
Monday,mandag
Column Labels:,Kolonneetiketter:
{0} {1} added,{0} {1} ble lagt til
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Regler for hvordan stater er overganger, som neste stat, og hvilken rolle har lov til å endre tilstand etc."
Language,Språk
If you aren't using own publish Google Apps Script webapp you can use the default https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec ,"Hvis du ikke bruker eget publiseringsprogram for Google Apps Script, kan du bruke standard https://script.google.com/macros/s/AKfycbxIFOx3301xwtF2IFPJ4pUQGqkNF3hBiBebppWkeKn6fKZRQvk/exec"
Select Document Type or Role to start.,Velg Dokumenttype eller Rolle for å starte.
Background Color,Bakgrunnsfarge
Define workflows for forms.,Definer arbeidsflyter for skjemaer.
Are you sure you want to relink this communication to {0}?,Er du sikker på at du vil relink denne kommunikasjonen til {0}?
0 is highest,0 er høyest
Login Required,innlogging kreves
Last Known Versions,Sist kjente versjoner
Permission Levels,Tillatelsesnivåer
Username {0} already exists,Brukernavn {0} eksisterer allerede
Purchase User,Kjøp bruker
Follow,Følg
You selected Draft or Cancelled documents,Du valgte Utkast eller Avlyste dokumenter
Please make sure the Reference Communication Docs are not circularly linked.,Vennligst kontroller at referansekommunikasjonsdokumenter ikke er sirkulært knyttet.
Is Home Folder,Er hjemmemappe
Doctype,dOCTYPE
and uncheck Disabled in the Auto Repeat document,og fjern merket for deaktivert i Auto Repeat-dokumentet
only.,bare.
Set Property After Alert,Angi eiendom etter advarsel
GSuite Settings,GSuite Innstillinger
Not a valid user,Ikke en gyldig bruker
"List as [{""label"": _(""Jobs""), ""route"":""jobs""}]","Liste som [{&quot;label&quot;: _ (&quot;Jobs&quot;), &quot;rute&quot;: &quot;jobber&quot;}]"
Kanban Board,Kanban styret
Submit an Issue,Send inn et problem
"States for workflow (e.g. Draft, Approved, Cancelled).","Stater for arbeidsflyt (f.eks. Utkast, Godkjent, Avbrutt)."
Permission Rules,Tillatelsesregler
Searching,Søker
Only Administrator can save a standard report. Please rename and save.,Bare administrator kan lagre en standardrapport. Vennligst gi nytt navn og lagre.
Password,Passord
Razorpay Settings,Razorpay Innstillinger
Read by Recipient On,Les av mottaker på
{0} is mandatory,{0} er obligatorisk
Delayed,forsinket
"Repeats like ""aaa"" are easy to guess",Gjentakelser som &quot;aaa&quot; er lett å gjette
You are not allowed to update this Web Form Document,Du har ikke lov til å oppdatere dette webskjemaet
ASC,ASC
Move To,Flytte til
Specify a default value,Angi en standardverdi
eu-west-1,eu-vest-en
Incoming email account not correct,Innkommende e-postkonto er ikke riktig
Make use of longer keyboard patterns,Benytt deg av lengre tastaturmønstre
Email To,Epost til
Assign to me,Tilordne meg
Go to this URL after completing the form (only for Guest users),Gå til denne nettadressen etter at du har fylt ut skjemaet (kun for gjester)
Stats based on last week's performance (from {0} to {1}),Statistikk basert på forrige ukes ytelse (fra {0} til {1})
Get your globally recognized avatar from Gravatar.com,Få din globalt anerkjente avatar fra Gravatar.com
Google Credentials,Google-legitimasjon
Doc Events,Dok hendelser
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Felt som representerer arbeidsflytstaten for transaksjonen (hvis feltet ikke er tilstede, vil et nytt skjult egendefinert felt bli opprettet)"
OAuth Bearer Token,OAuth Bearer Token
Password for Base DN,Passord for Base DN
Not In,Ikke i
OTP App,OTP App
User permission already exists,Brukertillatelse eksisterer allerede
Footer,bunntekst
ap-southeast-2,ap-øst-2-
Quick Entry,Hurtig oppføring
Module,modul
Select Print Format to Edit,Velg Skriv ut format for å redigere
Only Send Records Updated in Last X Hours,Send kun poster som er oppdatert i løpet av de siste 10 timene
Cannot use sub-query in order by,Kan ikke bruke underforespørsel i rekkefølge av
You are not permitted to access this page.,Du har ikke lov til å få tilgang til denne siden.
Ends On,Ender på
Hide Copy,Skjul kopi
Table MultiSelect,Tabell MultiSelect
Please close this window,Vennligst lukk dette vinduet
Please select atleast 1 column from {0} to sort/group,Vennligst velg minst 1 kolonne fra {0} for å sortere / gruppe
Transaction Log Report,Transaksjonsloggrapport
GitHub Sync ID,GitHub Sync ID
Cannot send this email. You have crossed the sending limit of {0} emails for this month.,Kan ikke sende denne e-posten. Du har krysset sendegrensen for {0} e-postmeldinger for denne måneden.
Hide details,Skjul detaljer
Edit DocType,Rediger DocType
eu-west-3,eu-vest-3
Reqd,reqd
Email Inbox,E-post innboks
Can't identify open {0}. Try something else.,Kan ikke identifisere åpen {0}. Prøv noe annet.
File Upload,Filopplasting
ap-northeast-1,ap-nordøst-en
"If checked, all other workflows become inactive.","Hvis de er merket, blir alle andre arbeidsflyter inaktive."
This Kanban Board will be private,Denne Kanban styret vil være privat
Shared With,Delt med
Type something in the search box to search,Skriv inn noe i søkefeltet for å søke
New Email,ny epost
Mandatory fields required in {0},Obligatoriske felt som kreves i {0}
Invite as User,Inviter som bruker
Add a new section,Legg til en ny seksjon
This month,Denne måneden
text-height,tekst-høyden
Queued for backup. It may take a few minutes to an hour.,Kjøtt for sikkerhetskopiering. Det kan ta noen minutter til en time.
picture,bilde
sa-east-1,sa-øst-en
OTP Secret has been reset. Re-registration will be required on next login.,OTP Secret har blitt tilbakestilt. Registrering vil bli påkrevd ved neste innlogging.
Transition Rules,Overgangsregler
Portal Menu Item,Portal Menu Item
Open Source Applications for the Web,Open Source-applikasjoner på nettet
Show all Versions,Vis alle versjoner
{0}: Permission at level 0 must be set before higher levels are set,{0}: Tillatelse til nivå 0 må settes før høyere nivåer er angitt
To Date Field,Til datafelt
Newsletter Email Group,Nyhetsbrev E-postgruppe
Row Status,Radstatus
Restored,restaurert
Madam,Madam
Your connection request to Google Calendar was successfully accepted,Forbindelsesforespørselen din til Google Kalender ble godkjent
Last Message,Siste melding
Assignment closed by {0},Oppgave avsluttet med {0}
Your information has been submitted,Din informasjon er sendt inn
Destination ID,Destinasjons-ID
Is Pinned,Er festet
UNSEEN,USETT
Data Migration Mapping Detail,Data Migrering Kartlegging Detalj
Show Log,Vis Logg
exclamation-sign,utrops-skilt
No Copy,Ingen kopi
Sender,avsender
{0} self assigned this task: {1},{0} selv tilordnet denne oppgaven: {1}
{0} {1} not found,{0} {1} ikke funnet
Based On,Basert på
Email Queue Recipient,E-postkøen mottaker
Commented on {0}: {1},Kommenterte {0}: {1}
"{0} field cannot be set as unique in {1}, as there are non-unique existing values","{0} -feltet kan ikke angis som unikt i {1}, da det finnes ikke-eksisterende eksisterende verdier"
Add Signature,Legg til signatur
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,Siden du leter etter mangler. Dette kan skyldes at det er flyttet eller det er en skrivefeil i lenken.
Emails are muted,E-postmeldinger er dempet
Max width for type Currency is 100px in row {0},Maks bredde for type Valuta er 100px i rad {0}
Show only errors,Vis bare feil
Default theme is set in {0},Standardtema er angitt i {0}
Total Rows,Totalt antall rader
Assigned,Tildelt
Today,I dag
{0} criticized {1},{0} kritisert {1}
SparkPost,SparkPost
Welcome email sent,Velkommen e-post sendt
e.g. replies@yourcomany.com. All replies will come to this inbox.,f.eks. svar@yourcomany.com. Alle svarene kommer til denne innboksen.
Add script for Child Table,Legg til skript for barnetabell
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).","Når du har angitt dette, vil brukerne kun kunne få tilgangsdokumenter (f.eks. Blogginnlegg) der linken eksisterer (f.eks. Blogger)."
Charts,diagrammer
Field {0} of type {1} cannot be mandatory,Felt {0} av type {1} kan ikke være obligatorisk
Not allowed to change {0} after submission,Ikke lov til å endre {0} etter innsending
Custom HTML,Egendefinert HTML
Please set Email Address,Vennligst sett inn e-postadresse
Liked by {0},Likte av {0}
File Name,Filnavn
Tag Doc Category,Tag Doc-kategori
Email Address,Epostadresse
Invalid payment gateway credentials,Ugyldig betaling gateway legitimasjon
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1} kan ikke være &quot;{2}&quot;. Det bør være en av &quot;{3}&quot;
"Login session expired, refresh page to retry","Innloggingsøkt utløpt, oppdater siden for å prøve på nytt"
star,stjerne
Format,Format
File URL,Filadresse
Renew / Upgrade,Forny / oppgrader
User Image,Brukerbilde
Every Day,Hver dag
no failed attempts,ingen mislykkede forsøk
X Axis Field,X aksefelt
Bar,Bar
Email Group Member,E-postgruppemedlem
Add Attachment,Legg til vedlegg
"If disabled, this role will be removed from all users.","Hvis deaktivert, vil denne rollen bli fjernet fra alle brukere."
Unhandled Email,Ubehandlet e-post
No permission to '{0}' {1},Ingen tillatelse til &#39;{0}&#39; {1}
Time in seconds to retain QR code image on server. Min:<strong>240</strong>,Tid i sekunder for å beholde QR-kodebilde på serveren. Min: <strong>240</strong>
OAuth Client,OAuth Client
Error Code: {0},Feilkode: {0}
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,"Disse verdiene oppdateres automatisk i transaksjoner, og vil også være nyttige for å begrense tillatelser for denne brukeren på transaksjoner som inneholder disse verdiene."
Mapping,Kartlegging
Assignment Completed,Oppgave Fullført
First Level,Første nivå
Last Login,Siste innlogging
Discard,kast
Incorrect value in row {0}: {1} must be {2} {3},Feil verdi i rad {0}: {1} må være {2} {3}
"Seems issue with server's razorpay config. Don't worry, in case of failure amount will get refunded to your account.","Virker problemet med serverens razorpay config. Ikke bekymre deg, i tilfelle feil vil beløpet bli refundert til kontoen din."
Cache Cleared,Cache Cleared
Is Table,Er tabell
Configure Charts,Konfigurer diagrammer
Font Size (px),Skriftstørrelse (px)
Settings for Contact Us Page,Innstillinger for Kontakt oss side
Connector Type,Tilkoblingstype
Chart,Chart
There is no data to be exported,Det er ingen data som skal eksporteres
To Do,Å gjøre
Website Sidebar,Nettsteds sidelinje
An error occured while creating recurring,Det oppsto en feil under oppretting
Invalid Access Key ID or Secret Access Key.,Ugyldig tilgangsnøkkel-ID eller Hemmelig tilgangsnøkkel.
Forward To Email Address,Videresend til e-postadresse
Accounts Manager,Kontoadministrator
Card Details,Kortdetaljer
No of emails remaining to be synced,Ingen emails gjenstår å synkroniseres
Tools,Verktøy
Start Date,Startdato
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)","Link som er hjemmesiden hjemmeside. Standard Linker (indeks, innlogging, produkter, blogg, om, kontakt)"
To User,Til brukeren
Invalid naming series (. missing),Ugyldig navngivningsserie (. Mangler)
Name of {0} cannot be {1},Navnet på {0} kan ikke være {1}
Add Subscribers,Legg til abonnenter
align-justify,juster-rettferdig
Relink,kobler på nytt
Note: Changing the Page Name will break previous URL to this page.,"Merk: Hvis du endrer sidenavnet, bryter du forrige URL til denne siden."
circle-arrow-right,sirkel-pil høyre
Set Chart,Sett diagram
Continue,Fortsette
Mark the field as Mandatory,Merk feltet som obligatorisk
Standard,Standard
Reset OTP Secret,Tilbakestill OTP Secret
Tasks,oppgaver
Address and Contacts,Adresse og kontakter
Select a Brand Image first.,Velg et merkebilde først.
Action,Handling
Website Slideshow Item,Nettsted Slideshow-artikkel
View Permitted Documents,Se tillatte tillatelser
Attach file for Import,Legg ved fil for Import
Two Factor Authentication method,To faktorautentiseringsmetode
"Your download is being built, this may take a few moments...","Nedlastingen din blir bygd, dette kan ta litt tid ..."
Read,Lese
Sorry! User should have complete access to their own record.,Unnskyld! Brukeren skal ha full tilgang til sin egen post.
Banner HTML,Banner HTML
PDF Page Size,PDF-sidestørrelse
Allow Login using User Name,Tillat innlogging med brukernavn
Office 365,Kontor 365
Unable to create bucket: {0}. Change it to a more unique name.,Kunne ikke opprette bøtte: {0}. Endre det til et mer unikt navn.
Standard Reports,Standardrapporter
Ignore User Permissions,Ignorer brukerautorisasjoner
Postprocess Method,Etterprosessmetode
Setup &gt; User,Oppsett&gt; Bruker
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Antall kolonner for et felt i en listevisning eller et rutenett (Totalt kolonner skal være mindre enn 11)
"Field ""value"" is mandatory. Please specify value to be updated",Felt &quot;verdi&quot; er obligatorisk. Vennligst spesifiser verdien som skal oppdateres
{0} available out of {1},{0} tilgjengelig ut av {1}
From Date Field,Fra datafelt
Edit Profile,Rediger profil
Chat Profile,Chat profil
"Cannot edit Standard Notification. To edit, please disable this and duplicate it","Kan ikke redigere standardvarsling. For å redigere, må du deaktivere dette og kopiere det"
For example if you cancel and amend INV004 it will become a new document INV004-1. This helps you to keep track of each amendment.,"For eksempel hvis du avbryter og endrer INV004, blir det et nytt dokument INV004-1. Dette hjelper deg å holde oversikt over hvert endring."
Preferred Shipping Address,Foretrukket fraktadresse
Disable Customer Signup link in Login page,Deaktiver Kundeoppføring-koblingen i innloggingssiden
Saved,lagret
Attach files / urls and add in table.,Legg ved filer / URLer og legg til i tabellen.
Already Registered,Allerede registrert
Conversation Tones,Samtale toner
Both DocType and Name required,Både Doktype og Navn kreves
Toggle Chart,Bytt diagram
Press Enter to save,Trykk på Enter for å lagre
Order,Rekkefølge
Owner,Eieren
You are not connected to Internet. Retry after sometime.,Du er ikke koblet til Internett. Prøv igjen etter en gang.
"If enabled, all users can login from any IP Address using Two Factor Auth. This can also be set only for specific user(s) in User Page","Hvis aktivert, kan alle brukere logge inn fra en hvilken som helst IP-adresse ved hjelp av Two Factor Auth. Dette kan også settes bare for bestemte bruker (e) i Bruker side"
ok-sign,ok-tegn
Group Name,Gruppenavn
"The application has been updated to a new version, please refresh this page","Søknaden har blitt oppdatert til en ny versjon, oppdater så denne siden"
"For updating, you can update only selective columns.",For oppdatering kan du bare oppdatere selektive kolonner.
Session Expired,Sesjon utløpt
Notification Tones,Varseltoner
Chart Source,Figur Kilde
{0} criticized your work on {1} with {2} points,{0} kritiserte arbeidet ditt på {1} med {2} poeng
You are not allowed to print this report,Du har ikke lov til å skrive ut denne rapporten
Half-Yearly,Halvårs
Send Unsubscribe Link,Send Avslutt Lenk
Master,Herre
Set the display label for the field,Sett skjermetiketten for feltet
{0}: Cannot set Import without Create,{0}: Kan ikke angi Importer uten Create
Previous Hash,Forrige Hash
Use Sandbox,Bruk sandkasse
Chat Profile for User {0} exists.,Chat profil for bruker {0} eksisterer.
Is Standard,Er Standard
Api Access,Api Access
Reason,Grunnen til
Adds a custom field to a DocType,Legger til et egendefinert felt til en DocType
Workflow State Field,Workflow State Field
View {0},Se {0}
Remove Field,Fjern felt
Cannot {0} {1},Kan ikke {0} {1}
New Report name,Nytt rapportnavn
Please enter Base URL,Vennligst skriv inn grunnleggende URL
Title Field,Tittelfelt
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}","{0}: &#39;{1}&#39; ({3}) vil bli avkortet, ettersom maks. Tegn er {2}"
Arial,arial
"Once submitted, submittable documents cannot be changed. They can only be Cancelled and Amended.","Når innsendt, kan ikke innsendte dokumenter endres. De kan bare bli kansellert og endret."
"If a Role does not have access at Level 0, then higher levels are meaningless.","Hvis en rolle ikke har tilgang på nivå 0, er høyere nivåer meningsløse."
Select Document Type,Velg dokumenttype
App Name,Appnavn
dd/mm/yyyy,dd / mm / yyyy
Sent/Received Email,Sendt / mottatt e-post
View Website,Se Nettsted
Setting up your system,Sette opp systemet ditt
"Sub-currency. For e.g. ""Cent""",Sub-valuta. For eksempel &quot;Cent&quot;
Name cannot contain special characters like {0},Navn kan ikke inneholde spesialtegn som {0}
Trigger Name,Utløsernavn
Send days before or after the reference date,Send dager før eller etter referansedagen
Missing parameter Kanban Board Name,Manglende parameter Kanban Board Name
Permanently Submit {0}?,Send Permanent {0}?
File backup is ready,Fil backup er klar
Domain Settings,Domain Settings
User,Bruker
Enable Scheduled Jobs,Aktiver planlagte jobber
Invalid {0} condition,Ugyldig {0} betingelse
Property Setter,Eiendom Setter
Script,Manus
Message to be displayed on successful completion (only for Guest users),Melding som skal vises ved vellykket gjennomføring (kun for gjester)
Public Key,Offentlig nøkkel
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},Kan ikke slette eller avbryte fordi {0} {1} er koblet til {2} {3} {4}
Is Published Field,Er publisert felt
New data will be inserted.,Nye data vil bli satt inn.
Wednesday,onsdag
Widths can be set in px or %.,Bredder kan settes i px eller%.
renamed from {0} to {1},omdøpt fra {0} til {1}
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Ikke HTML Enco HTML-koder som &lt;script&gt; eller bare tegn som &lt;eller&gt;, som de kunne være med vilje brukt i dette feltet"
MX,MX
Headers,overskrifter
Label and Type,Etikett og type
Try to avoid repeated words and characters,Prøv å unngå gjentatte ord og tegn
Billing,Billing
Setup Wizard,Oppsettveiviseren
"Reverting length to {0} for '{1}' in '{2}';
							Setting the length as {3} will cause truncation of data.",Tilbakestille lengden til {0} for &#39;{1}&#39; i &#39;{2}&#39;; Innstilling av lengden som {3} vil føre til avkorting av data.
Download Report,Last ned rapport
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)","Beskrivelse for oppføringsside, i ren tekst, bare et par linjer. (maks 140 tegn)"
Please save the document before assignment,Vennligst lagre dokumentet før oppdraget
Your subscription has expired.,Abonnementet ditt er utløpt.
Repeat on Day,Gjenta på dagen
If you don't want to create any new records while updating the older records.,Hvis du ikke vil lage noen nye poster mens du oppdaterer de eldre postene.
Unable to send emails at this time,Kan ikke sende e-poster på dette tidspunktet
View Comment,Se kommentar
Slack Webhooks for internal integration,Slack Webhooks for intern integrasjon
Tree,Tre
"Invalid ""depends_on"" expression",Ugyldig &quot;depends_on&quot; -uttrykk
Default Value,Standardverdi
Cannot Remove,Kan ikke fjerne
You are not allowed to delete a standard Website Theme,Du har ikke lov til å slette et standard nettstedstema
Send document web view link in email,Send dokumentets nettvisningslink i e-post
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: Bare en regel tillatt med samme rolle, nivå og {1}"
Share this document with,Del dette dokumentet med
Print Sent to the printer!,Skriv ut sendt til skriveren!
GitHub,GitHub
Short keyboard patterns are easy to guess,Korte tastaturmønstre er enkle å gjette
Allow Guest to View,Tillat gjest å vise
Field to Track,Felt å spore
GCalendar Settings,GCalendar-innstillinger
Throttled,strupes
Yesterday,I går
Set Permissions on Document Types and Roles,Angi tillatelser på dokumenttyper og roller
Cannot change docstatus from 1 to 0,Kan ikke endre docstatus fra 1 til 0
Razorpay Payment gateway settings,Razorpay betalings gateway innstillinger
You are not allowed to create columns,Du har ikke lov til å lage kolonner
Administrator Logged In,Administrator logget på
Looks like something is wrong with this site's Paypal configuration.,Ser ut som noe er galt med dette nettstedet er Paypal-konfigurasjonen.
New Message from Website Contact Page,Ny melding fra nettsiden Kontakt side
Reference: {0} {1},Henvisning: {0} {1}
Customize Form,Tilpass skjema
Date {0} must be in format: {1},Dato {0} må være i format: {1}
Low,Lav
Subsidiary,Datterselskap
{0} record deleted,{0} post slettet
Not active,Ikke aktiv
Image Field,Bildefelt
Successful: {0} to {1},Vellykket: {0} til {1}
Create Post,Opprett innlegg
Send Notifications for documents followed by me,Send varslinger for dokumenter etterfulgt av meg
You cannot give review points to yourself,Du kan ikke gi poeng til deg selv
End Date cannot be before Start Date!,Sluttdato kan ikke være før startdato!
Blogger,Blogger
Standard Print Style cannot be changed. Please duplicate to edit.,Standard utskriftsstil kan ikke endres. Vennligst kopier for å redigere.
UIDNEXT,UIDNEXT
Add User Permissions,Legg til brukerrettigheter
Mapping Type,Mapping Type
chevron-down,Chevron-ned
Skip rows with errors,Hopp over rader med feil
Mark as Unread,Merk som ulest
OAuth Provider Settings,OAuth Provider Innstillinger
Restore or permanently delete a document.,Gjenopprett eller permanent slet et dokument.
Settings for the About Us Page,Innstillinger for Om oss side
Plant,Anlegg
CC,CC
resize-vertical,endre størrelse-vertikal
Authentication,Godkjenning
In Standard Filter,I Standardfilter
Meta Tags,Meta Tags
Parameter,Parameter
No Email Accounts Assigned,Ingen e-postkontoer tildelt
IP Address,IP adresse
Theme Colors,Tema farger
Error Message,Feilmelding
Middle Name (Optional),Mellomnavn (valgfritt)
Transaction Log,Transaksjonslogg
Doctype required,Doktypen er nødvendig
Allow Print for Cancelled,Tillat utskrift for avbrutt
Text Content,Tekstinnhold
