Connector Type,نوع اتصال
There was an error saving filters,خطایی در ذخیره فیلتر وجود داشت
Enter your password,رمز عبور خود را وارد کنید
Success! You are good to go ?,موفقیت! شما خوب هستید ?
Cannot delete Home and Attachments folders,نمی توان پوشه های خانه و فایل های پیوست را حذف کرد
Settings for Contact Us Page,تنظیمات برای تماس با ما صفحه
Social Login Provider,ارائه دهنده خدمات اجتماعی
Previous Hash,هش قبلی
Value Changed,ارزش تغییر کرد
Report Type,نوع گزارش
Default Address Template cannot be deleted,قالب پیشفرض آدرس قابل حذف نیست
Please set script URL on Gsuite Settings,لطفا URL اسکریپت را در تنظیمات Gsuite تنظیم کنید
Invalid limit {0},محدودیت نامعتبر {0}
No of emails remaining to be synced,هیچ ایمیل باقی مانده برای همگام سازی وجود ندارد
User ID,شناسه کاربر
Website,سایت اینترنتی
sa-east-1,س-شرق-1
Notification Recipient,گیرنده اخطار
Module,ماژول
Address Type,نوع آدرس
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.",اگر این چک شود، سطر هایی با اطلاعات معتبر وارد می شود و ردیف های نامعتبر به یک فایل جدید برای شما وارد می شوند که بعدا وارد می شوند.
Fieldname {0} appears multiple times in rows {1},فیلد نام {0} چند بار در ردیف ظاهر می شود {1}
Error Log,خطا در ورود
Half,نیم
Home Page,صفحه نخست
Current Mapping Start,شروع نقشه فعلی
eye-close,چشم بسته
Assignment closed by {0},تخصیص بسته توسط {0}
Next Date's day and Repeat on Day of Month must be equal,تاریخ بعدی روز و تکرار در روز ماه باید برابر باشد
Comments cannot have links or email addresses,نظرات نمی توانند لینک ها و یا آدرس های ایمیل داشته باشند
Reference Communication,ارتباطات مرجع
Mandatory:,اجباری:
Setting up your system,راه اندازی سیستم شما
Payment Failed,پرداخت ناموفق
Read,خواندن
SSL/TLS Mode,حالت SSL / TLS
Print Format Help,فرمت چاپ راهنما
Between,بین
Thank you for your interest in subscribing to our updates,از علاقه شما به عضویت در به روز رسانی های ما متشکریم
Full Name,نام و نام خانوادگی
Allow GCalendar Access,اجازه دسترسی GCalendar
Reset Permissions for {0}?,تنظیم مجوز مجوز برای {0}؟
Start entering data below this line,شروع به وارد کردن داده ها در زیر این خط
UNSEEN,UNSEEN
JS,جی اس
All-uppercase is almost as easy to guess as all-lowercase.,تمام حروف بزرگ تقریبا به اندازه همه حروف کوچک است.
Cannot use sub-query in order by,می توانم از زیر درخواست پرس و جو استفاده نکنم
Transaction Log Report,گزارش گزارش تراکنش
Is Global,جهانی است
Options Help,تنظیمات راهنما
Is Sent,فرستاده شد
Transaction Log,ورود تراکنش
eu-west-3,eu-west-3
Complete Setup,راه اندازی کامل
OTP Secret has been reset. Re-registration will be required on next login.,OTP راز بازنشانی شده است. ثبت نام مجدد در ورود بعدی لازم است.
In List View,در نمای لیست
Feedback Trigger,تکرار بازخورد
Confirm,تایید
Valid email and name required,ایمیل معتبر و نام مورد نیاز
List of patches executed,لیست تکه های اعدام شده
Email Queue,صف صفر
View Website,مشاهده وب سایت
Fetch If Empty,واکشی اگر خالی باشد
Select,انتخاب کنید
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".",مقادیر پیش فرض مقدار (کلید) و مقادیر را وارد کنید. اگر مقادیر چندگانه را برای یک فیلد اضافه کنید، اولین مورد انتخاب خواهد شد. این پیش فرض ها همچنین برای تنظیم قوانین مجوز &quot;مطابقت&quot; استفاده می شود. برای مشاهده لیست فیلدها، به «سفارشی کردن فرم» بروید.
Section Heading,عنوان بخش
Avoid dates and years that are associated with you.,اجتناب از تاریخ ها و سال هایی که با شما همراه است.
Press Enter to save,دکمه Enter را فشار دهید تا ذخیره شود
Reviews,نظرات
State,دولت
Translation,ترجمه
Columns,ستون ها
Cannot change docstatus from 1 to 0,نمی توان docstatus را از 1 به 0 تغییر داد
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,هر زبان چاپگر مبتنی بر رشته می تواند مورد استفاده قرار گیرد. نوشتن دستورات خام نیاز به دانستن زبان مادری چاپگر ارائه شده توسط سازنده چاپگر دارد. لطفا به دستورالعمل توسعه دهنده ارائه شده توسط سازنده چاپگر در مورد نحوه نوشتن دستورات بومی خود مراجعه کنید. این دستورات با استفاده از زبان قالب Jinja در سمت سرور ارائه می شوند.
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","خطا در اتصال به برنامه سینی QZ ... <br><br> برای استفاده از قابلیت چاپ خام باید برنامه QZ Tray را نصب و اجرا کنید. <br><br> <a href=""https://qz.io/download/"" target=""_blank"">برای دانلود و نصب QZ Tray اینجا را کلیک کنید</a> . <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">برای اطلاعات بیشتر در مورد چاپ خام اینجا کلیک کنید</a> ."
Please select another payment method. Razorpay does not support transactions in currency '{0}',لطفا یک روش پرداخت دیگر را انتخاب کنید Razorpay معاملات در ارز را پشتیبانی نمی کند &quot;{0}&quot;
User permissions should not apply for this Link,مجوزهای کاربر نباید برای این لینک اعمال شوند
Click on the link below to complete your registration and set a new password,برای تکمیل ثبت نام و تنظیم رمز جدید خود، روی لینک زیر کلیک کنید
Not allowed to print draft documents,مجاز به چاپ اسناد پیش نویس نیست
Set up rules for user assignments.,تنظیم قوانین برای تکالیف کاربر
Test,تست
for automatic creating of the recurring document to continue.,برای ایجاد خودکار سند تکراری برای ادامه.
Orange,نارنجی
Enable Outgoing,فعال کردن خروجی
"Naming Options:
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","گزینه های نامگذاری: <ol style=""""><li style=""""> <b>فیلد: [نام فیلد]</b> - توسط فیلد </li><li style=""""> <b>naming_series:</b> - با نام سری (فیلد به نام naming_series باید حضور داشته باشد </li><li style=""""> <b>Prompt</b> - کاربر سریع برای یک نام </li><li style=""""> <b>[سری]</b> - سری توسط پیشوند (با یک نقطه جداگانه)؛ برای مثال PRE. ##### </li><li style=""""> <b>فرمت: EXAMPLE- {MM} بیشترwords {fieldname1} - {fieldname2} - {#####}</b> - همه کلمات با نام <b>مستعار (نامهای فیلدی</b> ، کلمات تاریخ (DD، MM، YY)، سری) را با ارزش خود جایگزین کنید. بیس بال، هر شخصیت می تواند مورد استفاده قرار گیرد. </li></ol>"
Select Print Format to Edit,انتخاب فرمت چاپ برای ویرایش
New Event,رویداد جدید
Scheduled to send to {0} recipients,برنامه ریزی شده برای فرستادن {0} گیرنده
Address,نشانی
Enter keys to enable integration with Google GSuite,کلید را برای فعال سازی ادغام با Google GSuite وارد کنید
Open Translation,باز کردن ترجمه
Please do not change the template headings.,لطفا عناوین قالب را تغییر ندهید.
End date must be greater than start date,تاریخ پایان باید بیشتر از تاریخ شروع باشد
Merchant ID,شناسه فروشنده
Energy Point Rule,قاعده انرژی نقطه
Please enter Client ID before social login is enabled,لطفا قبل از ورود به سیستم اجتماعی، شناسه مشتری وارد کنید
Has  Attachment,دارای پیوست
Email Signature,امضای ایمیل
Addresses And Contacts,آدرسها و مخاطبین
This Kanban Board will be private,این کانبان هیئت مدیره خصوصی خواهد بود
Current Mapping,نقشه برداری فعلی
Based on Permissions For User,بر اساس مجوز برای کاربر
"You can change Submitted documents by cancelling them and then, amending them.",شما می توانید اسناد ارسال شده را با لغو آنها تغییر دهید و سپس آنها را اصلاح کنید.
Feedback Rating,امتیازات بازخورد
This is the template file generated with only the rows having some error. You should use this file for correction and import.,این فایل قالب است که تنها با ردیف خطای تولید شده است. شما باید از این فایل برای اصلاح و وارد کردن استفاده کنید.
Middle Name (Optional),نام میانه (اختیاری)
Invalid naming series (. missing),نامگذاری نامعتبر سری (missing)
Help Articles,مقالات راهنما
Retry,دوباره امتحان کنید
You have subscribed for one user free plan,شما برای یک برنامه رایگان یک کاربر مشترک شده اید
Straight rows of keys are easy to guess,ردیف های راست از کلید های آسان حدس می زنند
User {0} cannot be disabled,کاربر {0} نمیتواند غیرفعال شود
Let's avoid repeated words and characters,بیایید از کلمات و شخصیت های تکراری اجتناب کنیم
Condition Detail,جزئیات وضعیت
Property Type,نوع املاک
Sunday,یکشنبه
Row Status,وضعیت ردیف
Portal Menu Item,آیتم منوی پورتال
Follow,دنبال کردن
Unable to create bucket: {0}. Change it to a more unique name.,قادر به ایجاد سطل نیست: {0}. آن را به یک نام منحصر به فرد تغییر دهید.
Title Case,مورد عنوان
You can find things by asking 'find orange in customers',شما می توانید همه چیز را با پرسیدن &quot;پیدا کردن نارنجی در مشتریان&quot; پیدا کنید
Set custom roles for page and report,تنظیمات سفارشی برای صفحه و گزارش
Allow,اجازه دادن
Reference,ارجاع
Is Mandatory Field,فیلد اجباری است
Yahoo Mail,ایمیل یاهو
User Type,نوع کاربر
Take Backup Now,اکنون پشتیبان بگیرید
Blog,وبلاگ
Script to attach to all web pages.,اسکریپت برای پیوستن به تمام صفحات وب
module name...,نام ماژول ...
Users with role {0}:,کاربران با نقش {0}:
"Email Domain not configured for this account, Create one?",دامنه ایمیل برای این حساب پیکربندی نشده است، ایجاد یک؟
Bucket,سطل
Disable Sidebar Stats,غیر فعال کردن آمار نوار کناری
Busy,مشغول
{0} {1} to {2},{0} {1} تا {2}
Create Post,ایجاد پست
Printer Mapping,نقشه برداری پرینتر
Setup &gt; User Permissions,تنظیمات&gt; مجوز کاربر
"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).",شما گزینه Sync Option را به عنوان ALL انتخاب می کنید، این همه \ read و همچنین پیام خوانده نشده از سرور را resync می کند. این ممکن است باعث تکرار شدن ارتباطات (ایمیل ها) شود.
Last synced {0},آخرین همگام سازی شده {0}
Cannot change header content,محتوای هدر را نمیتوان تغییر داد
Not allowed to change {0} after submission,مجاز به تغییر {0} پس از ارسال نیست
"The application has been updated to a new version, please refresh this page",این برنامه به نسخه جدید به روز شده است، لطفا این صفحه را تازه کنید
User Image,تصویر کاربر
Action Timeout (Seconds),مدت زمان عمل (ثانیه)
New updates are available,به روز رسانی های جدید در دسترس هستند
Edit Title,ویرایش عنوان
Login Required,ورود لازم است
User {0} does not have doctype access via role permission for document {1},کاربر {0} دسترسی doctype را از طریق اجازه نامه برای سند {1} ندارد
View Permitted Documents,مشاهده اسناد مجاز
InnoDB,InnoDB
Select a Brand Image first.,ابتدا یک تصویر برند را انتخاب کنید.
Field {0} of type {1} cannot be mandatory,فیلد {0} از نوع {1} نمی تواند اجباری باشد
Period,دوره زمانی
Portal Settings,تنظیمات پورتال
SparkPost,SparkPost
Sidebar Settings,تنظیمات نوار کناری
Brand,نام تجاری
Insert After,پس از وارد کردن
{0} is currently viewing this document,{0} درحال مشاهده این سند است
Quarter Day,سه ماهه
QR Code for Login Verification,کد QR برای تأیید ورود
Already Registered,در حال حاضر ثبت شده است
Show Preview Popup,نمایش پنجره پیش نمایش
Unzip,باز کردن
Order,سفارش
Phone No.,شماره تلفن
Email not verified with {0},ایمیل با {0} تایید نشده است
Column Name,نام ستون
API Key,کلید ای پی ای
Delete comment?,حذف نظر؟
Error Message,پیغام خطا
YES,بله
Space,فضا
Message ID,شناسه پیام
Hub Sync ID,شناسه همگام سازی توپی
Apply Strict User Permissions,اعمال مجوزهای سختگیرانه
Create,ايجاد كردن
{0} is saved,{0} ذخیره می شود
From,از جانب
Not a valid user,یک کاربر معتبر نیست
Headers,سربرگ ها
Token is missing,رمز عبور گم شده است
Item cannot be added to its own descendents,مورد را نمی توان به نسل خود اضافه کرد
With Letterhead,با سربرگ
Default for {0} must be an option,پیش فرض برای {0} باید یک گزینه باشد
0 is highest,0 بالاترین است
us-east-2,ما-شرق-2
list-alt,list-alt
Track Email Status,پیگیری وضعیت ایمیل
Role Name,نام نقش
Workflow Document State,وضعیت سند گردش کار
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",همه دولتهای کار در دسترس و نقشهای گردش کار. گزینه Docstatus: 0 &quot;ذخیره شده&quot;، 1 &quot;ارسال شده&quot; و 2 &quot;لغو&quot;
Link Name,نام لینک
Message to be displayed on successful completion (only for Guest users),پیام در تکمیل موفقیت آمیز نمایش داده می شود (فقط برای کاربران مهمان)
Email Account Name,نام حساب ایمیل
OAuth Provider Settings,تنظیمات ارائه دهنده OAuth
{0} record deleted,{0} ضبط حذف شد
Remove,برداشتن
Configure accounts for google calendar,پیکربندی حساب ها برای تقویم گوگل
Currency Name,نام ارز
glass,شیشه
Raw Email,ایمیل خام
Looks like something is wrong with this site's Paypal configuration.,به نظر می رسد چیزی با پیکربندی پی پال این سایت اشتباه است.
Online,آنلاین
Go to {0} List,برو به {0} لیست
Open {0},باز {0}
Activity Log,گزارش فعالیت
Update,به روز رسانی
Add Signature,امضا را اضافه کنید
Lock,قفل کردن
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,نام نوع سند (DocType) شما می خواهید این فیلد را به آن پیوند دهید. به عنوان مثال مشتری
Redis cache server not running. Please contact Administrator / Tech support,سرور ردیس کش در حال اجرا نیست لطفا با مدیر پشتیبانی / پشتیبانی فنی تماس بگیرید
GitHub,GitHub
Sendgrid,sendgrid
Add your own Tag Categories,دسته بندی برچسب های خود را اضافه کنید
New {} releases for the following apps are available,{} جدید برای برنامه های زیر در دسترس است
User permission already exists,مجوز کاربر در حال حاضر وجود دارد
Incoming email account not correct,حساب ایمیل ورودی درست نیست
User {0} cannot be renamed,کاربر {0} نمیتواند تغییر نام دهد
Remember Last Selected Value,به یاد داشته باشید آخرین مقدار انتخاب شده
Client Secret,مشتری راز
Quick Help for Setting Permissions,راهنمای سریع برای تنظیم مجوزها
Enable Two Factor Auth,فعال کردن دو فاکتور Auth
Warning,اخطار
Invalid payment gateway credentials,اعتبار دروازه پرداخت نامعتبر است
Are you sure you want to relink this communication to {0}?,آیا مطمئن هستید که میخواهید این ارتباط را به {0} برگردانید؟
Check this to pull emails from your mailbox,برای پاک کردن ایمیل ها از صندوق پستی خود، این را بررسی کنید
You don't have access to Report: {0},شما به گزارش گزارش دسترسی ندارید: {0}
Keeps track of all communications,پیگیری تمام ارتباطات را نگه می دارد
Configure Theme,پیکربندی تم
Login not allowed at this time,در این زمان مجاز نیست وارد شوید
It is risky to delete this file: {0}. Please contact your System Manager.,خطر این فایل را حذف کنید: {0}. لطفا با مدیر سیستم خود تماس بگیرید.
Please ensure that your profile has an email address,لطفا اطمینان حاصل کنید که نمایه شما دارای یک آدرس ایمیل است
Toggle Full Width,تعویض کامل عرض
Starting Frappe ...,شروع Frappe ...
Allow Guest to View,اجازه دادن به مهمان به مشاهده
Column Break,شکستن ستون
Go to {0} Page,برو به {0} صفحه
System,سیستم
{0} must be unique,{0} باید منحصر به فرد باشد
Your payment was successfully accepted,پرداخت شما با موفقیت پذیرفته شد
Button Label,برچسب دکمه
Move,حرکت
"SQL Conditions. Example: status=""Open""",شرایط SQL مثلا: status = &quot;open&quot;
Confirmed,تایید شده
"Field ""route"" is mandatory for Web Views",فیلد &quot;route&quot; برای مشاهده وب سایت اجباری است
Apply,درخواست دادن
Sender,فرستنده
Mark as {0},علامت گذاری به عنوان {0}
Discard,نادیده گرفتن
Select an image of approx width 150px with a transparent background for best results.,یک تصویر از عرض حدود 150 پیکسل با یک پس زمینه شفاف برای بهترین نتایج انتخاب کنید.
Relapsed,ریفلاکس
Email Sent,ایمیل ارسال شد
Read by Recipient On,خوانده شده توسط گیرنده در
Allow user to login only after this hour (0-24),اجازه دهید کاربر بعد از این ساعت وارد شود (0-24)
"document type..., e.g. customer",نوع سند ...، به عنوان مثال مشتری
Website Theme Image,تصویر وب سایت
Everyone,هر کس
You do not have enough review points,شما نقاط بررسی کافی ندارید
Integration Type,نوع ادغام
Fieldtype {0} for {1} cannot be unique,Fieldtype {0} برای {1} نمیتواند منحصر به فرد باشد
{0} is mandatory,{0} اجباری است
View Log,مشاهده ورود
"Actions for workflow (e.g. Approve, Cancel).",عملیات برای گردش کار (مانند تایید، لغو).
Pick Columns,ستونها را انتخاب کنید
Cannot map because following condition fails: ,نمیتوان نقشه را به دلیل عدم موفقیت در شرایط زیر انجام داد:
Sorry! User should have complete access to their own record.,متاسف! کاربر باید دسترسی کامل به رکورد خود داشته باشد.
Try to avoid repeated words and characters,سعی کنید از کلمات و شخصیت های تکراری اجتناب کنید
Add Comment,اضافه کردن نظر
Emails are muted,ایمیل ها خاموش می شوند
{0}: Cannot set Amend without Cancel,{0}: نمیتوان تنظیم بدون لغو انجام داد
old_parent,old_parent
Module to Export,ماژول برای صادرات
Fields,زمینه های
You are not allowed to print this document,شما مجاز به چاپ این سند نیستید
Parent,والدین
"Your session has expired, please login again to continue.",جلسه شما منقضی شده است، لطفا برای ادامه دوباره وارد شوید.
Priority,اولویت
click here,اینجا کلیک کنید
Wednesday,چهار شنبه
Additional Permissions,مجوزهای اضافی
Send Now,در حال حاضر ارسال
ASC,ASC
Both login and password required,هر دو ورود و رمز عبور مورد نیاز است
 for {0},برای {0}
Cache Cleared,حافظه پنهان پاک شده است
Energy Points,امتیاز انرژی
Refreshing...,تازه کردن ...
This is similar to a commonly used password.,این شبیه به یک رمز عبور معمولی است که استفاده می شود.
Last Point Allocation Date,تاریخ انتصاب آخرین نقطه
Index,فهرست مطالب
Is Published Field must be a valid fieldname,فیلد منتشر شده باید یک فیلد معتبر باشد
Mapping Name,نام نقشه گذاری
Sorry! I could not find what you were looking for.,متاسف! من نمی توانستم آنچه را که دنبالش بودم پیدا کنم
Please select atleast 1 column from {0} to sort/group,لطفا از ستون {1} atleast 1 ستون را برای مرتب سازی بر / گروه انتخاب کنید
Allow Read On All Link Options,اجازه خواندن در تمام گزینه های لینک
Reset OTP Secret,بازنشانی OTP راز
UPPER CASE,مورد بالا
Please set Email Address,لطفا آدرس ایمیل را تنظیم کنید
Marked As Spam,علامت گذاری به عنوان هرزنامه
Import Subscribers,مشترکین واردات
Jobs,شغل ها
Save Filter,ذخیره فیلتر
Preferred Shipping Address,آدرس ارسالی ترجیحی
The name that will appear in Google Calendar,نامی که در تقویم Google ظاهر می شود
&gt; {0} year(s) ago,&gt; {0} سال (ها) قبل
Disable SMTP server authentication,غیرفعال کردن اعتبار سرور SMTP
Total number of emails to sync in initial sync process ,تعداد کل ایمیل ها برای همگام سازی در روند همگام سازی اولیه
Enable Password Policy,خط مشی رمز عبور را فعال کنید
Mobile No,هیچ موبایل
CC,CC
Fw: {0},Fw: {0}
Amount must be greater than 0.,مقدار باید بیش از 0 باشد.
Please enter values for App Access Key and App Secret Key,لطفا مقادیر برای کلید دسترسی برنامه و کلیدی برنامه را وارد کنید
Add Unsubscribe Link,پیوند Unsubscribe را اضافه کنید
Queued for backup. It may take a few minutes to an hour.,برای تهیه پشتیبان به صورت صف ممکن است چند دقیقه تا یک ساعت طول بکشد.
Outlook.com,Outlook.com
Submitting,ارسال
Insert Code,کد را وارد کنید
Not In,نه در
Start Date,تاریخ شروع
Set Chart,تنظیم نمودار
My Account,حساب من
Is Published Field,فیلد منتشر شده است
Set non-standard precision for a Float or Currency field,تنظیم دقیق غیر استاندارد برای فیلد شناور یا ارز
The CSV format is case sensitive,فرمت CSV حساس به حروف است
Export Data in CSV / Excel format.,صادرات داده ها در قالب CSV / اکسل.
No records present in {0},هیچ سوابق موجود در {0}
Please select Entity Type first,لطفا ابتدا Entity Type را انتخاب کنید
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip: افزودن <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> برای ارسال مرجع سند
LDAP First Name Field,فیلد نام LDAP
Default Sending and Inbox,پیشفرض ارسال و صندوق ورودی
"For updating, you can update only selective columns.",برای به روز رسانی، شما می توانید تنها ستون های انتخابی را به روز کنید.
Default for 'Check' type of field must be either '0' or '1',پیش فرض برای &#39;Check&#39; نوع فیلد باید یا &#39;0&#39; یا &#39;1&#39; باشد
Share this document with,این سند را به اشتراک بگذارید
Print Hide,پنهان کردن چاپ
Text,متن
User Field,فیلد کاربر
Google Calendar ID,شناسه تقویم گوگل
Reverted,بازگشت
Edit to add content,ویرایش برای اضافه کردن محتوا
Bulk Update,بروز رسانی فله
Secret Access Key,کلید دسترسی راز
You need to be in developer mode to edit a Standard Web Form,برای ویرایش یک فرم استاندارد وب، باید در حالت توسعه دهنده باشید
Logout from all devices while changing Password,خروج از همه دستگاهها هنگام تغییر رمز عبور
Skip Authorization,پرش مجوز
Public,عمومی
Following fields have missing values:,زمینه های زیر ارزش های گمشده دارند:
after_insert,after_insert
Make Default,پیش فرض
Refresh,تازه کردن
Edit DocType,ویرایش DocType
"""Company History""",&quot;تاریخچه شرکت&quot;
Use the field to filter records,از فیلد برای فیلتر کردن سوابق استفاده کنید
Brute Force Security,امنیت نیروی بیرحمانه
Cannot move row,ردیف نمیتواند حرکت کند
pause,مکث
Low,کم
Role Permissions,مجوزهای نقش
Sent/Received Email,ارسال / دریافت ایمیل
Permission Levels,سطح مجوز
Add Another Comment,یک نظر دیگر اضافه کنید
You have {0} days left in your subscription,شما {0} روز در اشتراک خود را ترک کرده اید
"Once submitted, submittable documents cannot be changed. They can only be Cancelled and Amended.",پس از ارسال، اسناد قابل تحویل قابل تغییر نیست. آنها فقط می توانند لغو و اصلاح شوند.
Allow approval for creator of the document,برای تایید سند اجازه دهید اجازه دهید
Complete,تکمیل
See all past reports.,تمام گزارش های گذشته را ببینید
Newsletter has already been sent,خبرنامه قبلا فرستاده شده است
Print Settings,تنظیمات چاپ
Categorize blog posts.,پست های وبلاگ را طبقه بندی کنید
Last IP,آخرین IP
One of,یکی از
Cannot send this email. You have crossed the sending limit of {0} emails for this month.,نمی توانم این ایمیل را بفرستم شما از حد ارسالی {0} ایمیل برای این ماه عبور کرده اید.
Domains HTML,دامنه HTML
Blog Settings,تنظیمات وبلاگ
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores",نام DocType باید با یک حرف شروع شود و تنها می تواند شامل حروف، اعداد، فضاها و حروف زیر باشد
Integrations can use this field to set email delivery status,ادغام می توانند از این فیلد برای تعیین وضعیت تحویل ایمیل استفاده کنند
Stripe payment gateway settings,تنظیمات دروازه پرداخت خط
Fonts,فونت ها
Channel,کانال
Opened,افتتاح شد
Conditions,شرایط
Don't have an account? Sign up,حساب کاربری ندارید؟ ثبت نام
Added {0},اضافه شده {0}
Create and Send Newsletters,ایجاد و ارسال خبرنامه
Footer Items,آیتم های پایه
Website Slideshow Item,بخش نمایش وب سایت وب سایت
Register OAuth Client App,ثبت برنامه مشتری OAuth
Frames,فریم ها
List View Setting,فهرست تنظیمات نمایش
Data Export,صادرات داده
Depends On,بستگی دارد به
Widths can be set in px or %.,عرض را می توان در px یا٪ تنظیم کرد.
Address and other legal information you may want to put in the footer.,آدرس و سایر اطلاعات قانونی که می خواهید در پایین صفحه قرار دهید.
Document Type is not importable,نوع سند وارد نمی شود
User {0} does not have access to this document,کاربر {0} به این سند دسترسی ندارد
User Name,نام کاربری
UIDVALIDITY,هوش مصنوعی
via automatic rule {0} on {1},از طریق قانون خودکار {0} در {1}
You are not connected to Internet. Retry after sometime.,شما به اینترنت متصل نیستید. بعدا دوباره تلاش کنید
Transition Rules,قوانین انتقال
