Connector Type,Tilslutningstype
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Ethvert strengbaseret printersprog kan bruges. Skrivning af rå kommandoer kræver viden om printerens modersmål, der leveres af printerproducenten. Se venligst udviklerhåndbogen fra printerproducenten om, hvordan du skriver deres indbyggede kommandoer. Disse kommandoer udføres på server side ved hjælp af Jinja Templating Language."
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","Fejl ved tilslutning til QZ Tray Application ... <br><br> Du skal have QZ Tray-programmet installeret og kører, for at bruge funktionen Raw Print. <br><br> <a href=""https://qz.io/download/"" target=""_blank"">Klik her for at hente og installere QZ Tray</a> . <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Klik her for at lære mere om Raw Printing</a> ."
Please select another payment method. Razorpay does not support transactions in currency '{0}',Vælg venligst en anden betalingsmetode. Razorpay understøtter ikke transaktioner i valuta &#39;{0}&#39;
User permissions should not apply for this Link,Bruger tilladelser bør ikke gælde for denne link
Click on the link below to complete your registration and set a new password,Klik på linket nedenfor for at afslutte din registrering og indstille en ny adgangskode
Not allowed to print draft documents,Det er ikke tilladt at udskrive udkastsdokumenter
Set up rules for user assignments.,Opsæt regler for brugeropgaver.
Test,Prøve
for automatic creating of the recurring document to continue.,til automatisk oprettelse af det tilbagevendende dokument for at fortsætte.
Orange,orange
Enable Outgoing,Aktivér Udgående
"Naming Options:
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","Navngivningsmuligheder: <ol><li> <b>felt: [feltnavn]</b> - Efter felt </li><li> <b>naming_series:</b> - Ved navngivning Serie (felt kaldet naming_series skal være til stede </li><li> <b>Spørg</b> - Hurtig bruger til et navn </li><li> <b>[serie]</b> - Serie efter præfiks (adskilt af en prik); for eksempel PRE. ##### </li><li> <b>format: EXAMPLE- {MM} morewords {fieldname1} - {fieldname2} - {#####}</b> - Udskift alle braced ord (feltnavn, datoord (DD, MM, YY), serie) med deres værdi. Udenfor armaturer, kan alle tegn bruges. </li></ol>"
Select Print Format to Edit,Vælg Udskriv formater for at redigere
New Event,Ny begivenhed
Scheduled to send to {0} recipients,Planlagt at sende til {0} modtagere
Address,Adresse
Enter keys to enable integration with Google GSuite,Indtast nøgler for at aktivere integration med Google GSuite
Open Translation,Åben oversættelse
Please do not change the template headings.,Du må ikke ændre skabelonoverskrifterne.
End date must be greater than start date,Slutdato skal være større end startdato
Merchant ID,Købmand ID
Energy Point Rule,Energy Point Rule
Please enter Client ID before social login is enabled,"Indtast venligst Client ID, før social login er aktiveret"
Has  Attachment,Har vedhæftet fil
Email Signature,Email Signatur
Addresses And Contacts,Adresser og kontakter
This Kanban Board will be private,Dette Kanban Board vil være privat
Current Mapping,Aktuel kortlægning
Based on Permissions For User,Baseret på Tilladelser til bruger
"You can change Submitted documents by cancelling them and then, amending them.",Du kan ændre Indsendte dokumenter ved at annullere dem og derefter ændre dem.
Feedback Rating,Feedback vurdering
This is the template file generated with only the rows having some error. You should use this file for correction and import.,"Dette er skabelonfilen, der genereres med kun rækkerne, der har en vis fejl. Du skal bruge denne fil til rettelse og import."
Middle Name (Optional),Mellemnavn (Valgfrit)
Invalid naming series (. missing),Ugyldig navngivningsserie (. Mangler)
Help Articles,Hjælp artikler
Retry,Prøve igen
You have subscribed for one user free plan,Du har abonneret på en gratis brugerplan
Straight rows of keys are easy to guess,Rette rækker af nøgler er let at gætte
User {0} cannot be disabled,Bruger {0} kan ikke deaktiveres
Let's avoid repeated words and characters,Lad os undgå gentagne ord og tegn
Condition Detail,Tilstand detaljer
Property Type,Ejendomstype
Sunday,Søndag
Row Status,Row Status
Portal Menu Item,Portal Menu Item
Follow,Følge efter
Unable to create bucket: {0}. Change it to a more unique name.,Kunne ikke oprette bucket: {0}. Skift det til et mere unikt navn.
Title Case,Titel sag
You can find things by asking 'find orange in customers',Du kan finde ting ved at spørge &#39;find orange i kunder&#39;
Set custom roles for page and report,Indstil brugerdefinerede roller til side og rapport
Allow,Give lov til
Reference,Reference
Is Mandatory Field,Er obligatorisk felt
Yahoo Mail,Yahoo Mail
User Type,Bruger Type
Take Backup Now,Tag sikkerhedskopiering nu
Blog,Blog
Script to attach to all web pages.,Script til vedhæftning til alle websider.
module name...,modulnavn ...
Users with role {0}:,Brugere med rolle {0}:
"Email Domain not configured for this account, Create one?","E-mail-domæne er ikke konfigureret til denne konto, Opret en?"
Bucket,Spand
Disable Sidebar Stats,Deaktiver sidebjælksstatistik
Busy,Travl
{0} {1} to {2},{0} {1} til {2}
Create Post,Opret post
Printer Mapping,Printerkortlægning
Setup &gt; User Permissions,Opsætning&gt; Brugerautorisationer
"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).","Du vælger Sync Option som ALLE, Det vil genindlæse alle \ læs samt ulæst besked fra server. Dette kan også medføre duplikering \ af kommunikation (e-mails)."
Last synced {0},Senest synkroniseret {0}
Cannot change header content,Kan ikke ændre header indhold
Not allowed to change {0} after submission,Ikke tilladt at ændre {0} efter indsendelse
"The application has been updated to a new version, please refresh this page","Ansøgningen er blevet opdateret til en ny version, opdater venligst denne side"
User Image,Brugerbillede
Action Timeout (Seconds),Action Timeout (sekunder)
New updates are available,Nye opdateringer er tilgængelige
Edit Title,Rediger Titel
Login Required,Login påkrævet
User {0} does not have doctype access via role permission for document {1},Bruger {0} har ikke adgang til doktype via rolletilladelse til dokument {1}
View Permitted Documents,Se tilladte dokumenter
InnoDB,InnoDB
Select a Brand Image first.,Vælg et mærkebillede først.
Field {0} of type {1} cannot be mandatory,Felt {0} af type {1} kan ikke være obligatorisk
Period,Periode
Portal Settings,Portalindstillinger
SparkPost,SparkPost
Sidebar Settings,Sidebjælkeindstillinger
Brand,Brand
Insert After,Indsæt efter
{0} is currently viewing this document,{0} kigger i øjeblikket på dette dokument
Quarter Day,Kvartalsdag
QR Code for Login Verification,QR kode til login verifikation
Already Registered,Allerede registreret
Show Preview Popup,Vis forhåndsvisning popup
Unzip,Unzip
Order,Bestille
Phone No.,Telefon Nej.
Email not verified with {0},Email ikke verificeret med {0}
Column Name,Kolonne navn
API Key,API nøgle
Delete comment?,Slet kommentar?
Error Message,Fejl besked
YES,JA
Space,Plads
Message ID,Besked-id
Hub Sync ID,Hub Sync ID
Apply Strict User Permissions,Anvend strenge brugerrettigheder
Create,skab
{0} is saved,{0} er gemt
From,Fra
Not a valid user,Ikke en gyldig bruger
Headers,headers
Token is missing,Token mangler
Item cannot be added to its own descendents,Elementet kan ikke tilføjes til sine egne efterkommere
With Letterhead,Med brevpapir
Default for {0} must be an option,Standard for {0} skal være en mulighed
0 is highest,0 er højest
us-east-2,os-øst-2
list-alt,liste-alt
Track Email Status,Spor Email Status
Role Name,Rolle navn
Workflow Document State,Workflow Document State
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Alle mulige Workflow-stater og roller i arbejdsgangen. Docstatus Indstillinger: 0 er &quot;Saved&quot;, 1 er &quot;Submitted&quot; og 2 er &quot;Canceled&quot;"
Link Name,Link navn
Message to be displayed on successful completion (only for Guest users),Meddelelse skal vises efter vellykket afslutning (kun for gæstebrugere)
Email Account Name,E-mail-konto navn
OAuth Provider Settings,OAuth Provider Indstillinger
{0} record deleted,{0} post slettet
Remove,Fjerne
Configure accounts for google calendar,Konfigurer konti for google kalender
Currency Name,Valuta Navn
glass,glas
Raw Email,Rå Email
Looks like something is wrong with this site's Paypal configuration.,"Det ser ud til, at noget er galt med denne websteds Paypal-konfiguration."
Online,Online
Go to {0} List,Gå til {0} Liste
Open {0},Åbn {0}
Activity Log,Aktivitetslog
Update,Opdatering
Add Signature,Tilføj signatur
Lock,Låse
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,"Navn på dokumenttype (DocType), du vil have, at dette felt skal knyttes til. fx kunde"
Redis cache server not running. Please contact Administrator / Tech support,Redis cache server kører ikke. Kontakt venligst Administrator / Tech support
GitHub,GitHub
Sendgrid,Sendgrid
Add your own Tag Categories,Tilføj dine egne tagkategorier
New {} releases for the following apps are available,Nye {} udgivelser til følgende apps er tilgængelige
User permission already exists,Bruger tilladelse eksisterer allerede
Incoming email account not correct,Indkommende e-mail-konto er ikke korrekt
User {0} cannot be renamed,Bruger {0} kan ikke omdøbes
Remember Last Selected Value,Husk sidst valgte værdi
Client Secret,Client Secret
Quick Help for Setting Permissions,Hurtig hjælp til indstilling af tilladelser
Enable Two Factor Auth,Aktivér to faktor auth
Warning,Advarsel
Invalid payment gateway credentials,Ugyldige betalingsgateway-legitimationsoplysninger
Are you sure you want to relink this communication to {0}?,"Er du sikker på, at du vil relinkere denne meddelelse til {0}?"
Check this to pull emails from your mailbox,Tjek dette for at trække e-mails fra din postkasse
You don't have access to Report: {0},Du har ikke adgang til Rapport: {0}
Keeps track of all communications,Holder styr på alle meddelelser
Configure Theme,Konfigurer tema
Login not allowed at this time,Log på er ikke tilladt på nuværende tidspunkt
It is risky to delete this file: {0}. Please contact your System Manager.,Det er risikabelt at slette denne fil: {0}. Kontakt venligst din systemadministrator.
Please ensure that your profile has an email address,"Sørg for, at din profil har en e-mail-adresse"
Toggle Full Width,Skift fuld bredde
Starting Frappe ...,Starter Frappe ...
Allow Guest to View,Tillad gæst at se
Column Break,Kolonnebrud
Go to {0} Page,Gå til {0} side
System,System
{0} must be unique,{0} skal være unikt
Your payment was successfully accepted,Din betaling blev godkendt
Button Label,Knappetiket
Move,Bevæge sig
"SQL Conditions. Example: status=""Open""",SQL betingelser. Eksempel: status = &quot;Åbent&quot;
Confirmed,bekræftet
"Field ""route"" is mandatory for Web Views",Felt &quot;rute&quot; er obligatorisk for Webvisninger
Apply,ansøge
Sender,Sender
Mark as {0},Markér som {0}
Discard,Kassér
Select an image of approx width 150px with a transparent background for best results.,Vælg et billede med en bredde på 150 px med en gennemsigtig baggrund for at opnå de bedste resultater.
Relapsed,recidiverende
Email Sent,Email sendt
Read by Recipient On,Læs ved modtager
Allow user to login only after this hour (0-24),Tillad brugeren kun at logge ind efter denne time (0-24)
"document type..., e.g. customer","dokumenttype ..., fx kunde"
Website Theme Image,Website Theme Image
Everyone,Alle sammen
You do not have enough review points,Du har ikke nok bedømmelser
Integration Type,Integrationstype
Fieldtype {0} for {1} cannot be unique,Felttype {0} til {1} kan ikke være unikt
{0} is mandatory,{0} er obligatorisk
View Log,Se log
"Actions for workflow (e.g. Approve, Cancel).","Handlinger til workflow (f.eks. Godkend, Annuller)."
Pick Columns,Vælg kolonner
Cannot map because following condition fails: ,"Kan ikke kortlægge, fordi følgende betingelse fejler:"
Sorry! User should have complete access to their own record.,Undskyld! Bruger skal have fuldstændig adgang til deres egen post.
Try to avoid repeated words and characters,Forsøg at undgå gentagne ord og tegn
Add Comment,Tilføj kommentar
Emails are muted,E-mails er dempet
{0}: Cannot set Amend without Cancel,{0}: Kan ikke indstille Ændre uden Annuller
old_parent,old_parent
Module to Export,Modul til eksport
Fields,Felter
You are not allowed to print this document,Det er ikke tilladt at udskrive dette dokument
Parent,Forældre
"Your session has expired, please login again to continue.","Din session er udløbet, skal du logge ind igen for at fortsætte."
Priority,Prioritet
click here,Klik her
Wednesday,onsdag
Additional Permissions,Yderligere tilladelser
Send Now,Send nu
ASC,ASC
Both login and password required,Både login og adgangskode kræves
 for {0},for {0}
Cache Cleared,Cache ryddet
Energy Points,Energipoint
Refreshing...,Forfriskende ...
This is similar to a commonly used password.,Dette ligner et almindeligt anvendt kodeord.
Last Point Allocation Date,Sidste punkt tildeling dato
Index,Indeks
Is Published Field must be a valid fieldname,Er Udgivet Felt skal være et gyldigt feltnavn
Mapping Name,Mapping Name
Sorry! I could not find what you were looking for.,"Undskyld! Jeg kunne ikke finde det, du ledte efter."
Please select atleast 1 column from {0} to sort/group,Vælg venligst mindst 1 kolonne fra {0} for at sortere / gruppere
Allow Read On All Link Options,Tillad læsning på alle linkindstillinger
Reset OTP Secret,Nulstil OTP Secret
UPPER CASE,STORE BOGSTAVER
Please set Email Address,Venligst indstil e-mail-adresse
Marked As Spam,Markeret som spam
Import Subscribers,Importer abonnenter
Jobs,Job
Save Filter,Gem filter
Preferred Shipping Address,Foretrukken forsendelsesadresse
The name that will appear in Google Calendar,Navnet der vises i Google Kalender
&gt; {0} year(s) ago,&gt; {0} år siden
Disable SMTP server authentication,Deaktiver SMTP-serverautentificering
Total number of emails to sync in initial sync process ,"Samlet antal e-mails, der skal synkroniseres i første synkroniseringsproces"
Enable Password Policy,Aktivér adgangskodepolitik
Mobile No,Mobil nummer
CC,CC
Fw: {0},Fw: {0}
Amount must be greater than 0.,Beløbet skal være større end 0.
Please enter values for App Access Key and App Secret Key,Indtast værdier for App Access Key og App Secret-nøgle
Add Unsubscribe Link,Tilføj Afmeld Tilmeld Link
Queued for backup. It may take a few minutes to an hour.,Kø for backup. Det kan tage et par minutter til en time.
Outlook.com,Outlook.com
Submitting,Indsendelse
Insert Code,Indsæt kode
Not In,Ikke i
Start Date,Start dato
Set Chart,Indstil diagram
My Account,Min konto
Is Published Field,Er udgivet felt
Set non-standard precision for a Float or Currency field,Indstil ikke-standard præcision for et Float eller Currency-felt
The CSV format is case sensitive,CSV-formatet er hovedtekstmæssigt
Export Data in CSV / Excel format.,Eksporter data i CSV / Excel-format.
No records present in {0},Ingen poster til stede i {0}
Please select Entity Type first,Vælg venligst Entity Type først
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip: Tilføj <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> at sende dokumentreference
LDAP First Name Field,LDAP fornavn felt
Default Sending and Inbox,Standard afsendelse og indbakke
"For updating, you can update only selective columns.",For opdatering kan du kun opdatere selektive kolonner.
Default for 'Check' type of field must be either '0' or '1',Standard for &#39;Check&#39; typen af felt skal enten være &#39;0&#39; eller &#39;1&#39;
Share this document with,Del dette dokument med
Print Hide,Udskriv Skjul
Text,Tekst
User Field,Brugerfelt
Google Calendar ID,Google Kalender-id
Reverted,Gendannet
Edit to add content,Rediger for at tilføje indhold
Bulk Update,Bulk Update
Secret Access Key,Secret Access Key
You need to be in developer mode to edit a Standard Web Form,Du skal være i udviklertilstand for at redigere en standardwebformular
Logout from all devices while changing Password,"Logout fra alle enheder, mens du ændrer adgangskode"
Skip Authorization,Skip autorisation
Public,Offentlig
Following fields have missing values:,Følgende felter har manglende værdier:
after_insert,after_insert
Make Default,Gør standard
Refresh,Opdater
Edit DocType,Rediger DocType
"""Company History""",&quot;Bedriftshistorie&quot;
Use the field to filter records,Brug feltet til at filtrere poster
Brute Force Security,Brute Force Security
Cannot move row,Kan ikke flytte række
pause,pause
Low,Lav
Role Permissions,Rolle tilladelser
Sent/Received Email,Sendt / modtaget e-mail
Permission Levels,Tilladelsesniveauer
Add Another Comment,Tilføj en anden kommentar
You have {0} days left in your subscription,Du har {0} dage tilbage i dit abonnement
"Once submitted, submittable documents cannot be changed. They can only be Cancelled and Amended.",Indsendt dokumenter kan ikke ændres. De kan kun annulleres og ændres.
Allow approval for creator of the document,Tillad godkendelse til skaberen af dokumentet
Complete,Komplet
See all past reports.,Se alle tidligere rapporter.
Newsletter has already been sent,Nyhedsbrevet er allerede sendt
Print Settings,Udskriftsindstillinger
Categorize blog posts.,Kategoriser blogindlæg.
Last IP,Sidste IP
One of,En af
Cannot send this email. You have crossed the sending limit of {0} emails for this month.,Kan ikke sende denne email. Du har krydset sendegrænsen for {0} e-mails for denne måned.
Domains HTML,Domæner HTML
Blog Settings,Blogindstillinger
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores","DocType navn skal starte med et bogstav, og det kan kun bestå af bogstaver, tal, mellemrum og understregninger"
Integrations can use this field to set email delivery status,Integrationer kan bruge dette felt til at angive leveringsstatus for e-mail
Stripe payment gateway settings,Stripe betalings gateway indstillinger
Fonts,Skrifttyper
Channel,Kanal
Opened,åbnede
Conditions,Betingelser
Don't have an account? Sign up,Har du ikke en konto? Tilmelde
Added {0},Tilføjet {0}
Create and Send Newsletters,Opret og send nyhedsbreve
Footer Items,Footer elementer
Website Slideshow Item,Website Slideshow Item
Register OAuth Client App,Registrer OAuth Client App
Frames,Rammer
List View Setting,Listevisning indstilling
Data Export,Data Eksport
Depends On,Afhænger af
Widths can be set in px or %.,Bredder kan indstilles i px eller%.
Address and other legal information you may want to put in the footer.,"Adresse og andre juridiske oplysninger, som du måske vil lægge i sidebladet."
Document Type is not importable,Dokumenttype kan ikke importeres
User {0} does not have access to this document,Bruger {0} har ikke adgang til dette dokument
User Name,Brugernavn
UIDVALIDITY,UIDVALIDITY
via automatic rule {0} on {1},via automatisk regel {0} på {1}
You are not connected to Internet. Retry after sometime.,Du er ikke forbundet til internettet. Prøv igen efter engang.
Transition Rules,Overgangsregler
resize-vertical,ændre størrelsen lodret
Shared With,Delet med
Add Row,Tilføj række
th-list,th-liste
Subdomain,subdomæne
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Du må ikke HTML kode HTML-tags som &lt;script&gt; eller bare tegn som &lt;eller&gt;, da de med vilje kunne bruges i dette felt"
; not allowed in condition,; ikke tilladt i tilstand
Two Factor Authentication method,Two Factor Authentication metode
New Message from Website Contact Page,Ny meddelelse fra hjemmesiden Kontakt side
"Your download is being built, this may take a few moments...","Din download bliver opført, det kan tage et øjeblik ..."
Compact Item Print,Kompakt vareudskrivning
Lft,Lft
align-justify,tilpasse-retfærdiggøre
Saving...,Gemmer ...
Error Report,Fejlrapport
{0} changed {1} to {2},{0} ændret {1} til {2}
Active,Aktiv
Export Report: {0},Eksportrapport: {0}
"Login session expired, refresh page to retry","Login session udløbet, opdater siden for at prøve igen"
System Manager,System Manager
Short keyboard patterns are easy to guess,Korte tastaturmønstre er nemme at gætte
Enable Incoming,Aktivér Indgående
"Level 0 is for document level permissions, \
								higher levels for field level permissions.","Niveau 0 er til dokumentniveau tilladelser, \ højere niveauer for tilladelser på feltniveau."
City/Town,By / By
GMail,GMail
"This will reset your current theme, are you sure you want to continue?","Dette vil nulstille dit aktuelle tema, er du sikker på, at du vil fortsætte?"
Mandatory fields required in {0},Obligatoriske felter kræves i {0}
Error while connecting to email account {0},Fejl under forbindelse til e-mail-konto {0}
An error occured while creating recurring,Der opstod en fejl under oprettelse af tilbagevendende
Not a zip file,Ikke en zip-fil
Port,Havn
Invalid Access Key ID or Secret Access Key.,Ugyldig adgangskode ID eller Secret Access-nøgle.
Redirect URIs,Omdirigere URI&#39;er
Font,Skrifttype
Text Color,Tekstfarve
I found these: ,Jeg fandt disse:
Timeline DocType,Tidslinje DocType
File,Fil
Insert After cannot be set as {0},Indsæt efter kan ikke indstilles som {0}
Drag elements from the sidebar to add. Drag them back to trash.,Træk elementer fra sidepanelet for at tilføje. Træk dem tilbage til skraldespanden.
Chat Profile for User {0} exists.,Chat profil for bruger {0} findes.
Default Role at Time of Signup,Standard rolle ved registreringstidspunktet
Table MultiSelect,Tabel MultiSelect
Form Settings,Formindstillinger
{0} self assigned this task: {1},{0} selv tildelt denne opgave: {1}
Relapses,tilbagefald
Notify users with a popup when they log in,"Underret brugere med en pop-up, når de logger ind"
Restrict user for specific document,Begræns bruger for specifikt dokument
App Name,App navn
Delayed,forsinket
Your subscription has expired.,Dit abonnement er udløbet.
Download Link,Download link
"Standard DocType cannot have default print format, use Customize Form","Standard DocType kan ikke have standard udskriftsformat, bruger Tilpas formular"
Document States,Dokument stater
Next,Næste
Pull Insert,Træk indsæt
minus,minus
Event Category,Hændelseskategori
Columns based on,Kolonner baseret på
Edit Heading,Rediger overskrift
Received,Modtaget
You are not permitted to access this page.,Du har ikke adgang til denne side.
User Social Login,Bruger Social Login
Write a Python file in the same folder where this is saved and return column and result.,"Skriv en Python-fil i samme mappe, hvor dette er gemt, og returner kolonne og resultat."
Purchase Manager,Købschef
"target = ""_blank""",target = &quot;_blank&quot;
New data will be inserted.,Nye data indsættes.
Set Banner from Image,Indstil banner fra billede
Prepared Report,Udarbejdet rapport
Not allowed to print cancelled documents,Det er ikke tilladt at udskrive annullerede dokumenter
Cannot delete {0} as it has child nodes,"Kan ikke slette {0}, da det har børne noder"
