Connector Type,Typ konektora
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.","Zdá sa, že ste namiesto svojho e-mailu napísali svoje meno. Zadajte platnú e-mailovú adresu, aby sme sa mohli vrátiť."
Website Settings,Nastavenia webových stránok
Background Email Queue,Fronta e-mailov na pozadí
{0} and {1},{0} a {1}
There was an error saving filters,Vyskytli sa chyby pri ukladaní filtrov
Enter your password,Zadajte svoje heslo
Cannot delete Home and Attachments folders,Priečinky Domov a prílohy nie je možné odstrániť
Settings for Contact Us Page,Nastavenia pre Kontaktujte nás
Social Login Provider,Poskytovateľ sociálneho prihlásenia
Previous Hash,Predchádzajúce hash
Value Changed,Hodnota bola zmenená
Report Type,Typ hlásenia
Default Address Template cannot be deleted,Predvolenú šablónu adresy nemožno odstrániť
Please set script URL on Gsuite Settings,Nastavte adresu skriptu v nastaveniach služby Gsuite
Invalid limit {0},Neplatný limit {0}
No of emails remaining to be synced,Počet zostávajúcich e-mailov na synchronizáciu
User ID,ID používateľa
Website,webové stránky
sa-east-1,sa-east-1
Notification Recipient,Príjemca oznámenia
Module,modul
Address Type,typ adresy
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.","Ak je toto políčko začiarknuté, riadky s platnými údajmi sa naimportujú a neplatné riadky sa uložia do nového súboru, ktorý chcete neskôr importovať."
Error Log,Chybový protokol
Half,polovičná
Home Page,Domovská stránka
Current Mapping Start,Spustenie aktuálneho mapovania
eye-close,eye-close
Assignment closed by {0},Zadanie ukončil {0}
Next Date's day and Repeat on Day of Month must be equal,Ďalší Deň dátumu a Opakovať v Deň mesiaca musia byť rovnaké
Comments cannot have links or email addresses,Komentáre nemôžu obsahovať odkazy ani e-mailové adresy
Reference Communication,Referenčná komunikácia
Mandatory:,povinné:
Setting up your system,Nastavenie systému
Payment Failed,Platba zlyhala
Read,prečítať
SSL/TLS Mode,Režim SSL / TLS
Print Format Help,Pomocník pre formát tlače
Between,medzi
Thank you for your interest in subscribing to our updates,Ďakujeme za Váš záujem o odber našich aktualizácií
Full Name,Celé meno
Allow GCalendar Access,Povoliť prístup GCalendar
Reset Permissions for {0}?,Obnoviť povolenia pre {0}?
Start entering data below this line,Začnite zadávať údaje pod tento riadok
UNSEEN,nevidený
JS,JS
All-uppercase is almost as easy to guess as all-lowercase.,All-uppercase je takmer rovnako ľahké uhádnuť ako všetky malé písmená.
Cannot use sub-query in order by,Podponuku nie je možné použiť podľa poradia
Transaction Log Report,Protokol o transakčnom protokole
Is Global,Je globálny
Options Help,Možnosti Pomocník
Is Sent,Je odoslaná
Transaction Log,Denník transakcií
eu-west-3,eu-západ-3
Complete Setup,Kompletné nastavenie
OTP Secret has been reset. Re-registration will be required on next login.,OTP Secret bolo obnovené. Pri ďalšom prihlásení bude potrebná opätovná registrácia.
In List View,V zobrazení zoznamu
Feedback Trigger,Spúšťač spätnej väzby
Confirm,potvrdiť
Valid email and name required,Vyžaduje sa platný e-mail a meno
List of patches executed,Zoznam vykonaných opráv
Email Queue,Fronta e-mailov
View Website,Zobraziť webové stránky
Fetch If Empty,Fetch If Empty
Select,vybrať
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","Zadajte predvolené polia hodnôt (klávesy) a hodnoty. Ak pre pole pridáte viacero hodnôt, prvý sa vyberie. Tieto predvolené nastavenia sa tiež používajú na nastavenie pravidiel povolenia „zhody“. Ak chcete zobraziť zoznam polí, prejdite na položku „Prispôsobiť formulár“."
Section Heading,Nadpis oddielu
Avoid dates and years that are associated with you.,"Vyhnite sa dátumom a rokom, ktoré sú s vami spojené."
Press Enter to save,Stlačením klávesu Enter uložíte
Reviews,recenzia
State,stáť
Translation,preklad
Columns,stĺpce
Cannot change docstatus from 1 to 0,Nemožno zmeniť docstatus z 1 na 0
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Môžu sa použiť všetky jazyky tlačiarne založené na reťazci. Zápis surových príkazov vyžaduje znalosť natívneho jazyka tlačiarne poskytnutého výrobcom tlačiarne. Informácie o spôsobe písania natívnych príkazov nájdete v príručke pre vývojárov, ktorú poskytol výrobca tlačiarne. Tieto príkazy sú vykreslené na strane servera pomocou jazyka Jinja Templating Language."
Please select another payment method. Razorpay does not support transactions in currency '{0}',Vyberte iný spôsob platby. Razorpay nepodporuje transakcie v mene &#39;{0}&#39;
User permissions should not apply for this Link,Pre toto prepojenie by sa nemali vzťahovať povolenia používateľa
Click on the link below to complete your registration and set a new password,"Ak chcete dokončiť registráciu a nastaviť nové heslo, kliknite na odkaz nižšie"
Not allowed to print draft documents,Nie je dovolené tlačiť návrhy dokumentov
Set up rules for user assignments.,Nastavte pravidlá pre priradenia používateľov.
Test,skúška
for automatic creating of the recurring document to continue.,pre automatické vytváranie opakovaného dokumentu na pokračovanie.
Orange,oranžový
Enable Outgoing,Povoliť odchádzajúce
"Naming Options:
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","Možnosti pomenovania: <ol><li> <b>field: [fieldname]</b> - Podľa poľa </li><li> <b>naming_series:</b> - Podľa Naming Series (pole s názvom naming_series musí byť prítomné </li><li> <b>Výzva</b> - výzva na zadanie mena používateľa </li><li> <b>[séria]</b> - Séria podľa predpony (oddelená bodkou); napríklad PRE. ##### </li><li> <b>formát: PRÍKLAD- {MM} morewords {fieldname1} - {fieldname2} - {#####}</b> - Nahradiť všetky slová (polia, dátumové slová (DD, MM, YY), séria) ich hodnotou. Mimo závorky možno použiť ľubovoľné znaky. </li></ol>"
Select Print Format to Edit,Vyberte položku Print Format (Formát tlače) na položku Edit (Upraviť)
New Event,Nová udalosť
Scheduled to send to {0} recipients,Plánuje sa odoslať príjemcom {0}
Address,adresa
Enter keys to enable integration with Google GSuite,"Zadajte kľúče, ktoré umožnia integráciu so službou Google GSuite"
Open Translation,Otvorte preklad
Please do not change the template headings.,Nezmieňajte nadpisy šablón.
End date must be greater than start date,Dátum ukončenia musí byť väčší ako dátum začiatku
Merchant ID,ID obchodníka
Energy Point Rule,Pravidlo Energy Point
Please enter Client ID before social login is enabled,Pred aktivovaním sociálneho prihlásenia zadajte ID klienta
Has  Attachment,Má prílohu
Email Signature,Podpis e-mailu
Addresses And Contacts,Adresy a kontakty
This Kanban Board will be private,Tento Kanban Board bude súkromný
Current Mapping,Aktuálne mapovanie
Based on Permissions For User,Na základe oprávnení pre používateľa
"You can change Submitted documents by cancelling them and then, amending them.","Odoslané dokumenty môžete zmeniť tak, že ich zrušíte a potom ich upravíte."
Feedback Rating,Hodnotenie spätnej väzby
This is the template file generated with only the rows having some error. You should use this file for correction and import.,"Toto je súbor šablóny vytvorený len s riadkami, ktoré majú nejakú chybu. Tento súbor by ste mali použiť na opravu a import."
Middle Name (Optional),Stredné meno (voliteľné)
Invalid naming series (. missing),Neplatná séria mien (. Chýba)
Help Articles,Články pomocníka
Retry,Skúsiť znova
You have subscribed for one user free plan,Prihlásili ste sa na odber jedného bezplatného plánu používateľa
Straight rows of keys are easy to guess,Priame rady kľúčov sa dajú ľahko odhadnúť
User {0} cannot be disabled,Používateľ {0} nie je možné vypnúť
Let's avoid repeated words and characters,Zamedzme opakovaným slovám a znakom
Condition Detail,Podrobnosti o stave
Property Type,Typ nehnuteľnosti
Sunday,nedeľa
Row Status,Stav riadka
Portal Menu Item,Položka ponuky portálu
Follow,nasledovať
Unable to create bucket: {0}. Change it to a more unique name.,Nepodarilo sa vytvoriť segment: {0}. Zmeňte ho na jedinečnejší názov.
Title Case,Názov Prípad
You can find things by asking 'find orange in customers',"Môžete nájsť veci tak, že požiadate o nájdenie pomaranča"
Set custom roles for page and report,Nastavte vlastné role pre stránku a prehľad
Allow,dovoliť
Reference,referencie
Is Mandatory Field,Je povinné pole
Yahoo Mail,Yahoo Mail
User Type,Typ používateľa
Take Backup Now,Zálohujte teraz
Blog,Blog
Script to attach to all web pages.,Skript na pripojenie ku všetkým webovým stránkam.
module name...,názov modulu ...
Users with role {0}:,Používatelia s rolou {0}:
"Email Domain not configured for this account, Create one?","E-mailová doména nie je pre tento účet nakonfigurovaná, Vytvoriť?"
Bucket,vedro
Disable Sidebar Stats,Zakázať štatistiky bočného panela
Busy,Zaneprázdnený
{0} {1} to {2},{0} {1} až {2}
Create Post,Vytvoriť príspevok
Printer Mapping,Mapovanie tlačiarne
"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).","Vyberiete možnosť Sync Option ako ALL, obnoví všetky prečítané aj neprečítané správy zo servera. Môže to tiež spôsobiť duplikáciu komunikácie (e-maily)."
Last synced {0},Posledná synchronizácia {0}
Cannot change header content,Obsah hlavičky sa nedá zmeniť
Not allowed to change {0} after submission,Po odoslaní nie je dovolené zmeniť {0}
"The application has been updated to a new version, please refresh this page","Aplikácia bola aktualizovaná na novú verziu, obnovte túto stránku"
User Image,Obrázok používateľa
Action Timeout (Seconds),Časový limit akcie (sekundy)
New updates are available,K dispozícii sú nové aktualizácie
Edit Title,Upraviť názov
Login Required,Vyžadované prihlásenie
User {0} does not have doctype access via role permission for document {1},Používateľ {0} nemá prístup doctype cez povolenie role pre dokument {1}
View Permitted Documents,Zobrazenie povolených dokumentov
InnoDB,InnoDB
Select a Brand Image first.,Najprv vyberte obrázok značky.
Period,perióda
Portal Settings,Nastavenia portálu
SparkPost,SparkPost
Sidebar Settings,Nastavenia bočného panela
Brand,značka
Insert After,Vložiť za
{0} is currently viewing this document,{0} momentálne prezerá tento dokument
Quarter Day,Štvrťročný deň
QR Code for Login Verification,QR kód pre overenie prihlásenia
Already Registered,Už zaregistrované
Show Preview Popup,Zobraziť ukážku ukážky
Unzip,rozopnúť zips
Order,objednať
Phone No.,Telefonne cislo.
Email not verified with {0},E-mail nebol overený pomocou {0}
Column Name,Názov stĺpca
API Key,Kľúč API
Delete comment?,Odstrániť komentár?
Error Message,Chybná správa
YES,ÁNO
Space,priestor
Message ID,ID správy
Hub Sync ID,ID synchronizácie rozbočovača
Apply Strict User Permissions,Použiť prísne povolenia používateľa
Create,vytvoriť
{0} is saved,{0} sa uloží
From,z
Not a valid user,Nie je platný používateľ
Headers,hlavičky
Token is missing,Chýba symbol
Item cannot be added to its own descendents,Položka nemôže byť pridaná k vlastným potomkom
With Letterhead,S hlavičkovým papierom
Default for {0} must be an option,Predvolená hodnota pre {0} musí byť voľbou
0 is highest,0 je najvyššia
us-east-2,us-east-2
list-alt,list-alt
Track Email Status,Sledovanie stavu e-mailu
Role Name,Názov role
Workflow Document State,Stav dokumentu Workflow
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Všetky možné stavy pracovného toku a úlohy pracovného toku. Možnosti dokladu: 0 je &quot;Uložené&quot;, 1 je &quot;Odoslané&quot; a 2 &quot;Zrušené&quot;"
Link Name,Názov odkazu
Message to be displayed on successful completion (only for Guest users),"Správa, ktorá sa zobrazí pri úspešnom dokončení (iba pre používateľov v službe Guest)"
Email Account Name,Meno e-mailového účtu
OAuth Provider Settings,Nastavenia poskytovateľa OAuth
{0} record deleted,{0} záznam bol vymazaný
Remove,odstrániť
Configure accounts for google calendar,Konfigurujte účty pre kalendár Google
Currency Name,Názov meny
glass,sklo
Raw Email,Raw Email
Looks like something is wrong with this site's Paypal configuration.,"Vyzerá to, že niečo nie je v poriadku s Paypal konfiguráciou tejto stránky."
Online,online
Go to {0} List,Prejdite na {0} List
Open {0},Otvoriť {0}
Activity Log,Denník aktivít
Update,aktualizovať
Add Signature,Pridať podpis
Lock,zamknúť
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,"Názov typu dokumentu (DocType), s ktorým chcete toto pole prepojiť. napr"
Redis cache server not running. Please contact Administrator / Tech support,Nie je spustený server vyrovnávacej pamäte. Kontaktujte administrátora / technickú podporu
GitHub,GitHub
Sendgrid,Sendgrid
Add your own Tag Categories,Pridajte vlastné kategórie značiek
New {} releases for the following apps are available,K dispozícii sú nové vydania {} pre nasledujúce aplikácie
User permission already exists,Povolenie používateľa už existuje
Incoming email account not correct,Prichádzajúci e-mailový účet nie je správny
User {0} cannot be renamed,Užívateľa {0} nie je možné premenovať
Remember Last Selected Value,Zapamätať poslednú vybratú hodnotu
Client Secret,Klient Secret
Quick Help for Setting Permissions,Rýchla pomoc pre nastavenie oprávnení
Enable Two Factor Auth,Povoliť overenie dvoch faktorov
Warning,Výstraha
Invalid payment gateway credentials,Neplatné poverenia platobnej brány
Are you sure you want to relink this communication to {0}?,Naozaj chcete túto komunikáciu znova prepojiť s hodnotou {0}?
Check this to pull emails from your mailbox,"Ak chcete vytiahnuť e-maily z poštovej schránky, začiarknite toto políčko"
You don't have access to Report: {0},Nemáte prístup k prehľadu: {0}
Keeps track of all communications,Sleduje všetku komunikáciu
Configure Theme,Konfigurácia témy
Login not allowed at this time,Prihlásenie momentálne nie je povolené
It is risky to delete this file: {0}. Please contact your System Manager.,Odstránenie tohto súboru je riskantné: {0}. Obráťte sa na správcu systému.
Please ensure that your profile has an email address,"Uistite sa, že váš profil obsahuje e-mailovú adresu"
Toggle Full Width,Prepnúť celú šírku
Starting Frappe ...,Spustí sa súbor Frappe ...
Allow Guest to View,Povoliť zobrazenie hosťa
Column Break,Prestávka stĺpca
Go to {0} Page,Prejdite na {0} Stránka
System,systém
{0} must be unique,{0} musí byť jedinečné
Your payment was successfully accepted,Vaša platba bola úspešne prijatá
Button Label,Tlačidlo Popis
Move,sťahovať
"SQL Conditions. Example: status=""Open""",Podmienky SQL. Príklad: status = &quot;Otvoriť&quot;
Confirmed,potvrdená
"Field ""route"" is mandatory for Web Views",Pole &quot;trasa&quot; je povinné pre Web Views
Apply,platiť
Sender,odosielateľ
Mark as {0},Označiť ako {0}
Discard,odhodiť
Select an image of approx width 150px with a transparent background for best results.,Vyberte si obrázok s približnou šírkou 150px s priehľadným pozadím pre dosiahnutie najlepších výsledkov.
Relapsed,relapsu
Email Sent,Email odoslaný
Read by Recipient On,Čítať príjemcom Zapnuté
Allow user to login only after this hour (0-24),Povoliť používateľovi prihlásiť sa až po tejto hodine (0-24)
"document type..., e.g. customer","typ dokumentu ..., napr. zákazník"
Website Theme Image,Webová stránka Theme Image
Everyone,Každý
You do not have enough review points,Nemáte dostatok kontrolných bodov
Integration Type,Typ integrácie
{0} is mandatory,{0} je povinné
View Log,Prezrieť záznam
"Actions for workflow (e.g. Approve, Cancel).","Akcie pre pracovný tok (napr. Schváliť, Zrušiť)."
Pick Columns,Vyberte stĺpce
Cannot map because following condition fails: ,"Nie je možné mapovať, pretože nasledujúca podmienka zlyhá:"
Sorry! User should have complete access to their own record.,Prepáč! Používateľ by mal mať úplný prístup k vlastnému záznamu.
Try to avoid repeated words and characters,Snažte sa vyhnúť opakovaným slovám a znakom
Add Comment,Pridať komentár
Emails are muted,E-maily sú stlmené
{0}: Cannot set Amend without Cancel,{0}: Nie je možné nastaviť Amend bez Cancel
old_parent,old_parent
Module to Export,Modul na export
Fields,Fields
You are not allowed to print this document,Nemáte povolenie na tlač tohto dokumentu
Parent,rodič
"Your session has expired, please login again to continue.","Platnosť vašej relácie vypršala. Ak chcete pokračovať, znova sa prihláste."
Priority,priorita
click here,kliknite tu
Wednesday,streda
Additional Permissions,Ďalšie povolenia
Send Now,Poslať teraz
{0}: Field {1} of type {2} cannot be mandatory,{0}: Pole {1} typu {2} nemôže byť povinné
ASC,ASC
Both login and password required,Vyžaduje sa prihlasovacie meno aj heslo
 for {0},pre {0}
Cache Cleared,Vymazanie vyrovnávacej pamäte
Energy Points,Energetické body
Refreshing...,Osviežujúci ...
This is similar to a commonly used password.,Je to podobné ako bežne používané heslo.
Last Point Allocation Date,Dátum pridelenia posledného bodu
Index,index
Is Published Field must be a valid fieldname,Pole Publikované musí byť platné meno poľa
Mapping Name,Názov mapovania
Sorry! I could not find what you were looking for.,"Prepáč! Nemohol som nájsť to, čo ste hľadali."
Please select atleast 1 column from {0} to sort/group,Prosím vyberte aspoň 1 stĺpec z {0} na triedenie / skupinu
Allow Read On All Link Options,Povoliť čítanie na všetkých možnostiach prepojenia
Reset OTP Secret,Resetovať OTP Secret
UPPER CASE,VEĽKÉ PÍSMENÁ
Please set Email Address,Nastavte e-mailovú adresu
Marked As Spam,Označené ako spam
Import Subscribers,Importovať odberateľov
Save Filter,Uložiť filter
Preferred Shipping Address,Preferovaná poštová adresa
The name that will appear in Google Calendar,"Názov, ktorý sa zobrazí v Kalendári Google"
Disable SMTP server authentication,Zakázať autentifikáciu servera SMTP
Total number of emails to sync in initial sync process ,Celkový počet e-mailov na synchronizáciu v počiatočnom procese synchronizácie
Enable Password Policy,Povoliť zásady hesiel
Mobile No,Mobilné číslo
CC,CC
Fw: {0},Fw: {0}
Amount must be greater than 0.,Výška musí byť väčšia ako 0.
Please enter values for App Access Key and App Secret Key,Zadajte hodnoty pre App Access Key a App Secret Key
Add Unsubscribe Link,Pridať odkaz na odhlásenie
Queued for backup. It may take a few minutes to an hour.,V poradí na zálohovanie. Môže to trvať niekoľko minút až hodinu.
Outlook.com,Outlook.com
Submitting,predkladanie
Insert Code,Vložte kód
Not In,Nie v
Start Date,Dátum začiatku
Set Chart,Nastavte graf
My Account,Môj účet
Is Published Field,Je publikované pole
Set non-standard precision for a Float or Currency field,Nastavte neštandardnú presnosť pre pole Float alebo Currency
The CSV format is case sensitive,Formát CSV rozlišuje veľké a malé písmená
Export Data in CSV / Excel format.,Export dát vo formáte CSV / Excel.
No records present in {0},V {0} nie sú žiadne záznamy
Please select Entity Type first,Najprv vyberte Typ entity
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip: Pridať <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> na odoslanie odkazu na dokument
LDAP First Name Field,Pole Meno LDAP
Default Sending and Inbox,Predvolené odosielanie a doručená pošta
"For updating, you can update only selective columns.",Pre aktualizáciu môžete aktualizovať iba selektívne stĺpce.
Default for 'Check' type of field must be either '0' or '1',Predvolené pre pole „Kontrola“ musí byť „0“ alebo „1“
Share this document with,Zdieľajte tento dokument s
Print Hide,Tlač Skryť
Text,text
User Field,Pole používateľa
Google Calendar ID,ID Kalendára Google
Reverted,vrátené
Edit to add content,"Upravte, ak chcete pridať obsah"
Bulk Update,Hromadná aktualizácia
Secret Access Key,Tajný prístupový kľúč
You need to be in developer mode to edit a Standard Web Form,"Ak chcete upraviť štandardný webový formulár, musíte byť v režime vývojára"
Logout from all devices while changing Password,Pri zmene hesla sa odhláste zo všetkých zariadení
Skip Authorization,Preskočiť autorizáciu
Public,verejnosť
Following fields have missing values:,Nasledujúce polia majú chýbajúce hodnoty:
after_insert,after_insert
Make Default,Nastaviť ako predvolené
Refresh,Obnoviť
Edit DocType,Upraviť typ dokumentu
"""Company History""",&quot;História spoločnosti&quot;
Brute Force Security,Brute Force Security
Cannot move row,Riadok sa nedá presunúť
pause,pauza
Low,nízky
Role Permissions,Povolenia na úlohu
Sent/Received Email,Odoslané / prijaté e-maily
Permission Levels,Úrovne povolení
Add Another Comment,Pridať ďalší komentár
You have {0} days left in your subscription,Zostáva vám {0} dní predplatného
"Once submitted, submittable documents cannot be changed. They can only be Cancelled and Amended.",Po odoslaní nie je možné meniť predkladateľné dokumenty. Môžu byť zrušené a zmenené.
Allow approval for creator of the document,Povoliť schválenie pre tvorcu dokumentu
Complete,kompletné
See all past reports.,Pozrite si všetky predchádzajúce prehľady.
Newsletter has already been sent,Informačný bulletin už bol odoslaný
Print Settings,Nastavenia tlače
Categorize blog posts.,Kategórie blogov.
Last IP,Posledné IP
One of,Jeden z
Cannot send this email. You have crossed the sending limit of {0} emails for this month.,Tento e-mail nie je možné odoslať. Pre tento mesiac ste prekročili limit odosielania e-mailov {0}.
Domains HTML,Domény HTML
Blog Settings,Nastavenia blogu
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores","Meno DocType by malo začínať písmenom a môže sa skladať iba z písmen, číslic, medzier a podčiarkovníkov"
Integrations can use this field to set email delivery status,Integrácia môže použiť toto pole na nastavenie stavu doručenia e-mailov
Stripe payment gateway settings,Stripe nastavenia platobnej brány
Fonts,fonty
Channel,channel
Opened,otvoril
Conditions,podmienky
Don't have an account? Sign up,Nemáte účet? Prihlásiť Se
Added {0},Pridané {0}
Create and Send Newsletters,Vytvárajte a posielajte bulletiny
Footer Items,Položky päty
Website Slideshow Item,Webová stránka Slideshow Item
Register OAuth Client App,Zaregistrujte aplikáciu OAuth Client
Frames,rámy
List View Setting,Nastavenie zobrazenia zoznamu
Data Export,Export dát
Depends On,Záleží na
Widths can be set in px or %.,Šírky možno nastaviť v px alebo%.
Address and other legal information you may want to put in the footer.,"Adresa a ďalšie právne informácie, ktoré chcete vložiť do päty."
Document Type is not importable,Typ dokumentu nie je možné importovať
User {0} does not have access to this document,Používateľ {0} nemá prístup k tomuto dokumentu
User Name,Meno používateľa
UIDVALIDITY,UIDVALIDITY
via automatic rule {0} on {1},prostredníctvom automatického pravidla {0} dňa {1}
You are not connected to Internet. Retry after sometime.,Nie ste pripojení na Internet. Zopakujte to po nejakom čase.
Transition Rules,Pravidlá prechodu
resize-vertical,veľkosť-zvislý
Shared With,Zdieľané s
Add Row,Pridať riadok
th-list,th-list
Subdomain,subdomény
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Nepoužívajte HTML Kódujte HTML tagy ako &lt;script&gt; alebo len znaky ako &lt;alebo&gt;, pretože by mohli byť zámerne použité v tomto poli"
; not allowed in condition,; nie je povolené v stave
Two Factor Authentication method,Metóda overovania dvoch faktorov
New Message from Website Contact Page,Nová správa z webovej stránky Kontaktná stránka
Compact Item Print,Tlač kompaktnej položky
Lft,LFT
align-justify,zarovnať-ospravedlniť
Saving...,Úsporné ...
Error Report,Chybová správa
{0} changed {1} to {2},{0} zmenené {1} na {2}
Active,aktívny
Export Report: {0},Exportovať prehľad: {0}
"Login session expired, refresh page to retry","Platnosť relácie prihlásenia vypršala, obnovte stránku a skúste to znova"
System Manager,Správca systému
Short keyboard patterns are easy to guess,Krátke vzory klávesnice sa dajú ľahko odhadnúť
Enable Incoming,Povoliť prichádzajúce
"Level 0 is for document level permissions, \
								higher levels for field level permissions.","Úroveň 0 je pre povolenia na úrovni dokumentu, vyššie úrovne pre povolenia na úrovni poľa."
City/Town,Mesto / obec
GMail,GMail
"This will reset your current theme, are you sure you want to continue?","Tým sa obnoví aktuálna téma, naozaj chcete pokračovať?"
Mandatory fields required in {0},Povinné polia povinné v {0}
Error while connecting to email account {0},Chyba pri pripájaní k e-mailovému účtu {0}
An error occured while creating recurring,Pri vytváraní opakovaného výskytu sa vyskytla chyba
Not a zip file,Nie je to zip súbor
Port,prístav
Invalid Access Key ID or Secret Access Key.,Neplatné ID prístupového kľúča alebo tajný prístupový kľúč.
Redirect URIs,Presmerovať URI
Font,font
Text Color,Farba textu
I found these: ,Našiel som tieto:
Timeline DocType,DocType časovej osi
File,súbor
Insert After cannot be set as {0},Insert After nie je možné nastaviť ako {0}
Drag elements from the sidebar to add. Drag them back to trash.,Presunutím prvkov z bočného panela pridajte. Presuňte ich späť do koša.
Chat Profile for User {0} exists.,Profil chatu pre používateľa {0} existuje.
Default Role at Time of Signup,Predvolená úloha v čase registrácie
Table MultiSelect,Tabuľka MultiSelect
Form Settings,Nastavenia formulára
{0} self assigned this task: {1},{0} táto úloha bola priradená samostatne: {1}
Relapses,konkurzy
Notify users with a popup when they log in,"Upozorniť používateľov na kontextové okno, keď sa prihlásia"
Restrict user for specific document,Obmedzte používateľa na konkrétny dokument
App Name,Názov aplikácie
Delayed,oneskorený
