Connector Type,Liittimen tyyppi
Are you sure you want to delete the attachment?,Haluatko varmasti poistaa liitteen?
ap-southeast-2,ap-öystäetelä-2
Please verify your Email Address,Vahvista sähköpostiosoitteesi
About Us Settings,Tietoja meistä Asetukset
Avoid sequences like abc or 6543 as they are easy to guess,"Vältä sekvenssejä, kuten abc tai 6543, koska ne on helppo arvata"
Insert Below,Lisää alla
Error in Custom Script,Virhe mukautetussa komentosarjassa
Please specify which date field must be checked,"Määritä, mikä päivämääräkenttä on tarkistettava"
Feedback,palaute
"Invalid ""depends_on"" expression",Virheellinen &quot;depend_on&quot; -lauseke
Session Expired,Istunto päättyi
Sent Read Receipt,Lähetetyt lukutiedot
Tools,Työkalut
Contacts,Yhteydet
Document Share Report,Asiakirjaosakkeen raportti
Filter List,Suodatinluettelo
Notification Tones,Ilmoitusäänet
You have used up all of the space allotted to you. Please buy more space in your subscription.,Olet käyttänyt kaiken sinulle varatun tilan. Hanki lisää tilaa tilauksessasi.
"Expression, Optional","Ilmaus, valinnainen"
Mandatory Information missing:,Pakolliset tiedot puuttuvat:
DocType is a Table / Form in the application.,DocType on taulukossa / lomakkeessa sovelluksessa.
Primary,ensisijainen
Setup Reports to be emailed at regular intervals,"Asennusraportit, jotka lähetetään sähköpostitse säännöllisesti"
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.","Olet kirjoittanut nimesi sähköpostiisi sijaan. Anna kelvollinen sähköpostiosoite, jotta voimme palata takaisin."
Website Settings,Verkkosivuston asetukset
Background Email Queue,Taustan sähköpostin jono
{0} and {1},{0} ja {1}
There was an error saving filters,Suodattimia tallennettiin virheellisesti
Enter your password,Syötä salasanasi
Success! You are good to go ?,Menestys! Olet hyvä mennä ?
Cannot delete Home and Attachments folders,Koti- ja liitetiedostojen kansioita ei voi poistaa
Settings for Contact Us Page,Yhteystiedot-sivun asetukset
Social Login Provider,Sosiaalisen kirjautumisen tarjoaja
Previous Hash,Edellinen Hash
Value Changed,Arvo muuttui
Report Type,Raporttityyppi
Default Address Template cannot be deleted,Oletusosoitemallia ei voi poistaa
Please set script URL on Gsuite Settings,Määritä komentosarjan URL-osoite Gsuite-asetuksissa
Invalid limit {0},Virheellinen raja {0}
No of emails remaining to be synced,Ei synkronoitavia sähköpostiviestejä
User ID,käyttäjätunnus
Website,Verkkosivusto
sa-east-1,sa-itä-1
Notification Recipient,Ilmoituksen vastaanottaja
Module,Moduuli
Address Type,Osoite tyyppi
"If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.","Jos tämä on valittuna, rivejä, joilla on kelvolliset tiedot, tuodaan ja kelpaamattomat rivit siirretään uuteen tiedostoon tuodaksesi myöhemmin."
Fieldname {0} appears multiple times in rows {1},Kentänimi {0} näkyy useita kertoja riveissä {1}
Error Log,Virheloki
Half,Puoli
Home Page,Kotisivu
Current Mapping Start,Nykyinen kartoitus alkaa
eye-close,eye-kiinni
Assignment closed by {0},Tehtävä on suljettu {0}
Next Date's day and Repeat on Day of Month must be equal,Seuraavan päivämäärän päivä ja toistaminen kuun päivänä on oltava yhtä suuret
Comments cannot have links or email addresses,Kommenteissa ei voi olla linkkejä tai sähköpostiosoitteita
Reference Communication,Viite-tiedonanto
Mandatory:,Pakollinen:
Setting up your system,Järjestelmän asentaminen
Payment Failed,Maksu epäonnistui
Read,Lukea
SSL/TLS Mode,SSL / TLS-tila
Print Format Help,Tulostusmuodon ohje
Between,Välillä
Thank you for your interest in subscribing to our updates,"Kiitos, että olet kiinnostunut tilaamaan päivityksiä"
Full Name,Koko nimi
Allow GCalendar Access,Salli GCalendar-käyttöoikeus
Reset Permissions for {0}?,Palauta {0} -oikeudet?
Start entering data below this line,Aloita tietojen syöttäminen tämän rivin alapuolelle
UNSEEN,UNSEEN
JS,JS
All-uppercase is almost as easy to guess as all-lowercase.,Kaikki isot kirjaimet ovat melkein yhtä helposti arvattavia kuin pienet kirjaimet.
Cannot use sub-query in order by,Sub-kyselyä ei voi käyttää järjestyksessä
Transaction Log Report,Tapahtumaloki-raportti
Is Global,Onko maailmanlaajuinen
Options Help,Valinnat Ohje
Is Sent,On lähetetty
Transaction Log,Tapahtumaloki
eu-west-3,EU-länsi-3
Complete Setup,Suorita asennus loppuun
OTP Secret has been reset. Re-registration will be required on next login.,OTP-salaisuus on palautettu. Uudelleen rekisteröinti vaaditaan seuraavassa kirjautumisessa.
In List View,Listanäkymässä
Feedback Trigger,Palaute Trigger
Confirm,Vahvistaa
Valid email and name required,Tarvitaan kelvollinen sähköposti ja nimi
List of patches executed,Luettelo suoritetuista korjaustiedostoista
Email Queue,Sähköpostijono
View Website,Näytä verkkosivusto
Fetch If Empty,Hae jos tyhjä
Select,valita
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","Anna oletusarvoiset kentät (avaimet) ja arvot. Jos lisäät kenttään useita arvoja, ensimmäinen valitaan. Näitä oletusarvoja käytetään myös asettamaan &quot;ottelun&quot; lupasäännöt. Jos haluat nähdä kenttien luettelon, siirry kohtaan &quot;Muokkaa lomaketta&quot;."
Section Heading,Osaotsikko
Avoid dates and years that are associated with you.,"Vältä päivämääriä ja vuosia, jotka liittyvät sinuun."
Press Enter to save,Tallenna painamalla Enter
Reviews,Arvostelut
State,Osavaltio
Translation,Käännös
Columns,pylväät
Cannot change docstatus from 1 to 0,Asiakirjoja ei voi muuttaa 1: stä 0: een
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Voit käyttää mitä tahansa merkkijonoisia tulostinkieliä. Raakakomentojen kirjoittaminen edellyttää tulostimen valmistajan toimittaman tulostimen äidinkielen tuntemusta. Katso kirjoittimen valmistajan antamasta kehittäjän käsikirjasta, miten kirjoitetaan heidän alkuperäisiä komentojaan. Nämä komennot tehdään palvelimen puolella käyttäen Jinja Templating Language -ohjelmaa."
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","Virhe yhteyden muodostamisessa QZ-alustasovellukseen ... <br><br> Sinun täytyy olla asennettuna ja käynnissä QZ Tray -sovellus, jotta voit käyttää Raw Print -ominaisuutta. <br><br> <a href=""https://qz.io/download/"" target=""_blank"">Lataa ja asenna QZ-lokero napsauttamalla tätä</a> . <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Klikkaa tästä saadaksesi lisätietoja raaka-tulostuksesta</a> ."
Please select another payment method. Razorpay does not support transactions in currency '{0}',Valitse toinen maksutapa. Razorpay ei tue valuuttatapahtumia {0}
User permissions should not apply for this Link,Käyttäjän oikeuksia ei pitäisi soveltaa tähän linkkiin
Click on the link below to complete your registration and set a new password,Klikkaa alla olevaa linkkiä rekisteröinnin suorittamiseksi ja uuden salasanan asettamiseksi
Not allowed to print draft documents,Asiakirjojen tulostaminen ei ole sallittua
Set up rules for user assignments.,Määritä käyttäjän toimeksiantoja koskevat säännöt.
Test,Testata
for automatic creating of the recurring document to continue.,Jatkuvan asiakirjan automaattinen luominen jatkuu.
Orange,Oranssi
Enable Outgoing,Ota käyttöön lähtevä
"Naming Options:
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","Nimeämisasetukset: <ol><li> <b>kenttä: [fieldname]</b> - kentän mukaan </li><li> <b>naming_series:</b> - <b>Nimimerkkisarjan</b> mukaan (kentän nimeltä nimitys_sarja on oltava läsnä </li><li> <b>Prompt</b> - Kysy käyttäjältä nimi </li><li> <b>[sarja]</b> - sarja etuliitteellä (erotettu pisteellä); esimerkiksi PRE. ##### </li><li> <b>muoto: EXAMPLE- {MM} morewords {fieldname1} - {fieldname2} - {#####}</b> - Korvaa kaikki kiinnitetyt sanat (kentänimet, päivämäärän sanat (DD, MM, YY), sarja) niiden arvolla. Rintamerkkien ulkopuolella voidaan käyttää mitä tahansa merkkejä. </li></ol>"
Select Print Format to Edit,Valitse Tulosta muoto muokattavaksi
New Event,Uusi tapahtuma
Scheduled to send to {0} recipients,Suunniteltu lähettämään {0} vastaanottajille
Address,Osoite
Enter keys to enable integration with Google GSuite,"Syötä avaimet, jotta voit integroida Google GSuite -palvelun"
Open Translation,Avaa käännös
Please do not change the template headings.,Älä muuta mallin otsikoita.
End date must be greater than start date,Lopetuspäivän on oltava suurempi kuin aloituspäivä
Merchant ID,Kauppiaan tunnus
Energy Point Rule,Energy Point -sääntö
Please enter Client ID before social login is enabled,Anna asiakastunnus ennen kuin sosiaalinen kirjautumistunnus on käytössä
Has  Attachment,Onko liite
Email Signature,Sähköpostin allekirjoitus
Addresses And Contacts,Osoitteet ja yhteystiedot
This Kanban Board will be private,Tämä Kanbanin hallitus on yksityinen
Current Mapping,Nykyinen kartoitus
Based on Permissions For User,Perustuu käyttöoikeuksiin käyttäjälle
"You can change Submitted documents by cancelling them and then, amending them.",Voit muuttaa lähetettyjä asiakirjoja peruuttamalla ne ja muuttamalla niitä.
Feedback Rating,Palaute Rating
This is the template file generated with only the rows having some error. You should use this file for correction and import.,"Tämä on mallitiedosto, joka on luotu vain riveillä, joilla on jokin virhe. Käytä tätä tiedostoa korjausta ja tuontia varten."
Middle Name (Optional),Keskimmäinen nimi (valinnainen)
Invalid naming series (. missing),Virheellinen nimesarja (. Puuttuu)
Help Articles,Ohjeartikkelit
Retry,yritä uudelleen
You have subscribed for one user free plan,Olet tilannut yhden käyttäjän ilmaisen suunnitelman
Straight rows of keys are easy to guess,Suorat näppäinrivit on helppo arvata
User {0} cannot be disabled,Käyttäjää {0} ei voi poistaa käytöstä
Let's avoid repeated words and characters,Vältä toistuvia sanoja ja merkkejä
Condition Detail,Tilan yksityiskohdat
Property Type,omaisuuden tyyppi
Sunday,sunnuntai
Row Status,Rivin tila
Portal Menu Item,Portal-valikkokohta
Follow,seurata
Unable to create bucket: {0}. Change it to a more unique name.,Ämpäriä ei voi luoda: {0}. Vaihda se yksilöllisemmäksi nimeksi.
Title Case,Otsikko
You can find things by asking 'find orange in customers',Löydät asioita pyytämällä &quot;Etsi oranssia asiakkaissa&quot;
Set custom roles for page and report,Määritä sivun ja raportin mukautetut roolit
Allow,Sallia
Reference,Viite
Is Mandatory Field,Onko pakollinen kenttä
Yahoo Mail,Yahoo sähköposti
User Type,Käyttäjätyyppi
Take Backup Now,Ota varmuuskopio nyt
Blog,blogi
Script to attach to all web pages.,"Komentosarja, joka liitetään kaikkiin Web-sivuihin."
module name...,moduulin nimi ...
Users with role {0}:,"Käyttäjät, joilla on rooli {0}:"
"Email Domain not configured for this account, Create one?","Sähköposti-verkkotunnusta ei ole määritetty tälle tilille, Luo yksi?"
Bucket,Ämpäri
Disable Sidebar Stats,Poista sivupalkin tilastot käytöstä
Busy,Kiireinen
{0} {1} to {2},{0} {1} - {2}
Create Post,Luo viesti
Printer Mapping,Tulostimen kartoitus
Setup &gt; User Permissions,Asetukset&gt; Käyttäjäoikeudet
"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).","Olet valinnut Sync Option -vaihtoehdon KAIKKI, se synkronoi kaikki \ t Tämä voi myös aiheuttaa viestinnän (sähköpostit) päällekkäisyyttä."
Last synced {0},Viimeisin synkronoitu {0}
Cannot change header content,Otsikon sisältöä ei voi muuttaa
Not allowed to change {0} after submission,Ei saa muuttaa {0} lähettämisen jälkeen
"The application has been updated to a new version, please refresh this page","Sovellus on päivitetty uuteen versioon, päivitä tämä sivu"
User Image,Käyttäjän kuva
Action Timeout (Seconds),Toimen aikakatkaisu (sekunnit)
New updates are available,Uusia päivityksiä on saatavilla
Edit Title,Muokkaa otsikkoa
Login Required,Sisäänkirjautuminen vaaditaan
User {0} does not have doctype access via role permission for document {1},Käyttäjällä {0} ei ole asiakirjan {1} roolilupaa käyttävää doctype-käyttöoikeutta
View Permitted Documents,Näytä sallitut asiakirjat
InnoDB,InnoDB
Select a Brand Image first.,Valitse ensin tuotemerkki.
Field {0} of type {1} cannot be mandatory,Kentän {0} kenttä {1} ei voi olla pakollinen
Period,aika
Portal Settings,Portaalin asetukset
SparkPost,SparkPost
Sidebar Settings,Sivupalkin asetukset
Brand,Brändi
Insert After,Lisää jälkeen
{0} is currently viewing this document,{0} tarkastelee tätä asiakirjaa
Quarter Day,Neljännespäivä
QR Code for Login Verification,QR-koodi sisäänkirjautumisen varmistamiseksi
Already Registered,Jo rekisteröity
Show Preview Popup,Näytä esikatselun ponnahdusikkuna
Unzip,avata jnk vetoketju
Order,Tilata
Phone No.,Puhelin ei.
Email not verified with {0},Sähköpostia ei vahvistettu {0}
Column Name,Sarakkeen nimi
API Key,API-avain
Delete comment?,Poista kommentti?
Error Message,Virheviesti
YES,JOO
Space,tila
Message ID,Viestin tunnus
Hub Sync ID,Hub-synkronointitunnus
Apply Strict User Permissions,Käytä tiukkoja käyttöoikeuksia
Create,Luoda
{0} is saved,{0} tallennetaan
From,alkaen
Not a valid user,Ei kelvollinen käyttäjä
Headers,otsikot
Token is missing,Token puuttuu
Item cannot be added to its own descendents,Tuotetta ei voi lisätä omiin jälkeläisiinsä
With Letterhead,Kirjelomakkeella
Default for {0} must be an option,{0}: n oletusarvon on oltava vaihtoehto
0 is highest,0 on korkein
us-east-2,us-itä-2
list-alt,lista-alt
Track Email Status,Seuraa sähköpostin tilaa
Role Name,Roolinimi
Workflow Document State,Työnkulun asiakirjan tila
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Kaikki mahdolliset työnkulun tilat ja työnkulun roolit. Docstatus-asetukset: 0 on &quot;Tallennettu&quot;, 1 on &quot;Lähetetty&quot; ja 2 on &quot;Peruutettu&quot;"
Link Name,Linkin nimi
Message to be displayed on successful completion (only for Guest users),Viesti näytetään onnistuneesti päätökseen (vain vierailijoiden käyttäjille)
Email Account Name,Sähköpostitilin nimi
OAuth Provider Settings,OAuth-palveluntarjoajan asetukset
{0} record deleted,{0} tallenne poistettu
Remove,Poistaa
Configure accounts for google calendar,Määritä Google-kalenterin tilit
Currency Name,Valuutan nimi
glass,lasi-
Raw Email,Raaka sähköposti
Looks like something is wrong with this site's Paypal configuration.,"Näyttää siltä, että jotain on väärin tämän sivuston Paypal-kokoonpanossa."
Online,Online
Go to {0} List,Siirry kohtaan {0} List
Open {0},Avaa {0}
Activity Log,Aktiviteettiloki
Update,Päivittää
Add Signature,Lisää allekirjoitus
Lock,Lukko
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,"Asiakirjan tyypin (DocType) nimi, johon haluat liittää kentän. esim. asiakas"
Redis cache server not running. Please contact Administrator / Tech support,Redis cache -palvelin ei toimi. Ota yhteyttä järjestelmänvalvojan / teknisen tuen kanssa
GitHub,GitHub
Sendgrid,Sendgrid
Add your own Tag Categories,Lisää omat merkkikategoriat
New {} releases for the following apps are available,Uusia {} julkaisuja seuraaville sovelluksille on saatavilla
User permission already exists,Käyttäjälupa on jo olemassa
Incoming email account not correct,Saapuva sähköpostitili ei ole oikea
User {0} cannot be renamed,Käyttäjää {0} ei voi nimetä uudelleen
Remember Last Selected Value,Muista viimeinen valittu arvo
Client Secret,Asiakkaan salaisuus
Quick Help for Setting Permissions,Pikaopas lupien asettamisessa
Enable Two Factor Auth,Ota käyttöön kaksi tekijää
Warning,Varoitus
Invalid payment gateway credentials,Virheelliset maksuyhdyskäytävätiedot
Are you sure you want to relink this communication to {0}?,Haluatko varmasti siirtää tämän viestin uudelleen {0}?
Check this to pull emails from your mailbox,"Tarkista, että sähköpostit lähetetään postilaatikosta"
You don't have access to Report: {0},Sinulla ei ole pääsyä raporttiin: {0}
Keeps track of all communications,Pitää kirjaa kaikesta viestinnästä
Configure Theme,Määritä teema
Login not allowed at this time,Kirjaudu sisään ei tällä hetkellä sallittu
It is risky to delete this file: {0}. Please contact your System Manager.,On vaarallista poistaa tämä tiedosto: {0}. Ota yhteyttä System Manageriin.
Please ensure that your profile has an email address,"Varmista, että profiilissasi on sähköpostiosoite"
Toggle Full Width,Vaihda koko leveys
Starting Frappe ...,Frappen käynnistäminen ...
Allow Guest to View,Salli vieraan näkyä
Column Break,Sarakekatkos
Go to {0} Page,Siirry kohtaan {0} Page
System,järjestelmä
{0} must be unique,{0} on oltava ainutlaatuinen
Your payment was successfully accepted,Maksusi hyväksyttiin
Button Label,Button Label
Move,Liikkua
"SQL Conditions. Example: status=""Open""",SQL-ehdot. Esimerkki: status = &quot;Open&quot;
Confirmed,Vahvistettu
"Field ""route"" is mandatory for Web Views",Kentän &quot;reitti&quot; on pakollinen Web-näkymissä
Apply,Käytä
Sender,Lähettäjä
Mark as {0},Merkitse nimellä {0}
Discard,hylätä
Select an image of approx width 150px with a transparent background for best results.,Valitse kuvan leveys 150px läpinäkyvällä taustalla parhaan tuloksen saamiseksi.
Relapsed,uusiutuneen
Email Sent,Sähköposti lähetetty
Read by Recipient On,Lue vastaanottajan päällä
Allow user to login only after this hour (0-24),Salli käyttäjän kirjautua vasta tämän tunnin jälkeen (0-24)
"document type..., e.g. customer","asiakirjan tyyppi ..., esim. asiakas"
Website Theme Image,Verkkosivuston teema
Everyone,jokainen
You do not have enough review points,Sinulla ei ole tarpeeksi tarkistuspisteitä
Integration Type,Integrointityyppi
Fieldtype {0} for {1} cannot be unique,Kenttätyyppi {0} {1} ei voi olla ainutlaatuinen
{0} is mandatory,{0} on pakollinen
View Log,Näytä loki
"Actions for workflow (e.g. Approve, Cancel).","Työnkulun toimet (esim. Hyväksy, Peruuta)."
Pick Columns,Valitse sarakkeet
Cannot map because following condition fails: ,"Et voi kartoittaa, koska seuraava ehto epäonnistuu:"
Sorry! User should have complete access to their own record.,Sorry! Käyttäjällä pitäisi olla täydellinen pääsy omaan tietueeseensa.
Try to avoid repeated words and characters,Yritä välttää toistuvia sanoja ja merkkejä
Add Comment,Lisää kommentti
Emails are muted,Sähköpostit mykistetään
{0}: Cannot set Amend without Cancel,{0}: Ei voi asettaa Amendia ilman Peruuta
old_parent,old_parent
Module to Export,Vientimoduuli
Fields,Fields
You are not allowed to print this document,Et saa tulostaa tätä asiakirjaa
Parent,vanhempi
"Your session has expired, please login again to continue.",Istunto on päättynyt ja kirjaudu uudelleen jatkaaksesi.
Priority,prioriteetti
click here,Klikkaa tästä
Wednesday,keskiviikko
Additional Permissions,Lisäoikeudet
Send Now,Lähetä nyt
ASC,ASC
Both login and password required,Tarvitaan sekä käyttäjätunnus että salasana
 for {0},{0}
Cache Cleared,Välimuisti tyhjennetty
Energy Points,Energiapisteet
Refreshing...,Virkistävä...
This is similar to a commonly used password.,Tämä on samanlainen kuin yleisesti käytetty salasana.
Last Point Allocation Date,Viimeisen pisteen jakamispäivä
Index,Indeksi
Is Published Field must be a valid fieldname,On julkaistu kenttä on kelvollinen kentänimi
Mapping Name,Kartoituksen nimi
Sorry! I could not find what you were looking for.,Sorry! En löytänyt etsimääsi.
Please select atleast 1 column from {0} to sort/group,"Valitse atleast 1 sarake {0}: sta, jos haluat lajitella / ryhmittää"
Allow Read On All Link Options,Salli kaikkien linkkien asetukset
Reset OTP Secret,Nollaa OTP-salaisuus
UPPER CASE,YLÖS CASE
Please set Email Address,Aseta sähköpostiosoite
Marked As Spam,Merkitty roskapostiksi
Import Subscribers,Tuo tilaajat
Jobs,Työpaikat
Save Filter,Tallenna suodatin
Preferred Shipping Address,Ensisijainen toimitusosoite
The name that will appear in Google Calendar,Google-kalenterissa näkyvä nimi
&gt; {0} year(s) ago,&gt; {0} vuosi sitten
Disable SMTP server authentication,Poista SMTP-palvelimen todennus käytöstä
Total number of emails to sync in initial sync process ,Synkronoitavien sähköpostiviestien kokonaismäärä alkuperäisessä synkronointiprosessissa
Enable Password Policy,Salasanan käyttöönotto
Mobile No,Kännykkänumero
CC,CC
Fw: {0},Fw: {0}
Amount must be greater than 0.,Määrä on suurempi kuin 0.
Please enter values for App Access Key and App Secret Key,Anna App Access Key- ja App Secret Key -arvot
Add Unsubscribe Link,Lisää Unsubscribe Link
Queued for backup. It may take a few minutes to an hour.,Jonossa varmuuskopiointiin. Se voi kestää muutaman minuutin - tunnin.
Outlook.com,Outlook.com
Submitting,Lähettämällä
Insert Code,Syötä koodi
Not In,Ei mukana
Start Date,Aloituspäivämäärä
Set Chart,Aseta kaavio
My Account,Tilini
Is Published Field,Onko julkaistu kenttä
Set non-standard precision for a Float or Currency field,Aseta ei-standardi tarkkuus Float- tai Valuutta-kenttään
The CSV format is case sensitive,CSV-muoto on tapauskohtainen
Export Data in CSV / Excel format.,Vie tietoja CSV / Excel-muodossa.
No records present in {0},{0}
Please select Entity Type first,Valitse ensin Entity Type
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip: Lisää <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> lähettääksesi asiakirjan viittauksen
LDAP First Name Field,LDAP-etunimi -kenttä
Default Sending and Inbox,Oletuslähetys ja Saapuneet-kansio
"For updating, you can update only selective columns.",Päivittämistä varten voit päivittää vain valikoivia sarakkeita.
Default for 'Check' type of field must be either '0' or '1',&#39;Tarkista&#39; -kentän oletusarvon on oltava joko &#39;0&#39; tai &#39;1&#39;
Share this document with,Jaa tämä asiakirja
Print Hide,Tulosta piilota
Text,Teksti
User Field,Käyttäjän kenttä
Google Calendar ID,Google-kalenterin tunnus
Reverted,Palautettu
Edit to add content,"Muokkaa, jos haluat lisätä sisältöä"
Bulk Update,Bulk-päivitys
Secret Access Key,Salainen käyttöava
You need to be in developer mode to edit a Standard Web Form,Sinun täytyy olla kehittäjätilassa muokata vakiolomaketta
Logout from all devices while changing Password,Kirjaudu ulos kaikista laitteista salasanan vaihtamisen aikana
Skip Authorization,Ohita valtuutus
Public,Julkinen
Following fields have missing values:,Seuraavissa kentissä on puuttuvia arvoja:
after_insert,after_insert
Make Default,Laita oletusarvoksi
Refresh,virkistää
Edit DocType,Muokkaa DocTypeä
"""Company History""",&quot;Yrityshistoria&quot;
Use the field to filter records,Käytä kenttää suodattamaan tietueita
Brute Force Security,Brute Force Security
Cannot move row,Riviä ei voi siirtää
pause,tauko
Low,Matala
Role Permissions,Rooliluvat
Sent/Received Email,Lähetetyt / vastaanotetut sähköpostiviestit
Permission Levels,Luvan tasot
Add Another Comment,Lisää toinen kommentti
You have {0} days left in your subscription,Sinulla on {0} päivää tilauksesi
"Once submitted, submittable documents cannot be changed. They can only be Cancelled and Amended.",Lähetettyjä asiakirjoja ei voi muuttaa. Ne voidaan peruuttaa ja muuttaa vain.
Allow approval for creator of the document,Salli asiakirjan tekijän hyväksyntä
Complete,Saattaa loppuun
See all past reports.,Katso kaikki aiemmat raportit.
Newsletter has already been sent,Uutiskirje on jo lähetetty
Print Settings,Tulostusasetukset
Categorize blog posts.,Luokittele blogipostit.
Last IP,Viimeinen IP
One of,Yksi
Cannot send this email. You have crossed the sending limit of {0} emails for this month.,Tätä sähköpostia ei voi lähettää. Olet ylittänyt {0} sähköpostiviestien lähetysrajan tälle kuukaudelle.
Domains HTML,Verkkotunnukset HTML
Blog Settings,Blogin asetukset
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores","DocType-nimen pitäisi alkaa kirjaimella ja se voi koostua vain kirjaimista, numeroista, välilyönteistä ja alaviivoista"
Integrations can use this field to set email delivery status,Integraatiot voivat käyttää tätä kenttää sähköpostin lähetystilan määrittämiseen
Stripe payment gateway settings,Raitamaksujen yhdyskäytävän asetukset
Fonts,kirjasimet
Channel,kanava
Opened,avattu
Conditions,olosuhteet
Don't have an account? Sign up,Eikö sinulla ole tiliä? Kirjaudu
Added {0},Lisätty {0}
Create and Send Newsletters,Luo ja lähetä uutiskirjeitä
Footer Items,Alatunniste
Website Slideshow Item,Verkkosivuston diaesityksen kohta
Register OAuth Client App,Rekisteröi OAuth Client App
Frames,kehykset
List View Setting,Luettelonäkymän asetus
Data Export,Tietojen vienti
Depends On,Riippuu
Widths can be set in px or %.,Leveydet voidaan asettaa pikseliä tai%.
Address and other legal information you may want to put in the footer.,"Osoite ja muut oikeudelliset tiedot, jotka haluat saattaa alatunnisteeseen."
Document Type is not importable,Asiakirjan tyyppi ei ole tuodavissa
User {0} does not have access to this document,Käyttäjällä {0} ei ole pääsyä tähän asiakirjaan
User Name,Käyttäjänimi
UIDVALIDITY,UIDVALIDITY
via automatic rule {0} on {1},käyttämällä {1} automaattista sääntöä {1}
You are not connected to Internet. Retry after sometime.,Et ole yhteydessä Internetiin. Yritä uudelleen joskus.
Transition Rules,Siirtymäsäännöt
resize-vertical,kokoa pystysuora
Shared With,Jaettu
Add Row,Lisää rivi
th-list,th-lista
Subdomain,Subdomain
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Älä HTML-koodaa HTML-tunnisteita, kuten &lt;script&gt; tai vain merkkejä, kuten &lt;tai&gt;, koska niitä voidaan käyttää tarkoituksellisesti tässä kentässä"
; not allowed in condition,; ei sallittu kunnossa
