Connector Type,Цоннецтор Типе
Comments cannot have links or email addresses,Коментари не могу имати везе или адресе е-поште
Reference Communication,Референце Цоммуницатион
Mandatory:,Обавезно:
Setting up your system,Подешавање система
Payment Failed,Уплата није успела
Read,читати
SSL/TLS Mode,ССЛ / ТЛС режим
Print Format Help,Помоћ за штампање у формату
Between,Између
Thank you for your interest in subscribing to our updates,Хвала вам на интересовању за претплату на наша ажурирања
Full Name,Пуно име
Allow GCalendar Access,Дозволи ГЦалендар Аццесс
Reset Permissions for {0}?,Ресетуј дозволе за {0}?
Start entering data below this line,Почните да уносите податке испод ове линије
UNSEEN,УНСЕЕН
JS,ЈС
All-uppercase is almost as easy to guess as all-lowercase.,Сва велика слова готово је лако погодити као мала слова.
Cannot use sub-query in order by,Није могуће користити под-упит према редоследу
Transaction Log Report,Извештај о дневнику трансакција
Is Global,Ис Глобал
Options Help,Опције Помоћ
Is Sent,Је послат
Transaction Log,Дневник трансакција
eu-west-3,еу-вест-3
Complete Setup,Цомплете Сетуп
OTP Secret has been reset. Re-registration will be required on next login.,ОТП Сецрет је ресетован. Поновна регистрација ће бити потребна за следећу пријаву.
In List View,У приказу листе
Feedback Trigger,Феедбацк Триггер
Confirm,Потврди
Valid email and name required,Потребан је ваљан емаил и име
List of patches executed,Списак извршених закрпа
Email Queue,Емаил Куеуе
View Website,Виев Вебсите
Fetch If Empty,Фетцх Иф Емпти
Select,Изаберите
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","Унесите подразумевана поља вредности (тастере) и вредности. Ако додате више вредности за поље, први ће бити изабран. Ове подразумеване вредности се такође користе за подешавање правила за &quot;подударања&quot;. Да бисте видели листу поља, идите на &quot;Прилагоди образац&quot;."
Section Heading,Сецтион Хеадинг
Avoid dates and years that are associated with you.,Избегавајте датуме и године које су повезане са вама.
Press Enter to save,Притисните Ентер да бисте сачували
Reviews,Коментара
State,Држава
Translation,Транслатион
Columns,Цолумнс
Cannot change docstatus from 1 to 0,Није могуће променити доцстатус са 1 на 0
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,Могу се користити сви језици штампача засновани на низовима. Писање сирових команди захтева познавање матерњег језика штампача који обезбеђује произвођач штампача. Погледајте упутство за развојне програмере које је дао произвођач штампача о томе како да напишете њихове основне команде. Ове команде се приказују на страни сервера користећи Јиња Темплатинг Лангуаге.
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","Грешка при повезивању са апликацијом КЗ Траи ... <br><br> Морате имати инсталирану и покренуту апликацију КЗ Траи да бисте користили функцију Рав Принт. <br><br> <a href=""https://qz.io/download/"" target=""_blank"">Кликните овде да бисте преузели и инсталирали КЗ Траи</a> . <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Кликните овде да бисте сазнали више о Рав Принтинг-у</a> ."
Please select another payment method. Razorpay does not support transactions in currency '{0}',Изаберите други начин плаћања. Разорпаи не подржава трансакције у валути &#39;{0}&#39;
User permissions should not apply for this Link,Корисничке дозволе не би требало да се пријаве за ову везу
Click on the link below to complete your registration and set a new password,Кликните на доњу везу да бисте довршили регистрацију и поставили нову лозинку
Not allowed to print draft documents,Није дозвољено штампање нацрта докумената
Set up rules for user assignments.,Поставите правила за корисничке задатке.
Test,Тест
for automatic creating of the recurring document to continue.,за аутоматско креирање понављајућег документа за наставак.
Orange,Оранге
Enable Outgoing,Омогући одлазне
"Naming Options:
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","Опције именовања: <ol><li> <b>фиелд: [фиелднаме]</b> - По пољу </li><li> <b>наминг_сериес:</b> - Именовањем серија (поље названо наминг_сериес мора бити присутно </li><li> <b>Промпт</b> - Тражи корисника за име </li><li> <b>[серија]</b> - Серија по префиксу (одвојена тачком); на пример ПРЕ. ##### </li><li> <b>формат: ЕКСАМПЛЕ- {ММ} моревордс {фиелднаме1} - {фиелднаме2} - {#####}</b> - Замените све спојене речи (имена поља, датумске речи (ДД, ММ, ИИ), серије) њиховом вредношћу. Изван заграда, могу се користити сви знакови. </li></ol>"
Select Print Format to Edit,Изаберите Принт Формат то Едит
New Event,Нови догађај
Scheduled to send to {0} recipients,Заказано за слање на {0} прималце
Address,Адреса
Enter keys to enable integration with Google GSuite,Унесите кључеве да бисте омогућили интеграцију са Гоогле ГСуите
Open Translation,Опен Транслатион
Please do not change the template headings.,Молимо не мијењајте наслове предлошка.
End date must be greater than start date,Датум завршетка мора бити већи од почетног датума
Merchant ID,ИД трговца
Energy Point Rule,Енерги Поинт Руле
Please enter Client ID before social login is enabled,Унесите ИД клијента пре него што се омогући социјална пријава
Has  Attachment,Хас Аттацхмент
Email Signature,Емаил Сигнатуре
Addresses And Contacts,Адресе и контакти
This Kanban Board will be private,Овај Канбан одбор ће бити приватан
Current Mapping,Цуррент Маппинг
Based on Permissions For User,На основу дозвола за корисника
"You can change Submitted documents by cancelling them and then, amending them.","Поднесене документе можете да промените тако што ћете их поништити, а затим их изменити."
Feedback Rating,Оцјена повратне информације
This is the template file generated with only the rows having some error. You should use this file for correction and import.,Ово је датотека шаблона генерисана са само неколико редова који имају неку грешку. Требали бисте користити ову датотеку за исправљање и увоз.
Middle Name (Optional),Средње име (опционално)
Invalid naming series (. missing),Неважећа серија имена (. Недостаје)
Help Articles,Хелп Артицлес
Retry,Покушај поново
You have subscribed for one user free plan,Претплатили сте се за један бесплатан кориснички план
Straight rows of keys are easy to guess,Лако је погодити равне редове кључева
User {0} cannot be disabled,Корисник {0} не може бити онемогућен
Let's avoid repeated words and characters,Да избегнемо поновљене речи и знакове
Condition Detail,Цондитион Детаил
Property Type,Тип некретнине
Sunday,Недеља
Row Status,Статус ретка
Portal Menu Item,Ставка изборника портала
Follow,Пратити
Unable to create bucket: {0}. Change it to a more unique name.,Није могуће креирати канту: {0}. Промените га на јединствено име.
Title Case,Титле Цасе
You can find things by asking 'find orange in customers',Можете пронаћи ствари тако што ћете питати &#39;пронаћи наранчасту у купцима&#39;
Set custom roles for page and report,Поставите прилагођене улоге за страницу и извештај
Allow,Аллов
Reference,Референце
Is Mandatory Field,Ис Мандатори Фиелд
Yahoo Mail,Иахоо Маил
User Type,Тип корисника
Take Backup Now,Узмите Бацкуп одмах
Blog,Блог
Script to attach to all web pages.,Скрипта за прилагање свим веб страницама.
module name...,име модула ...
Users with role {0}:,Корисници са улогом {0}:
"Email Domain not configured for this account, Create one?","Домена е-поште није конфигурисана за овај налог, Направите је?"
Bucket,Буцкет
Disable Sidebar Stats,Онемогући статистику Сидебара
Busy,Заузет
{0} {1} to {2},{0} {1} до {2}
Create Post,Цреате Пост
Printer Mapping,Мапирање штампача
Setup &gt; User Permissions,Подешавање&gt; Корисничке дозволе
"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).","Одабирете опцију Синц Оптион као АЛЛ, она ће поново синхронизовати све прочитане и непрочитане поруке са сервера. Ово такође може узроковати дуплирање комуникације (е-поруке)."
Last synced {0},Последње синхронизовано {0}
Cannot change header content,Није могуће променити садржај заглавља
Not allowed to change {0} after submission,Није дозвољено да промени {0} након слања
"The application has been updated to a new version, please refresh this page","Апликација је ажурирана на нову верзију, освежите ову страницу"
User Image,Усер Имаге
Action Timeout (Seconds),Време истека активности (секунде)
New updates are available,Доступне су нове исправке
Edit Title,Едит Титле
Login Required,захтева се пријава
User {0} does not have doctype access via role permission for document {1},Корисник {0} нема приступ доцтипе преко дозволе за рад {1}
View Permitted Documents,Преглед дозвољених докумената
InnoDB,ИнноДБ
Select a Brand Image first.,Прво изаберите брендирану слику.
Field {0} of type {1} cannot be mandatory,Поље {0} типа {1} не може бити обавезно
Period,Раздобље
Portal Settings,Поставке портала
SparkPost,СпаркПост
Sidebar Settings,Подешавања бочне траке
Brand,Марка
Insert After,Инсерт Афтер
{0} is currently viewing this document,{0} тренутно гледа овај документ
Quarter Day,Куартер Даи
QR Code for Login Verification,КР Цоде фор Логин Верифицатион
Already Registered,Већ регистровани
Show Preview Popup,Прикажи искачући прозор
Unzip,Унзип
Order,Ред
Phone No.,Бр. телефона.
Email not verified with {0},Е-пошта није потврђена са {0}
Column Name,Име колоне
API Key,АПИ кључ
Delete comment?,Обриши коментар?
Error Message,Порука о грешци
YES,ДА
Space,Спаце
Message ID,ИД поруке
Hub Sync ID,ИД синхронизације чворишта
Apply Strict User Permissions,Примените строга корисничка овлашћења
Create,Цреате
{0} is saved,{0} је сачувано
From,Од
Not a valid user,Није важећи корисник
Headers,Заглавља
Token is missing,Токен недостаје
Item cannot be added to its own descendents,Ставка се не може додати својим потомцима
With Letterhead,Витх Леттерхеад
Default for {0} must be an option,Подразумевано за {0} мора бити опција
0 is highest,0 је највиши
us-east-2,ус-исток-2
list-alt,лист-алт
Track Email Status,Праћење статуса е-поште
Role Name,Име улоге
Workflow Document State,Статус документа Воркфлов
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Све могуће радне токове и улоге радног процеса. Опције за Доцстатус: 0 је &quot;Сачувано&quot;, 1 је &quot;Послато&quot; и 2 је &quot;Отказано&quot;"
Link Name,Име везе
Message to be displayed on successful completion (only for Guest users),Порука која ће се приказати приликом успешног завршетка (само за госте који користе)
Email Account Name,Име налога е-поште
OAuth Provider Settings,Поставке ОАутх провајдера
{0} record deleted,{0} запис је избрисан
Remove,Уклони
Configure accounts for google calendar,Конфигурисање налога за гоогле календар
Currency Name,Назив валуте
glass,стакла
Raw Email,Рав Емаил
Looks like something is wrong with this site's Paypal configuration.,Изгледа да нешто није у реду са Паипал конфигурацијом овог сајта.
Online,Онлине
Go to {0} List,Идите на {0} Лист
Open {0},Отвори {0}
Activity Log,Активности
Update,ажурирање
Add Signature,Додај потпис
Lock,закључати
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,Име типа документа (ДоцТипе) са којим желите да се ово поље повеже. нпр
Redis cache server not running. Please contact Administrator / Tech support,Редис цацхе сервер не ради. Молимо контактирајте администратора / техничку подршку
GitHub,ГитХуб
Sendgrid,Сендгрид
Add your own Tag Categories,Додајте своје властите категорије ознака
New {} releases for the following apps are available,Доступни су нови {} издања за следеће апликације
User permission already exists,Корисничка дозвола већ постоји
Incoming email account not correct,Долазни рачун е-поште није исправан
User {0} cannot be renamed,Корисник {0} се не може преименовати
Remember Last Selected Value,Запамти Ласт Селецтед Валуе
Client Secret,Цлиент Сецрет
Quick Help for Setting Permissions,Брза помоћ за подешавање дозвола
Enable Two Factor Auth,Омогући Аутоф
Warning,Упозорење
Invalid payment gateway credentials,Неважећи акредитиви за гатеваи плаћања
Are you sure you want to relink this communication to {0}?,Да ли сте сигурни да желите да поново повежете ову комуникацију са {0}?
Check this to pull emails from your mailbox,Означите ово да бисте повукли е-пошту из поштанског сандучета
You don't have access to Report: {0},Немате приступ извештају: {0}
Keeps track of all communications,Прати све комуникације
Configure Theme,Цонфигуре Тхеме
Login not allowed at this time,Пријава није дозвољена у овом тренутку
It is risky to delete this file: {0}. Please contact your System Manager.,Ризично је избрисати ову датотеку: {0}. Обратите се свом Систем Манагер-у.
Please ensure that your profile has an email address,Уверите се да ваш профил има адресу е-поште
Toggle Full Width,Пребаци пуну ширину
Starting Frappe ...,Покретање Фраппе ...
Allow Guest to View,Дозволите госту да види
Column Break,Цолумн Бреак
Go to {0} Page,Идите на {0} страницу
System,Систем
{0} must be unique,{0} мора бити јединствен
Your payment was successfully accepted,Ваша уплата је успешно прихваћена
Button Label,Буттон Лабел
Move,Потез
"SQL Conditions. Example: status=""Open""",СКЛ услови. Пример: статус = &quot;Отвори&quot;
Confirmed,Потврђено
"Field ""route"" is mandatory for Web Views",Поље &quot;роуте&quot; је обавезно за Веб Виевс
Apply,Применити
Sender,Сендер
Mark as {0},Означи као {0}
Discard,Одбаци
Select an image of approx width 150px with a transparent background for best results.,Изаберите слику ширине приближно 150 пиксела са транспарентном позадином за најбоље резултате.
Relapsed,Поновно
Email Sent,Емаил послат
Read by Recipient On,Реад би Реципиент Он
Allow user to login only after this hour (0-24),Дозволите кориснику да се пријави само после овог сата (0-24)
"document type..., e.g. customer","врста документа ..., нпр. купац"
Website Theme Image,Имаге Тхеме Имаге
Everyone,Сви
You do not have enough review points,Немате довољно поена за разматрање
Integration Type,Интегратион Типе
Fieldtype {0} for {1} cannot be unique,Тип поља {0} за {1} не може бити јединствен
{0} is mandatory,{0} је обавезно
View Log,Погледај Дневник догађаја
"Actions for workflow (e.g. Approve, Cancel).","Радње за радни процес (нпр. Одобри, Одустани)."
Pick Columns,Изаберите колоне
Cannot map because following condition fails: ,Није могуће мапирати јер следећи услов не успева:
Sorry! User should have complete access to their own record.,Извињавам се! Корисник треба да има потпуни приступ сопственим записима.
Try to avoid repeated words and characters,Покушајте да избегнете поновљене речи и знакове
Add Comment,Додај коментар
Emails are muted,Е-поруке су искључене
{0}: Cannot set Amend without Cancel,{0}: Не може се подесити Аменд без Одустани
old_parent,олд_парент
Module to Export,Модул за извоз
Fields,Поља
You are not allowed to print this document,Није вам дозвољено да штампате овај документ
Parent,Родитељ
"Your session has expired, please login again to continue.","Ваша сесија је истекла, пријавите се поново да бисте наставили."
Priority,Приоритет
click here,кликните овде
Wednesday,Среда
Additional Permissions,Додатне дозволе
Send Now,Сенд Нов
ASC,АСЦ
Both login and password required,Потребни су и логин и лозинка
 for {0},за {0}
Cache Cleared,Цацхе Цлеаред
Energy Points,Енерги Поинтс
Refreshing...,Освежавање ...
This is similar to a commonly used password.,Ово је слично уобичајеној лозинки.
Last Point Allocation Date,Датум доделе последње тачке
Index,Индек
Is Published Field must be a valid fieldname,Објављено Поље мора бити важеће име поља
Mapping Name,Мапирање имена
Sorry! I could not find what you were looking for.,Извињавам се! Нисам могао да пронађем оно што сте тражили.
Please select atleast 1 column from {0} to sort/group,Молимо одаберите атлеаст 1 ступац од {0} за сортирање / групу
Allow Read On All Link Options,Дозволи читање на свим опцијама везе
Reset OTP Secret,Ресет ОТП Сецрет
UPPER CASE,УППЕР ЦАСЕ
Please set Email Address,Поставите адресу е-поште
Marked As Spam,Означено као нежељена пошта
Import Subscribers,Увоз претплатника
Jobs,Послови
Save Filter,Сачувај филтер
Preferred Shipping Address,Преферред Схиппинг Аддресс
The name that will appear in Google Calendar,Име које ће се појавити у Гоогле календару
&gt; {0} year(s) ago,&gt; {0} година
Disable SMTP server authentication,Онемогућите аутентификацију СМТП сервера
Total number of emails to sync in initial sync process ,Укупан број е-порука за синхронизацију у почетном процесу синхронизације
Enable Password Policy,Омогући правило за лозинке
Mobile No,Мобиле Но
CC,ЦЦ
Fw: {0},Фв: {0}
Amount must be greater than 0.,Износ мора бити већи од 0.
Please enter values for App Access Key and App Secret Key,Унесите вредности за приступни кључ и тајни кључ апликације
Add Unsubscribe Link,Додај везу Откажи претплату
Queued for backup. It may take a few minutes to an hour.,У реду за чекање. Може потрајати неколико минута до сат времена.
Outlook.com,Оутлоок.цом
Submitting,Подношење
Insert Code,Инсерт Цоде
Not In,Не у
Start Date,Датум почетка
Set Chart,Сет Цхарт
My Account,Мој налог
Is Published Field,Ис Публисхед Фиелд
Set non-standard precision for a Float or Currency field,Подесите нестандардну прецизност за поље Флоат или Цурренци
The CSV format is case sensitive,ЦСВ формат је осјетљив на велика и мала слова
Export Data in CSV / Excel format.,Извоз података у ЦСВ / Екцел формату.
No records present in {0},Нема записа у {0}
Please select Entity Type first,Прво изаберите Ентити Типе
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ПроТип: Додај <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> за слање референце документа
LDAP First Name Field,Поље ЛДАП имена
Default Sending and Inbox,Подразумевано слање и пријемно сандуче
"For updating, you can update only selective columns.",За ажурирање можете ажурирати само селективне колоне.
Default for 'Check' type of field must be either '0' or '1',Подразумевано за поље „Провери“ мора да буде „0“ или „1“
Share this document with,Поделите овај документ са
Print Hide,Принт Хиде
Text,Текст
User Field,Корисничко поље
Google Calendar ID,ИД Гоогле календара
Reverted,Ревертед
Edit to add content,Измени да бисте додали садржај
Bulk Update,Булк Упдате
Secret Access Key,Тајни приступни кључ
You need to be in developer mode to edit a Standard Web Form,Морате бити у моду за развојне програмере да бисте уредили стандардни веб образац
Logout from all devices while changing Password,Одјавите се са свих уређаја док мењате лозинку
Skip Authorization,Скип Аутхоризатион
Public,Публиц
Following fields have missing values:,Следећим пољима недостају вредности:
after_insert,афтер_инсерт
Make Default,Маке Дефаулт
Refresh,Освјежи
Edit DocType,Едит ДоцТипе
"""Company History""",&quot;Историја компаније&quot;
Use the field to filter records,Користите поље за филтрирање записа
Brute Force Security,Бруте Форце Сецурити
Cannot move row,Не могу да померим ред
pause,паусе
Low,Лов
Role Permissions,Дозволе за улоге
Sent/Received Email,Послато / примљена е-пошта
Permission Levels,Нивои дозвола
Add Another Comment,Адд Анотхер Цоммент
You have {0} days left in your subscription,У претплати имате још {0} дана
"Once submitted, submittable documents cannot be changed. They can only be Cancelled and Amended.","Након подношења, документи који се подносе не могу се мијењати. Могу се само поништити и допунити."
Allow approval for creator of the document,Дозволите одобрење за аутора документа
Complete,комплетан
See all past reports.,Погледајте све прошле извештаје.
Newsletter has already been sent,Билтен је већ послат
Print Settings,Принт Сеттингс
Categorize blog posts.,Категоризирајте постове на блогу.
Last IP,Ласт ИП
One of,Један од
Cannot send this email. You have crossed the sending limit of {0} emails for this month.,Није могуће послати ову поруку е-поште. Прешли сте ограничење слања од {0} е-порука за овај мјесец.
Domains HTML,Домени ХТМЛ
Blog Settings,Поставке блога
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores","Име ДоцТипе треба почети словом и може се састојати само од слова, бројева, размака и подвлаке"
Integrations can use this field to set email delivery status,Интеграције могу користити ово поље за постављање статуса испоруке е-поште
Stripe payment gateway settings,Подешавања мрежног пролаза за плаћање
Fonts,Фонтови
Channel,Канал
Opened,Отворен
Conditions,Услови
Don't have an account? Sign up,Немате налог? Пријави се
Added {0},Додато {0}
Create and Send Newsletters,Креирајте и пошаљите билтене
Footer Items,Фоотер Итемс
Website Slideshow Item,Вебсите Слидесхов Итем
Register OAuth Client App,Региструј ОАутх Цлиент Апп
Frames,Оквири
List View Setting,Подешавање приказа листе
Data Export,Извоз података
Depends On,Зависи од
Widths can be set in px or %.,Ширине се могу поставити у пк или%.
Address and other legal information you may want to put in the footer.,Адреса и друге правне информације које можете поставити у подножје.
Document Type is not importable,Тип документа се не може увозити
User {0} does not have access to this document,Корисник {0} нема приступ овом документу
User Name,Корисничко име
UIDVALIDITY,УИДВАЛИДИТИ
via automatic rule {0} on {1},путем аутоматског правила {0} дана {1}
You are not connected to Internet. Retry after sometime.,Нисте повезани на Интернет. Покушајте поново после неког времена.
Transition Rules,Правила преласка
resize-vertical,ресизе-вертицал
Shared With,Дели са
Add Row,Адд Ров
th-list,тх-лист
Subdomain,Субдомаин
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Немојте ХТМЛ кодирати ХТМЛ тагове као што су &lt;сцрипт&gt; или само карактери као &lt;или&gt;, јер се могу намерно користити у овом пољу"
; not allowed in condition,; није дозвољено у стању
Two Factor Authentication method,Метода аутентификације два фактора
New Message from Website Contact Page,Нова порука са веб сајта Контакт страна
"Your download is being built, this may take a few moments...","Ваша преузимање се гради, може потрајати неколико тренутака ..."
Compact Item Print,Штампа компактне ставке
Lft,Лфт
align-justify,алигн-јустифи
Saving...,Уштеда...
Error Report,Извештај о грешци
{0} changed {1} to {2},{0} је променио {1} у {2}
Active,Активно
Export Report: {0},Извези извештај: {0}
"Login session expired, refresh page to retry","Корисничка сесија је истекла, освежите страницу да бисте покушали поново"
System Manager,Систем Манагер
Short keyboard patterns are easy to guess,Кратке шаблоне тастатуре је лако погодити
Enable Incoming,Енабле Инцоминг
"Level 0 is for document level permissions, \
								higher levels for field level permissions.","Ниво 0 је за дозволе на нивоу документа, више нивое за дозволе на нивоу поља."
City/Town,Град / град
GMail,Гмаил
"This will reset your current theme, are you sure you want to continue?","Ово ће поништити вашу тренутну тему, јесте ли сигурни да желите да наставите?"
Mandatory fields required in {0},Обавезна поља потребна у {0}
Error while connecting to email account {0},Грешка приликом повезивања на налог е-поште {0}
An error occured while creating recurring,Дошло је до грешке приликом креирања понављања
Not a zip file,Није зип датотека
Port,Порт
Invalid Access Key ID or Secret Access Key.,Неважећи ИД приступног кључа или кључ тајног приступа.
Redirect URIs,Уређаји за преусмеравање
Font,Фонт
Text Color,Боја текста
I found these: ,Нашао сам ове:
Timeline DocType,Тимелине ДоцТипе
File,Филе
Insert After cannot be set as {0},Уметни после није могуће поставити као {0}
Drag elements from the sidebar to add. Drag them back to trash.,Превуците елементе са бочне траке да бисте их додали. Повуците их назад у отпад.
Chat Profile for User {0} exists.,Постоји профил за ћаскање корисника {0}.
Default Role at Time of Signup,Дефаулт Роле ат Тиме оф Сигнуп
Table MultiSelect,Табле МултиСелецт
Form Settings,Поставке обрасца
{0} self assigned this task: {1},{0} сам доделио овај задатак: {1}
Relapses,Релапсес
Notify users with a popup when they log in,Обавести кориснике о скочном прозору када се улогују
Restrict user for specific document,Ограничите корисника на одређени документ
App Name,Име апликације
Delayed,Одложен
Your subscription has expired.,Ваша претплата је истекла.
Download Link,Линк за скидање
"Standard DocType cannot have default print format, use Customize Form","Стандардни ДоцТипе не може имати подразумевани формат штампања, користите Цустомизе Форм"
Document States,Доцумент Статес
Next,Следећи
Pull Insert,Пулл Инсерт
minus,минус
Event Category,Категорија догађаја
Columns based on,Колоне засноване на
Edit Heading,Едит Хеадинг
Received,Примљен
You are not permitted to access this page.,Није вам дозвољен приступ овој страници.
User Social Login,Усер Социал Логин
Write a Python file in the same folder where this is saved and return column and result.,Запишите Питхон датотеку у исту фасциклу у којој је спремљена и вратите ступац и резултат.
Purchase Manager,Менаџер куповине
"target = ""_blank""",таргет = &quot;_бланк&quot;
New data will be inserted.,Нови подаци ће бити уметнути.
Set Banner from Image,Поставите банер са слике
