Connector Type,connector အမျိုးအစား
Fieldname {0} appears multiple times in rows {1},Fieldname {0} အတန်း {1} အတွက်အကြိမ်ပေါင်းများစွာပေါ်လာသော
Error Log,မှားယွင်းနေသည် Log in ဝင်ရန်
Half,တဝက်
Home Page,မူလစာမျက်နှာစာမျက်နှာ
Current Mapping Start,လက်ရှိမြေပုံ Start ကို
eye-close,မျက်စိ-နီးစပ်
Assignment closed by {0},{0} များကပိတ်ထားတာဝနျကို
Next Date's day and Repeat on Day of Month must be equal,လ၏နေ့တွင် Next ကိုနေ့စွဲရဲ့နေ့နဲ့ထပ်တူညီရမည်
Comments cannot have links or email addresses,မှတ်ချက်များလင့်များသို့မဟုတ်အီးမေးလ်လိပ်စာများရှိသည်မဟုတ်နိုင်ပါတယ်
Reference Communication,ကိုးကားစရာဆက်သွယ်ရေး
Mandatory:,မသင်မနေရ:
Setting up your system,သင်၏ system တစ်ခုကိုပြင်ဆင်ခြင်း
Payment Failed,ငွေပေးချေမှုရမည့် Failed
Read,ဖတ်
SSL/TLS Mode,SSL / TLS Mode ကို
Print Format Help,ပုံနှိပ်ပါ Format ကိုအကူအညီ
Between,အကြား
Thank you for your interest in subscribing to our updates,ကျွန်တော်တို့ရဲ့ updates များကိုစာရင်းပေးသွင်းခြင်း၌သင်တို့၏အကျိုးစီးပွားအတွက်ကျေးဇူးတင်ပါသည်
Full Name,နာမည်အပြည့်အစုံ
Allow GCalendar Access,GCalendar Access ကို Allow
Reset Permissions for {0}?,{0} များအတွက် reset ခွင့်ပြုချက်များ?
Start entering data below this line,ဒီမျဉ်းအောက်တွင်ဖော်ပြထားသော data တွေကိုဝင်ရောက် Start
UNSEEN,မမွငျရသော
JS,JS
All-uppercase is almost as easy to guess as all-lowercase.,all-ကြီး All-စာလုံးအသေးများအဖြစ်ခန့်မှန်းဖို့နီးပါးအဖြစ်လွယ်ကူသည်။
Cannot use sub-query in order by,ဖွငျ့နိုင်ရန်အတွက် Sub-query ကိုအသုံးမပြုနိုင်သ
Transaction Log Report,ငွေသွင်းငွေထုတ် Log in ဝင်ရန်အစီရင်ခံစာ
Is Global,ကမ္တာ့ Is
Options Help,options ကိုအကူအညီ
Is Sent,Sent ဖြစ်ပါတယ်
Transaction Log,ငွေသွင်းငွေထုတ် Log in ဝင်ရန်
eu-west-3,EU-အနောက်ဘက်-3
Complete Setup,အပြီးအစီး Setup ကို
OTP Secret has been reset. Re-registration will be required on next login.,OTP လျှို့ဝှက်ချက်မှပြန်လည်စတင်ခဲ့တာဖြစ်ပါတယ်။ re-မှတ်ပုံတင်ရေးနောက်တစ်နေ့ရဲ့ login အပေါ်လိုအပ်သောလိမ့်မည်။
In List View,စာရင်းကြည့်ရန်အတွက်
Feedback Trigger,တုံ့ပြန်ချက်အစပျိုး
Confirm,အတည်ပြု
Valid email and name required,သက်တမ်းရှိအီးမေးလ်နှင့်အမည်လိုအပ်ပါသည်
List of patches executed,ကွပ်မျက်ခံရပြင်ဆင်ဖာထေးမှုများများစာရင်း
Email Queue,အီးမေးလ်ပို့ရန်တန်းစီ
View Website,ကြည့်ရန်ဝက်ဘ်ဆိုက်
Fetch If Empty,Empty အကယ်. ဆွဲယူ
Select,ကို Select လုပ်ပါ
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","က default value ကိုလယ်ကွင်း (သော့) နှင့်တန်ဖိုးများကိုရိုက်ထည့်ပါ။ သင်တစ်ဦးကိုလယ်များအတွက်မျိုးစုံတန်ဖိုးများကိုပေါင်းထည့်ပါလျှင်, ပထမဦးဆုံးတဦးတည်းကောက်ယူလိမ့်မည်။ ယင်းမူလပုံစံများကိုလည်း &quot;ပွဲ&quot; ခွင့်ပြုချက်စည်းမျဉ်းစည်းကမ်းတွေသတ်မှတ်ထားဖို့အသုံးပြုကြသည်။ လယ်ကွင်း၏စာရင်းကိုကြည့်ဖို့, &quot;Customize Form ကို&quot; သွားပါ။"
Section Heading,ပုဒ်မဦးခေါင်းကို
Avoid dates and years that are associated with you.,သင်နှင့်အတူဆက်နွယ်သည်ဟုရက်စွဲများနှင့်နှစ်ပေါင်းရှောင်ကြဉ်ပါ။
Press Enter to save,စာနယ်ဇင်းကယ်ဖို့ Enter
Reviews,reviews
State,ပြည်နယ်
Translation,ဘာသာပြန်ချက်
Columns,ကော်လံ
Cannot change docstatus from 1 to 0,0 င်ရန် 1 မှ docstatus မပြောင်းနိုင်သလား
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,မဆို string ကို-based ပရင်တာဘာသာစကားများကိုအသုံးပြုနိုင်ပါတယ်။ ကုန်ကြမ်းပညတ်တော်တို့ကိုရေးသားခြင်းပရင်တာထုတ်လုပ်သူများကထောက်ပံ့ပေးပရင်တာရဲ့မိခင်ဘာသာစကား၏အသိပညာလိုအပ်သည်။ သူတို့ရဲ့ဇာတိပညတ်တို့ကိုရေးသားဖို့ဘယ်လိုပေါ်ပရင်တာထုတ်လုပ်သူများကထောက်ပံ့ပေးသည့်ဆော့ဖ်ဝဲရေးလက်စွဲစာအုပ်သွားရောက်ဖတ်ရှုပါ။ ထို command ကတော့ Jinja template ဘာသာစကားများကို အသုံးပြု. ဆာဗာဘက်မှာပြန်ဆိုရသည်။
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","QZ Tray ထဲမှာလျှောက်လွှာချိတ်ဆက်မှုမှားယွင်းနေ ... <br><br> သင်ကရော်ပုံနှိပ်ပါအင်္ဂါရပ်ကိုအသုံးပြုရန်, QZ Tray ထဲက application ကို install လုပ်ပြီးသားနှင့်ပြေးရှိသည်ဖို့လိုအပ်ပါတယ်။ <br><br> <a href=""https://qz.io/download/"" target=""_blank"">QZ Tray ထဲက Download လုပ်ပြီး install ဒီမှာနှိပ်ပါ</a> ။ <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">ရော်ပုံနှိပ်အကြောင်းပိုမိုလေ့လာသင်ယူရန်ဒီနေရာကိုနှိပ်ပါ</a> ။"
Please select another payment method. Razorpay does not support transactions in currency '{0}',အခြားပေးချေမှုနည်းလမ်းကိုရွေးချယ်ပါ။ Razorpay &#39;&#39; {0} &#39;&#39; ငွေကြေးအရောင်းအထောကျပံ့ပေးမထားဘူး
User permissions should not apply for this Link,အသုံးပြုသူခွင့်ပြုချက်ဒီ Link ကိုလျှောက်ထားမနေသင့်
Click on the link below to complete your registration and set a new password,သင့်ရဲ့မှတ်ပုံတင်ဖြည့်စွက်ခြင်းနှင့်စကားဝှက်အသစ်တင်ထားရန်အောက်က link ကိုကလစ်နှိပ်ပါ
Not allowed to print draft documents,မူကြမ်းစာရွက်စာတမ်းများပုံနှိပ်ခွင့်မပြု
Set up rules for user assignments.,အသုံးပြုသူတာဝန်တွေဘို့စည်းမျဉ်းစည်းကမ်းတွေကိုတက်သတ်မှတ်မည်။
Test,စမ်းသပ်
for automatic creating of the recurring document to continue.,ဆက်လက်ရန်ထပ်တလဲလဲစာရွက်စာတမ်းများ၏အလိုအလျှောက်ခြင်းပါ။
Orange,လိမ္မော်သီး
Enable Outgoing,အထွက် Enable
"Naming Options:
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","Options ကိုအမည်ဖြင့်သမုတ်: <ol><li> <b>လယ်ကွင်း: [fieldname]</b> - ဖျော်ဖြေမှုအားဖြင့် </li><li> <b>naming_series:</b> - စီးရီးအမည်ဖြင့်သမုတ်ခြင်းအားဖြင့် (လယ်ပြင်ကိုခေါ် naming_series ပစ္စုပ္ပန်ဖြစ်ရပါမည် </li><li> <b>prompt</b> - တစ်နာမအဘို့ prompt အသုံးပြုသူ </li><li> <b>[စီးရီး]</b> - စီးရီးရှေ့ဆက်နေဖြင့် (က dot အားဖြင့်ကွဲကွာ); ဥပမာအားမစမီသည်။ ##### </li><li> <b>format နဲ့: EXAMPLE- {MM} morewords {fieldname1} - {fieldname2} - {#####}</b> - အပေါင်းတို့သည်မိမိတို့တန်ဖိုးစကားလုံးများကို (fieldnames, ရက်စွဲစကားလုံးများကို (DD, MM, YY), စီးရီး) braced အစားထိုးပါ။ မသန်စွမ်းပဲပြင်, မည်သည့်ဇာတ်ကောင်ကိုအသုံးပြုနိုင်ပါတယ်။ </li></ol>"
Select Print Format to Edit,Edit ကိုမှပုံနှိပ်ပါစီစဉ်ဖွဲ့စည်းမှုပုံစံကိုရွေးချယ်ပါ
New Event,နယူး Event
Scheduled to send to {0} recipients,{0} လက်ခံသူများမှပေးပို့ဖို့စီစဉ်ထား
Address,လိပ်စာ
Enter keys to enable integration with Google GSuite,Google က GSuite နှင့်အတူပေါင်းစည်းမှုကို enable သော့ကိုရိုက်ထည့်
Open Translation,ပွင့်လင်းဘာသာပြန်စာပေ
Please do not change the template headings.,အဆိုပါ template ကိုခေါင်းစဉ်မပြောင်းကြဘူးပါ။
End date must be greater than start date,ပြီးဆုံးရက်စွဲသည်စတင်နေ့စွဲထက် သာ. ကြီးမြတ်ဖြစ်ရမည်
Merchant ID,ကုန်သည် ID
Energy Point Rule,စွမ်းအင်ဝန်ကြီးဌာနပွိုင့်စည်းမျဉ်း
Please enter Client ID before social login is enabled,လူမှုရေးရဲ့ login enabled မီလိုင်း ID ကိုရိုက်ထည့်ပေးပါ
Has  Attachment,နှောင်ကြိုးများကိုရှိပါတယ်
Email Signature,အီးမေးလ်ပို့ရန်ထိုးမြဲလက်မှတ်
Addresses And Contacts,လိပ်စာနှင့်ဆက်သွယ်ရန်
This Kanban Board will be private,ဤသည် Kanban ဘုတ်အဖွဲ့ပုဂ္ဂလိကဖြစ်လိမ့်မည်
Current Mapping,လက်ရှိမြေပုံ
Based on Permissions For User,အသုံးပြုသူသည်ခွင့်ပြုချက်များအပေါ် အခြေခံ.
"You can change Submitted documents by cancelling them and then, amending them.","သင်သည်ထိုသူတို့ပြင်ဆင်ရေး, ထို့နောက်သူတို့ကိုပယ်ဖျက်က Submitted စာရွက်စာတမ်းများပြောင်းလဲနိုင်သည်။"
Feedback Rating,တုံ့ပြန်ချက်ခဲ့သည် Rating
This is the template file generated with only the rows having some error. You should use this file for correction and import.,ဤသည်အချို့သောအမှားရှိခြင်းကိုသာအတန်းနှင့်အတူနေထုတ်လုပ်လိုက်တဲ့ template ကိုဖိုင်ဖြစ်ပါသည်။ သငျသညျဆုံးမပဲ့ပြင်ခြင်းနှင့်သွင်းကုန်အဘို့ဤဖိုင်တွင်အသုံးပြုသင့်ပါတယ်။
Middle Name (Optional),အလယျပိုငျးအမည် (Optional)
Invalid naming series (. missing),မှားနေသောအမည်ပေးခြင်းစီးရီး (။ ပျောက်ဆုံးနေတဲ့)
Help Articles,အကူအညီဆောင်းပါးများ
Retry,ပြန်ကြိုးစားမည်
You have subscribed for one user free plan,သင်တဦးတည်းအသုံးပြုသူအခမဲ့အစီအစဉ်များအတွက်စာရင်းပေးသွင်းထား
Straight rows of keys are easy to guess,သော့၏ဖြောင့်တန်းခန့်မှန်းရန်မလွယ်ကူများမှာ
User {0} cannot be disabled,အသုံးပြုသူ {0} ကိုပိတ်ထားရမရနိုငျ
Let's avoid repeated words and characters,ရဲ့အထပ်ထပ်စကားလုံးများနှင့်ဇာတ်ကောင်ကိုရှောင်ကြဉ်ကြကုန်အံ့
Condition Detail,အခွအေနေအသေးစိတ်
Property Type,အိမ်ခြံမြေအမျိုးအစား
Sunday,တနင်္ဂနွေ
Row Status,အတန်းအခြေအနေ
Portal Menu Item,portal Menu ကို Item
Follow,လိုက်
Unable to create bucket: {0}. Change it to a more unique name.,ရေပုံးမဖန်တီးနိုင်ပါ: {0} ။ တစ်ဦးထက်ပိုထူးခြားတဲ့အမည်ဖြင့်မှကပြောင်းလဲပါ။
Title Case,ခေါင်းစဉ်ဖြစ်ရပ်မှန်
You can find things by asking 'find orange in customers',သငျသညျ &#39;&#39; ဖောက်သည်အတွက်လိမ္မော်ရောင်ကိုရှာဖွေ &#39;&#39; ကိုတောင်းသောအရာတို့ကိုရှာတှေ့နိုငျ
Set custom roles for page and report,စာမျက်နှာနှင့်အစီရင်ခံစာအတွက် Set ထုံးစံအခန်းကဏ္ဍ
Allow,ခွင့်ပြု
Reference,အညွှန်း
Is Mandatory Field,မသင်မနေရကွင်းဆင်း Is
Yahoo Mail,ရာဟူးမေးလ်
User Type,အသုံးပြုသူအမျိုးအစား
Take Backup Now,အခုတော့ Backup ကိုယူပါ
Blog,ဘလော့
Script to attach to all web pages.,အားလုံး web စာမျက်နှာများမှပူးတွဲ script ။
module name...,မော်ကျူးအမည် ...
Users with role {0}:,အခန်းကဏ္ဍ {0} နှင့်အတူအသုံးပြုသူများ:
"Email Domain not configured for this account, Create one?","အီးမေးလ်ပို့ရန်ဒိုမိန်းသည်ဤအကောင့်မပြုပြင်, တဦးတည်း Create?"
Bucket,ရေပုံး
Disable Sidebar Stats,Sidebar Stats ကတော့ disable
Busy,အလုပ်ရှုပ်သည်
{0} {1} to {2},{0} {1} {2} မှ
Create Post,Post ကို Create
Printer Mapping,ပရင်တာပုံထုတ်ခြင်း
Setup &gt; User Permissions,Setup ကို&gt; အသုံးပြုသူခွင့်ပြုချက်များ
"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).","သင်တို့ရှိသမျှသည်အဖြစ် Sync ကို Option ကိုရွေးချယ်ခြင်းဖြစ်ကြောင်း, ဒါဟာအားလုံးကိုဖတ်အဖြစ် server မှမဖတ်ရသေးသောသတင်းစကား \ ပြန်ဆင့်ခ်လုပ်နေသည်ပါလိမ့်မယ်။ ဤသည်ကိုလည်းဆက်သွယ်ရေး (အီးမေးလ်များ) ၏ပုံတူ \ ဖြစ်ပေါ်စေနိုင်ပါတယ်။"
Last synced {0},နောက်ဆုံး {0} တစ်ပြိုင်တည်းချိန်ကိုက်
Cannot change header content,ခေါင်းစဉ်အကြောင်းအရာမပြောင်းနိုင်သလား
Not allowed to change {0} after submission,တင်သွင်းခဲ့တဲ့ပြီးနောက် {0} ကိုပြောင်းလဲခွင့်မပြု
"The application has been updated to a new version, please refresh this page","အဆိုပါလျှောက်လွှာအသစ်တခုဗားရှင်း update လုပ်ထားပြီး, ဒီစာမျက်နှာ refresh ကျေးဇူးပြုပြီး"
User Image,အသုံးပြုသူကို Image
Action Timeout (Seconds),လှုပ်ရှားမှုရပ်သွားသည် (စက္ကန့်)
New updates are available,နယူး updates များကိုရရှိနိုင်ပါ
Edit Title,Edit ကိုခေါင်းစဉ်
Login Required,login လိုအပ်ပါသည်
User {0} does not have doctype access via role permission for document {1},အသုံးပြုသူ {0} စာရွက်စာတမ်း {1} များအတွက်အခန်းကဏ္ဍခွင့်ပြုချက်မှတဆင့် DOCTYPE လက်လှမ်းရှိသည်ပါဘူး
View Permitted Documents,ကြည့်ရန်ခွင့်စာရွက်စာတမ်းများ
InnoDB,InnoDB
Select a Brand Image first.,ပထမဦးဆုံးတစ်ဦးအမှတ်တံဆိပ်ပုံရိပ်ရွေးချယ်ပါ။
Field {0} of type {1} cannot be mandatory,field {0} အမျိုးအစား {1} မဖြစ်မနေမဖွစျနိုငျ
Period,ကာလ
Portal Settings,portal Settings များ
SparkPost,SparkPost
Sidebar Settings,sidebar က Settings
Brand,အမှတ်တံဆိပ်
Insert After,ပြီးနောက်ထည့်ပါ
{0} is currently viewing this document,{0} လက်ရှိဤစာရွက်စာတမ်းကြည့်ရှုနေသည်
Quarter Day,လေးပုံတပုံနေ့
QR Code for Login Verification,ဝင်မည်အတည်ပြုဘို့ဖို့အတွက် QR Code ကို
Already Registered,ယခုပင်လျှင်မှတ်ပုံတင်
Show Preview Popup,Show ကိုအစမ်းကြည့်ရန်ဝင်းဒိုး
Unzip,ဇီပ်
Order,အမိန့်
Phone No.,ဖုန်းနံပါတ်။
Email not verified with {0},အီးမေးလ်ပို့ရန် {0} နှင့်အတူ verify မ
Column Name,ကော်လံအမည်
API Key,API ကီး
Delete comment?,မှတ်ချက်ကိုဖျက်မလား?
Error Message,အမှားပြစာ
YES,ဟုတ်သည်
Space,space ကို
Message ID,မက်ဆေ့ခ်ျကို ID ကို
Hub Sync ID,hub Sync ကို ID ကို
Apply Strict User Permissions,တင်းကျပ်အသုံးပြုသူခွင့်ပြုချက်များ Apply
Create,ဖန်တီး
{0} is saved,{0} သိမ်းဆည်း
From,မှ
Not a valid user,မခိုင်လုံသောအသုံးပြုသူ
Headers,headers
Token is missing,တိုကင်ပျောက်ဆုံးနေ
Item cannot be added to its own descendents,item ၎င်း၏ကိုယ်ပိုင်ဆင်းသက်လာမှထည့်လို့မရပါ
With Letterhead,Letterhead နှင့်အတူ
Default for {0} must be an option,{0} များအတွက် default အနေနဲ့ option ကိုဖွစျရမညျ
0 is highest,0 င်အမြင့်မားဆုံးဖြစ်ပါတယ်
us-east-2,ကျွန်တော်တို့ကို-အရှေ့-2
list-alt,စာရင်း-alt +
Track Email Status,track အီးမေးလ်အခြေအနေ
Role Name,အခန်းက္ပအမည်
Workflow Document State,လုပ်ငန်းအသွားအလာစာရွက်စာတမ်းပြည်နယ်
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",အားလုံးဖြစ်နိုင်သမျှလုပ်ငန်းအသွားအလာတိတ်နှင့်လုပ်ငန်းအသွားအလာ၏အခန်းကဏ္ဍ။ Docstatus Options ကို: 0 က &quot;သိမ်းဆည်း&quot; 1 &quot;Submitted&quot; ဖြစ်ပြီး 2 &quot;မှပယ်ဖျက်&quot; ဖြစ်ပါတယ်
Link Name,link ကိုအမည်
Message to be displayed on successful completion (only for Guest users),(သာဧည့်သည်အသုံးပြုသူများအတွက်) အောင်မြင်သောပြီးစီးအပေါ်ပြသခံရဖို့သတင်းစကား
Email Account Name,အီးမေးလ်အကောင့်အမည်
OAuth Provider Settings,OAuth ပေးသူက Settings
{0} record deleted,ဖျက်ပစ် {0} စံချိန်
Remove,Remove
Configure accounts for google calendar,Google Calendar အဘို့အကောင့်ကို configure
Currency Name,ငွေကြေးအမည်
glass,ဖန်
Raw Email,ကုန်ကြမ်းအီးမေးလ်
Looks like something is wrong with this site's Paypal configuration.,တစ်ခုခုကဒီ site ရဲ့ Paypal configuration နဲ့အတူမှားယွင်းနေသည်နဲ့တူလှပါတယ်။
Online,အွန်လိုင်း
Go to {0} List,{0} စာရင်းကိုသွားပါ
Open {0},ပွင့်လင်း {0}
Activity Log,လှုပ်ရှားမှုမှတ်တမ်း
Update,Update ကို
Add Signature,လက်မှတ Add
Lock,သော့ခတ်
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,အဆိုပါစာရွက်စာတမ်းအမျိုးအစား၏အမည် (DOCTYPE) သင်ဤလယ်ကွင်းဆက်စပ်ခံရဖို့ချင်တယ်။ ဥပမာဖောက်သည်
Redis cache server not running. Please contact Administrator / Tech support,run မ Redis cache ကို server ကို။ အုပ်ချုပ်ရေးမှူး / Tech မှပံ့ပိုးကူညီမှုကိုဆက်သွယ်ပါ
GitHub,GitHub
Sendgrid,Sendgrid
Add your own Tag Categories,သင့်ကိုယ်ပိုင် Tag ကိုအုပ်စုများ Add
New {} releases for the following apps are available,အောက်ပါ apps တွေအတွက်နယူး {} လွှတ်ပေးရရှိနိုင်ပါ
User permission already exists,အသုံးပြုသူခွင့်ပြုချက်ရှိထားပြီးသား
Incoming email account not correct,incoming အီးမေးလ်အကောင့်မှန်ကန်သောမဟုတ်
