Connector Type,커넥터 유형
Email Queue,이메일 대기열
View Website,웹 사이트보기
Fetch If Empty,빈 경우 가져 오기
Select,고르다
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".",기본값 필드 (키) 및 값을 입력하십시오. 필드에 여러 값을 추가하면 첫 번째 필드가 선택됩니다. 이러한 기본값은 &quot;일치&quot;권한 규칙을 설정하는데도 사용됩니다. 필드 목록을 보려면 &quot;양식 사용자 정의&quot;로 이동하십시오.
Section Heading,섹션 제목
Avoid dates and years that are associated with you.,너와 관련된 날짜와 년을 피하십시오.
Press Enter to save,저장하려면 Enter 키를 누릅니다.
Reviews,리뷰
State,상태
Translation,번역
Columns,열
Cannot change docstatus from 1 to 0,docstatus를 1에서 0으로 변경할 수 없습니다.
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,모든 문자열 기반 프린터 언어를 사용할 수 있습니다. 원시 명령을 작성하려면 프린터 제조업체가 제공 한 프린터의 모국어에 대한 지식이 필요합니다. 기본 명령을 작성하는 방법에 대해서는 프린터 제조업체가 제공 한 개발자 설명서를 참조하십시오. 이 명령은 Jinja 템플리트 언어를 사용하여 서버 측에서 렌더링됩니다.
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","QZ 트레이 응용 프로그램에 연결하는 중 오류가 발생했습니다 ... <br><br> Raw Print 기능을 사용하려면 QZ 트레이 응용 프로그램을 설치하고 실행해야합니다. <br><br> <a href=""https://qz.io/download/"" target=""_blank"">QZ 트레이를 다운로드하여 설치하려면 여기를 클릭하십시오</a> . <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Raw Printing에 대한 자세한 내용을 보려면 여기를 클릭하십시오</a> ."
Please select another payment method. Razorpay does not support transactions in currency '{0}',다른 지불 방법을 선택하십시오. Razorpay는 통화 &#39;{0}&#39;의 거래를 지원하지 않습니다.
User permissions should not apply for this Link,사용자 권한이이 링크에 적용되지 않아야합니다.
Click on the link below to complete your registration and set a new password,등록을 완료하고 새 비밀번호를 설정하려면 아래 링크를 클릭하십시오.
Not allowed to print draft documents,임시 문서를 인쇄 할 수 없습니다.
Set up rules for user assignments.,사용자 할당에 대한 규칙을 설정합니다.
Test,테스트
for automatic creating of the recurring document to continue.,되풀이되는 문서를 자동으로 생성하여 계속 진행합니다.
Orange,주황색
Enable Outgoing,발신 허용
"Naming Options:
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","이름 지정 옵션 : <ol><li> <b>입력란 : [입력란 이름]</b> - 입력란 별 </li><li> <b>naming_series :</b> - 이름 지정 시리즈 (naming_series라는 필드가 있어야 함) </li><li> <b>프롬프트</b> - 사용자에게 이름을 묻습니다. </li><li> <b>[시리즈]</b> - 접두사로 된 시리즈 (점으로 구분); 예 : PRE. ##### </li><li> <b>형식 : EXAMPLE- {MM} morewords {fieldname1} - {fieldname2} - {#####}</b> - 모든 <b>중괄호</b> 단어 (필드 이름, 날짜 어 (DD, MM, YY), 시리즈)를 해당 값으로 바꿉니다. 바깥 쪽 괄호는 모든 문자를 사용할 수 있습니다. </li></ol>"
Select Print Format to Edit,편집 할 인쇄 형식을 선택하십시오.
New Event,새로운 이벤트
Scheduled to send to {0} recipients,수신자 {0}에게 전송하도록 예약 됨
Address,주소
Enter keys to enable integration with Google GSuite,키를 입력하여 Google GSuite와 통합 할 수 있습니다.
Open Translation,열린 번역
Please do not change the template headings.,템플릿 제목을 변경하지 마십시오.
End date must be greater than start date,종료일은 시작일보다 커야합니다.
Merchant ID,판매자 ID
Energy Point Rule,에너지 포인트 규칙
Please enter Client ID before social login is enabled,소셜 로그인을 사용하도록 설정하기 전에 클라이언트 ID를 입력하십시오.
Has  Attachment,첨부 파일 있음
Email Signature,전자 메일 서명
Addresses And Contacts,주소 및 연락처
This Kanban Board will be private,이 Kanban Board는 비공개입니다.
Current Mapping,현재 매핑
Based on Permissions For User,사용자의 권한 기반
"You can change Submitted documents by cancelling them and then, amending them.",제출 된 문서는 취소 한 다음 수정하여 제출할 수 있습니다.
Feedback Rating,피드백 등급
This is the template file generated with only the rows having some error. You should use this file for correction and import.,이것은 일부 오류가있는 행만으로 생성 된 템플리트 파일입니다. 수정 및 가져 오기에는이 파일을 사용해야합니다.
Middle Name (Optional),중간 이름 (선택 사항)
Invalid naming series (. missing),잘못된 이름 지정 시리즈 (.)가 없습니다.
Help Articles,도움말 기사
Retry,다시 해 보다
You have subscribed for one user free plan,사용자 한 명 무료 플랜을 신청하셨습니다.
Straight rows of keys are easy to guess,똑 바른 줄의 키는 쉽게 추측 할 수 있습니다.
User {0} cannot be disabled,사용자 {0}이 (가) 비활성화 될 수 없습니다.
Let's avoid repeated words and characters,반복되는 단어와 문자는 피하자.
Condition Detail,조건 세부 정보
Property Type,속성 유형
Sunday,일요일
Row Status,행 상태
Portal Menu Item,포털 메뉴 항목
Follow,따르다
Unable to create bucket: {0}. Change it to a more unique name.,버킷을 생성 할 수 없습니다 : {0}. 더 독특한 이름으로 변경하십시오.
Title Case,타이틀 케이스
You can find things by asking 'find orange in customers',&#39;고객의 주황색 찾기&#39;
Set custom roles for page and report,페이지 및 보고서에 대한 사용자 지정 역할 설정
Allow,허용하다
Reference,참고
Is Mandatory Field,필수 입력란인가
Yahoo Mail,야후 메일
User Type,사용자 유형
Take Backup Now,지금 백업하기
Blog,블로그
Script to attach to all web pages.,모든 웹 페이지에 첨부 할 스크립트.
module name...,모듈 이름 ...
Users with role {0}:,역할이 {0} 인 사용자 :
"Email Domain not configured for this account, Create one?",이메일 도메인이 계정에 대해 구성되지 않았습니다. 계정을 만드시겠습니까?
Bucket,버킷
Disable Sidebar Stats,사이드 바 통계 사용 중지
Busy,바쁜
{0} {1} to {2},{0} {1} ~ {2}
Create Post,게시물 만들기
Printer Mapping,프린터 매핑
Setup &gt; User Permissions,설정&gt; 사용자 권한
"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).",Sync Option을 ALL로 선택하면 서버에서 읽지 않은 모든 메시지와 읽지 않은 메시지가 다시 동기화됩니다. 이것은 또한 의사 소통 (이메일)의 중복을 일으킬 수 있습니다.
Last synced {0},마지막 동기화 된 {0}
Cannot change header content,헤더 내용을 변경할 수 없습니다.
Not allowed to change {0} after submission,제출 후 {0}을 (를) 변경할 수 없습니다.
"The application has been updated to a new version, please refresh this page",응용 프로그램이 새 버전으로 업데이트되었습니다.이 페이지를 새로 고침하십시오.
User Image,사용자 이미지
Action Timeout (Seconds),작업 제한 시간 (초)
New updates are available,새 업데이트를 사용할 수 있습니다.
Edit Title,제목 수정
Login Required,로그인 필요
User {0} does not have doctype access via role permission for document {1},사용자 {0}에게는 {1} 문서에 대한 역할 사용 권한을 통한 Doctype 액세스 권한이 없습니다.
View Permitted Documents,허용 된 문서보기
InnoDB,InnoDB
Select a Brand Image first.,브랜드 이미지를 먼저 선택하십시오.
Field {0} of type {1} cannot be mandatory,{1} 유형의 {0} 필드는 필수 항목 일 수 없습니다.
Period,기간
Portal Settings,포털 설정
SparkPost,스파크 포스트
Sidebar Settings,사이드 바 설정
Brand,상표
Insert After,나중에 삽입
{0} is currently viewing this document,{0}이 (가) 현재이 문서를보고 있습니다.
Quarter Day,4 월의 날
QR Code for Login Verification,로그인 확인을위한 QR 코드
Already Registered,이미 등록
Show Preview Popup,미리보기 팝업 표시
Unzip,압축을 풉니 다.
Order,주문
Phone No.,전화 번호.
Email not verified with {0},{0}으로 확인되지 않은 이메일입니다.
Column Name,열 이름
API Key,API 키
Delete comment?,댓글을 삭제 하시겠습니까?
Error Message,에러 메시지
YES,예
Space,공간
Message ID,메시지 ID
Hub Sync ID,허브 동기화 ID
Apply Strict User Permissions,엄격한 사용자 권한 적용
Create,몹시 떠들어 대다
{0} is saved,{0}이 (가) 저장되었습니다.
From,에서
Not a valid user,유효한 사용자가 아닙니다.
Headers,헤더
Token is missing,토큰이 누락되었습니다.
Item cannot be added to its own descendents,항목을 자체 자손에 추가 할 수 없습니다.
With Letterhead,레터 헤드
Default for {0} must be an option,{0}의 기본값은 옵션이어야합니다.
0 is highest,0이 가장 높음
us-east-2,우리 - 동쪽 -2
list-alt,목록 alt
Track Email Status,이메일 상태 추적
Role Name,역할 이름
Workflow Document State,워크 플로 문서 상태
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","가능한 모든 워크 플로 상태 및 워크 플로의 역할. Docstatus 옵션 : 0은 &quot;저장 됨&quot;, 1은 &quot;제출 됨&quot;이고 2는 &quot;취소됨&quot;입니다."
Link Name,링크 이름
Message to be displayed on successful completion (only for Guest users),완료시 표시 할 메시지 (게스트 사용자 만 해당)
Email Account Name,이메일 계정 이름
OAuth Provider Settings,OAuth 공급자 설정
{0} record deleted,{0} 레코드가 삭제되었습니다.
Remove,풀다
Configure accounts for google calendar,Google 캘린더에 대한 계정 구성
Currency Name,통화 이름
glass,유리
Raw Email,원시 전자 메일
Looks like something is wrong with this site's Paypal configuration.,이 사이트의 Paypal 구성에 문제가있는 것처럼 보입니다.
Online,온라인
Go to {0} List,{0} 목록으로 이동하십시오.
Open {0},{0} 열기
Activity Log,활동 로그
Update,최신 정보
Add Signature,서명 추가
Lock,자물쇠
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,이 필드를 연결할 문서 유형 (DocType)의 이름. 예 : 고객
Redis cache server not running. Please contact Administrator / Tech support,Redis 캐시 서버가 실행되고 있지 않습니다. 관리자 / 기술 지원부에 문의하십시오.
GitHub,GitHub
Sendgrid,센드 그리드
Add your own Tag Categories,나만의 태그 카테고리 추가
New {} releases for the following apps are available,다음 앱에 대한 새로운 {} 버전을 사용할 수 있습니다.
User permission already exists,사용자 권한이 이미 있습니다.
Incoming email account not correct,수신 이메일 계정이 올바르지 않습니다.
User {0} cannot be renamed,사용자 {0}의 이름을 바꿀 수 없습니다.
Remember Last Selected Value,마지막으로 선택한 값 기억하기
Client Secret,고객 비밀
Quick Help for Setting Permissions,권한 설정을위한 빠른 도움말
Enable Two Factor Auth,2 요소 인증 사용
Warning,경고
Invalid payment gateway credentials,지불 게이트웨이 자격증 명 정보가 잘못되었습니다.
Are you sure you want to relink this communication to {0}?,이 통신을 {0}에 다시 연결 하시겠습니까?
Check this to pull emails from your mailbox,이 확인란을 선택하여 사서함에서 전자 메일을 가져옵니다.
You don't have access to Report: {0},보고서에 액세스 할 권한이 없습니다 : {0}
Keeps track of all communications,모든 통신 내용을 추적합니다.
Configure Theme,테마 구성
Login not allowed at this time,현재 로그인 할 수 없습니다.
It is risky to delete this file: {0}. Please contact your System Manager.,이 파일을 삭제하는 것은 위험합니다 : {0}. 시스템 관리자에게 문의하십시오.
Please ensure that your profile has an email address,프로필에 이메일 주소가 있는지 확인하십시오.
Toggle Full Width,전체 폭 토글
Starting Frappe ...,Frappe 시작 ...
Allow Guest to View,손님에게보기 허용
Column Break,칼럼 나누기
Go to {0} Page,{0} 페이지로 이동하십시오.
System,체계
{0} must be unique,{0}은 (는) 고유해야합니다.
Your payment was successfully accepted,결제가 승인되었습니다.
Button Label,버튼 레이블
Move,움직임
"SQL Conditions. Example: status=""Open""",SQL 조건. 예 : status = &quot;Open&quot;
Confirmed,확인 됨
"Field ""route"" is mandatory for Web Views",웹 조회에는 &#39;경로&#39;입력란이 필수 항목입니다.
Apply,대다
Sender,송신기
Mark as {0},{0} (으)로 표시
Discard,포기
Select an image of approx width 150px with a transparent background for best results.,최상의 결과를 위해 투명한 배경으로 약 150px의 이미지를 선택하십시오.
Relapsed,재발
Email Sent,보낸 이메일
Read by Recipient On,수신자가 읽음
Allow user to login only after this hour (0-24),이 시간 이후에만 사용자 로그인 허용 (0-24)
"document type..., e.g. customer","문서 유형 ..., 예 : 고객"
Website Theme Image,웹 사이트 테마 이미지
Everyone,각자 모두
You do not have enough review points,리뷰 포인트가 충분하지 않습니다.
Integration Type,통합 유형
Fieldtype {0} for {1} cannot be unique,{1}의 {0} 필드 유형은 고유 할 수 없습니다.
{0} is mandatory,{0}은 필수 항목입니다.
View Log,로그보기
"Actions for workflow (e.g. Approve, Cancel).","워크 플로에 대한 작업 (예 : 승인, 취소)."
Pick Columns,열 선택
Cannot map because following condition fails: ,다음 조건이 충족되지 않아 매핑 할 수 없습니다.
Sorry! User should have complete access to their own record.,죄송합니다! 사용자는 자신의 기록에 대한 완전한 액세스 권한을 가져야합니다.
Try to avoid repeated words and characters,반복되는 단어와 문자는 피하십시오.
Add Comment,댓글 추가
Emails are muted,이메일이 무시되었습니다.
{0}: Cannot set Amend without Cancel,{0} : 취소하지 않고 수정을 설정할 수 없습니다.
old_parent,old_parent
Module to Export,내보낼 모듈
Fields,전지
You are not allowed to print this document,이 문서를 인쇄 할 수 없습니다.
Parent,부모의
"Your session has expired, please login again to continue.",세션이 만료되었습니다. 계속하려면 다시 로그인하십시오.
Priority,우선 순위
click here,여기를 클릭하십시오.
Wednesday,수요일
Additional Permissions,추가 사용 권한
Send Now,지금 보내
ASC,ASC
Both login and password required,로그인과 비밀번호 모두 필요함
 for {0},{0}에 대한
Cache Cleared,캐시 지움
Energy Points,에너지 포인트
Refreshing...,새로 고침 중 ...
This is similar to a commonly used password.,이것은 일반적으로 사용되는 암호와 유사합니다.
Last Point Allocation Date,마지막 포인트 할당 날짜
Index,색인
Is Published Field must be a valid fieldname,게시 된 필드는 유효한 필드 이름이어야합니다.
Mapping Name,매핑 이름
Sorry! I could not find what you were looking for.,죄송합니다! 네가 찾고있는 것을 못 찾았 어.
Please select atleast 1 column from {0} to sort/group,{0}에서 적어도 1 열을 선택하여 정렬 / 그룹화하십시오.
Allow Read On All Link Options,모든 링크 옵션에서 읽기 허용
Reset OTP Secret,OTP 비밀 재설정
UPPER CASE,대문자
Please set Email Address,이메일 주소를 설정하십시오.
Marked As Spam,스팸으로 표시됨
Import Subscribers,구독자 가져 오기
Jobs,채용 정보
Save Filter,필터 저장
Preferred Shipping Address,기본 배송지 주소
The name that will appear in Google Calendar,Google 캘린더에 표시 될 이름입니다.
&gt; {0} year(s) ago,&gt; {0} 년 전
Disable SMTP server authentication,SMTP 서버 인증 사용 안 함
Total number of emails to sync in initial sync process ,초기 동기화 프로세스에서 동기화 할 전자 메일의 총 수
Enable Password Policy,암호 정책 사용
Mobile No,모바일 아니요
CC,CC
Fw: {0},Fw : {0}
Amount must be greater than 0.,금액은 0보다 커야합니다.
Please enter values for App Access Key and App Secret Key,앱 액세스 키 및 앱 보안 키의 값을 입력하십시오.
Add Unsubscribe Link,수신 거부 링크 추가
Queued for backup. It may take a few minutes to an hour.,백업 대기 중. 한 시간에서 몇 분 정도 걸릴 수 있습니다.
Outlook.com,Outlook.com
Submitting,제출
Insert Code,코드를 입력하세요
Not In,있음 없음
Start Date,시작 날짜
Set Chart,차트 설정
My Account,내 계정
Is Published Field,게시 된 필드
Set non-standard precision for a Float or Currency field,Float 또는 Currency 필드에 대해 비표준 정밀도 설정
The CSV format is case sensitive,CSV 형식은 대소 문자를 구분합니다.
Export Data in CSV / Excel format.,CSV / Excel 형식으로 데이터를 내 보냅니다.
No records present in {0},{0}에 레코드가 없습니다
Please select Entity Type first,먼저 엔티티 유형을 선택하십시오.
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip : <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> 추가 <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> 은 문서 참조를 보냅니다.
LDAP First Name Field,LDAP 이름 필드
Default Sending and Inbox,기본 발신 및받은 편지함
"For updating, you can update only selective columns.",업데이트의 경우 선택적 열만 업데이트 할 수 있습니다.
Default for 'Check' type of field must be either '0' or '1',&#39;확인&#39;필드의 기본값은 &#39;0&#39;또는 &#39;1&#39;이어야합니다.
Share this document with,함께이 문서 공유
Print Hide,인쇄 숨기기
Text,본문
User Field,사용자 입력란
Google Calendar ID,Google 캘린더 ID
Reverted,되 돌린
Edit to add content,콘텐츠를 추가하려면 편집
Bulk Update,대량 업데이트
Secret Access Key,비밀 액세스 키
You need to be in developer mode to edit a Standard Web Form,표준 웹 양식을 편집하려면 개발자 모드에 있어야합니다.
Logout from all devices while changing Password,암호를 변경하는 동안 모든 장치에서 로그 아웃
Skip Authorization,승인 건너 뛰기
Public,공공의
Following fields have missing values:,다음 입력란에는 누락 값이 있습니다.
after_insert,after_insert
Make Default,기본 설정
Refresh,새롭게 하다
Edit DocType,DocType 편집
"""Company History""",&quot;회사 연혁&quot;
Use the field to filter records,레코드를 필터링하려면 필드를 사용하십시오.
Brute Force Security,무차별 공격 보안
Cannot move row,행을 이동할 수 없습니다.
pause,중지
Low,낮은
Role Permissions,역할 권한
Sent/Received Email,보낸 전자 메일
Permission Levels,권한 수준
Add Another Comment,다른 코멘트 추가
You have {0} days left in your subscription,구독 기간이 {0} 일 남았습니다.
"Once submitted, submittable documents cannot be changed. They can only be Cancelled and Amended.",일단 제출되면 제출할 수있는 문서는 변경할 수 없습니다. 취소 및 수정 만 가능합니다.
Allow approval for creator of the document,문서 작성자에게 승인 허용
Complete,완전한
See all past reports.,모든 과거 보고서를보십시오.
Newsletter has already been sent,뉴스 레터가 이미 전송되었습니다.
Print Settings,인쇄 설정
Categorize blog posts.,블로그 게시물을 분류하십시오.
Last IP,마지막 IP
One of,하나의
Cannot send this email. You have crossed the sending limit of {0} emails for this month.,이 이메일을 보낼 수 없습니다. 이번 달에 {0} 개의 이메일 전송 한도를 초과했습니다.
Domains HTML,도메인 HTML
Blog Settings,블로그 설정
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores","DocType의 이름은 문자로 시작해야하며 문자, 숫자, 공백 및 밑줄로만 구성 될 수 있습니다."
Integrations can use this field to set email delivery status,통합은이 필드를 사용하여 전자 메일 배달 상태를 설정할 수 있습니다.
Stripe payment gateway settings,스트라이프 결제 게이트웨이 설정
Fonts,글꼴
Channel,채널
Opened,열린
Conditions,정황
Don't have an account? Sign up,계정이 없습니까? 가입
Added {0},추가 된 {0}
Create and Send Newsletters,뉴스 레터 작성 및 보내기
Footer Items,꼬리말 항목
Website Slideshow Item,웹 사이트 슬라이드 쇼 항목
Register OAuth Client App,OAuth 클라이언트 앱 등록
Frames,프레임
List View Setting,목록보기 설정
Data Export,데이터 내보내기
Depends On,의존하는
Widths can be set in px or %.,너비는 px 또는 %로 설정할 수 있습니다.
Address and other legal information you may want to put in the footer.,바닥 글에 넣을 수있는 주소 및 기타 법률 정보.
Document Type is not importable,문서 유형을 가져올 수 없습니다.
User {0} does not have access to this document,사용자 {0}이 (가)이 문서에 액세스 할 수 없습니다.
User Name,사용자 이름
UIDVALIDITY,무능력
via automatic rule {0} on {1},{1}의 자동 규칙 {0}을 (를) 통해
You are not connected to Internet. Retry after sometime.,인터넷에 연결되어 있지 않습니다. 언젠가 후에 다시 시도하십시오.
Transition Rules,전환 규칙
resize-vertical,크기 조정 - 세로
Shared With,와 공유 된
Add Row,행 추가
th-list,th-list
Subdomain,하위 도메인
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field",HTML은 &lt;script&gt;와 같은 HTML 태그 나 &lt;또는&gt;와 같은 문자를이 필드에서 의도적으로 사용할 수 있으므로 인코딩하지 않습니다.
; not allowed in condition,; 조건에 허용되지 않음
Two Factor Authentication method,2 요소 인증 방법
New Message from Website Contact Page,웹 사이트 연락처 페이지의 새 메시지
"Your download is being built, this may take a few moments...",다운로드가 완료되고 있습니다. 잠시 시간이 걸릴 수 있습니다 ...
Compact Item Print,조밀 한 품목 인쇄
Lft,승무원
align-justify,정렬 맞춤
Saving...,절약...
Error Report,오류 보고서
{0} changed {1} to {2},{0}이 (가) {1}을 (를) {2} (으)로 변경했습니다.
Active,유효한
Export Report: {0},보고서 내보내기 : {0}
"Login session expired, refresh page to retry",로그인 세션이 만료되었습니다. 페이지를 새로 고침하여 다시 시도하십시오.
System Manager,시스템 관리자
Short keyboard patterns are easy to guess,짧은 키보드 패턴은 쉽게 추측 할 수 있습니다.
Enable Incoming,수신 허용
"Level 0 is for document level permissions, \
								higher levels for field level permissions.",레벨 0은. 서 레벨 권한 용이고 필드 레벨 권한 용 상위 레벨입니다.
City/Town,도시 / 마을
GMail,GMail
"This will reset your current theme, are you sure you want to continue?",그러면 현재 테마가 재설정되며 계속 하시겠습니까?
Mandatory fields required in {0},{0}에 필수 입력란 필요
Error while connecting to email account {0},이메일 계정 {0}에 연결하는 동안 오류가 발생했습니다.
An error occured while creating recurring,되풀이를 만드는 동안 오류가 발생했습니다.
Not a zip file,zip 파일이 아닙니다.
Port,포트
Invalid Access Key ID or Secret Access Key.,잘못된 액세스 키 ID 또는 비밀 액세스 키.
