 by Role ,โดยบทบาท
Allow Import via Data Import Tool,อนุญาตให้นำเข้าได้ดูผ่านเครื่องมือนำเข้าข้อมูล
Allow Rename,อนุญาตให้เปลี่ยนชื่อ
Allow on Submit,อนุญาตให้ส่ง
Allow user to login only after this hour (0-24),อนุญาตให้ผู้ใช้เข้าสู่ระบบเท่านั้นหลังจากชั่วโมงนี้ (0-24)
Allow user to login only before this hour (0-24),อนุญาตให้ผู้ใช้เข้าสู่ระบบก่อนที่จะชั่วโมงนี้ (0-24)
Allowed,อนุญาต
Already Registered,ลงทะเบียนเรียบร้อยแล้ว
Amend,แก้ไข
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","file icon มี. ขยาย ICO ควรจะขนาด 16 x 16 px สร้างขึ้นโดยใช้เครื่องกำเนิดไฟฟ้า favicon [ <a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a> ]"
Are you sure you want to delete the attachment?,คุณแน่ใจหรือว่าต้องการลบสิ่งที่แนบมา?
Arial,Arial
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User",เป็นวิธีที่ดีที่สุดไม่ได้กำหนดชุดเดียวกันของกฎอนุญาตให้บทบาทที่แตกต่างกันแทนที่จะตั้งหลายบทบาทให้กับผู้ใช้
Ascending,Ascending
Assign To,กำหนดให้
Assigned By,ได้รับมอบหมายจาก
Assigned To,มอบหมายให้
Assigned To/Owner,มอบหมายให้ / เจ้าของ
Attach,แนบ
Attach Document Print,แนบเอกสารพิมพ์
Attach as web link,แนบ เป็นลิงค์ เว็บ
Attached To DocType,ที่แนบมากับ DOCTYPE
Attached To Name,ที่แนบมากับชื่อ
Attachments,สิ่งที่แนบมา
Attributions,เหตุผล
Auto Name,ชื่ออัตโนมัติ
Auto generated,ออโต้สร้าง
Avatar,Avatar
Background Color,สีพื้นหลัง
Background Image,ภาพพื้นหลัง
Banner,ธง
Banner HTML,HTML แบนเนอร์
Banner Image,ภาพแบนเนอร์
Banner is above the Top Menu Bar.,แบนเนอร์บนแถบเมนูด้านบน
Begin this page with a slideshow of images,เริ่มต้นหน้านี้ให้กับสไลด์โชว์จากภาพ
Belongs to,เป็นของ
Bio,ไบโอ
Birth Date,วันเกิด
Blog Category,หมวดหมู่บล็อก
Blog Intro,แนะนำบล็อก
Blog Introduction,แนะนำบล็อก
Blog Post,โพสต์บล็อก
Blog Settings,การตั้งค่าบล็อก
Blog Title,หัวข้อบล็อก
Blogger,Blogger
Bookmarks,ที่คั่นหน้า
Brand HTML,HTML ยี่ห้อ
"Brand is what appears on the top-right of the toolbar. If it is an image, make sure it
has a transparent background and use the &lt;img /&gt; tag. Keep size as 200px x 30px",
Bulk Email,อีเมล์ขยะ
Bulk Email records.,บันทึกอีเมล์ขยะ
Button,ปุ่ม
By,โดย
COMM-,COMM-
CSS,CSS
Calendar,ปฏิทิน
Can only be exported by users with role 'Report Manager',สามารถส่งออกโดยผู้ใช้ที่มี &#39;จัดการรายงานบทบาท
Cancel,ยกเลิก
Cancel permission also allows the user to delete a document (if it is not linked to any other document).,ได้รับอนุญาตยกเลิกยังช่วยให้ผู้ใช้สามารถลบเอกสาร (ถ้ายังไม่ได้เชื่อมโยงกับเอกสารอื่น)
Cancelled,ยกเลิก
Cannot Update: Incorrect / Expired Link.,ไม่สามารถ อัปเดต : ไม่ถูกต้อง Link / หมดอายุ
Cannot Update: Incorrect Password,ไม่สามารถ อัปเดต : รหัสผ่าน ไม่ถูกต้อง
Cannot change from,ไม่สามารถเปลี่ยนจาก
Cannot edit standard fields,ไม่สามารถแก้ไข เขตข้อมูลมาตรฐาน
Cannot map because following condition fails: ,ไม่สามารถ map เพราะเงื่อนไขดังต่อไปนี้ล้มเหลว:
"Cannot update a non-exiting record, try inserting.",ไม่สามารถปรับปรุงการบันทึก ที่ไม่ ออก ให้ลอง ใส่
Categorize blog posts.,แบ่งหมวดหมู่ของบล็อกโพสต์
Category,หมวดหมู่
Category Name,ชื่อหมวดหมู่
Center,ศูนย์
"Certain documents should not be changed once final, like an Invoice for example. The final state for such documents is called <b>Submitted</b>. You can restrict which roles can Submit.",เอกสารบางอย่างไม่ควรจะมีการเปลี่ยนแปลงครั้งสุดท้ายเช่นใบแจ้งหนี้สำหรับตัวอย่าง รัฐสุดท้ายสำหรับเอกสารดังกล่าวเรียกว่า <b>Submitted</b> คุณสามารถ จำกัด การซึ่งสามารถส่งบทบาท
Chat,พูดคุย
Check,ตรวจสอบ
Check / Uncheck roles assigned to the Profile. Click on the Role to find out what permissions that Role has.,ตรวจสอบ / บทบาทที่กำหนดให้ยกเลิกการเลือกรายละเอียด คลิกที่บทบาทเพื่อหาสิ่งที่สิทธิ์บทบาทที่ได้
Check this to make this the default letter head in all prints,ตรวจสอบนี้จะทำให้เรื่องนี้หัวจดหมายเริ่มต้นในการพิมพ์ทั้งหมด
Checked,ถูกตรวจสอบ
Child Tables are shown as a Grid in other DocTypes.,ตารางเด็กจะปรากฏเป็นเส้นตารางใน doctypes อื่น ๆ
Clear Cache & Refresh,ล้างแคช &amp; รีเฟรช
Click on button in the 'Condition' column and select the option 'User is the creator of the document',คลิกที่ปุ่มใน &#39;สภาพ&#39; คอลัมน์และเลือกตัวเลือก &#39;ผู้ใช้เป็นผู้สร้างเอกสาร&#39;
Click on row to edit.,คลิกที่ แถว ที่จะแก้ไข
Click to Expand / Collapse,คลิกที่นี่เพื่อขยาย / ยุบ
Client,ลูกค้า
Close,ปิด
Code,รหัส
Color,สี
Column Break,ตัวแบ่งคอลัมน์
Comment,ความเห็น
Comment By,ความคิดเห็นที่
Comment By Fullname,ความคิดเห็นที่ Fullname
Comment Date,ความคิดเห็นวันที่
Comment Docname,ความคิดเห็น Docname
Comment Doctype,ความคิดเห็น DOCTYPE
Comment Time,ความคิดเห็นเวลา
Comments,ความเห็น
Communication,การสื่อสาร
Communication Medium,กลางการสื่อสาร
Company History,ประวัติ บริษัท
Company Introduction,แนะนำ บริษัท
Company Name,ชื่อ บริษัท
Complaint,การร้องเรียน
Complete By,เสร็จสมบูรณ์โดย
Condition Field,สภาพ สนาม
Contact Us Settings,ติดต่อเราตั้งค่า
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.",ตัวเลือกการติดต่อเช่น &quot;แบบสอบถามขายการสนับสนุนแบบสอบถาม&quot; ฯลฯ แต่ละบรรทัดใหม่หรือคั่นด้วยเครื่องหมายจุลภาค
Content,เนื้อหา
Content in markdown format that appears on the main side of your page,เนื้อหาในรูปแบบ markdown ซึ่งปรากฏบนด้านหลักของหน้าเว็บของคุณ
Content web page.,หน้าเว็บเนื้อหา
Control Panel,แผงควบคุม
Controller,ตัวควบคุม
Copy,คัดลอก
Copyright,ลิขสิทธิ์
Core,แกน
Count,นับ
Country,ประเทศ
Create,สร้าง
Created Customer Issue,ปัญหาของลูกค้าที่สร้างไว้
Created Opportunity,สร้างโอกาส
Created Support Ticket,ตั๋วสนับสนุนสร้าง
Currency,เงินตรา
Currency Format,รูปแบบสกุลเงิน
Current status,สถานะปัจจุบัน
Custom CSS,CSS ที่กำหนดเอง
Custom Field,ฟิลด์ที่กำหนดเอง
Custom Reports,รายงานที่กำหนดเอง
Custom Script,สคริปต์ที่กำหนดเอง
Custom Startup Code,รหัสเริ่มต้นที่กำหนดเอง
Custom?,กำหนดเองได้อย่างไร
Customize,ปรับแต่ง
Customize Form,ปรับแต่งรูปแบบ
Customize Form Field,กำหนดเขตข้อมูลฟอร์ม
"Customize Label, Print Hide, Default etc.","กำหนด Label, ซ่อนพิมพ์ ฯลฯ เริ่มต้น"
Daily Event Digest is sent for Calendar Events where reminders are set.,ประจำวันเหตุการณ์สำคัญจะถูกส่งสำหรับปฏิทินเหตุการณ์การแจ้งเตือนที่มีการตั้งค่า
Danger,อันตราย
Data,ข้อมูล
Data missing in table,ข้อมูลที่หายไปในตาราง
Date,วันที่
Date Format,รูปแบบวันที่
Date must be in format,วันที่จะต้องอยู่ในรูปแบบ
Datetime,datetime
Dear,น่ารัก
Default,ผิดนัด
Default Home Page,หน้าแรกเริ่มต้น
Default Home Pages,หน้าแรกเริ่มต้น
Default Print Format,รูปแบบการพิมพ์เริ่มต้น
Default Value,ค่าเริ่มต้น
"Default: ""Contact Us""",เริ่มต้น: &quot;ติดต่อเรา&quot;
DefaultValue,เริ่มต้น
Defaults,เริ่มต้น
Defines actions on states and the next step and allowed roles.,กำหนดดำเนินการกับรัฐและขั้นตอนต่อไปและบทบาทอนุญาต
Defines workflow states and rules for a document.,กำหนดรัฐเวิร์กโฟลว์และกฎระเบียบสำหรับเอกสาร
Delete,ลบ
Delete Row,ลบแถว
Depends On,ขึ้นอยู่กับ
Descending,น้อย
Description,ลักษณะ
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)",คำอธิบายสำหรับหน้าแสดงรายการในข้อความธรรมดาเพียงคู่สาย (สูงสุด 140 ตัวอักษร)
Description for page header.,คำอธิบายสำหรับส่วนหัวของหน้า
Desktop,สก์ท็อป
Details,รายละเอียด
Did not add.,ไม่ได้เพิ่ม
Did not cancel,ไม่ได้ยกเลิก
Did not save,ไม่ได้บันทึก
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","ที่แตกต่างกัน &quot;รัฐ&quot; เอกสารนี้สามารถอยู่มาชอบ &quot;เปิด&quot;, &quot;รอการอนุมัติ&quot; ฯลฯ"
Disable Customer Signup link in Login page,ปิดการใช้งานของลูกค้าที่ลิงค์สมัครสมาชิกในหน้าเข้าสู่ระบบ
Disable Signup,ปิดการใช้งานลงทะเบียน
Disabled,พิการ
Display Settings,แสดงการตั้งค่า
Doc Status,สถานะ Doc
DocField,DocField
DocPerm,DocPerm
DocType,DOCTYPE
DocType Details,รายละเอียด DocType
DocType can not be merged,DocType ไม่สามารถ รวม
DocType is a Table / Form in the application.,DocType เป็นตาราง / แบบฟอร์มในใบสมัคร
DocType on which this Workflow is applicable.,DOCTYPE ที่เวิร์กโฟลว์นี้ใช้ได้
DocType or Field,DocType หรือสาขา
Docname,docName
Document,เอกสาร
Document Status transition from ,การเปลี่ยนแปลงสถานะเอกสารจาก
Document Type,ประเภทเอกสาร
Document Types,ประเภท เอกสาร
Document is only editable by users of role,เอกสารเป็นเพียงแก้ไขได้โดยผู้ใช้ของบทบาท
Documents,เอกสาร
Download Backup,ดาวน์โหลดสำรอง
Draft,ร่าง
Drafts,ร่าง
Drag to sort columns,ลากเพื่อเรียงลำดับคอลัมน์
Edit,แก้ไข
Editable,ที่สามารถแก้ไขได้
Email,อีเมล์
Email Host,โฮสต์อีเมล์
Email Id where users will send support request e.g. support@example.com,Email รหัส ที่ผู้ใช้ จะส่ง ขอความช่วยเหลือ เช่น support@example.com
Email Login,เข้าสู่ระบบอีเมล์
Email Password,รหัสผ่าน Email
Email Sent,อีเมลที่ส่ง
Email Settings,การตั้งค่าอีเมล
Email Signature,ลายเซ็นอีเมล
Email Use SSL,ส่งอีเมลใช้ SSL
"Email addresses, separted by commas","ที่อยู่อีเมล, separted ด้วยเครื่องหมายจุลภาค"
Email...,อีเมล์ ...
Embed image slideshows in website pages.,ฝังภาพสไลด์ภาพในหน้าเว็บไซต์
Enable Comments,ให้ ความเห็น
Enabled,เปิดการใช้งาน
Ends on,สิ้นสุด
Enter Form Type,ป้อนประเภทแบบฟอร์ม
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","ใส่เขตข้อมูลค่าเริ่มต้น (คีย์) และค่า ถ้าคุณเพิ่มค่าหลายค่าสำหรับเขตที่คนแรกที่จะถูกเลือก เริ่มต้นเหล่านี้ยังใช้ในการตั้งค่า &quot;การแข่งขัน&quot; กฎอนุญาต เพื่อดูรายชื่อของเขตข้อมูลไป <a href=""#Form/Customize Form/Customize Form"">กำหนดรูปแบบ</a> ."
Equals,เท่ากับ
Error,ความผิดพลาด
Error: Document has been modified after you have opened it,ข้อผิดพลาด: เอกสารได้รับการแก้ไขหลังจากที่คุณได้เปิดมัน
Event,เหตุการณ์
Event End must be after Start,สุดท้ายเหตุการณ์จะต้องหลังจากที่เริ่มต้น
Event Individuals,บุคคลเหตุการณ์
Event Role,บทบาทเหตุการณ์
Event Roles,บทบาทเหตุการณ์
Event Type,ชนิดเหตุการณ์
Event User,ผู้ใช้งาน
Events In Today's Calendar,เหตุการณ์ในปฏิทินของวันนี้
Every Day,ทุกวัน
Every Month,ทุกเดือน
Every Week,ทุกสัปดาห์
Every Year,ทุกปี
Example:,ตัวอย่าง:
Export,ส่งออก
Facebook Share,Facebook แบ่งปัน
FavIcon,favicon
Female,หญิง
Field Description,ฟิลด์คำอธิบาย
Field Name,ชื่อเขต
Field Type,ฟิลด์ชนิด
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)",สนามที่แสดงถึงรัฐเวิร์กโฟลว์ของการทำธุรกรรม (ถ้าเขตข้อมูลไม่ใช่ปัจจุบันฟิลด์ที่กำหนดเองใหม่ซ่อนจะถูกสร้างขึ้น)
Fieldname,fieldname
Fields,สาขา
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box","เขตคั่นด้วยเครื่องหมายจุลภาค (,) จะรวมอยู่ใน <br /> <b>ค้นหาตามรายชื่อของกล่องโต้ตอบค้นหา</b>"
File,ไฟล์
File Data,แฟ้มข้อมูล
File Name,ชื่อไฟล์
File Size,ขนาดไฟล์
File URL,ไฟล์ URL
File size exceeded the maximum allowed size,ขนาดไฟล์เกินขนาดสูงสุดที่อนุญาตให้
Filter,กรอง
Finder,Finder
First Name,ชื่อแรก
Float,ลอย
Font (Heading),แบบอักษร (หนังสือ)
Font (Text),แบบอักษร (ข้อความ)
Font Size (Text),ขนาดแบบอักษร (ข้อความ)
Fonts,แบบอักษร
Footer,ส่วนท้าย
Footer Items,รายการส่วนท้าย
For All Users,สำหรับผู้ใช้ทั้งหมด
For DocType,สำหรับ DocType
"For Links, enter the DocType as range
For Select, enter list of Options separated by comma",
"For comparative filters, start with",สำหรับตัวกรองเปรียบเทียบเริ่มต้นด้วย
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,ตัวอย่างเช่นถ้าคุณยกเลิกและแก้ไข &#39;INV004&#39; มันจะกลายเป็นเอกสารใหม่ &#39;INV004-1&#39; นี้จะช่วยให้คุณสามารถติดตามการแก้ไขแต่ละ
For example: You want to restrict users to transactions marked with a certain property called 'Territory',ตัวอย่างเช่นคุณต้องการ จำกัด ผู้ใช้กับการทำธุรกรรมที่มีเครื่องหมายคุณสมบัติบางอย่างที่เรียกว่า &#39;พื้นที่&#39;
For ranges,สำหรับช่วง
Form,ฟอร์ม
"Format: hh:mm example for one hour expiry set as 01:00. 
Max expiry will be 72 hours. Default is 24 hours",
Forward To Email Address,ไปข้างหน้า เพื่อ ที่อยู่อีเมล์
Friday,วันศุกร์
From Date must be before To Date,นับ แต่วันที่ต้องอยู่ก่อนวันที่ต้องการ
Full Name,ชื่อเต็ม
Gantt Chart,แผนภูมิแกนต์
Gender,เพศ
General,ทั่วไป
Generator,เครื่องกำเนิดไฟฟ้า
Georgia,จอร์เจีย
Get,ได้รับ
Get From ,ได้รับจาก
"Go to Setup > <a href='#user-properties'>User Properties</a> to set \
			'territory' for diffent Users.",
Google Analytics ID,ID ของ Google Analytics
Google Plus One,Google Plus One
Google Web Font (Heading),Google เว็บแบบอักษร (หนังสือ)
Google Web Font (Text),Google เว็บแบบอักษร (ข้อความ)
Greater or equals,ที่มากกว่าหรือ เท่ากับ
Greater than,ที่ยิ่งใหญ่กว่า
Groups,กลุ่ม
HTML,HTML
Header,ส่วนหัว
Heading,หัวเรื่อง
Heading Text As,ในฐานะที่เป็นหัวเรื่องข้อความ
Help,ช่วย
Helvetica Neue,Neue Helvetica
Hey! There should remain at least one System Manager,Hey! ควรมีตัวจัดการระบบยังคงอยู่อย่างน้อยหนึ่ง
Hidden,ซ่อน
Hide Actions,ซ่อนการดำเนินการ
Hide Copy,ซ่อนคัดลอก
Hide Email,ซ่อนอีเมล์
Hide Heading,ซ่อนหัวเรื่อง
Hide Print,ซ่อนพิมพ์
Hide Toolbar,ซ่อนแถบเครื่องมือ
Highlight,เน้น
History,ประวัติศาสตร์
Home Page,หน้าแรก
Home Page is Products,หน้าแรกคือผลิตภัณฑ์
Home Pages,หน้าแรก
ID,ID
ID (name) of the entity whose property is to be set,ID (ชื่อ) ของกิจการที่มีสถานที่ให้บริการจะถูกกำหนด
Icon,ไอคอน
Icon will appear on the button,ไอคอนจะปรากฏบนปุ่ม
"If a User does not have access at Level 0, then higher levels are meaningless","หากผู้ใช้ไม่สามารถเข้าถึงที่ระดับ 0, ระดับที่สูงขึ้นแล้วมีความหมาย"
"If checked, all other workflows become inactive.",หากตร​​วจสอบทุกขั้นตอนการทำงานอื่น ๆ เป็นที่รอ
"If checked, the Home page will be the default Item Group for the website.",หากการตรวจสอบหน้าแรกจะเริ่มต้นกลุ่มสินค้าสำหรับเว็บไซต์
"If image is selected, color will be ignored (attach first)",หากภาพถูกเลือกสีจะถูกละเว้น (แนบแรก)
"If not, create a",ถ้าไม่สร้าง
"If the 'territory' Link Field exists, it will give you an option to select it",ถ้าฟิลด์ &#39;ดินแดน&#39; แล้วก็จะให้คุณเลือกที่จะเลือก
"If these instructions where not helpful, please add in your suggestions at <a href='https://github.com/webnotes/wnframework/issues'>GitHub Issues</a>",ถ้า คำแนะนำเหล่านี้ ที่ ไม่เป็นประโยชน์ โปรดเพิ่ม ใน คำแนะนำของคุณ ที่ href='https://github.com/webnotes/wnframework/issues'> <a GitHub ปัญหา </ a>
"If you set this, this Item will come in a drop-down under the selected parent.",ถ้าคุณตั้งค่า นี้ รายการ นี้ จะมาในแบบเลื่อนลง ภายใต้การ ปกครอง ที่เลือก
Image,ภาพ
Image Link,ลิงก์รูปภาพ
Import,นำเข้า
In,ใน
In Dialog,ในกล่องโต้ตอบ
In Filter,กรอง
In List View,ในมุมมองรายการ
In Report Filter,ในรายงานกรอง
In response to,ในการตอบสนองต่อ
"In the Permission Manager, click on the button in the 'Condition' column for the Role you want to restrict.",ในตัวจัดการการอนุญาตให้คลิกที่ปุ่มใน &#39;สภาพ&#39; คอลัมน์บทบาทที่คุณต้องการ จำกัด
Index,ดัชนี
Individuals,บุคคล
Industry,อุตสาหกรรม
Info,ข้อมูล
Insert After,ใส่หลังจาก
Insert Below,ใส่ด้านล่าง
Insert Code,ใส่รหัส
Insert Row,ใส่แถวของ
Insert Style,ใส่สไตล์
Int,int
Integrations,Integrations
Introduce your company to the website visitor.,แนะนำ บริษัท ของคุณเพื่อเข้าชมเว็บไซต์
Introduction,การแนะนำ
Introductory information for the Contact Us Page,ข้อมูลเบื้องต้นสำหรับการติดต่อเราหน้า
Invalid Email,อีเมล์ที่ไม่ถูกต้อง
Inverse,ผกผัน
Is Active,มีการใช้งาน
Is Child Table,เป็นตารางเด็ก
Is Default,เป็นค่าเริ่มต้น
Is Mandatory Field,เขตบังคับเป็น
Is Single,เป็นโสด
Is Standard,เป็นมาตรฐาน
Is Submittable,เป็น Submittable
JSON,JSON
JavaScript Format: wn.query_reports['REPORTNAME'] = {},รูปแบบ JavaScript : wn.query_reports [ 'ชื่อรายงาน ] = { }
Javascript,javascript
Javascript to append to the head section of the page.,จาวาสคริปต์เพื่อผนวกกับส่วนหัวของหน้า
Keep a track of all communications,ติดตามการติดต่อสื่อสารทั้งหมด
Key,คีย์
Label,ฉลาก
Label Help,ช่วยเหลือฉลาก
Lacs,Lacs
Landing Page,หน้า Landing Page
Language,ภาษา
Language preference for user interface (only if available).,การตั้งค่าภาษาสำหรับส่วนติดต่อผู้ใช้ (เฉพาะถ้ามี)
Last IP,IP สุดท้าย
Last Login,เข้าสู่ระบบล่าสุด
Last Name,นามสกุล
Last updated by,ปรับปรุง ครั้งล่าสุดโดย
Lastmod,lastmod
Lato,lato
Leave blank to repeat always,ปล่อยว่าง ที่จะทำซ้ำ เสมอ
Left,ซ้าย
Less or equals,น้อยกว่าหรือ เท่ากับ
Less than,น้อยกว่า
Letter Head,หัวจดหมาย
Letter Head Image,รูปภาพหัวจดหมาย
Letter Head Name,ชื่อหัวจดหมาย
Letter Head in HTML,ตัวอักษรตัว ใหญ่ ในรูปแบบ HTML
Level,ชั้น
"Level 0 is for document level permissions, higher levels for field level permissions.",ระดับ 0 คือสำหรับสิทธิ์ระดับเอกสารระดับที่สูงขึ้นสำหรับสิทธิ์ในระดับเขต
Like,เช่น
Link,ลิงค์
Link Name,ชื่อ ลิงค์
Link to other pages in the side bar and next section,เชื่อมโยงไปยังหน้าอื่น ๆ ในแถบด้านข้างและส่วนถัดไป
Link to the page you want to open,เชื่อมโยงไปยัง เพจที่คุณต้องการ เปิด
Linked In Share,ที่เชื่อมโยงในแบ่งปัน
Linked With,เชื่อมโยงกับ
List,รายการ
List of patches executed,รายชื่อของแพทช์ที่ดำเนินการ
Loading,โหลด
Loading Report,โหลดรายงาน
Loading...,กำลังโหลด ...
Log of Scheduler Errors,เข้าสู่ระบบของข้อผิดพลาดตัวจัดตารางเวลา
Login,เข้าสู่ระบบ
Login After,เข้าสู่ระบบหลังจากที่
Login Before,เข้าสู่ระบบก่อน
Logout,ออกจากระบบ
Long Text,ข้อความยาว
Lucida Grande,แกรนด์ Lucida
Mail Footer,ส่วนท้ายของจดหมาย
Mail Server,Mail Server ที่
Main Section,มาตราหลัก
Make a new,ทำให้ใหม่
Make sure that the transactions you want to restrict have a Link field 'territory' that maps to a 'Territory' master.,ตรวจสอบให้แน่ใจว่าการทำธุรกรรมที่คุณต้องการที่จะ จำกัด การมี &#39;ดินแดน&#39; ฟิลด์ที่แผนที่เพื่อ &#39;พื้นที่&#39; ต้นแบบ
Male,ชาย
Mandatory,จำเป็น
Mandatory filters required:\n,กรอง ต้อง บังคับ : \ n
Master,เจ้านาย
Match,การแข่งขัน
Max Attachments,สิ่งที่แนบมาแม็กซ์
"Meaning of Submit, Cancel, Amend","ความหมายของ Submit, ยกเลิกอัพเดท"
"Menu items in the Top Bar. For setting the color of the Top Bar, go to <a href=""#Form/Style Settings"">Style Settings</a>","รายการเมนูที่อยู่แถบบน สำหรับการตั้งค่าสีของบาร์ด้านบนให้ไปที่ <a href=""#Form/Style Settings"">การตั้งค่ารูปแบบของ</a>"
"Merging is only possible between Group-to-Group or 
					Ledger-to-Ledger",
Message,ข่าวสาร
Method,วิธี
Middle Name (Optional),ชื่อกลาง (ถ้ามี)
Millions,ล้าน
Misc,misc
Miscellaneous,เบ็ดเตล็ด
Missing Values Required,ค่านิยม ที่จำเป็น ขาดหายไป
Modified by,ดัดแปลงโดย
Module,โมดูล
Module Def,Def โมดูล
Module Name,ชื่อโมดูล
Modules,โมดูล
Monday,วันจันทร์
More,ขึ้น
More content for the bottom of the page.,เนื้อหาเพิ่มเติมสำหรับด้านล่างของหน้า
Must have report permission to access this report.,ต้องได้รับอนุญาตรายงานการเข้าถึงรายงานนี้
Must specify a Query to run,ต้องระบุแบบสอบถามที่จะเรียกใช้
Name,ชื่อ
Name Case,กรณีชื่อ
Name Exists,ชื่อ ที่มีอยู่
Naming Series mandatory,การตั้งชื่อชุดบังคับ
New,ใหม่
New Password,รหัสผ่านใหม่
New Record,การบันทึกใหม่
New value to be set,ค่าใหม่ที่จะตั้ง
Next Communcation On,ถัดไป communcation เกี่ยวกับ
Next State,รัฐต่อไป
Next actions,ดำเนินการต่อไป
