 by Role ,per Ruolo
Current status,Stato Corrente
Custom CSS,CSS Personalizzato
Custom Field,Campo Personalizzato
Custom Reports,Report Personalizzato
Custom Script,Script Personalizzato
Custom Startup Code,Codice Avvio Personalizzato
Custom?,Personalizzato?
Customize,Personalizza
Customize Form,Personalizzare modulo
Customize Form Field,Personalizzare Campo modulo
"Customize Label, Print Hide, Default etc.","Personalizzare Etichetta,Nascondere Stampa, predefinito etc."
Daily Event Digest is sent for Calendar Events where reminders are set.,Coda di Evento Giornaliero è inviato per Eventi del calendario quando è impostata la notifica.
Danger,Pericoloso
Data,Data
Data missing in table,Dati Mancanti nella tabella
Date,Data
Date Format,Formato Data
Date must be in format,Data nel formato
Datetime,Orario
Dear,Gentile
Default,Predefinito
Default Home Page,Home page Predefinito
Default Home Pages,Home page Predefinita
Default Print Format,Formato Stampa Predefinito
Default Value,Valore Predefinito
"Default: ""Contact Us""","Predefinito: ""Contattaci """
DefaultValue,ValorePredefinito
Defaults,Predefiniti
Defines actions on states and the next step and allowed roles.,Definisce le azioni su stati e il passo successivo e ruoli consentiti.
Defines workflow states and rules for a document.,Definisci stati Workflow e regole per il documento.
Delete,Elimina
Delete Row,Elimina Riga
Depends On,Dipende da
Descending,Decrescente
Description,Descrizione
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)","Descrizione per la pagina di profilo, in testo normale, solo un paio di righe. (max 140 caratteri)"
Description for page header.,Descrizione Intestazione Pagina
Desktop,Desktop
Details,Dettagli
Did not add.,Non aggiungere.
Did not cancel,Non cancellare
Did not save,Non salvare
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Diverso &quot;Uniti&quot; questo documento può esistere in Come &quot;Open&quot;, &quot;In attesa di approvazione&quot;, ecc"
Disable Customer Signup link in Login page,Disabilita Link Iscrizione Clienti nella pagina di Login
Disable Signup,Disabilita Iscrizione
Disabled,Disabilitato
Display Settings,Impostazioni Visualizzazione
Doc Status,Stato Doc
DocField,CampoDoc
DocPerm,PermessiDoc
DocType,TipoDoc
DocType Details,Dettaglio DocType
DocType can not be merged,DocType non può essere fusa
DocType is a Table / Form in the application.,DocType è una Tabella / Modulo nell'applicazione
DocType on which this Workflow is applicable.,DocType su cui questo flusso di lavoro è applicabile
DocType or Field,DocType Campo
Docname,docname
Document,Documento
Document Status transition from ,Documento di transizione di stato da
Document Type,Tipo di documento
Document Types,Tipi di documenti
Document is only editable by users of role,Documento è modificabile solo dagli utenti del ruolo
Documents,Documenti
Download Backup,Scarica Backup
Draft,Bozza
Drafts,Bozze
Drag to sort columns,Trascina per ordinare le colonne
Edit,Modifica
Editable,Modificabile
Email,Email
Email Host,Host Email
Email Id where users will send support request e.g. support@example.com,Email Id dove gli utenti potranno inviare richiesta di supporto ad esempio support@example.com
Email Login,Login Email
Email Password,Password Email
Email Sent,Invia Mail
Email Settings,Impostazioni email
Email Signature,Firma Email
Email Use SSL,Email usa SSL
"Email addresses, separted by commas","Indirizzi Email, separati da virgole"
Email...,Email...
Embed image slideshows in website pages.,Includi slideshow di immagin nellae pagine del sito.
Enable Comments,Attiva Commenti
Enabled,Attivo
Ends on,Termina il
Enter Form Type,Inserisci Tipo Modulo
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","Inserisci campi valore di default (chiavi) e valori. Se si aggiungono più valori per un campo, il primo sarà scelto. Questi dati vengono utilizzati anche per impostare le regole di autorizzazione &quot;match&quot;. Per vedere l&#39;elenco dei campi, andare al <a href=""#Form/Customize Form/Customize Form"">modulo di Personalizzazione</a> ."
Equals,Equals
Error,Errore
Error: Document has been modified after you have opened it,Errore: Il Documento è stato modificato dopo averlo aperto
Event,Evento
Event End must be after Start,Fine evento deve essere dopo l&#39;inizio
Event Individuals,Eventi Personali
Event Role,Ruolo Evento
Event Roles,Ruoli Evento
Event Type,Tipo Evento
Event User,Evento Utente
Events In Today's Calendar,Eventi nel Calendario di Oggi
Every Day,Tutti i Giorni
Every Month,Ogni mese
Every Week,Ogni settimana
Every Year,Ogni anno
Example:,Esempio:
Export,Esporta
Facebook Share,Condividi su Facebook
FavIcon,FavIcon
Female,Femmina
Field Description,Descrizione Campo
Field Name,Nome Campo
Field Type,Tipo Campo
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Campo che rappresenta lo stato del flusso di lavoro della transazione (se il campo non è presente, verrà creato un nuovo campo personalizzato nascosto)"
Fieldname,Nomecampo
Fields,Campi
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box","Campi separati da virgola (,) saranno inclusi in<br /><b>Cerca per</b>lista nel box di ricerca"
File,File
File Data,Dati File
File Name,Nome del file
File Size,Dimensione File
File URL,URL del file
File size exceeded the maximum allowed size,La dimensione del file eccede il massimo permesso
Filter,Filtra
Finder,mirino
First Name,Nome
Float,Galleggiare
Font (Heading),Font (rubrica)
Font (Text),Carattere (Testo)
Font Size (Text),Dimensione Carattere (Testo)
Fonts,Caratteri
Footer,Piè di pagina
Footer Items,elementi Piè di pagina
For All Users,Per tutti gli Utenti
For DocType,per DocType
"For Links, enter the DocType as range
For Select, enter list of Options separated by comma",
"For comparative filters, start with","Per i filtri di confronto, iniziare con"
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,Ad esempio in caso di annullamento e modifica 'INV004' diventerà un nuovo documento 'INV004-1'. Questo vi aiuta a tenere traccia di ogni modifica.
For example: You want to restrict users to transactions marked with a certain property called 'Territory',Per esempio: si vuole limitare gli utenti a transazioni contrassegnate con una certa proprietà chiamata 'Territorio'
For ranges,Per Intervallo
Form,Modulo
"Format: hh:mm example for one hour expiry set as 01:00. 
Max expiry will be 72 hours. Default is 24 hours",
Forward To Email Address,Inoltra a Indirizzo e-mail
Friday,Venerdì
From Date must be before To Date,Da Data deve essere prima di A Data
Full Name,Nome Completo
Gantt Chart,Diagramma di Gantt
Gender,Genere
General,Generale
Generator,generatore
Georgia,Georgia
Get,Ottieni
Get From ,Ottieni da
"Go to Setup > <a href='#user-properties'>User Properties</a> to set \
			'territory' for diffent Users.",
Google Analytics ID,ID Google Analytics
Google Plus One,Google+ One
Google Web Font (Heading),Google Web Font (Intestazione)
Google Web Font (Text),Google Web Font (Testo)
Greater or equals,Maggiore o uguale
Greater than,maggiore di
Groups,Gruppi
HTML,HTML
Header,Intestazione
Heading,Intestazione
Heading Text As,Rubrica testo come
Help,Aiuto
Helvetica Neue,Helvetica Neue
Hey! There should remain at least one System Manager,Hey! Si dovrebbe mantenere almeno un Gestore di sistema
Hidden,Nascosto
Hide Actions,Nascondi Azioni
Hide Copy,Nascondi Copia
Hide Email,Nascondi Email
Hide Heading,Nascondi Intestazione
Hide Print,Nascondi Stampa
Hide Toolbar,Nascondi la Barra degli strumenti
Highlight,Mettere in luce
History,Cronologia
Home Page,Home Page
Home Page is Products,Home page è Prodotti
Home Pages,Home Pages
ID,ID
ID (name) of the entity whose property is to be set,ID (nome) del soggetto la cui proprietà deve essere impostata
Icon,Icona
Icon will appear on the button,Icona apparirà sul tasto
"If a User does not have access at Level 0, then higher levels are meaningless","Se un utente non ha accesso al livello 0, quindi i livelli più elevati sono senza senso"
"If checked, all other workflows become inactive.","Se selezionata, tutti gli altri flussi di lavoro diventano inattivi."
"If checked, the Home page will be the default Item Group for the website.","Se selezionato, la pagina iniziale sarà il Gruppo Item predefinita per il sito web."
"If image is selected, color will be ignored (attach first)","Se si seleziona un&#39;immagine, il colore viene ignorata (allegare prima)"
"If not, create a","Se non, creare un"
"If the 'territory' Link Field exists, it will give you an option to select it","Se il &#39;territorio&#39; Link campo esiste, che vi darà la possibilità di selezionare la"
"If these instructions where not helpful, please add in your suggestions at <a href='https://github.com/webnotes/wnframework/issues'>GitHub Issues</a>","Se queste istruzioni se non disponibile, si prega di aggiungere nei vostri suggerimenti all'indirizzo <a href='https://github.com/webnotes/wnframework/issues'> GitHub Issues < / a>"
"If you set this, this Item will come in a drop-down under the selected parent.","Se si imposta questo, questo articolo verrà in una discesa sotto il genitore selezionato ."
Image,Immagine
Image Link,Immagine link
Import,Importazione
In,in
In Dialog,Nella finestra di dialogo
In Filter,In Filtro
In List View,In elenco Visualizza
In Report Filter,In Report Filter
In response to,In risposta a
"In the Permission Manager, click on the button in the 'Condition' column for the Role you want to restrict.","Nel Permission Manager, fare clic sul pulsante nella colonna &#39;Stato&#39; per il ruolo che si desidera limitare."
Index,Indice
Individuals,Individui
Industry,Industria
Info,Info
Insert After,Inserisci dopo
Insert Below,Inserisci sotto
Insert Code,Inserire codice
Insert Row,Inserisci riga
Insert Style,Inserire Style
Int,Int.
Integrations,Integrazioni
Introduce your company to the website visitor.,Introdurre la vostra azienda per il visitatore del sito.
Introduction,Introduzione
Introductory information for the Contact Us Page,Informazioni introduttive per la pagina Contattaci
Invalid Email,Email non valida
Inverse,Inverse
Is Active,È attivo
Is Child Table,È Tavola Bambino
Is Default,È Default
Is Mandatory Field,È Campo obbligatorio
Is Single,È single
Is Standard,È standard
Is Submittable,È Submittable
JSON,JSON
JavaScript Format: wn.query_reports['REPORTNAME'] = {},Formato JavaScript: wn.query_reports [&#39;REPORTNAME&#39;] = {}
Javascript,Javascript
Javascript to append to the head section of the page.,Javascript da aggiungere alla sezione head della pagina.
Keep a track of all communications,Mantenere una traccia di tutte le comunicazioni
Key,Chiave
Label,Etichetta
Label Help,Etichetta Help
Lacs,Lacs
Landing Page,Pagina di destinazione
Language,Lingua
Language preference for user interface (only if available).,Lingua preferita per l'interfaccia (se disponibile)
Last IP,Ultimo IP
Last Login,Ultimo Login
Last Name,Cognome
Last updated by,Ultimo aggiornamento effettuato da
Lastmod,lastmod
Lato,Lato
Leave blank to repeat always,Lascia in bianco per ripetere sempre
Left,Sinistra
Less or equals,Minore o uguale
Less than,meno di
Letter Head,Carta intestata
Letter Head Image,Lettera Responsabile Immagine
Letter Head Name,Lettera Responsabile Nome
Letter Head in HTML,Lettera Head in HTML
Level,Livello
"Level 0 is for document level permissions, higher levels for field level permissions.","Il livello 0 è per le autorizzazioni a livello di documento, i livelli più elevati per le autorizzazioni a livello di campo."
Like,come
Link,Collegamento
Link Name,Nome collegamento
Link to other pages in the side bar and next section,Link verso altre pagine nella barra laterale e sezione successiva
Link to the page you want to open,Link alla pagina che si desidera aprire
Linked In Share,Linked In Condividi
Linked With,Collegato con
List,Lista
List of patches executed,Elenco delle patch eseguite
Loading,Caricamento
Loading Report,Caricamento report
Loading...,Caricamento in corso ...
Log of Scheduler Errors,Log di errori di pianificazione
Login,Entra
Login After,Accedi Dopo
Login Before,Accedi Prima
Logout,Esci
Long Text,Testo lungo
Lucida Grande,Lucida Grande
Mail Footer,Posta Footer
Mail Server,Mail Server
Main Section,Sezione principale
Make a new,Effettuare una nuova
Make sure that the transactions you want to restrict have a Link field 'territory' that maps to a 'Territory' master.,Assicurarsi che le operazioni che si desidera limitare hanno &#39;territorio&#39; un campo link che mappa un maestro &#39;territorio&#39;.
Male,Maschio
Mandatory,Obbligatorio
Mandatory filters required:\n,I filtri obbligatori richiesti : \ n
Master,Maestro
Match,Fiammifero
Max Attachments,Numero massimo allegati
"Meaning of Submit, Cancel, Amend","Significato dei Submit, cancellare, rettificare"
"Menu items in the Top Bar. For setting the color of the Top Bar, go to <a href=""#Form/Style Settings"">Style Settings</a>","Le voci di menu nella barra superiore. Per impostare il colore della barra superiore, vai a <a href=""#Form/Style Settings"">Impostazioni di stile</a>"
"Merging is only possible between Group-to-Group or 
					Ledger-to-Ledger",
Message,Messaggio
Method,Metodo
Middle Name (Optional),Nome (facoltativo)
Millions,Milioni
Misc,Varie
Miscellaneous,Varie
Missing Values Required,Valori mancanti richiesti
Modified by,Modificato da
Module,Modulo
Module Def,Modulo Def
Module Name,Nome modulo
Modules,Moduli
Monday,Lunedi
More,Più
More content for the bottom of the page.,Più contenuti per la parte inferiore della pagina.
Must have report permission to access this report.,Deve avere relazione di permesso di accedere a questo rapporto.
Must specify a Query to run,Necessario specificare una query per eseguire
Name,Nome
Name Case,Nome Caso
Name Exists,nome esiste
Naming Series mandatory,Naming Serie obbligatorio
New,nuovo
New Password,Nuova password
New Record,Nuovo Record
New value to be set,Nuovo valore da impostare
Next Communcation On,Avanti Comunicazione sui
Next State,Stato Successivo
Next actions,Prossime azioni
No,No
No Action,Nessuna azione
No Cache,No cache
No Communication tagged with this ,Nessuna comunicazione con i tag presente
No Copy,No Copy
No Permission,Nessuna autorizzazione
No Permission to ,Nessun permesso di
No Permissions set for this criteria.,Nessun permessi impostati per questo criterio.
No Report Loaded. Please use query-report/[Report Name] to run a report.,No Segnala Loaded. Si prega di utilizzare query report / [Nome report] per eseguire un report.
No Sitemap,No Sitemap
No User Properties found.,Nessun proprietà utente trovato.
No further records,Nessun ulteriore record
No one,Nessuno
No permission to edit,Non hai il permesso di modificare
No permission to write / remove.,Non hai il permesso di scrivere / eliminare.
No records tagged.,Nessun record marcati.
None,Nessuno
None: End of Workflow,Nessuno: Fine del flusso di lavoro
Not Found,Not Found
Not Linked to any record.,Non legati a nessun record.
Not Permitted,Non Consentito
Not allowed for: ,Non è consentito per:
Not enough permission to see links.,Non basta il permesso di vedere i link.
Not equals,non equals
"Note: For best results, images must be of the same size and width must be greater than height.","Nota: Per ottenere risultati ottimali, le immagini devono essere della stessa dimensione e la larghezza non deve essere superiore all&#39;altezza."
Note: Other permission rules may also apply,Nota: si possono verificare anche altre regole di autorizzazione
Note: maximum attachment size = 1mb,Nota: la dimensione massima allegato = 1MB
Nothing to show,Niente da mostrare
Nothing to show for this selection,Niente da dimostrare per questa selezione
Notification Count,Conte di notifica
Notify By Email,Notifica via e-mail
On,On
"Once you have set this, the users will only be able access documents with that property.","Una volta impostato questo, gli utenti saranno in grado di accedere solo i documenti con tale proprietà."
Only Administrator allowed to create Query / Script Reports,Solo amministratore ha permesso di creare delle query / Script Reports
Only Administrator can save a standard report. Please rename and save.,Solo amministratore può salvare un report standard. Si prega di rinominare e salvare.
Only Allow Edit For,Consenti solo Edit Per
Only System Manager can create / edit reports,Solo il Gestore di sistema in grado di creare / modificare i rapporti
Open Count,aperto Conte
Open Sans,Aperte Sans
Options,Opzioni
Options Help,Opzioni Aiuto
Org History,org Storia
Org History Heading,Org Storia Rubrica
Original Message,Original Message
Other,Altro
POP3 Mail Server (e.g. pop.gmail.com),POP3 Mail Server (ad esempio pop.gmail.com)
Page,Pagina
Page Background,Sfondo pagina
Page Border,Bordo pagina
Page HTML,Pagina HTML
Page Headings,Pagina Rubriche
Page Links,Pagina Links
Page Name,Nome pagina
Page Name Field,Pagina Nome campo
Page Role,Pagina Ruolo
Page Text,Pagina di testo
Page already exists,Pagina esiste già
Page content,Contenuto della pagina
Page not found,Pagina non trovata
Page or Generator,Pagina o Generator
Page text and background is same color. Please change.,Testo di pagina e lo sfondo è dello stesso colore. Per favore cambia.
"Page to show on the website
",
"Page url name (auto-generated) (add "".html"")",Pagina nome url (generata automaticamente) (aggiungere &quot;. Html&quot;)
Parent Label,Parent Label
Parent is required.,È richiesta Parent.
Participants,Partecipanti
Password,Parola d&#39;ordine
Password Expires in (days),La password scade in (giorni)
Password Updated,password Aggiornato
Patch,Patch
Patch Log,Patch Log
Percent,Percentuale
Perm Level,Perm Livello
Permission Level,Livello di autorizzazione
Permission Levels,Livelli di autorizzazione
Permission Manager,Permission Manager
Permission Rules,Regole di autorizzazione
Permissions,Permessi di Scrittura
Permissions Settings,Impostazioni delle autorizzazioni
Permissions are automatically translated to Standard Reports and Searches,Le autorizzazioni vengono tradotti automaticamente al report standard e Ricerche
"Permissions are set on Roles and Document Types (called DocTypes) by restricting read, edit, make new, submit, cancel, amend and report rights.","I permessi sono impostati su Ruoli e tipi di documenti (chiamato DOCTYPE) limitando leggere, modificare, creare nuovo, sostengono, cancellare, modificare e segnalare i diritti."
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful incase you want to hide or make certain field read-only.,Autorizzazioni a livelli più alti sono permessi &#39;livello di campo&#39;. Tutti i campi hanno stabilito un &#39;livello di autorizzazione&#39; contro di loro e le regole definite a che le autorizzazioni si applicano al campo. Ciò è utile in caso si desidera nascondere o rendere certo campo di sola lettura.
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.","Permessi di livello 0 sono permessi &#39;a livello di documento&#39;, cioè sono primario per l&#39;accesso al documento."
Permissions translate to Users based on what Role they are assigned,Permessi traducono per gli utenti in base a ciò di ruolo sono assegnati
Person,Persona
Phone,Telefono
Phone No.,No. Telefono
Pick Columns,Scegli Colonne
Please attach a file first.,Si prega di allegare un file.
Please attach a file or set a URL,Si prega di allegare un file o impostare un URL
Please change the value,Si prega di modificare il valore
Please enable pop-ups,Si prega di abilitare i pop-up
Please make sure that there are no empty columns in the file.,Assicurarsi che non ci sono le colonne vuote nel file prega.
Please refresh to get the latest document.,Si prega di aggiornamento per ottenere l&#39;ultimo documento.
Please select a file or url,Si prega di selezionare un file o URL
Please specify,Si prega di specificare
Plugin,Plugin
Post Publicly,Posta pubblicamente
Post Topic,Posta Topic
Post to user,Invia a utente
Posts,Messaggi
Primary,Primaria
Print Format,Formato Stampa
Print Format Type,Stampa Tipo di formato
Print Hide,Stampa Hide
Print Width,Larghezza di stampa
Print...,Stampa ...
Priority,Priorità
Private,Privato
Profile,Profilo
Profile Defaults,Defaults Profilo
Profile Represents a User in the system.,Profilo Rappresenta un utente nel sistema.
Profile of a Blogger,Profilo di un Blogger
Profile of a blog writer.,Profilo di uno scrittore blog.
Properties,Proprietà
Property,Proprietà
Property Setter,Setter Proprietà
Property Setter overrides a standard DocType or Field property,Setter proprietà sostituisce un immobile docType campo standard
Property Type,Tipo di proprietà
Public,Pubblico
Published,Pubblicato
Published On,Edizione del
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,Tirare mail dalla posta in arrivo e collegarli come record di comunicazione (per contatti conosciuti).
Query,Query
Query Options,Opzioni query
Query Report,Rapporto sulle query
Query must be a SELECT,Query deve essere una SELEZIONA
Quick Help for Setting Permissions,Guida rapida per Impostazione delle autorizzazioni
Quick Help for User Properties,Guida rapida per la proprietà utente
Read,Leggi
Read Only,Solo lettura
Received,ricevuto
Recipient,Destinatario
Recipients,Destinatari
Ref DocType,Rif. DocType
Ref Name,Rif. Nome
Ref Type,Tipo Rif.
Reference,Riferimento
Reference DocName,Riferimento DocName
Reference DocType,Riferimento DocType
Reference Name,Nome di riferimento
Reference Type,Tipo di riferimento
Refresh,Refresh
Registered but disabled.,Registrato ma disabilitato.
Registration Details Emailed.,Dettagli di registrazione ricevuta via email.
Remove Bookmark,Rimuovere Bookmark
Rename...,Rinomina ...
Repeat On,Ripetere On
Repeat Till,Ripetere Fino
Repeat this Event,Ripetere questo evento
Report,Segnala
Report Builder,Report Builder
Report Builder reports are managed directly by the report builder. Nothing to do.,Report di Generatore report vengono gestite direttamente dal costruttore rapporto. Niente da fare.
Report Hide,Segnala Hide
Report Name,Nome rapporto
Report Type,Tipo di rapporto
Report was not saved (there were errors),Relazione non è stato salvato (ci sono stati errori)
Represents the states allowed in one document and role assigned to change the state.,Rappresenta gli stati ammessi in un unico documento e ruolo assegnato per cambiare lo stato.
Reqd,Reqd
Reset Password Key,Resettare password chiave
Restrict IP,Limitare IP
