 by Role ,按角色
Banner Image,橫幅圖片
Banner is above the Top Menu Bar.,旗幟就是上面的頂部菜單欄。
Begin this page with a slideshow of images,開始這個頁面圖像的幻燈片
Beginning with,開頭
Belongs to,屬於
Bio,生物
Birth Date,出生日期
Blog Category,博客分類
Blog Intro,博客介紹
Blog Introduction,博客簡介
Blog Post,博客公告
Blog Settings,博客設置
Blog Title,博客標題
Blogger,博客
Bookmarks,書籤
Both login and password required,既需要登錄名和密碼
Brand HTML,品牌的HTML
Bulk Email,大量電子郵件
Bulk email limit {0} crossed,群發電子郵件的限制{0}劃線
Button,鈕
By,通過
Calculate,計算
Calendar,日曆
Cancel,取消
Cancelled,註銷
"Cannot Edit {0} directly: To edit {0} properties, create / update {1}, {2} and {3}",不能編輯{0}直接：編輯{0}屬性，創建/更新{1} ， {2}和{3}
Cannot Update: Incorrect / Expired Link.,無法更新：不正確的/過期的鏈接。
Cannot Update: Incorrect Password,無法更新：不正確的密碼
Cannot add more than 50 comments,無法添加超過50評論
Cannot cancel before submitting. See Transition {0},可以在提交之前不會取消。
Cannot change picture,不能改變圖片
Cannot change state of Cancelled Document. Transition row {0},不能改變註銷文件的狀態。
Cannot change {0},不能改變{0}
Cannot delete or cancel because {0} {1} is linked with {2} {3},不能刪除或取消，因為{0} {1}與聯{2} {3}
Cannot delete {0} as it has child nodes,無法刪除{0} ，因為它有子節點
Cannot edit standard fields,不能編輯標準字段
Cannot map because following condition fails: ,無法對應，因為以下條件失敗：
Cannot open instance when its {0} is open,無法打開實例時，它的{0}是開放的
Cannot open {0} when its instance is open,無法打開{0} ，當它的實例是開放的
Cannot print cancelled documents,無法打印的文檔取消
Cannot remove permission for DocType: {0} and Name: {1},無法刪除權限的DocType ： {0}和名稱： {1}
Cannot reply to a reply,無法回复回复
Cannot set Email Alert on Document Type {0},無法設置電子郵件警報的文件類型{0}
Cannot set permission for DocType: {0} and Name: {1},無法設置權限的DocType ： {0}和名稱： {1}
Categorize blog posts.,分類博客文章。
Category,類別
Category Name,分類名稱
Center,中心
"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.",某些文件，如發票，不應更改一次決賽。對這些文件的最後狀態被稱為提交。您可以限制哪些角色可以提交。
"Change field properties (hide, readonly, permission etc.)",更改字段屬性（隱藏，只讀權限等）
Chat,聊天
Check,查
Check / Uncheck roles assigned to the User. Click on the Role to find out what permissions that Role has.,查看/取消選中分配給個人的角色。點擊角色，找出哪些權限的角色了。
Check this if you want to send emails as this id only (in case of restriction by your email provider).,如果您要發送的郵件，因為這ID只（如果限制您的電子郵件提供商）進行檢查。
Check this to make this the default letter head in all prints,勾選這個來讓這個默認的信頭中的所有打印
Check which Documents are readable by a User,檢查哪些文件是可讀的用戶
Checked items shown on desktop,在桌面上顯示檢查的項目
Child Tables are shown as a Grid in other DocTypes.,子表中顯示為其他文檔類型的Grid。
City,城市
Classic,經典
Clear Cache,清除緩存
Clear all roles,清除所有角色
Click on a link to get options,點擊一個鏈接以獲取選項
Click on row to view / edit.,點擊一行，查看/編輯。
Client,客戶
Client-side formats are now deprecated,客戶端的格式現在已經過時
Close,關閉
Close: {0},關閉： {0}
Closed,關閉
Code,碼
Collapse,崩潰
Column Break,分欄符
Comment,評論
Comment By,評論人
Comment By Fullname,評論人全名
Comment Date,評論日期
Comment Docname,可採用DocName評論
Comment Doctype,註釋文檔類型
Comment Time,評論時間
Comments,評論
Communication,通訊
Communication Medium,通信介質
Company History,公司歷史
Company Introduction,公司簡介
Complaint,抱怨
Complete By,完成
Condition,條件
Contact Us Settings,聯繫我們設置
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.",聯繫人選項，如“銷售查詢，支持查詢”等每一個新行或以逗號分隔。
Content,內容
Content Hash,內容哈希
Content in markdown format that appears on the main side of your page,在降價格式的內容，在頁面的主側出現
Content web page.,內容的網頁。
Controller,調節器
Copy,複製
Copyright,版權
Core,核心
Could not connect to outgoing email server,無法連接到外發郵件服務器
Could not find {0},找不到{0}
Count,算
Country,國家
Create,創建
Create a new {0},創建一個新的{0}
Created Custom Field {0} in {1},創建自定義字段{0} {1}
Created Customer Issue,創建客戶問題
Created Opportunity,創造機會
Created Support Ticket,創建支持票
Creation / Modified By,創建/修改者
Currency,貨幣
Current status,現狀
Custom CSS,自定義CSS
Custom Field,自定義字段
Custom Javascript,自定義JavaScript
Custom Reports,自定義報告
Custom Script,自定義腳本
Custom?,自定義？
Customize,定制
Customize Form,自定義表單
Customize Form Field,自定義表單域
"Customize Label, Print Hide, Default etc.",自定義標籤，打印隱藏，默認值等。
Customized HTML Templates for printing transctions.,自定義的HTML模板印刷transctions 。
Daily Event Digest is sent for Calendar Events where reminders are set.,每日賽事精華被送往何處提醒設置日曆事件。
Danger,危險
Data,數據
Data Import / Export Tool,數據導入/導出工具
Data Import Tool,數據導入工具
Data missing in table,在表中的數據丟失
Date,日期
Date Change,日期變更
Date Changed,更改日期
Date Format,日期格式
Date and Number Format,日期和數字格式
Date must be in format: {0},日期格式必須是： {0}
Datetime,日期時間
Days in Advance,提前天
Dear,親愛
Default,默認
Default Print Format,默認打印格式
Default Value,默認值
Default is system timezone,默認為系統時區
"Default: ""Contact Us""",默認：“聯繫我們”
DefaultValue,默認值
Defaults,默認
"Define read, write, admin permissions for a Website Page.",定義讀，寫，對於一個網站頁面的管理權限。
Define workflows for forms.,定義工作流表單。
Delete,刪除
Delete Row,刪除行
Depends On,取決於
Descending,降
Description,描述
Description and Status,描述和狀態
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)",說明列表頁面，在純文本中，只有幾行。 （最多140個字符）
Description for page header.,描述頁面標題。
Desktop,桌面
Details,詳細信息
Did not add,沒有添加
Did not cancel,沒有取消
Did not find {0} for {0} ({1}),沒有找到{0} {0} （ {1} ）
Did not load,沒有加載
Did not remove,沒有刪除
Did not save,沒救了
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.",不同的“國家”這個文件可以存在。像“打開”，“待批准”等。
Disable Customer Signup link in Login page,禁止在登錄頁面客戶註冊鏈接
Disable Signup,禁止註冊
Disabled,殘
Display,顯示
Display Settings,顯示設置
Display in the sidebar of this Website Route node,顯示在本網站Route節點的側邊欄
Do not allow user to change after set the first time,不允許用戶更改設置後首次
Doc Status,文件狀態
DocField,DocField
DocPerm,DocPerm
DocType,的DocType
DocType Details,的DocType詳情
DocType can not be merged,DocType文檔類型不能合併
DocType on which this Workflow is applicable.,DocType文檔類型上這個工作流是適用的。
DocType or Field,的DocType或現場
Doclist JSON,Doclist JSON
Docname,可採用DocName
Document,文件
Document Status transition from ,從文檔狀態過渡
Document Status transition from {0} to {1} is not allowed,從{0}到{1}文件狀態轉換是不允許的
Document Type,文件類型
Document is only editable by users of role,文件只有通過編輯角色的用戶
Documentation,文檔
Documents,文件
Download,下載
Download Backup,下載備份
Download link for your backup will be emailed on the following email address:,下載鏈接為您的備份將通過電子郵件發送以下電子郵件地址：
Drafts,草稿箱
Drag to sort columns,拖動進行排序的列
Due Date,到期日
Duplicate name {0} {1},重複的名稱{0} {1}
Dynamic Link,動態鏈接
ERPNext Demo,ERPNext演示
Edit,編輯
Edit Permissions,編輯權限
Editable,編輯
Email,電子郵件
Email Alert,電子郵件警報
Email Alert Recipient,電子郵件警報收件人
Email Alert Recipients,電子郵件警報收件人
Email By Document Field,電子郵件通過文檔字段
Email Footer,電子郵件頁腳
Email Host,電子郵件主機
Email Id,電子郵件Id
Email Login,郵箱登錄
Email Password,電子郵件密碼
Email Sent,郵件發送
Email Settings,電子郵件設置
Email Signature,電子郵件簽名
Email Use SSL,電子郵件使用SSL
Email address,電子郵件地址
"Email addresses, separted by commas",電子郵件地址，以逗號separted
Email not verified with {1},電子郵件與驗證{1}
Email sent to {0},電子郵件發送到{0}
Email...,電子郵件...
Emails are muted,電子郵件是靜音
Embed image slideshows in website pages.,嵌入圖像的幻燈片中的網頁。
Enable,啟用
Enable Comments,啟用評論
Enable Scheduled Jobs,啟用預定作業
Enabled,啟用
Ends on,結束於
Enter Form Type,輸入表單類型
Enter Value,輸入值
Enter at least one permission row,輸入至少一個排的權限
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","輸入默認值字段（鍵）和值。如果你對一個字段中添加多個值，則第一個將有所回升。這些默認值也可用來設置“匹配”的權限規則。要查看字段的列表，請訪問<a href=""#Form/Customize Form/Customize Form"">自定義表單</a> 。"
"Enter keys to enable login via Facebook, Google, GitHub.",回車鍵通過Facebook，谷歌， GitHub上啟用登錄。
Equals,等號
Error,錯誤
"Error generating PDF, attachment sent as HTML",錯誤生成PDF，附件發送的HTML
Error: Document has been modified after you have opened it,錯誤：你已經打開了它之後，文件已被修改
Event,事件
Event Datetime,活動日期時間
Event Individuals,個人事件
Event Role,事件角色
Event Roles,事件角色
Event Type,事件類型
Event User,事件用戶
Event end must be after start,活動結束必須開始後
Events,活動
Events In Today's Calendar,活動在今天的日曆
Every Day,天天
Every Month,每月
Every Week,每一周
Every Year,每年
Everyone,大家
Example:,例如：
Expand,擴大
Export,出口
Export not allowed. You need {0} role to export.,導出不允許的。您需要{0}的角色出口。
Exported,出口
"Expression, Optional",表達，可選
Facebook,Facebook的
Facebook Client ID,Facebook的客戶端ID
Facebook Client Secret,Facebook的客戶端秘密
Facebook Share,Facebook分享
Facebook User ID,Facebook的用戶ID
Facebook Username,Facebook的用戶名
FavIcon,網站圖標
Female,女
Field Description,字段說明
Field Name,字段名稱
Field Type,字段類型
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)",現場，代表交易的工作流狀態（如果域不存在，一個新的隱藏的自定義字段將被創建）
Field {0} in row {1} cannot be hidden and mandatory without default,域{0}行{1}不能被隱藏，沒有強制默認
Field {0} is not selectable.,域{0}是不可選擇的。
Field {0} of type {1} cannot be mandatory,域{0}類型{1}不能強制
Fieldname,字段名
Fieldname is required in row {0},字段名是必需的行{0}
Fieldname not set for Custom Field,字段名不為自定義字段設置
Fieldname which will be the DocType for this link field.,字段名這將是在DOCTYPE這個鏈接字段。
Fieldname {0} appears multiple times in rows {1},字段名{0}中多次出現列{1}
"Fieldname {0} cannot contain letters, numbers or spaces",字段名{0}不能包含字母，數字或空格
Fields,領域
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box",字段用逗號（，）分隔將被納入<br /> <b>搜索</b>的搜索對話框列表
Fieldtype cannot be changed from {0} to {1} in row {2},字段類型不能從{0}改變為{1}中排{2}
File,文件
File Data,文件數據
File Name,文件名
File Size,文件大小
File URL,文件的URL
File not attached,文件未附
File size exceeded the maximum allowed size of {0} MB,文件大小超過{0} MB的最大允許大小
Fill Screen,填充屏幕
Filter,過濾器
Filter records based on User Permissions defined for a user,基於對用戶定義的用戶權限篩選記錄
Filters,篩選器
Find {0} in {1},找到{0} {1}
First Name,名字
Float,浮動
Float Precision,float精度
Font (Heading),字體（標題）
Font (Text),字體（文字）
Font Size,字體大小
Font Size (Text),字體大小（文本）
Fonts,字體
Footer,頁腳
Footer Background,頁腳背景
Footer Items,頁腳項目
Footer Text,頁腳文本
For DocType,為的DocType
"For Links, enter the DocType as range
For Select, enter list of Options separated by comma","對於鏈接，進入文檔類型為範圍
對於選擇，進入選項列表以逗號分隔"
"For comparative filters, start with",對於比較器，開始
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,例如，如果你取消及修訂“INV004”它將成為一個新的文檔&#39;INV004-1&#39;。這可以幫助您跟踪每一項修正案。
For ranges,對於範圍
For top bar,對於頂級酒吧
For {0} at level {1} in {2} in row {3},{0}在水平{1}的{2}行{3}
Forgot Password,忘記密碼
Forgot Password?,忘記密碼？
Form,表格
Forum,論壇
Forums,論壇
Forward To Email Address,轉發到郵件地址
Frappe Framework,冰沙框架
Friday,星期五
From Date must be before To Date,從日期必須是之前日期
Full Name,全名
Gantt Chart,甘特圖
Gender,性別
Generator,發電機
Georgia,格魯吉亞
Get,得到
Get From ,得到
"Get your globally recognized avatar from <a href=""https://gravatar.com/"">Gravatar.com</a>","讓您的全球公認的頭像從<a href=""https://gravatar.com/""> Gravatar.com </ A>"
GitHub,GitHub的
GitHub Client ID,GitHub的客戶ID
GitHub Client Secret,GitHub的客戶端秘密
Github User ID,Github上的用戶ID
Github Username,Github上用戶名
Google,谷歌
Google Analytics ID,谷歌Analytics（分析）的ID
Google Client ID,谷歌客戶ID
Google Client Secret,谷歌客戶端秘密
Google Plus One,谷歌加一
Google User ID,谷歌的用戶ID
Google Web Font (Heading),谷歌網頁字體（標題）
Google Web Font (Text),谷歌網頁字體（文字）
Greater or equals,大於或等於
Greater than,大於
"Group Added, refreshing...",集團已添加，清爽...
Group Description,集團簡介
Group Name,集團名稱
Group Title,組標題
Group Type,組類型
Groups,組
HTML for header section. Optional,HTML的標題部分。可選
Have an account? Login,有一個帳戶？註冊
Header,頭
Heading,標題
Heading Text As,標題文字作為
Help,幫助
Help on Search,幫助上搜索
Helvetica Neue,Helvetica Neue字體
Hidden,隱
Hide Actions,隱藏操作
Hide Copy,隱藏副本
Hide Heading,隱藏標題
Hide Toolbar,隱藏工具欄
Hide the sidebar,隱藏側邊欄
High,高
Highlight,突出
History,歷史
Home Page,首頁
Home Page is Products,首頁產品是
ID (name) of the entity whose property is to be set,其屬性是要設置的實體的ID（名稱）
Icon,圖標
Icon will appear on the button,圖標將顯示在按鈕上
"If a Role does not have access at Level 0, then higher levels are meaningless.",如果角色沒有訪問權限級別為0級，那麼更高的水平是沒有意義的。
"If checked, all other workflows become inactive.",如果選中，所有其他的工作流程變得無效。
"If checked, the Home page will be the default Item Group for the website.",如果選中，主頁將是默認的項目組的網站上。
"If image is selected, color will be ignored (attach first)",如果圖像被選中，顏色將被忽略（先附上）
If non standard port (e.g. 587),如果非標準端口（如587）
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.",如果這些指令，其中沒有幫助，請加在GitHub上的問題你的建議。
"If you set this, this Item will come in a drop-down under the selected parent.",如果你設置這個，這個項目會在一個下拉菜單中選定父下。
Ignore User Permissions,忽略用戶權限
"Ignoring Item {0}, because a group exists with the same name!",忽略項目{0} ，因為一組存在具有相同名字！
Image,圖像
Image Link,圖片鏈接
Import,進口
Import / Export Data,導入/導出數據
Import / Export Data from .csv files.,導入/導出數據的。 CSV文件。
In,在
In Dialog,在對話框
In Filter,在過濾器
In List View,在列表視圖
In Report Filter,在報表篩選
In points. Default is 9.,以點為單位。默認值是9。
In response to,響應於
Incorrect value in row {0}: {1} must be {2} {3},不正確的值在列{0} ： {1}必須是{2} {3}
Incorrect value: {0} must be {1} {2},不正確的值：{0}必須是{1} {2}
Index,指數
Individuals,個人
Info,信息
Insert After,插入後
"Insert After field '{0}' mentioned in Custom Field '{1}', does not exist",插入域後“{0}”在自定義字段中提到“{1}” ，不存在
Insert Below,下面插入
Insert Code,插入代碼
Insert Row,插入行
Insert Style,插入式
Install Applications.,安裝應用程序。
Installed,安裝
Installer,安裝程序
Int,詮釋
Integrations,集成
Introduce your company to the website visitor.,介紹貴公司的網站訪客。
Introduction,介紹
Introductory information for the Contact Us Page,介紹信息的聯繫我們頁面
Invalid Email: {0},無效的電子郵件： {0}
Invalid Filter: {0},無效的過濾器： {0}
Invalid Home Page,無效的主頁
Invalid Login,無效登錄
Invalid Outgoing Mail Server or Port,無效的發送郵件服務器或端口
Invalid login or password,無效的登錄名或密碼
Invalid recipient address,無效的收件人地址
Inverse,逆
Is Active,為活躍
Is Child Table,是子表
Is Default,是默認
Is Event,是事件
Is Mandatory Field,是必須填寫
Is Single,單人
Is Standard,為標準
Is Submittable,是Submittable
Is Task,是任務
Item cannot be added to its own descendents,項目不能被添加到自己的後代
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},JavaScript的格式：frappe.query_reports [&#39;REPORTNAME&#39;] = {}
Javascript,使用Javascript
Javascript to append to the head section of the page.,Javascript來附加到頁面的head部分。
Key,關鍵
Label,標籤
Label Help,標籤說明
Label and Type,標籤和類型
Label is mandatory,標籤是強制性的
Landing Page,著陸頁
Language,語
Language preference for user interface (only if available).,語言首選項的用戶界面（僅如果有的話）。
"Language, Date and Time settings",語言，日期和時間設置
Last IP,最後一個IP
Last Login,上次登錄
Last Name,姓
Last updated by,最後更新由
Lastmod,LASTMOD
Lato,拉托
Leave blank to repeat always,留空將總是重複
Left,左
Less or equals,小於或等於
Less than,小於
Letter,信
Letter Head,信頭
Letter Head Name,信頭名
Letter Head in HTML,信頭中的HTML
Level,級別
"Level 0 is for document level permissions, higher levels for field level permissions.",0級是文件級權限，更高層次字段級權限。
Like,喜歡
Link,鏈接
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)",鏈接是網站的主頁。標準鏈接（索引，登錄，產品，博客，約，接觸）
Link to other pages in the side bar and next section,鏈接到側欄和下一節其他頁面
Link to the page you want to open,鏈接到你想打開的網頁
Linked In Share,反向鏈接分享
Linked With,掛具
List,表
List a document type,列出的文件類型
List of Web Site Forum's Posts.,網站論壇的帖子列表。
Loading,載入中
Loading Report,加載報表
Loading...,載入中...
Localization,本土化
Location,位置
Log of error on automated events (scheduler).,登錄自動化事件（調度）的錯誤。
Login,註冊
Login After,登錄後
Login Before,登錄前
Login Id,登錄ID
Login not allowed at this time,登錄不允許在這個時候
Logout,註銷
Long Text,長文本
Low,低
Lucida Grande,龍力大
Mail Password,郵件密碼
Main Section,主科
Make a new,創建一個新的
Make a new record,制唱片
Male,男性
Manage cloud backups on Dropbox,管理上的Dropbox雲備份
Manage uploaded files.,管理上傳的文件。
Mandatory,強制性
Mandatory fields required in {0},在需要的必填字段{0}
Mandatory filters required:\n,需要強制性的過濾器： \ ñ
Master,主
Max Attachments,最大附件
Max width for type Currency is 100px in row {0},最大寬度型貨幣是排100px的{0}
"Meaning of Submit, Cancel, Amend",的含義提交，取消，修改
Medium,中
"Menu items in the Top Bar. For setting the color of the Top Bar, go to <a href=""#Form/Style Settings"">Style Settings</a>","在頂欄菜單項。設置最上面一欄的顏色，去<a href=""#Form/Style Settings"">樣式設置</a>"
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,合併是唯一可能的組到組或葉節點到葉節點
Message,信息
Message Examples,消息示例
Messages,消息
Method,方法
Middle Name (Optional),中間名（可選）
Misc,雜項
Miscellaneous,雜項
Missing Values Required,所需遺漏值
Modern,現代
Modified by,改性
Module,模
Module Def,模塊高清
Module Name,模塊名稱
Module Not Found,模塊未找到
Modules Setup,模塊設置
Monday,星期一
More,更多
More content for the bottom of the page.,更多的內容的頁面的底部。
Move Down: {0},下移： {0}
Move Up: {0},上移： {0}
Multiple root nodes not allowed.,不允許多個根節點。
Must have report permission to access this report.,必須具有報告權限訪問此報告。
Must specify a Query to run,必須指定一個查詢運行
My Settings,我的設置
Name,名稱
Name Case,案例名稱
Name and Description,名稱和說明
Name is required,名稱是必需的
Name not permitted,名稱不允許
Name not set via Prompt,名稱未通過設置提示
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,你想這個字段鏈接到該文檔類型（DOCTYPE）下的名稱。如客戶
Name of {0} cannot be {1},{0}的名稱不能為{1}
Naming,命名
Naming Series mandatory,命名系列強制性
Nested set error. Please contact the Administrator.,嵌套組的錯誤。請聯繫管理員。
New,新
New Password,新密碼
New Record,新記錄
New comment on {0} {1},新評論{0} {1}
New password emailed,新的密碼通過電子郵件發送
New value to be set,新的值被設置
New {0},新的{0}
Next Communcation On,下一步通信電子在
Next Record,下一紀錄
Next State,下一狀態
Next actions,下一步行動
No,無
No Action,無動作
No Communication tagged with this ,無標籤的通信與此
No Copy,沒有複製
No Permissions set for this criteria.,沒有權限設置此標準。
No Report Loaded. Please use query-report/[Report Name] to run a report.,無報告加載。請使用查詢報告/ [報告名稱]運行報告。
No Results,沒有結果
No Sidebar,沒有側邊欄
No User Permissions found.,沒有用戶權限找到。
No data found,沒有找到數據
No file attached,沒有附加的文件
No further records,沒有進一步的記錄
No one,沒有人
No permission to '{0}' {1},沒有權限“{0}” {1}
No permission to edit,無權限進行編輯
No permission to write / remove.,沒有權限寫入/刪除。
No records tagged.,沒有記錄標記。
No template found at path: {0},沒有模板的路徑中找到：{0}
No {0} permission,否{0}的權限
None,無
None: End of Workflow,無：結束的工作流程
Not Found,未找到
Not Linked to any record.,不鏈接到任何記錄。
Not Permitted,不允許
Not Submitted,未提交
Not a user yet? Sign up,還不是用戶？報名
Not a valid Comma Separated Value (CSV File),不是一個有效的逗號分隔值（ CSV文件）
Not allowed,不允許
Not allowed from this IP Address,來自此IP地址不可以
Not allowed to Import,不准進口
Not allowed to access {0} with {1} = {2},不允許訪問{0} {1} = {2}
Not allowed to change {0} after submission,不允許提交後更改{0}
Not allowed to move,不允許移動
Not allowed to reset the password of {0},不能復位的{0}密碼
Not enough permission to see links.,沒有足夠的權限查看鏈接。
Not equals,不等於
Not found,未找到
Not in Developer Mode! Set in site_config.json,不開發模式！設置在site_config.json
Not permitted,不允許
"Note: For best results, images must be of the same size and width must be greater than height.",注意：為達到最佳效果，圖像必須具有相同的尺寸和寬度必須大於高度。
Note: Other permission rules may also apply,注：其它權限規則也可申請
